Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
AC Omonia,248,Europa Conference League,1.15,0.35,9.53,3.68,1.3,1.25,0.06,0.06,16.23,1.56,6.56,33.55,9.37,2.26,18.52,0.57,0.75,401.97,491.11,44.21,2.82,3.19,9.55,2.0,448.92,40.19,11.24,181.13,203.19,185.37,212.44,28.58,52.13,6867.74,2161.47,328.34,15.84,1884.95,872.0,9.45,3.0,20.44,9.29,10.56,16.56,9.9,9.24,5.1,2.23,7.89,14.66,6.77,10.19,11.48,4.5,27.42,0.29,43.5,16.56,8.89,25.45,408.45,44.0,608.82,42.6,184.77,292.85,137.15,17.84,608.76,1.56,0.0,10.58,11.87,2.0,0.06,0.06,0.0,13.02,14.74,27.76,4.24,1.21,2.97,1.49,0.28,0.29,4.53,11.26,15.1,2.9,88.62,9.13,405.24,15.42,0.77,0.15,1.86
APOEL,248,Europa Conference League,1.29,0.27,12.5,3.27,1.11,1.11,0.0,0.0,22.06,2.08,8.74,27.55,5.4,1.73,19.85,0.72,0.8,355.61,438.73,33.35,0.5,2.03,9.08,2.95,395.82,39.95,12.11,153.0,172.23,159.89,186.52,33.08,54.37,6200.82,1903.95,307.77,14.42,1749.19,846.55,15.52,2.31,14.87,6.37,7.5,16.56,10.06,7.94,6.48,2.15,7.24,15.31,8.06,9.77,7.45,1.56,22.69,0.15,40.82,12.77,8.81,21.58,357.6,32.94,541.11,26.9,128.44,283.16,135.47,15.45,541.11,2.97,0.42,12.5,13.32,2.95,0.06,0.0,0.0,13.13,17.55,30.68,4.55,0.98,3.5,1.24,0.25,0.15,3.15,11.47,19.0,3.98,142.79,5.52,235.95,11.66,0.63,0.0,0.0
AZ Alkmaar,352,Europa League,1.65,0.76,11.91,4.27,1.73,1.62,0.15,0.15,20.16,2.86,8.72,29.25,7.81,0.93,14.26,0.97,1.11,354.93,442.74,37.74,1.83,1.08,10.78,1.9,406.35,34.49,9.24,168.84,190.69,156.17,182.8,21.25,42.78,5832.12,1832.93,300.3,17.62,1553.41,816.42,13.1,6.95,17.74,8.05,8.24,17.88,10.0,8.28,7.66,1.93,9.83,20.17,10.34,9.95,13.51,3.62,25.12,0.3,43.27,15.44,7.59,23.03,356.82,37.59,558.43,33.27,156.84,261.41,147.73,21.64,558.28,2.62,0.41,14.93,9.66,2.2,0.31,0.15,0.0,8.53,13.53,22.07,4.31,1.6,2.6,1.44,-0.16,0.15,3.93,14.17,25.07,3.77,133.74,5.84,308.74,13.95,1.4,0.66,11.11
Ajax,352,Europa League,1.86,0.95,12.76,5.58,1.79,1.59,0.25,0.25,21.73,2.86,9.01,27.55,7.45,1.3,14.67,1.17,1.03,406.05,487.18,35.16,2.57,2.1,7.27,1.36,447.8,38.02,12.58,205.65,230.26,158.36,181.66,27.94,46.93,6470.53,2014.65,349.15,16.82,1758.14,840.74,13.32,5.03,16.6,6.97,8.64,18.98,11.38,8.72,6.77,3.49,8.95,15.83,6.88,11.26,11.17,3.48,24.99,0.6,44.93,14.39,8.34,22.73,405.22,34.86,603.8,44.02,182.76,292.03,135.14,21.85,603.55,2.56,0.25,13.9,13.55,1.51,0.05,0.2,0.0,13.91,12.78,26.69,4.5,1.18,3.32,1.43,0.22,0.35,5.06,14.22,35.62,3.97,117.43,3.64,151.17,14.86,1.31,0.64,12.71
Alavés,760,La Liga,1.0,0.53,10.34,3.24,1.1,0.87,0.24,0.29,17.84,1.61,7.45,24.08,6.0,2.61,21.0,0.59,0.65,260.39,357.0,30.5,1.16,2.61,9.61,1.92,316.24,38.84,9.37,118.37,143.32,111.97,140.87,23.92,50.11,4537.61,1592.24,224.71,11.82,1104.84,537.47,9.11,2.37,12.55,4.84,6.45,19.32,12.03,9.03,8.08,2.21,9.08,19.0,9.92,8.13,10.03,2.53,23.5,0.24,38.82,15.74,8.08,23.82,263.16,30.21,468.26,24.34,119.82,226.47,126.55,18.18,467.97,2.61,0.16,16.26,12.26,2.03,0.18,0.21,0.03,16.68,18.24,34.92,3.47,1.26,2.26,1.21,-0.08,0.24,9.5,23.08,23.34,2.16,98.94,7.61,467.95,14.53,0.95,0.82,14.98
Anderlecht,320,Europa League,1.68,1.18,12.09,4.11,1.15,1.07,0.11,0.11,21.68,2.69,8.94,34.36,7.72,1.7,20.52,0.74,0.71,402.34,491.41,41.32,0.89,2.58,10.11,1.58,447.3,42.54,13.49,190.79,217.11,169.92,196.88,30.21,50.5,6667.31,2026.21,328.46,18.66,1613.76,809.51,9.96,5.52,17.16,7.28,8.31,18.73,11.89,7.6,8.28,2.85,7.29,12.06,4.78,9.09,9.93,2.85,22.58,0.28,43.28,14.65,10.9,25.55,401.8,41.28,601.54,34.9,155.61,282.41,169.88,23.01,601.42,1.68,0.22,10.3,13.52,1.74,0.22,0.11,0.22,12.24,13.84,26.08,4.16,1.6,2.68,1.23,-0.37,0.11,5.1,16.39,42.39,3.94,131.2,4.21,161.85,15.02,0.72,1.29,26.18
Angers,612,Ligue 1,0.91,0.5,9.15,2.68,1.05,0.91,0.15,0.18,15.94,1.62,6.32,22.53,5.88,1.85,16.91,0.57,0.65,304.82,382.65,28.03,1.56,2.0,7.53,1.97,347.09,33.59,9.47,143.35,162.59,131.03,155.21,22.76,43.38,5131.85,1731.53,259.62,14.76,1419.47,723.59,10.74,2.88,17.97,7.26,9.74,18.35,11.53,10.0,5.94,2.41,8.65,17.79,9.15,9.85,10.74,3.41,25.79,0.53,40.53,14.5,8.74,23.24,312.15,27.74,493.35,33.38,160.44,227.24,112.15,15.06,493.18,1.32,0.06,11.15,11.38,2.03,0.12,0.18,0.0,9.65,12.5,22.15,5.59,1.56,4.03,1.93,0.37,0.21,4.29,13.12,22.74,5.41,191.26,8.0,343.0,16.21,1.44,0.65,9.91
Arsenal,1104,"Champions League, Premier League",1.87,1.4,13.83,4.84,1.73,1.59,0.1,0.17,24.51,3.29,10.88,35.45,10.79,2.07,19.12,1.25,1.23,417.42,489.89,45.57,2.2,1.73,7.51,1.88,454.89,33.12,8.16,216.73,237.2,171.85,194.21,20.96,36.98,6604.88,1829.96,335.79,21.02,1786.3,939.79,13.93,7.48,19.22,8.66,8.53,15.8,9.16,5.9,6.55,3.35,6.69,13.07,6.37,6.27,9.03,2.57,16.54,0.67,36.4,12.19,9.53,21.72,417.69,45.07,587.45,25.37,122.84,270.28,199.23,32.4,587.27,1.7,0.16,10.65,9.79,1.96,0.12,0.11,0.0,12.03,11.68,23.72,2.97,0.78,2.16,0.87,0.1,0.41,4.08,12.62,31.73,4.44,134.64,3.95,184.54,10.4,1.27,1.72,34.89
Astana FK,216,Europa Conference League,0.67,0.5,8.5,2.83,0.72,0.72,0.0,0.0,14.67,1.0,7.5,17.5,5.0,1.83,11.33,0.38,0.58,307.0,380.33,22.5,0.33,2.5,7.33,2.67,349.5,28.17,7.83,136.17,152.67,132.5,152.33,30.5,51.83,5362.5,1551.33,266.67,11.83,1285.5,661.17,10.33,1.83,15.5,6.0,8.83,16.83,9.33,9.17,6.17,1.5,5.33,14.83,9.5,8.0,11.83,4.83,27.17,0.5,40.17,15.33,7.67,23.0,312.17,22.17,494.83,46.0,185.5,228.17,86.0,9.33,494.83,1.83,0.33,10.0,9.0,3.0,0.17,0.0,0.0,8.67,14.17,22.83,7.83,1.33,6.5,2.18,0.85,0.17,4.33,18.5,27.17,5.83,193.9,12.17,618.62,19.67,0.67,1.0,20.18
Aston Villa,1096,"Champions League, Premier League",1.55,1.26,12.74,4.41,1.5,1.38,0.07,0.16,22.56,2.68,9.57,28.82,8.38,1.53,14.69,0.91,1.12,360.35,431.76,35.26,2.25,1.27,9.12,1.24,394.4,36.12,12.46,174.0,193.27,159.89,181.67,19.96,36.27,5897.92,1858.65,301.06,17.7,1696.71,861.82,11.85,5.42,18.59,8.52,8.0,15.76,9.05,7.12,6.14,2.51,7.79,14.47,6.69,6.71,8.86,2.87,18.41,0.88,37.37,13.23,10.53,23.76,361.13,35.08,530.39,35.79,148.85,247.99,139.28,24.81,530.23,1.87,0.09,10.51,12.41,1.43,0.09,0.16,0.0,9.99,10.23,20.22,4.31,1.18,3.11,1.33,0.14,0.31,4.73,11.87,34.69,3.43,103.98,4.58,219.1,12.84,1.5,0.85,16.53
