Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
AC Omonia,248,Europa Conference League,284,88,2364,912,323.6,310.8,16,16,4024,388,1628,8320,2324,560,4592,141.2,184.8,99688,121796,10964,700,792,2368,496,111332,9968,2788,44920,50392,45972,52684,7088,12928,1703200,536044,81428,3928,467468,216256,2344,744,5068,2304,2620,4108,2456,2292,1264,552,1956,3636,1680,2528,2848,1116,6800,72,10788,4108,2204,6312,101296,10912,150988,10564,45824,72628,34012,4424,150972,388,0,2624,2944,496,16,16,0,3228,3656,6884,1052.0,300.0,736.0,368.8,68.8,72,1124.0,2792.0,3744.0,720.0,21976.8,2264.0,100500.0,3824.0,192.0,36.0,460.8
APOEL,248,Europa Conference League,320,68,3100,812,274.8,274.8,0,0,5472,516,2168,6832,1340,428,4924,178.8,197.6,88192,108804,8272,124,504,2252,732,98164,9908,3004,37944,42712,39652,46256,8204,13484,1537804,472180,76328,3576,433800,209944,3848,572,3688,1580,1860,4108,2496,1968,1608,532,1796,3796,2000,2424,1848,388,5628,36,10124,3168,2184,5352,88684,8168,134196,6672,31852,70224,33596,3832,134196,736,104,3100,3304,732,16,0,0,3256,4352,7608,1128.0,244.0,868.0,306.4,62.4,36,780.0,2844.0,4712.0,988.0,35410.8,1368.0,58514.8,2892.0,156.0,0.0,0.0
AZ Alkmaar,352,Europa League,580,268,4192,1504,610.4,570.4,52,52,7096,1008,3068,10296,2748,328,5020,341.2,390.4,124936,155844,13284,644,380,3796,668,143036,12140,3252,59432,67124,54972,64344,7480,15060,2052908,645192,105704,6204,546800,287380,4612,2448,6244,2832,2900,6292,3520,2916,2696,680,3460,7100,3640,3504,4756,1276,8844,104,15232,5436,2672,8108,125600,13232,196568,11712,55208,92016,52000,7616,196516,924,144,5256,3400,776,108,52,0,3004,4764,7768,1516.0,564.0,916.0,507.6,-56.4,52,1384.0,4988.0,8824.0,1328.0,47078.0,2056.0,108676.8,4912.0,492.0,232.0,3909.6
Ajax,352,Europa League,656,336,4492,1964,630.8,560.4,88,88,7648,1008,3172,9696,2624,456,5164,410.4,362.0,142928,171488,12376,904,740,2560,480,157624,13384,4428,72388,81052,55744,63944,9836,16520,2277628,709156,122900,5920,618864,295940,4688,1772,5844,2452,3040,6680,4004,3068,2384,1228,3152,5572,2420,3964,3932,1224,8796,212,15816,5064,2936,8000,142636,12272,212536,15496,64332,102796,47568,7692,212448,900,88,4892,4768,532,16,72,0,4896,4500,9396,1584.0,416.0,1168.0,502.0,78.0,124,1780.0,5004.0,12540.0,1396.0,41334.4,1280.0,53213.6,5232.0,460.0,224.0,4473.6
Alavés,760,La Liga,760,400,7860,2460,836.0,660.0,180,220,13560,1220,5660,18300,4560,1980,15960,450.0,492.0,197900,271320,23180,880,1980,7300,1460,240340,29520,7120,89960,108920,85100,107060,18180,38080,3448580,1210100,170780,8980,839680,408480,6920,1800,9540,3680,4900,14680,9140,6860,6140,1680,6900,14440,7540,6180,7620,1920,17860,180,29500,11960,6140,18100,200000,22960,355880,18500,91060,172120,96180,13820,355660,1980,120,12360,9320,1540,140,160,20,12680,13860,26540,2640.0,960.0,1720.0,918.0,-58.0,180,7220.0,17540.0,17740.0,1640.0,75194.0,5780.0,355642.0,11040.0,720.0,620.0,11388.0
Anderlecht,320,Europa League,536,376,3868,1316,368.4,343.2,36,36,6936,860,2860,10996,2472,544,6568,236.0,226.8,128748,157252,13224,284,824,3236,504,143136,13612,4316,61052,69476,54376,63000,9668,16160,2133540,648388,105108,5972,516404,259044,3188,1768,5492,2328,2660,5992,3804,2432,2648,912,2332,3860,1528,2908,3176,912,7224,88,13848,4688,3488,8176,128576,13208,192492,11168,49796,90372,54360,7364,192456,536,72,3296,4328,556,72,36,72,3916,4428,8344,1332.0,512.0,856.0,394.4,-117.6,36,1632.0,5244.0,13564.0,1260.0,41985.6,1348.0,51790.8,4808.0,232.0,412.0,8378.0
Angers,612,Ligue 1,558,306,5598,1638,640.8,554.4,90,108,9756,990,3870,13788,3600,1134,10350,349.2,397.8,186552,234180,17154,954,1224,4608,1206,212418,20556,5796,87732,99504,80190,94986,13932,26550,3140694,1059696,158886,9036,868716,442836,6570,1764,10998,4446,5958,11232,7056,6120,3636,1476,5292,10890,5598,6030,6570,2088,15786,324,24804,8874,5346,14220,191034,16974,301932,20430,98190,139068,68634,9216,301824,810,36,6822,6966,1242,72,108,0,5904,7650,13554,3420.0,954.0,2466.0,1180.8,226.8,126,2628.0,8028.0,13914.0,3312.0,117054.0,4896.0,209916.0,9918.0,882.0,396.0,6066.0
Arsenal,1104,"Champions League, Premier League",2068,1544,15272,5344,1905.2,1756.0,112,192,27056,3628,12016,39132,11912,2284,21108,1376.4,1356.0,460832,540844,50312,2424,1908,8296,2080,502200,36564,9004,239272,261864,189720,214404,23144,40824,7291784,2020276,370708,23208,1972076,1037532,15380,8256,21220,9556,9420,17448,10108,6516,7232,3700,7388,14424,7036,6920,9972,2840,18256,740,40184,13460,10524,23984,461128,49756,648540,28004,135616,298388,219952,35768,648348,1872,180,11760,10804,2160,132,120,0,13284,12900,26184,3284.0,856.0,2388.0,965.2,109.2,448,4508.0,13936.0,35032.0,4904.0,148646.0,4356.0,203730.0,11480.0,1400.0,1904.0,38518.8
Astana FK,216,Europa Conference League,144,108,1836,612,154.8,154.8,0,0,3168,216,1620,3780,1080,396,2448,82.8,126.0,66312,82152,4860,72,540,1584,576,75492,6084,1692,29412,32976,28620,32904,6588,11196,1158300,335088,57600,2556,277668,142812,2232,396,3348,1296,1908,3636,2016,1980,1332,324,1152,3204,2052,1728,2556,1044,5868,108,8676,3312,1656,4968,67428,4788,106884,9936,40068,49284,18576,2016,106884,396,72,2160,1944,648,36,0,0,1872,3060,4932,1692.0,288.0,1404.0,471.6,183.6,36,936.0,3996.0,5868.0,1260.0,41882.4,2628.0,133621.2,4248.0,144.0,216.0,4359.6
Aston Villa,1096,"Champions League, Premier League",1700,1376,13960,4836,1647.6,1507.6,76,172,24724,2936,10488,31592,9180,1676,16096,994.8,1228.8,394948,473204,38640,2464,1392,9992,1360,432260,39584,13652,190708,211820,175236,199112,21880,39756,6464120,2037076,329960,19400,1859592,944560,12988,5936,20380,9336,8764,17276,9924,7800,6728,2748,8536,15864,7328,7352,9712,3144,20176,960,40960,14496,11544,26040,395800,38444,581308,39224,163140,271792,152652,27192,581136,2048,100,11524,13596,1572,96,172,0,10948,11208,22156,4724.0,1292.0,3412.0,1462.8,156.8,340,5180.0,13012.0,38016.0,3764.0,113960.4,5024.0,240130.4,14072.0,1648.0,932.0,18116.4
