Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
AC Omonia,248,Europa Conference League,40.48,8.33,14.29,36.01,50.6,54.46,33.93,19.94,11.9,22.32,9.52,76.19,77.98,66.96,72.62,20.83,30.06,76.79,77.98,86.9,97.62,74.4,27.98,15.18,77.38,83.93,72.62,64.88,67.26,86.31,86.9,54.46,59.52,77.38,80.95,66.07,50.6,81.55,67.86,20.83,21.13,89.29,88.1,97.02,43.75,39.88,78.57,6.55,51.19,36.31,24.11,76.79,81.55,56.55,86.9,79.76,85.12,74.11,11.61,48.21,18.45,78.57,87.5,81.55,84.52,88.69,80.36,54.17,27.38,81.55,86.9,90.18,74.7,70.83,22.32,78.27,33.33,77.98,55.36,27.98,66.07,39.58,75.3,45.24,40.77,90.18,68.15,55.06,36.61,0.6,10.12,4.76,97.02,94.05,27.68,47.02,2.68,2.98
APOEL,248,Europa Conference League,49.11,4.76,56.85,25.89,30.06,39.29,11.01,5.95,57.74,46.73,47.62,49.7,14.29,32.74,82.74,35.42,37.2,50.0,48.81,41.67,6.55,33.93,38.99,0.6,47.62,82.74,83.33,45.24,40.48,58.63,62.5,79.17,72.62,56.55,50.6,55.36,32.74,69.64,63.1,90.48,5.36,18.45,22.02,30.95,43.75,44.64,44.64,47.02,42.26,20.24,36.9,40.48,72.62,0.6,1.19,42.86,95.83,49.4,87.5,49.7,79.17,50.6,41.37,43.45,12.5,4.76,70.83,51.19,14.29,43.45,2.98,2.68,30.95,90.18,1.19,78.27,9.23,77.98,58.04,11.9,81.55,51.79,91.96,75.6,75.89,87.8,21.13,22.32,38.1,3.57,45.24,66.67,48.21,52.38,78.57,28.87,0.89,0.89
AZ Alkmaar,352,Europa League,74.4,45.54,46.73,58.04,83.04,86.31,77.38,55.65,41.96,74.7,47.02,60.42,57.74,5.95,22.62,68.45,72.02,49.4,51.79,60.12,75.0,3.57,7.14,22.02,52.98,23.81,29.17,57.74,56.55,54.17,58.33,7.74,11.31,44.05,41.67,51.19,67.26,51.79,58.33,67.86,93.45,64.88,67.86,55.06,67.26,42.86,57.14,81.55,25.89,90.48,95.24,6.25,75.6,91.67,60.42,62.8,83.93,70.83,27.68,84.23,51.49,50.0,60.71,54.17,35.12,44.05,53.57,71.43,56.55,54.17,9.82,4.17,5.36,21.43,14.88,6.25,75.6,77.98,5.95,43.75,20.83,41.96,31.25,24.7,47.92,24.11,21.13,39.29,63.39,23.81,32.14,53.57,54.46,73.21,48.21,94.64,26.79,25.6
Ajax,352,Europa League,86.9,60.12,61.61,89.29,86.61,84.52,94.94,87.8,55.95,74.7,52.38,49.7,52.98,16.67,26.79,83.33,63.69,78.57,76.19,48.21,94.64,36.9,88.69,73.81,76.79,57.74,89.88,85.12,85.71,56.55,54.76,48.81,27.38,64.88,61.9,76.19,61.31,71.43,60.71,70.24,69.94,45.83,36.61,66.07,80.36,78.27,69.64,57.74,94.64,70.24,48.81,74.4,94.05,47.62,52.98,61.31,38.99,80.95,50.89,63.1,56.25,76.79,48.21,79.17,89.29,86.31,78.57,49.4,57.74,79.17,12.5,15.48,11.31,94.35,65.48,83.93,88.1,77.98,67.26,52.38,60.71,49.4,80.95,66.37,50.6,84.23,83.93,66.37,64.29,86.9,44.35,36.9,10.12,14.29,33.93,91.96,23.81,28.57
Alavés,760,La Liga,26.79,21.73,26.79,23.81,28.27,20.83,93.15,93.15,23.21,24.7,21.43,26.19,27.68,83.93,90.48,23.51,20.24,6.55,11.31,23.51,45.24,58.33,26.49,20.54,8.93,69.64,32.74,7.14,10.71,10.12,12.5,19.05,45.24,8.33,13.1,6.55,10.42,5.95,8.33,17.56,7.14,4.76,2.38,8.93,84.82,89.88,75.6,90.48,48.51,77.98,89.88,8.93,30.95,21.43,15.77,50.3,91.07,27.98,20.24,66.96,36.9,6.55,24.4,9.52,5.95,2.38,23.21,41.07,30.65,9.52,11.31,33.33,0.6,80.36,20.24,28.27,88.99,47.92,89.29,10.12,91.07,11.01,70.54,9.52,78.87,38.39,48.21,99.4,97.62,16.07,2.98,12.5,86.9,97.02,41.07,68.75,36.01,37.5
Anderlecht,320,Europa League,77.08,80.36,47.62,49.4,35.42,37.5,50.89,32.14,54.17,67.26,50.6,80.06,55.95,30.95,87.5,39.58,25.89,77.38,79.76,73.81,22.32,57.74,16.07,51.19,75.0,98.21,95.83,75.6,79.76,67.86,70.24,66.07,47.32,71.43,63.1,66.67,75.89,56.55,57.14,27.38,79.76,58.93,43.45,58.04,78.57,86.9,35.12,91.67,80.36,22.02,2.98,99.4,54.76,20.24,26.79,41.67,86.61,71.43,44.05,4.76,17.26,74.4,74.4,76.79,47.62,41.67,69.64,87.5,64.88,76.79,80.36,22.62,83.93,92.86,44.94,17.86,54.17,1.19,41.67,40.18,55.36,34.23,31.25,31.25,76.79,6.85,11.31,67.86,78.57,98.81,40.77,49.4,17.26,20.83,32.74,38.69,72.92,77.98
Angers,612,Ligue 1,19.64,18.45,10.12,8.93,25.0,23.81,77.38,75.6,10.12,25.89,6.25,18.75,23.81,42.26,47.02,20.83,20.24,26.19,25.0,14.88,67.86,30.65,82.14,17.26,23.81,16.67,35.42,35.12,31.55,24.4,21.43,12.5,14.88,20.83,25.6,23.21,36.01,29.17,39.29,41.37,18.45,69.05,42.56,90.48,75.0,80.95,89.58,29.46,58.33,61.31,77.68,17.86,73.81,39.58,50.6,69.94,45.83,47.02,47.92,52.08,47.62,28.57,14.88,22.62,36.61,51.19,24.4,19.64,12.5,22.62,95.83,69.05,61.31,60.71,20.24,52.38,86.01,77.98,14.88,56.55,21.43,82.74,33.93,90.18,16.96,94.94,39.88,50.0,51.19,11.9,94.05,97.02,89.88,83.33,15.48,95.24,25.3,20.83
Arsenal,1104,"Champions League, Premier League",87.5,92.86,77.98,76.19,83.04,84.52,46.73,69.94,77.98,89.88,83.33,85.71,91.67,55.36,78.57,89.29,84.82,82.74,77.38,88.69,86.9,20.83,82.74,23.81,82.14,14.88,11.9,89.88,89.29,70.24,66.07,6.55,1.19,70.24,41.07,69.64,89.88,74.4,79.17,75.6,95.83,82.74,79.76,63.1,25.6,19.64,5.95,49.11,93.45,9.52,9.52,84.52,2.98,9.23,17.26,7.14,27.38,7.74,91.67,29.17,76.19,80.95,88.69,70.24,7.74,3.57,58.93,95.83,96.43,70.24,79.46,33.33,72.02,22.62,24.7,52.38,54.17,77.98,38.69,70.24,32.74,2.98,97.62,6.25,97.62,69.35,91.37,45.54,47.92,64.29,68.45,54.76,13.69,28.57,89.29,90.48,90.48,90.48
Astana FK,216,Europa Conference League,7.44,18.45,4.76,13.1,2.98,5.65,11.01,5.95,4.17,5.06,22.92,3.57,7.44,39.58,5.95,2.38,10.71,27.08,22.62,3.57,2.38,56.25,88.1,1.79,26.79,1.19,7.14,27.38,20.83,26.19,19.05,66.67,56.55,28.57,9.52,26.79,11.31,16.07,23.81,35.71,2.38,28.57,11.61,71.73,47.32,23.21,77.98,35.71,12.8,0.6,25.6,12.2,25.89,66.67,92.26,78.57,53.57,42.26,32.14,80.36,52.68,29.17,3.57,23.81,94.05,89.88,25.6,4.17,1.19,23.81,69.94,7.14,88.99,10.42,0.6,32.44,9.23,77.98,6.55,36.01,23.21,98.21,64.29,100.0,9.82,100.0,27.68,50.6,91.96,38.69,98.81,98.21,100.0,100.0,1.79,34.23,52.38,59.52
Aston Villa,1096,"Champions League, Premier League",66.07,85.42,60.42,66.67,66.37,64.58,36.01,63.69,61.61,66.07,61.31,58.04,64.88,22.62,27.38,60.42,72.62,54.17,44.64,49.11,89.29,6.55,38.1,84.82,47.02,35.71,88.69,61.31,58.93,58.63,55.36,2.38,0.6,48.21,46.43,51.79,67.86,62.5,65.48,55.95,77.38,75.6,79.17,47.92,23.51,15.48,22.62,35.12,67.26,34.52,23.21,78.57,4.17,4.76,27.38,13.69,7.44,14.58,77.98,7.14,37.5,52.38,50.6,38.1,55.95,25.6,42.26,57.14,73.81,38.1,65.18,60.71,76.79,81.55,78.87,68.75,80.36,77.98,16.07,86.31,11.31,41.96,80.95,52.68,66.96,75.3,73.51,58.93,42.26,82.14,20.24,17.86,26.79,44.64,63.1,96.73,37.8,42.86
