Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aapo Halme,fi FIN,DF,fi HJK,25,1998,3,3,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47,49.92,15.62,16.64,22.42,22.75,5.43,9.85,0.0,0.0,0.0,2.72,0.0,0.0,3.06,0.0,0.0,1.36,0.34,0.34,0.0,1.02,1.36,1.7,0.34,2.04,1.02,5.43,0.0,60.79,15.28,36.0,22.08,2.72,1.02,60.79,0.0,0.0,32.26,0.0,0.0,0.34,0.0,43.47,0.0,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,2.38,1.7,1.02,2.72,0.34,3.06,0.0,1.02,1.7,0.0,62.5,87.08,93.87,98.55,55.13,55.56,0.0
Aaron Cresswell,eng ENG,MF,West Ham,33,1989,17,9,852,0.11,0.01,0.11,0.11,0.0,0.0,2.11,0.21,51.23,61.58,27.15,29.26,18.7,21.76,4.33,8.45,0.0,0.07,0.74,3.59,0.63,0.11,4.86,1.06,2.22,0.74,0.53,0.32,0.32,0.11,0.42,0.63,0.21,0.74,0.53,1.8,0.11,66.97,3.17,22.39,30.53,14.15,0.42,66.97,0.21,0.0,37.61,1.27,0.0,0.11,0.42,44.37,0.21,0.0,0.0,0.42,0.32,0.11,0.0,0.0,0.0,2.96,1.27,0.95,2.22,0.53,8.13,2.32,1.16,0.95,10.0,57.21,83.19,92.79,85.94,51.24,69.34,0.0
Aaron Hickey,sct SCO,DF,Brentford,21,2002,9,9,713,0.0,0.03,0.88,0.13,0.0,0.0,0.88,0.0,30.67,34.96,16.91,17.67,11.61,13.38,1.77,2.52,0.0,0.01,0.13,1.26,0.25,0.0,2.65,1.14,1.64,2.02,1.14,1.14,0.38,0.5,0.88,0.88,0.0,0.88,0.38,1.26,0.0,44.94,3.16,16.66,19.57,9.59,0.88,44.94,1.77,0.63,26.76,0.38,0.13,1.77,0.63,28.4,0.63,0.0,0.0,1.26,2.02,0.0,0.0,0.0,0.0,5.3,0.13,1.14,1.26,2.4,5.43,0.88,1.26,2.02,-1.0,10.32,87.73,95.7,86.77,70.24,69.66,35.59
Aaron Malouda,fr FRA,FW,fr Lille,17,2005,2,0,27,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,40.0,43.33,20.0,23.33,13.33,13.33,6.67,6.67,0.0,0.0,0.0,6.67,3.33,0.0,10.0,3.33,13.33,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.67,0.0,6.67,10.0,40.0,6.67,56.67,6.67,6.67,53.33,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,10.0,26.67,3.33,10.0,0.0,0.0,0.0,92.31,85.73,100.0,100.0,0.0,100.0
Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1998,7,7,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29,32.29,7.29,7.29,11.0,11.14,5.0,13.57,0.0,0.0,0.0,0.86,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.29,34.0,24.29,32.29,1.71,0.0,0.0,34.0,0.0,0.0,22.57,0.0,0.0,0.14,0.0,18.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0.0,0.0,72.13,100.0,98.74,36.85,0.0,0.0
Aaron Ramsey,eng ENG,MO,Burnley,20,2003,14,5,527,0.0,0.05,1.02,0.34,0.0,0.0,0.85,0.0,20.15,25.79,12.13,14.35,6.32,7.86,1.54,1.71,0.0,0.09,0.17,1.2,0.34,0.0,1.37,1.37,2.9,2.9,2.39,1.2,0.85,0.85,1.37,2.73,1.37,1.88,0.17,1.71,0.0,38.94,2.56,10.76,17.42,11.1,1.54,38.94,1.71,0.51,19.98,0.85,0.68,1.88,1.71,24.25,0.17,0.0,0.0,1.2,0.51,0.17,0.0,0.17,0.0,4.1,0.68,0.85,1.54,3.59,5.64,0.85,2.56,3.76,-1.0,44.16,78.13,84.53,80.41,90.06,66.79,29.82
Aaron Seydel,de GER,FW,Darmstadt 98,27,1996,16,5,619,0.15,0.15,2.04,0.87,0.0,0.0,1.89,0.15,15.99,27.63,9.6,14.39,4.8,9.45,0.58,0.87,0.0,0.09,1.31,1.31,0.15,0.0,1.45,1.02,5.09,0.44,0.29,0.0,0.29,0.15,0.0,0.44,0.44,1.16,0.15,1.31,0.0,41.15,1.89,2.91,19.77,18.61,4.51,41.15,1.6,0.44,17.88,0.44,0.44,3.78,1.74,31.11,0.15,0.0,0.0,1.31,1.02,0.29,0.0,0.0,0.0,2.04,6.54,4.51,11.05,5.53,7.56,2.04,5.09,0.29,0.0,59.19,57.87,66.71,50.79,66.67,32.95,27.5
Aaron Wan-Bissaka,eng ENG,DF,eng Manchester Utd,25,1997,25,22,1992,0.0,0.0,0.14,0.05,0.0,0.0,1.31,0.23,41.84,49.74,27.24,30.23,12.15,14.19,1.04,2.08,0.14,0.07,0.63,2.48,0.77,0.14,3.93,1.49,2.62,2.21,1.36,0.95,1.08,0.18,0.9,1.22,0.32,1.36,2.3,3.48,0.05,62.12,4.47,21.82,27.2,13.87,1.22,62.12,1.67,0.86,30.23,1.36,0.27,1.17,0.5,34.74,0.23,0.0,0.0,0.9,0.5,0.0,0.0,0.05,0.0,4.88,0.99,0.9,1.9,1.67,8.04,1.54,2.39,2.26,0.0,52.11,84.12,90.11,85.62,50.0,65.89,51.5
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65,50.59,8.82,8.82,17.06,17.06,10.59,22.94,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,51.76,40.59,51.18,0.59,0.0,0.0,51.76,0.0,0.0,24.71,0.0,0.0,0.0,0.0,25.88,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.42,100.0,100.0,46.16,0.0,0.0
Aarón Martín,es ESP,DF,Genoa,26,1997,22,17,1376,0.0,0.01,0.33,0.0,0.0,0.0,2.16,0.13,28.19,40.49,12.75,14.13,11.05,14.85,3.53,8.37,0.07,0.11,1.7,1.7,1.05,0.72,2.29,1.83,4.71,1.37,0.65,0.46,0.65,0.26,0.59,1.44,0.85,0.78,0.59,0.98,0.0,45.98,1.7,10.86,18.84,16.68,0.65,45.98,0.78,0.39,24.0,1.37,0.2,0.78,0.26,28.26,0.26,0.07,0.07,1.5,1.11,0.13,0.0,0.0,0.0,3.14,0.52,0.72,1.24,1.05,8.83,2.29,2.62,1.24,-1.0,41.94,69.62,90.23,74.41,42.17,44.13,50.0
