Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,7,7,630,0.86,2.71,1.86,0.29,0.0,0.0,0.0,0.0,0.7,3.14,11.14,28.43,4.71,3.86,8.43,1.14,1.29,0.0,-0.23,68.63,28.19,13.52
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,1.76,2.35,0.59,0.0,0.0,0.0,0.0,0.0,1.47,5.29,15.29,42.94,5.88,7.06,14.12,0.59,2.35,0.0,-0.2,25.11,34.6,4.18
Aitor Fernández,es ESP,GK,Osasuna,32,1991,7,6,551,1.47,3.27,1.8,0.16,0.16,0.16,0.0,0.0,1.0,7.68,18.46,28.42,3.1,3.59,11.27,0.16,2.45,0.0,-0.47,55.05,41.6,1.42
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,1.73,4.2,2.47,0.13,0.27,0.2,0.07,0.0,1.33,3.73,12.2,29.33,3.8,4.07,13.53,1.27,1.4,0.07,-0.3,58.81,30.57,9.39
Alban Lafont,fr FRA,GK,Nantes,24,1999,28,28,2496,1.55,4.25,2.7,0.25,0.29,0.29,0.0,0.0,1.53,4.44,13.99,30.25,5.23,5.99,13.88,1.19,1.19,0.0,-0.01,63.53,31.74,8.57
Alberto Brignoli,it ITA,GK,gr Panathinaikos,31,1991,5,5,450,1.6,5.0,3.4,0.4,0.2,0.2,0.0,0.0,1.82,3.6,11.8,28.4,3.8,2.4,10.2,1.0,1.2,0.0,0.12,68.0,30.51,9.8
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,2.63,5.26,2.63,0.0,0.66,0.66,0.0,0.0,2.36,2.96,9.2,24.8,4.76,6.9,10.18,0.49,0.49,0.0,-0.11,50.0,32.17,4.81
Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,2.33,4.67,2.67,0.0,0.33,0.33,0.0,0.0,1.7,5.67,15.0,26.0,3.67,7.33,12.33,1.0,2.67,0.0,-0.37,57.17,37.8,8.11
Alex Meret,it ITA,GK,it Napoli,26,1997,39,39,3493,1.37,3.84,2.45,0.18,0.1,0.05,0.05,0.0,1.26,2.01,5.67,25.07,4.07,5.2,11.77,0.31,0.98,0.05,-0.09,63.8,35.45,2.63
Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3,3,270,3.33,5.67,2.33,0.0,0.0,0.0,0.0,0.0,2.1,11.0,24.0,43.0,4.33,7.0,17.0,1.0,3.0,0.0,-0.59,41.09,45.83,5.88
Alexander Meyer,de GER,GK,de Dortmund,32,1991,9,8,785,1.15,3.55,2.52,0.34,0.11,0.11,0.0,0.0,1.04,3.78,10.78,43.11,3.9,4.47,14.56,1.15,0.8,0.0,-0.11,70.99,35.06,7.9
