Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,7,7,630,87,6,10,70,17,19,38,44,6,25,37,48,63,9,7,80,68,35,23,56,20,96
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,34,4,4,15,17,19,38,44,55,68,65,94,87,60,59,38,92,35,26,3,46,33
Aitor Fernández,es ESP,GK,Osasuna,32,1991,7,6,551,53,13,9,40,58,67,38,44,18,89,81,48,16,8,26,14,93,35,9,14,81,14
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,36,40,28,38,80,76,92,44,43,37,44,53,37,12,52,85,74,87,16,20,26,85
Alban Lafont,fr FRA,GK,Nantes,24,1999,28,28,2496,49,42,39,63,82,87,38,44,60,51,55,61,78,41,54,82,62,35,59,34,31,79
Alberto Brignoli,it ITA,GK,gr Panathinaikos,31,1991,5,5,450,46,64,67,84,68,76,38,44,75,35,42,47,37,3,16,70,63,35,80,52,26,87
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,10,70,34,15,95,96,38,44,91,21,20,25,64,57,16,30,21,35,39,9,33,43
Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,15,57,36,15,87,89,38,44,70,75,62,34,30,64,38,70,94,35,12,17,65,75
Alex Meret,it ITA,GK,it Napoli,26,1997,39,39,3493,58,26,27,47,44,43,89,44,38,10,5,28,44,25,31,19,49,82,44,36,50,20
Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3,3,270,5,77,23,15,17,19,38,44,86,97,93,95,50,59,85,70,96,35,6,5,91,53
Alexander Meyer,de GER,GK,de Dortmund,32,1991,9,8,785,73,19,31,80,46,53,38,44,22,39,34,95,39,16,65,80,40,35,39,68,48,72
Alexander Nübel,de GER,GK,Stuttgart,26,1996,30,30,2700,68,20,28,82,44,51,38,44,21,49,25,86,52,9,27,70,87,35,31,59,86,81
Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6,6,540,60,74,86,78,87,89,38,44,65,71,57,77,21,69,63,33,61,35,85,84,67,26
Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1,1,90,23,82,84,15,17,19,38,44,32,44,28,45,42,75,45,6,6,35,5,46,73,6
Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,2987,38,75,80,47,63,73,38,44,62,80,85,7,35,83,86,91,32,35,44,60,30,75
Alexandros Paschalakis,gr GRE,GK,gr Olympiacos,34,1989,9,9,810,23,40,18,54,46,53,38,44,60,35,62,5,17,75,21,78,71,35,16,12,11,89
Aleš Mandous,cz CZE,GK,cz Slavia Prague,31,1992,6,6,540,93,5,13,95,17,19,38,44,7,34,7,77,97,20,3,44,83,35,82,82,99,92
Alisson,br BRA,GK,Liverpool,30,1992,30,30,2700,81,23,41,78,35,40,38,44,16,14,10,88,75,13,20,33,66,35,57,80,45,41
Alphonse Areola,fr FRA,GK,West Ham,30,1993,32,32,2789,33,86,89,38,74,67,91,44,71,67,56,7,66,65,74,58,15,85,52,74,62,51
Amir Saipi,xk KVX,GK,ch Lugano,23,2000,6,6,540,15,77,63,43,87,70,38,99,82,34,23,79,30,33,30,33,93,96,28,19,59,35
Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,12,12,1110,61,55,63,40,85,67,38,98,70,33,24,19,55,72,58,30,36,95,90,72,56,27
Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,28,52,35,32,82,76,83,95,56,60,67,46,45,63,76,43,30,90,15,19,32,34
Andreas Hansen,dk DEN,GK,dk Nordsjælland,27,1995,5,5,450,68,59,74,50,68,76,38,44,36,6,1,80,81,88,25,25,63,35,68,83,32,27
Andreas Luthe,de GER,GK,Bochum,36,1987,1,1,90,2,33,5,15,17,19,38,44,95,99,98,93,6,59,45,6,6,35,8,3,93,6
Andrey Lunyov,ru RUS,GK,az Qarabağ,31,1991,10,10,924,35,77,82,49,65,74,38,44,65,76,83,54,27,84,84,81,16,35,45,66,27,64
Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,29,29,2640,85,25,42,86,44,47,83,44,28,12,7,31,58,37,44,85,46,75,86,82,56,86
André Ferreira,pt POR,GK,Granada,27,1996,15,14,1340,26,69,62,15,68,76,38,44,77,59,45,36,88,64,47,25,44,35,52,35,70,23
André Onana,cm CMR,GK,Manchester Utd,27,1996,44,44,3960,41,72,77,58,78,76,78,88,67,50,54,80,35,12,74,70,46,82,59,61,28,60
Anthony Lopes,pt POR,GK,Lyon,32,1990,31,31,2790,47,64,68,70,65,59,83,91,50,49,41,41,74,48,60,81,46,85,36,54,56,76
Anthony Moris,lu LUX,GK,be Union SG,33,1990,8,8,720,51,27,24,35,91,92,38,44,70,65,52,55,29,29,18,49,89,35,80,26,66,66
Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5,5,450,17,95,96,50,91,93,38,44,96,79,71,81,71,45,49,16,40,35,86,79,68,15
Anton Ari Einarsson,is ISL,GK,is Breiðablik,28,1994,6,6,540,6,79,50,15,61,70,38,44,74,40,23,82,98,69,37,22,61,35,5,11,76,21
Anton Zhylkin,ua UKR,GK,ua Zorya Luhansk,20,2003,1,0,1,97,0,2,100,17,19,38,44,0,1,99,0,1,100,0,6,6,35,0,0,1,0
Antonio Adán,es ESP,GK,pt Sporting CP,36,1987,6,6,540,71,12,13,15,61,70,38,44,15,36,30,64,18,42,6,33,61,35,25,33,51,57
Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,49,36,31,15,17,19,38,44,62,16,11,16,9,12,7,35,25,35,68,30,53,54
Antonio Sivera,es ESP,GK,Alavés,26,1996,34,34,3060,75,21,32,70,75,83,38,44,28,92,86,20,23,82,68,47,43,35,65,66,71,45
Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,46,94,96,15,68,51,95,44,88,89,90,98,81,6,62,98,97,91,91,90,49,97
Arnau Tenas,es ESP,GK,Paris S-G,22,2001,6,5,529,69,42,53,43,17,19,38,44,20,13,15,55,19,47,36,23,43,35,31,73,25,22
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,61,55,64,51,42,40,83,91,51,57,54,9,45,55,61,65,36,85,74,75,44,62
Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,42,66,68,47,17,19,38,44,43,88,87,72,59,62,81,89,56,35,23,50,53,77
Bart Verbruggen,nl NED,GK,Brighton,20,2002,24,24,2160,71,39,50,70,49,56,38,44,25,18,9,86,83,7,28,56,73,35,47,72,69,66
Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30,30,2700,66,53,67,78,61,59,83,44,35,62,59,36,58,64,78,65,20,75,62,81,45,56
Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,16,67,47,32,74,81,38,44,75,70,77,26,25,75,81,14,76,35,23,18,29,12
Bernd Leno,de GER,GK,Fulham,31,1992,38,38,3420,44,64,72,66,71,79,38,44,55,39,39,84,52,27,39,33,55,35,42,63,35,32
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7,7,630,39,27,21,70,54,19,38,98,52,76,49,11,54,88,57,57,27,94,28,21,90,55
Brice Samba,fr FRA,GK,fr Lens,29,1994,41,41,3720,69,45,58,81,75,74,78,88,46,65,39,51,57,23,39,75,57,82,80,77,88,77
Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,18,18,1620,63,29,42,43,17,19,38,44,34,28,30,93,87,6,9,47,71,35,50,65,31,75
Carljohan Eriksson,fi FIN,GK,dk Nordsjælland,28,1995,1,1,90,81,33,50,15,17,19,38,44,6,3,2,51,71,42,71,98,6,35,10,83,7,95
Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1,0,45,97,82,96,98,17,19,38,44,18,44,28,93,6,0,98,6,6,35,98,98,73,6
Christos Mandas,gr GRE,GK,Lazio,21,2001,9,8,721,91,21,46,91,17,19,38,44,12,57,57,58,29,8,39,49,29,35,83,90,38,55
Cican Stankovic,at AUT,GK,gr AEK Athens,30,1992,4,4,326,57,70,80,15,98,99,38,44,86,67,40,65,53,77,17,6,92,35,93,79,90,6
Claudio Bravo,cl CHI,GK,Betis,40,1983,9,9,810,89,13,32,54,17,19,38,44,14,73,42,23,38,71,55,52,57,35,83,90,92,51
Cristian,es ESP,GK,Valencia,25,1998,1,0,57,47,58,57,15,17,19,38,44,8,26,15,20,91,19,92,6,6,35,2,46,75,6
Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,81,1,2,15,17,19,38,44,13,10,62,83,71,10,1,6,89,35,39,1,3,6
Daniel Batz,de GER,GK,Mainz 05,32,1991,4,4,360,91,42,72,63,17,19,38,44,3,53,58,71,26,26,12,70,23,35,22,94,28,90
Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,43,19,11,58,17,19,38,44,47,24,50,37,7,70,31,6,35,35,25,13,10,6
Daniel Fuzato,br BRA,GK,Getafe,26,1997,1,0,7,0,99,2,15,17,19,38,44,99,99,99,99,99,99,99,99,6,35,7,1,21,98
Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1,0,17,97,0,2,98,17,19,38,44,0,1,89,99,100,93,20,6,6,35,0,0,1,6
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1,0,5,97,0,2,99,17,19,38,44,0,1,98,83,1,97,99,99,6,35,0,0,1,99
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,36,1987,3,3,270,95,3,6,95,95,89,99,44,21,56,24,42,71,28,34,99,83,98,96,43,95,99
David Gil,es ESP,GK,Cádiz,29,1994,5,4,372,28,79,85,60,17,19,38,44,39,97,96,29,5,94,97,95,6,35,7,67,78,69
David Raya,es ESP,GK,Arsenal,27,1995,41,41,3720,91,4,7,89,44,47,78,44,4,50,39,58,68,5,15,87,80,72,31,43,64,95
David Soria,es ESP,GK,Getafe,30,1993,38,38,3413,58,51,56,66,63,59,83,91,51,93,92,32,19,78,36,28,82,82,70,58,61,29
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,3,3,270,23,57,36,15,95,89,99,44,87,85,73,77,92,10,8,70,17,98,72,17,85,93
Davy Roef,be BEL,GK,be Gent,29,1994,7,6,561,75,56,65,76,58,19,97,44,26,48,14,25,97,36,8,79,21,95,59,75,98,94
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,40,58,58,54,38,45,38,44,59,29,53,6,12,37,52,18,47,35,42,43,12,18
Denis Petrić,rs SRB,GK,Nantes,35,1988,1,0,24,2,25,2,15,17,19,38,44,27,38,13,37,95,0,71,6,6,35,0,1,97,6
Denis Pintol,si SVN,GK,si Olimpija,23,2000,4,4,360,51,25,19,63,17,19,38,44,32,5,4,4,89,70,28,70,23,35,22,23,9,80
Diant Ramaj,de GER,GK,nl Ajax,21,2001,8,8,750,29,66,56,35,75,83,38,44,72,50,53,94,11,66,29,56,63,35,39,29,32,67
Diego Mariño,es ESP,GK,Almería,33,1990,1,1,90,23,33,13,15,99,99,38,44,86,3,2,28,89,2,3,6,89,35,71,9,7,6
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4,4,360,9,95,96,15,17,19,38,44,95,53,65,54,93,35,57,49,6,35,59,50,24,48
Diogo Costa,pt POR,GK,pt Porto,23,1999,8,8,750,76,15,25,60,17,19,38,44,7,56,56,89,54,46,18,64,84,35,7,70,37,83
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,1999,8,8,720,19,82,81,63,49,19,38,97,68,36,21,49,46,35,84,90,77,93,19,39,68,76
Dominik Greif,sk SVK,GK,Mallorca,26,1997,1,1,90,97,33,84,97,17,19,38,44,6,96,79,15,15,85,34,6,51,35,98,98,98,6
Dominik Hładun,pl POL,GK,pl Legia Warsaw,27,1995,2,2,180,94,8,30,91,17,19,38,44,18,62,62,28,6,16,12,6,89,35,96,94,39,6
Dominik Kotarski,hr CRO,GK,gr PAOK,23,2000,10,10,900,46,46,39,15,84,76,95,44,61,22,37,61,15,17,23,19,63,91,57,26,17,21
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,28,1995,6,6,570,30,53,37,76,17,19,38,44,54,11,31,29,74,34,18,64,66,35,16,19,7,83
Dominik Takáč,sk SVK,GK,sk Spartak Trnava,24,1999,6,6,540,12,91,91,15,93,70,98,99,96,53,80,0,4,89,71,22,14,98,82,38,12,19
Dénes Dibusz,hu HUN,GK,hu Ferencváros,32,1990,8,8,720,81,42,61,35,49,56,38,44,16,58,46,53,76,51,54,41,37,35,57,86,61,38
Ederson,br BRA,GK,Manchester City,29,1993,40,40,3445,87,5,8,70,40,48,38,44,11,34,12,78,51,7,5,50,76,35,59,44,95,88
Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,71,54,66,54,72,70,88,44,32,64,64,49,88,57,85,89,44,79,68,78,40,73
Emil Audero,id IDN,GK,it Inter,26,1997,5,5,427,64,15,15,86,17,19,38,44,27,7,4,95,95,26,46,92,42,35,37,31,18,93
Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,43,43,3855,59,29,35,66,35,39,38,44,52,40,27,88,58,19,19,85,90,35,72,52,68,94
Enea Koliçi,al ALB,GK,xk KF Ballkani Therandë,37,1986,6,6,540,71,18,23,78,61,70,38,44,30,8,1,6,90,87,82,88,17,35,62,44,75,74
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,22,2001,3,3,270,10,89,88,78,17,19,38,44,90,68,55,45,61,79,66,22,51,35,32,39,65,19
Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,33,70,72,70,71,62,92,44,56,25,50,49,81,49,83,53,35,87,25,42,11,41
Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4,4,360,91,74,92,63,17,19,38,44,37,71,65,93,34,3,54,18,66,35,94,95,54,17
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6,6,535,94,9,18,95,61,19,98,44,14,13,16,51,38,34,38,15,33,96,95,74,22,14
Fernando,es ESP,GK,Almería,33,1990,4,4,360,12,79,61,15,17,19,38,44,87,71,75,71,94,51,90,70,86,35,29,16,35,49
Fernando Muslera,uy URU,GK,tr Galatasaray,37,1986,8,8,720,14,55,19,15,17,19,38,44,90,75,64,88,67,52,22,41,99,35,50,7,65,51
Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,37,37,3330,36,76,81,40,58,67,38,44,67,42,27,52,68,56,90,62,55,35,50,62,77,45
Filip Marshall,eng ENG,GK,eng Aston Villa,20,2003,1,1,90,81,1,2,15,17,19,38,44,3,3,1,34,71,42,22,6,99,35,5,1,13,6
Filip Samurović,rs SRB,GK,rs Čukarički,20,2002,1,1,90,6,82,50,15,97,98,38,44,65,62,62,3,15,97,90,98,6,35,3,9,39,92
Finn Dahmen,de GER,GK,Augsburg,25,1998,31,31,2790,40,67,68,33,85,81,91,91,64,70,59,87,13,44,77,60,81,91,47,50,63,53
Fran Vieites,es ESP,GK,Betis,24,1999,4,3,315,74,68,84,94,17,19,38,44,40,37,57,17,76,90,92,57,27,35,80,88,15,39
Francesco Rossi,it ITA,GK,it Atalanta,32,1991,2,0,12,97,93,97,99,17,19,38,44,98,98,97,13,99,98,99,6,6,35,98,98,73,6
Franco Israel,uy URU,GK,pt Sporting CP,23,2000,4,4,360,81,8,13,63,17,19,38,44,27,44,42,81,55,35,89,92,37,35,78,46,39,79
Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,39,39,3510,39,61,57,47,71,59,93,44,64,76,70,68,78,54,83,93,48,88,47,38,60,83
Gauthier Gallon,fr FRA,GK,fr Rennes,30,1993,1,1,90,81,3,5,15,97,98,38,44,13,91,90,71,1,95,71,6,96,35,39,9,55,6
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,37,37,3249,83,49,70,81,46,48,83,44,37,8,2,31,51,32,24,29,59,75,88,87,77,34
Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,37,37,3284,75,30,43,81,58,48,93,44,46,64,81,20,38,54,64,83,43,88,84,68,18,78
Giorgos Athanasiadis,gr GRE,GK,gr AEK Athens,30,1993,3,2,212,7,93,92,15,96,97,38,44,97,40,8,13,92,68,16,26,98,35,88,25,99,33
Gregor Kobel,ch SUI,GK,de Dortmund,25,1997,39,39,3445,73,51,65,80,71,67,89,44,48,51,33,84,35,49,61,23,21,82,83,81,80,19
Grégoire Coudert,fr FRA,GK,Brest,24,1999,3,2,181,97,2,11,97,17,19,38,44,2,77,79,76,69,21,32,6,50,35,98,98,40,6
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,38,3420,44,45,46,47,63,73,38,44,62,6,6,82,75,27,50,58,91,35,57,40,10,59
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,1,0,73,66,22,28,15,17,19,38,44,17,87,84,17,32,81,87,83,6,35,23,48,63,65
Guillaume Restes,fr FRA,GK,Toulouse,18,2005,42,42,3780,58,35,38,51,54,62,38,44,42,24,22,7,11,46,67,17,20,35,52,49,36,16
Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,1890,19,73,69,30,87,89,38,44,73,46,66,15,25,77,81,26,25,35,28,31,16,20
Heinz Lindner,at AUT,GK,be Union SG,33,1990,2,2,180,81,18,30,91,17,19,38,44,32,15,18,13,1,51,7,6,23,35,84,70,19,6
Hendrik Van Crombrugge,be BEL,GK,be Genk,30,1993,2,2,180,81,74,91,91,93,94,38,44,70,10,18,91,42,42,79,92,77,35,95,93,9,85
Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2,2,180,3,74,13,15,17,19,38,44,54,15,13,49,71,31,12,70,6,35,1,4,39,90
Itamar Nitzan,il ISR,GK,il Maccabi Haifa,36,1987,1,1,90,6,97,98,15,17,19,38,44,96,44,71,91,98,22,93,6,51,35,54,76,13,6
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,25,1998,7,7,630,55,6,7,70,82,87,38,44,43,68,58,85,20,80,48,57,51,35,45,14,58,59
Ivan Provedel,it ITA,GK,it Lazio,29,1994,38,38,3419,74,29,43,76,40,43,38,91,24,25,14,44,27,33,37,29,32,75,50,69,75,30
Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,7,90,87,15,49,19,38,97,72,89,92,22,12,92,97,86,82,93,4,25,34,52
Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,81,82,93,15,17,19,38,44,32,3,35,67,97,4,3,70,6,35,84,94,2,98
Iván Villar,es ESP,GK,Celta Vigo,26,1997,12,12,1014,46,28,22,15,80,73,95,44,54,32,45,4,49,83,35,27,40,90,42,21,20,28
Iñaki Peña,es ESP,GK,Barcelona,24,1999,12,12,1080,35,37,23,43,17,19,38,44,56,17,3,32,53,22,25,15,23,35,29,16,94,15
Jack Butland,eng ENG,GK,sct Rangers,30,1993,8,8,720,75,45,66,63,49,56,38,44,36,41,46,21,78,86,63,41,45,35,77,87,25,35
