Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Alisson,br BRA,GK,Liverpool,30,1992,28,28,2520,30,109,80,8,1,1,0,0,28.7,60,183,1021,140,116,299,13,33
Alphonse Areola,fr FRA,GK,West Ham,30,1993,31,31,2699,53,188,136,4,7,5,2,0,52.1,160,430,643,144,219,468,27,7
Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,7,15,8,1,0,0,0,0,5.8,13,56,111,9,33,50,0,3
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,23,22,1985,42,130,87,5,5,4,1,0,42.2,56,165,480,143,169,296,20,22
Ederson,br BRA,GK,Manchester City,29,1993,33,33,2785,27,82,56,10,3,3,0,0,27.2,114,246,1120,137,114,247,25,50
Łukasz Fabiański,pl POL,GK,West Ham,38,1985,10,7,721,21,53,33,1,3,3,0,0,19.8,50,123,182,44,56,114,8,1
Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,63,176,113,7,2,2,0,0,55.4,242,647,1288,131,289,568,44,37
Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30,29,2649,79,204,130,1,6,5,0,1,70.4,205,618,783,101,262,468,28,42
Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,25,59,36,0,1,0,0,1,14.7,65,199,207,25,89,193,11,14
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,30,86,57,4,1,1,0,0,27.4,59,245,377,52,105,246,5,17
Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,20,1796,27,67,41,6,2,2,0,0,20.0,117,355,453,63,141,339,24,12
