Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
ar ARG,DF,Boca Juniors,18,2005,12,10,874,30,65,40,76
ga GAB,MO,FC Cincinnati,27,1996,14,5,553,55,33,40,39
ie IRL,FW,Hull City,23,2000,28,13,1215,64,34,40,38
eng ENG,DF,QPR,22,2001,2,0,88,21,19,41,51
gt GUA,DF,D.C. United,26,1997,30,29,2594,77,86,85,59
us USA,DF,LAFC,31,1992,29,28,2374,43,32,39,56
nl NED,DF,RKC Waalwijk,35,1987,28,27,2306,49,82,67,49
mx MEX,DF,Tijuana,22,2001,11,7,708,37,50,54,55
ar ARG,MO,Defensa y Just,23,2000,24,18,1569,65,83,55,52
ar ARG,DF,Banfield,22,2001,15,7,741,28,25,37,43
wls WAL,MO,Cardiff City,32,1990,13,7,716,63,64,48,52
gh GHA,MO,Chaves,24,1998,7,3,308,46,67,58,14
dz ALG,MO,Kortrijk,23,2000,27,26,2283,48,72,65,65
de GER,FW,Heracles Almelo,21,2002,10,2,347,68,56,59,69
pa PAN,MF,bo The Strongest,31,1992,2,2,154,47,33,45,62
bf BFA,DF,Bari,26,1997,14,6,481,61,62,76,52
ci CIV,DF,Club Brugge,18,2004,1,0,6,21,20,18,3
bf BFA,MF,Gent,18,2005,1,0,7,39,50,70,15
fr FRA,MF,Kortrijk,25,1998,25,22,1893,32,45,59,66
fr FRA,MO,Sunderland,20,2003,39,21,1927,57,51,70,46
gh GHA,MO,Vizela,22,2001,6,2,185,21,32,55,56
gh GHA,FW,Leicester City,19,2004,40,33,2814,65,90,89,84
gh GHA,FW,Rio Ave,24,1998,16,13,1119,58,53,28,36
tr TUR,MO,Hull City,24,1999,16,11,991,31,65,37,74
es ESP,MO,Braga,23,2000,30,19,1895,57,38,30,33
ar ARG,FW,Defensa y Just,21,2002,20,9,961,64,55,64,56
br BRA,DF,Juventude,19,2004,28,21,1958,40,43,66,32
mr MTN,MO,Sint-Truiden,24,1998,28,25,2274,83,63,76,63
mx MEX,MO,Atlas,21,2001,11,4,396,15,45,24,83
mx MEX,DF,Tijuana,21,2002,1,0,23,21,14,41,22
mx MEX,GK,Columbus Crew,25,1998,2,2,134,40,42,44,32
0,DF,Toluca,20,2002,6,4,329,81,48,62,52
ma MAR,DF,Charleroi,24,1999,5,4,317,69,21,27,71
nl NED,MF,Volendam,23,1999,11,2,344,50,65,80,64
pa PAN,MO,Houston Dynamo,25,1998,28,26,2294,47,79,49,41
eng ENG,MO,Southampton,26,1997,46,44,3745,75,65,50,39
py PAR,FW,San Lorenzo,27,1996,24,12,1218,31,51,46,55
us USA,GK,Colorado Rapids,17,2006,1,1,90,40,37,40,53
eng ENG,MO,Norwich City,31,1991,19,10,834,18,61,24,66
ie IRL,FW,Norwich City,22,2001,28,12,1279,51,47,44,49
eng ENG,MO,Millwall,18,2005,4,0,52,39,60,67,47
eng ENG,MF,Plymouth Argyle,22,2000,45,30,2760,65,54,45,55
eng ENG,MF,West Brom,30,1993,17,5,639,39,57,61,66
eng ENG,MF,Blackburn,19,2004,26,22,1957,69,82,58,56
ml MLI,MO,Hull City,28,1995,24,14,1071,44,57,48,57
dz ALG,MF,Charleroi,23,2000,23,20,1841,80,91,83,57
br BRA,MO,Bahia,28,1995,31,10,1131,72,64,82,59
br BRA,DF,Rio Ave,34,1989,32,32,2847,57,33,26,76
ba BIH,MO,Almere City,25,1997,7,2,213,77,29,60,34
fr FRA,MO,Sunderland,21,2002,28,10,1102,69,79,66,61
fr FRA,DF,Charlotte,22,2001,32,32,2880,42,37,41,49
ar ARG,MF,León,25,1998,31,30,2721,38,45,48,66
ec ECU,MO,ec Barcelona,26,1997,5,3,272,38,38,47,80
pl POL,FW,Parma,22,2000,31,23,1828,59,66,55,73
es ESP,MF,Parma,22,2001,35,28,2588,90,85,74,38
eng ENG,MO,Utrecht,18,2005,5,0,30,95,96,88,6
