Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
mx MEX,GK,Columbus Crew,25,1998,1,1,90,58,24
us USA,GK,Colorado Rapids,17,2006,1,1,90,29,35
hr CRO,GK,Como,25,1998,38,38,3398,46,38
br BRA,GK,Bahia,23,2001,4,3,334,26,35
ar ARG,GK,br Grêmio,35,1988,36,36,3225,69,48
ar ARG,GK,br Flamengo,28,1995,45,45,4050,57,48
ar ARG,GK,Lanús,33,1990,10,10,900,46,61
ar ARG,GK,Tigre,27,1996,3,2,236,63,39
us USA,GK,FC Cincinnati,33,1990,3,3,270,22,31
us USA,GK,Minnesota Utd,24,1999,3,3,270,24,22
ve VEN,GK,ve Dep Táchira,28,1995,2,2,180,36,38
cl CHI,GK,cl Cobresal,21,2002,1,1,90,18,36
it ITA,GK,Cosenza,30,1993,37,37,3296,60,61
us USA,GK,D.C. United,29,1994,29,29,2610,34,75
eng ENG,GK,Southampton,33,1989,5,5,450,41,31
eng ENG,GK,West Brom,26,1996,46,46,4140,54,36
ec ECU,GK,ec LDU de Quito,36,1987,6,6,540,51,44
mx MEX,GK,León,36,1987,2,2,180,72,37
mx MEX,GK,FC Juárez,40,1982,17,17,1469,40,56
br BRA,GK,Criciúma,28,1995,6,4,421,49,56
si SVN,GK,NE Revolution,30,1993,25,25,2250,53,46
ua UKR,GK,Benfica,21,2001,28,28,2520,64,24
br BRA,GK,Cruzeiro,25,1998,17,17,1530,51,24
jm JAM,GK,Philadelphia Union,33,1990,14,14,1112,52,34
it ITA,GK,Catanzaro,28,1994,37,37,3330,61,54
it ITA,GK,Catanzaro,29,1993,1,1,90,53,19
it ITA,GK,Modena,33,1990,17,16,1487,45,44
dk DEN,GK,Cremonese,21,2002,18,18,1620,61,44
br BRA,GK,Gil Vicente FC,22,2001,32,32,2880,59,50
us USA,GK,Philadelphia Union,18,2006,6,6,540,42,58
us USA,GK,Houston Dynamo,30,1993,4,3,288,55,44
ru RUS,GK,Seattle Sounders,25,1998,7,5,593,66,30
nl NED,GK,Heerenveen,29,1994,22,22,1980,41,56
mx MEX,GK,Cruz Azul,26,1997,14,13,1219,51,47
mx MEX,GK,Atlético,25,1997,24,24,2160,40,35
sct SCO,GK,Norwich City,27,1996,40,40,3540,50,42
br BRA,GK,Internacional,22,2002,2,2,180,52,63
lu LUX,GK,Union SG,33,1990,29,29,2588,43,59
eng ENG,GK,Sunderland,23,2000,45,45,4050,52,40
es ESP,GK,Sporting CP,36,1987,22,22,1980,41,31
it ITA,GK,Ternana,32,1990,32,32,2880,57,54
pt POR,GK,Estrela,38,1985,3,3,270,55,46
be BEL,GK,Standard Liège,25,1998,29,29,2610,63,47
ba BIH,GK,QPR,36,1987,45,45,4049,44,53
ar ARG,GK,Rosario Central,27,1996,3,3,270,69,63
eng ENG,GK,Blackburn,25,1998,26,26,2311,59,53
nl NED,GK,Volendam,23,1999,1,1,90,36,70
pl POL,GK,Millwall,36,1987,14,14,1260,49,54
pl POL,GK,Spezia,25,1997,13,13,1170,49,36
eng ENG,GK,Watford,35,1987,19,19,1710,57,31
eng ENG,GK,Coventry City,30,1992,18,18,1620,33,40
de GER,GK,St. Louis,28,1995,3,2,239,32,67
mx MEX,GK,FC Juárez,24,1998,4,4,360,22,45
br BRA,GK,Ath Paranaense,24,1999,7,7,630,68,51
nl NED,GK,PSV Eindhoven,39,1984,1,0,6,63,93
us USA,GK,Atlanta Utd,39,1984,32,32,2849,62,72
us USA,GK,Austin,32,1991,34,34,3060,70,69
eng ENG,GK,Coventry City,26,1997,28,28,2520,58,54
cl CHI,GK,cl Colo-Colo,28,1995,10,10,900,46,54
br BRA,GK,Bari,24,1999,33,33,2939,41,25
br BRA,GK,Venezia,25,1998,9,9,810,37,55
br BRA,GK,Estrela,32,1991,26,26,2340,47,47
cv CPV,GK,Vitória,28,1994,27,27,2385,56,56
us USA,GK,Inter Miami,23,2000,1,1,90,23,38
br BRA,GK,Moreirense,32,1990,4,4,360,49,43
ao ANG,GK,Estrela,21,2002,1,0,17,59,12
eng ENG,GK,Sheffield Weds,28,1995,18,18,1620,41,66
co COL,GK,Atlas,34,1989,34,34,3060,46,59
eng ENG,GK,Swansea City,22,2001,46,46,4140,52,64
mx MEX,GK,Santos,27,1996,23,23,2005,57,44
py PAR,GK,NY Red Bulls,27,1996,27,27,2430,41,48
mx MEX,GK,UANL,34,1989,10,10,900,43,44
bo BOL,GK,bo Bolívar,36,1987,8,8,720,68,42
br BRA,GK,Corinthians,25,1998,6,6,540,65,58
mx MEX,GK,Pachuca,25,1998,29,29,2610,46,66
br BRA,GK,Grêmio,26,1997,6,5,488,42,40
pl POL,GK,Rio Ave,21,2001,1,1,90,57,55
br BRA,GK,Vitória,29,1994,8,7,675,60,38
