Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
eng ENG,GK,Arsenal,25,1998,7,7,630,45,33
es ESP,GK,Las Palmas,27,1995,2,1,153,23,69
es ESP,GK,Osasuna,32,1991,7,6,551,32,60
ma MAR,GK,Strasbourg,21,2002,15,15,1350,49,36
fr FRA,GK,Nantes,24,1999,28,28,2496,52,52
it ITA,GK,gr Panathinaikos,31,1991,5,5,450,62,33
it ITA,GK,Monza,21,2002,7,5,548,36,33
it ITA,GK,Sassuolo,29,1994,3,3,270,39,57
it ITA,GK,it Napoli,26,1997,39,39,3493,46,25
de GER,GK,Darmstadt 98,28,1995,3,3,270,30,84
de GER,GK,de Dortmund,32,1991,9,8,785,51,46
de GER,GK,Stuttgart,26,1996,30,30,2700,50,52
at AUT,GK,at RB Salzburg,27,1996,6,6,540,67,62
de GER,GK,Union Berlin,31,1992,1,1,90,38,49
dz ALG,GK,Metz,35,1988,34,34,2987,57,55
gr GRE,GK,gr Olympiacos,34,1989,9,9,810,37,34
cz CZE,GK,cz Slavia Prague,31,1992,6,6,540,54,52
br BRA,GK,Liverpool,30,1992,30,30,2700,53,38
fr FRA,GK,West Ham,30,1993,32,32,2789,64,54
xk KVX,GK,ch Lugano,23,2000,6,6,540,49,43
ua UKR,GK,pt Benfica,21,2001,12,12,1110,59,40
it ITA,GK,Sassuolo,36,1987,35,35,3150,44,53
dk DEN,GK,dk Nordsjælland,27,1995,5,5,450,60,41
de GER,GK,Bochum,36,1987,1,1,90,15,80
ru RUS,GK,az Qarabağ,31,1991,10,10,924,56,60
ua UKR,GK,Real Madrid,24,1999,29,29,2640,67,30
pt POR,GK,Granada,27,1996,15,14,1340,43,58
cm CMR,GK,Manchester Utd,27,1996,44,44,3960,65,46
pt POR,GK,Lyon,32,1990,31,31,2790,63,50
lu LUX,GK,be Union SG,33,1990,8,8,720,46,52
ch SUI,GK,ch Young Boys,24,1998,5,5,450,60,71
is ISL,GK,is Breiðablik,28,1994,6,6,540,34,60
ua UKR,GK,ua Zorya Luhansk,20,2003,1,0,1,33,34
es ESP,GK,pt Sporting CP,36,1987,6,6,540,36,40
it ITA,GK,Milan,40,1983,2,2,177,36,20
es ESP,GK,Alavés,26,1996,34,34,3060,52,65
xk KVX,GK,Burnley,24,1998,10,10,900,75,73
es ESP,GK,Paris S-G,22,2001,6,5,529,45,27
fr FRA,GK,Le Havre,29,1994,33,33,2970,63,44
ar ARG,GK,Granada,27,1996,17,17,1530,49,72
nl NED,GK,Brighton,20,2002,24,24,2160,56,43
fr FRA,GK,Montpellier,32,1991,30,30,2700,66,54
fr FRA,GK,Salernitana,36,1987,13,13,1170,39,52
de GER,GK,Fulham,31,1992,38,38,3420,55,46
rs SRB,GK,Cagliari,27,1996,7,7,630,40,61
fr FRA,GK,fr Lens,29,1994,41,41,3720,70,55
ie IRL,GK,Liverpool,24,1998,18,18,1620,46,44
fi FIN,GK,dk Nordsjælland,28,1995,1,1,90,46,25
it ITA,GK,Juventus,33,1990,1,0,45,71,43
gr GRE,GK,Lazio,21,2001,9,8,721,57,44
at AUT,GK,gr AEK Athens,30,1992,4,4,326,59,64
cl CHI,GK,Betis,40,1983,9,9,810,51,57
