Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Aapo Halme,fi FIN,DF,fi HJK,25,1998,3,3,265,33,28,14,45
Aaron Cresswell,eng ENG,MF,West Ham,33,1989,17,9,852,64,50,37,37
Aaron Hickey,sct SCO,DF,Brentford,21,2002,9,9,713,34,31,54,39
Aaron Malouda,fr FRA,FW,fr Lille,17,2005,2,0,27,51,52,72,13
Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1998,7,7,630,40,57,61,36
Aaron Ramsey,eng ENG,MO,Burnley,20,2003,14,5,527,15,26,18,75
Aaron Seydel,de GER,FW,Darmstadt 98,27,1996,16,5,619,43,50,32,55
Aaron Wan-Bissaka,eng ENG,DF,eng Manchester Utd,25,1997,25,22,1992,54,68,72,66
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,40,46,43,37
Aarón Martín,es ESP,DF,Genoa,26,1997,22,17,1376,48,63,72,20
Abakar Sylla,ci CIV,DF,Strasbourg,20,2002,22,19,1792,61,42,39,67
Abat Ajymbetow,kz KAZ,FW,kz Astana FK,27,1995,6,0,99,28,28,37,20
Abdallah Sima,sn SEN,FW,sct Rangers,22,2001,6,6,520,73,54,72,88
Abde Ezzalzouli,ma MAR,FW,es Betis,21,2001,36,13,1465,46,50,87,78
Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,27,2312,27,27,23,42
Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,1,0,4,28,11,7,30
Abdellah Raihani,ma MAR,FW,Atlético Madrid,19,2004,1,0,10,35,13,27,13
Abdellah Zoubir,fr FRA,MO,az Qarabağ,31,1991,10,10,913,69,64,76,45
Abderrahman Rebbach,dz ALG,MO,Alavés,24,1998,23,6,722,60,51,73,50
Abdou Harroui,nl NED,MO,Frosinone,25,1998,18,13,1019,57,64,60,65
Abdoul Kader Bamba,fr FRA,MO,Nantes,29,1994,23,1,611,72,72,85,64
Abdoul Koné,fr FRA,DF,Reims,18,2005,3,3,193,55,41,56,64
Abdoulaye Doucouré,ml MLI,MO,Everton,30,1993,32,32,2629,44,42,36,60
Abdoulaye Seck,sn SEN,DF,il Maccabi Haifa,31,1992,9,9,791,62,28,21,47
Abdoulaye Touré,gn GUI,MF,Le Havre,29,1994,30,27,2284,46,46,50,58
Abdukodir Khusanov,uz UZB,DF,fr Lens,19,2004,15,10,961,28,40,31,61
Abdul Mumin,gh GHA,DF,Rayo Vallecano,25,1998,20,19,1694,54,30,24,42
Abdulrazaq Ishaq,ng NGA,DF,se Häcken,21,2002,5,1,221,58,85,93,56
Abdón Prats,es ESP,MO,Mallorca,30,1992,34,11,1270,56,33,16,38
