Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
AZ Alkmaar,34,68,57.5,478,174,2,2,820,112,15168,18546,6592,7415,6614,7507,1609,2683,49,45.5,361,1232,360,74,1561,656,1548,553,333,225,244,84,279,532,253,375,269,549,6,22329,2213,6732,10204,5596,949,22327,599,288,12758,469,206,557,292,15035,47,2,0,363,303,56,1,4,1,1701,419,508,80,39,134,96,13,4,4,0,0,40.8,203,437,1150,188,150,400,30,47
Ajax,34,72,66.6,514,208,5,6,951,130,17709,21028,7989,8804,7818,8712,1510,2613,60,60.9,426,1350,413,69,1646,735,1626,533,316,236,216,81,271,526,255,375,293,542,11,24780,2584,7457,11440,6102,1038,24774,683,333,15044,552,242,556,286,17518,44,3,0,282,347,51,4,3,1,1691,466,402,75,61,164,104,5,3,2,0,1,57.6,205,513,1457,191,195,420,34,50
Almere City,34,32,35.3,375,109,3,3,646,60,8594,13273,3770,4806,3330,4571,1202,2983,27,29.4,278,870,237,59,1117,421,1105,623,378,299,236,88,294,602,308,418,328,752,6,17586,2022,5730,7212,4861,702,17583,641,302,7732,289,155,642,331,8482,69,3,1,488,315,51,3,4,1,1947,725,877,55,59,188,129,10,4,3,1,0,62.4,308,1001,994,91,277,466,31,45
América,34,67,64.3,464,179,5,7,845,118,15949,18856,7329,8031,6729,7550,1513,2496,51,47.5,367,1395,338,79,1531,680,1517,483,312,234,198,51,227,472,245,319,332,550,11,22343,1937,6482,10891,5196,805,22336,620,307,13178,532,181,488,311,15821,63,3,1,310,342,58,4,1,0,1573,436,420,60,26,116,90,16,1,1,0,0,36.6,125,342,731,120,251,453,18,13
Anderlecht,30,56,48.7,397,138,7,7,697,99,12794,16119,4924,5805,5751,6673,1653,2767,41,35.8,302,1054,317,69,1306,469,1294,548,320,255,209,84,251,507,256,350,282,646,10,19626,2213,6364,8478,4985,746,19619,483,212,13865,471,104,519,262,12678,54,2,0,328,359,54,6,4,0,1672,371,390,66,30,134,103,7,4,3,1,0,38.3,141,330,975,112,176,445,20,19
Antwerp,30,52,52.4,409,140,5,9,721,83,15205,18375,5586,6412,7413,8265,1868,2964,36,36.5,310,1169,313,61,1515,616,1503,537,336,248,224,65,254,517,263,289,277,454,6,21650,2088,6150,10485,5243,859,21641,581,278,15921,567,189,503,263,15062,44,1,1,294,313,52,8,5,1,1601,354,412,28,27,97,71,12,5,5,0,0,28.3,173,459,1276,152,131,340,36,45
Arg Juniors,27,20,25.7,383,93,1,2,651,35,9805,12896,3823,4504,4359,5188,1377,2487,12,21.4,270,878,217,61,1078,416,1067,508,300,246,217,45,251,469,218,284,257,482,5,16017,1394,5000,7404,3771,534,16015,555,267,8549,286,68,450,326,9700,68,6,3,307,312,68,1,4,1,1255,423,456,34,28,90,63,10,4,4,0,0,26.4,126,323,620,85,183,301,6,18
Arouca,34,51,48.8,459,157,3,7,793,83,13911,17348,5780,6488,6322,7260,1537,2768,38,27.2,332,1040,217,56,1317,473,1306,530,339,255,204,71,291,604,313,361,262,637,8,20905,2260,7250,9558,4276,558,20898,508,243,10904,352,105,480,255,13805,83,6,2,459,397,55,4,9,1,1611,382,380,76,50,150,100,5,9,7,1,1,51.4,123,396,1070,214,243,482,40,69
Ascoli,38,36,36.7,435,131,6,7,738,57,10274,14927,4168,5256,4295,5642,1524,3117,19,23.6,297,993,236,103,1164,488,1144,575,361,265,233,77,290,530,240,409,320,787,9,19075,2009,5894,8480,4913,683,19068,506,202,8763,333,98,623,292,10146,105,10,3,651,581,63,4,9,2,1784,832,797,85,42,131,90,13,9,6,1,2,43.1,268,635,893,93,242,578,44,27
Ath Paranaense,38,39,47.6,587,184,1,2,1027,73,12940,16585,5137,5898,5987,7043,1579,2893,35,35.8,448,1200,307,99,1496,582,1471,664,414,275,299,90,273,598,325,449,368,841,9,20786,2103,5935,9754,5315,784,20784,625,298,11137,430,125,476,321,12800,92,6,2,496,383,50,1,3,0,1587,674,607,65,46,173,124,9,3,0,3,0,48.5,191,449,672,128,256,536,20,17
