Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
AZ Alkmaar,34,2.0,1.69,14.06,5.12,0.06,0.06,24.12,3.29,446.12,545.47,193.88,218.09,194.53,220.79,47.32,78.91,1.44,1.34,10.62,36.24,10.59,2.18,45.91,19.29,45.53,16.26,9.79,6.62,7.18,2.47,8.21,15.65,7.44,11.03,7.91,16.15,0.18,656.74,65.09,198.0,300.12,164.59,27.91,656.68,17.62,8.47,375.24,13.79,6.06,16.38,8.59,442.21,1.38,0.06,0.0,10.68,8.91,1.65,0.03,0.12,0.03,50.03,12.32,14.94,2.35,1.15,3.94,2.82,0.38,0.12,0.12,0.0,0.0,1.2,5.97,12.85,33.82,5.53,4.41,11.76,0.88,1.38,27.26,24.97,110.74,27.41,46.74,18.0,0.0,0.18,45.19,81.79,88.9,88.11,59.97,56.41,48.07,0.04,71.57,46.46,7.48
Ajax,34,2.12,1.96,15.12,6.12,0.15,0.18,27.97,3.82,520.85,618.47,234.97,258.94,229.94,256.24,44.41,76.85,1.76,1.79,12.53,39.71,12.15,2.03,48.41,21.62,47.82,15.68,9.29,6.94,6.35,2.38,7.97,15.47,7.5,11.03,8.62,15.94,0.32,728.82,76.0,219.32,336.47,179.47,30.53,728.65,20.09,9.79,442.47,16.24,7.12,16.35,8.41,515.24,1.29,0.09,0.0,8.29,10.21,1.5,0.12,0.09,0.03,49.74,13.71,11.82,2.21,1.79,4.82,3.06,0.15,0.09,0.06,0.0,0.03,1.69,6.03,15.09,42.85,5.62,5.74,12.35,1.0,1.47,25.53,24.76,117.85,31.79,51.82,17.26,0.03,0.08,53.7,84.22,90.74,89.74,57.79,55.41,48.73,-0.06,63.49,39.96,8.1
Almere City,34,0.94,1.04,11.03,3.21,0.09,0.09,19.0,1.76,252.76,390.38,110.88,141.35,97.94,134.44,35.35,87.74,0.79,0.86,8.18,25.59,6.97,1.74,32.85,12.38,32.5,18.32,11.12,8.79,6.94,2.59,8.65,17.71,9.06,12.29,9.65,22.12,0.18,517.24,59.47,168.53,212.12,142.97,20.65,517.15,18.85,8.88,227.41,8.5,4.56,18.88,9.74,249.47,2.03,0.09,0.03,14.35,9.26,1.5,0.09,0.12,0.03,57.26,21.32,25.79,1.62,1.74,5.53,3.79,0.29,0.12,0.09,0.03,0.0,1.84,9.06,29.44,29.24,2.68,8.15,13.71,0.91,1.32,47.12,28.62,77.74,20.76,33.91,19.76,0.03,-0.1,45.25,64.75,78.44,72.85,40.29,54.87,47.11,0.05,68.54,30.77,6.64
América,34,1.97,1.89,13.65,5.26,0.15,0.21,24.85,3.47,469.09,554.59,215.56,236.21,197.91,222.06,44.5,73.41,1.5,1.4,10.79,41.03,9.94,2.32,45.03,20.0,44.62,14.21,9.18,6.88,5.82,1.5,6.68,13.88,7.21,9.38,9.76,16.18,0.32,657.15,56.97,190.65,320.32,152.82,23.68,656.94,18.24,9.03,387.59,15.65,5.32,14.35,9.15,465.32,1.85,0.09,0.03,9.12,10.06,1.71,0.12,0.03,0.0,46.26,12.82,12.35,1.76,0.76,3.41,2.65,0.47,0.03,0.03,0.0,0.0,1.08,3.68,10.06,21.5,3.53,7.38,13.32,0.53,0.38,25.18,23.5,109.65,28.32,41.26,15.85,0.0,0.04,50.91,84.58,91.26,89.12,60.62,56.46,49.51,0.3,77.71,36.58,3.98
Anderlecht,30,1.87,1.62,13.23,4.6,0.23,0.23,23.23,3.3,426.47,537.3,164.13,193.5,191.7,222.43,55.1,92.23,1.37,1.19,10.07,35.13,10.57,2.3,43.53,15.63,43.13,18.27,10.67,8.5,6.97,2.8,8.37,16.9,8.53,11.67,9.4,21.53,0.33,654.2,73.77,212.13,282.6,166.17,24.87,653.97,16.1,7.07,462.17,15.7,3.47,17.3,8.73,422.6,1.8,0.07,0.0,10.93,11.97,1.8,0.2,0.13,0.0,55.73,12.37,13.0,2.2,1.0,4.47,3.43,0.23,0.13,0.1,0.03,0.0,1.28,4.7,11.0,32.5,3.73,5.87,14.83,0.67,0.63,25.37,26.03,102.3,26.53,41.2,19.03,0.03,0.15,48.76,79.37,84.82,86.18,59.74,54.14,43.91,0.22,76.73,42.73,4.52
Antwerp,30,1.73,1.75,13.63,4.67,0.17,0.3,24.03,2.77,506.83,612.5,186.2,213.73,247.1,275.5,62.27,98.8,1.2,1.22,10.33,38.97,10.43,2.03,50.5,20.53,50.1,17.9,11.2,8.27,7.47,2.17,8.47,17.23,8.77,9.63,9.23,15.13,0.2,721.67,69.6,205.0,349.5,174.77,28.63,721.37,19.37,9.27,530.7,18.9,6.3,16.77,8.77,502.07,1.47,0.03,0.03,9.8,10.43,1.73,0.27,0.17,0.03,53.37,11.8,13.73,0.93,0.9,3.23,2.37,0.4,0.17,0.17,0.0,0.0,0.94,5.77,15.3,42.53,5.07,4.37,11.33,1.2,1.5,25.53,25.53,121.13,26.8,47.4,19.67,0.0,-0.01,46.22,82.75,87.12,89.69,63.03,55.99,47.86,0.04,73.37,37.71,10.59
Arg Juniors,27,0.74,0.95,14.19,3.44,0.04,0.07,24.11,1.3,363.15,477.63,141.59,166.81,161.44,192.15,51.0,92.11,0.44,0.79,10.0,32.52,8.04,2.26,39.93,15.41,39.52,18.81,11.11,9.11,8.04,1.67,9.3,17.37,8.07,10.52,9.52,17.85,0.19,593.22,51.63,185.19,274.22,139.67,19.78,593.15,20.56,9.89,316.63,10.59,2.52,16.67,12.07,359.26,2.52,0.22,0.11,11.37,11.56,2.52,0.04,0.15,0.04,46.48,15.67,16.89,1.26,1.04,3.33,2.33,0.37,0.15,0.15,0.0,0.0,0.98,4.67,11.96,22.96,3.15,6.78,11.15,0.22,0.67,32.56,28.74,94.85,25.41,32.59,20.41,0.0,-0.22,48.13,76.03,84.88,84.02,55.37,56.41,48.1,-0.06,69.97,39.05,1.97
Arouca,34,1.5,1.44,13.5,4.62,0.09,0.21,23.32,2.44,409.15,510.24,170.0,190.82,185.94,213.53,45.21,81.41,1.12,0.8,9.76,30.59,6.38,1.65,38.74,13.91,38.41,15.59,9.97,7.5,6.0,2.09,8.56,17.76,9.21,10.62,7.71,18.74,0.24,614.85,66.47,213.24,281.12,125.76,16.41,614.65,14.94,7.15,320.71,10.35,3.09,14.12,7.5,406.03,2.44,0.18,0.06,13.5,11.68,1.62,0.12,0.26,0.03,47.38,11.24,11.18,2.24,1.47,4.41,2.94,0.15,0.26,0.21,0.03,0.03,1.51,3.62,11.65,31.47,6.29,7.15,14.18,1.18,2.03,22.41,21.62,91.06,25.76,27.53,18.53,0.06,0.04,50.16,80.19,89.09,87.08,55.53,55.56,47.86,0.03,66.67,31.07,8.32
Ascoli,38,0.95,0.97,11.45,3.45,0.16,0.18,19.42,1.5,270.37,392.82,109.68,138.32,113.03,148.47,40.11,82.03,0.5,0.62,7.82,26.13,6.21,2.71,30.63,12.84,30.11,15.13,9.5,6.97,6.13,2.03,7.63,13.95,6.32,10.76,8.42,20.71,0.24,501.97,52.87,155.11,223.16,129.29,17.97,501.79,13.32,5.32,230.61,8.76,2.58,16.39,7.68,267.0,2.76,0.26,0.08,17.13,15.29,1.66,0.11,0.24,0.05,46.95,21.89,20.97,2.24,1.11,3.45,2.37,0.34,0.24,0.16,0.03,0.05,1.13,7.05,16.71,23.5,2.45,6.37,15.21,1.16,0.71,42.87,24.08,73.58,20.92,29.47,17.13,0.08,-0.02,51.06,68.83,79.29,76.13,48.9,58.91,39.94,0.02,68.7,42.19,7.63
Ath Paranaense,38,1.03,1.25,15.45,4.84,0.03,0.05,27.03,1.92,340.53,436.45,135.18,155.21,157.55,185.34,41.55,76.13,0.92,0.94,11.79,31.58,8.08,2.61,39.37,15.32,38.71,17.47,10.89,7.24,7.87,2.37,7.18,15.74,8.55,11.82,9.68,22.13,0.24,547.0,55.34,156.18,256.68,139.87,20.63,546.95,16.45,7.84,293.08,11.32,3.29,12.53,8.45,336.84,2.42,0.16,0.05,13.05,10.08,1.32,0.03,0.08,0.0,41.76,17.74,15.97,1.71,1.21,4.55,3.26,0.24,0.08,0.0,0.08,0.0,1.28,5.03,11.82,17.68,3.37,6.74,14.11,0.53,0.45,33.71,20.97,93.39,28.95,34.61,18.08,0.08,-0.18,52.63,78.02,87.09,85.01,54.58,54.41,47.66,0.05,71.65,42.55,3.76
