Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession
AZ Alkmaar,24.3,34,68,56.6,478,174,2,2,820,112,15168,18546,6592,7415,6614,7507,1609,2683,361,1232,360,74,1561,656,1548,553,333,225,244,84,279,532,253,375,269,549,6,22329,2213,6732,10204,5596,949,22327,599,288,12758,469,206,557,292,15035,47,2,0,363,303,56,1,4,1,1701,419,508,39,134,96,13,4,4,0,0,40.8,203,437,1089,188,211,400,30,47,927,849,3765,932,1589,612,0,54.5
Ajax,22.4,34,72,65.1,514,208,5,6,951,130,17709,21028,7989,8804,7818,8712,1510,2613,426,1350,413,69,1646,735,1626,533,316,236,216,81,271,526,255,375,293,542,11,24780,2584,7457,11440,6102,1038,24774,683,333,15044,552,242,556,286,17518,44,3,0,282,347,51,4,3,1,1691,466,402,61,164,104,5,3,2,0,1,57.6,205,513,1413,191,239,420,34,50,868,842,4007,1081,1762,587,1,59.6
Alianza Lima,29.8,6,3,3.1,52,18,0,0,84,5,1697,2331,679,830,722,930,249,454,36,171,42,13,222,68,218,95,60,49,39,7,48,122,74,67,67,139,1,3008,336,880,1464,693,108,3008,129,73,1333,59,16,102,50,1680,19,0,0,80,80,5,0,2,1,313,86,113,9,28,19,1,2,1,1,0,10.0,49,109,126,22,61,84,5,11,199,152,508,89,179,108,1,46.79999999999999
Almere City,24.6,34,32,34.7,375,109,3,3,646,60,8594,13273,3770,4806,3330,4571,1202,2983,278,870,237,59,1117,421,1105,623,378,299,236,88,294,602,308,418,328,752,6,17586,2022,5730,7212,4861,702,17583,641,302,7732,289,155,642,331,8482,69,3,1,488,315,51,3,4,1,1947,725,877,59,188,129,10,4,3,1,0,62.4,308,1001,994,91,277,466,31,45,1602,973,2643,706,1153,672,1,44.0
América,27.3,34,67,62.6,464,179,5,7,845,118,15949,18856,7329,8031,6729,7550,1513,2496,367,1395,338,79,1531,680,1517,483,312,234,198,51,227,472,245,319,332,550,11,22343,1937,6482,10891,5196,805,22336,620,307,13178,532,181,488,311,15821,63,3,1,310,342,58,4,1,0,1573,436,420,26,116,90,16,1,1,0,0,36.6,125,342,704,120,278,453,18,13,856,799,3728,963,1403,539,0,55.3
América (MG),29.1,38,42,46.6,510,155,4,6,888,74,11502,15310,5202,6065,4592,5705,1333,2563,395,1045,293,111,1387,638,1368,560,344,272,234,54,266,692,426,459,372,870,8,19683,2157,6158,8825,4982,767,19677,752,361,10719,475,131,570,305,11376,89,10,3,550,460,62,1,8,3,2052,594,526,81,215,135,2,8,5,2,1,72.9,184,427,629,180,307,691,57,35,1120,875,3393,962,1302,610,3,43.0
Anderlecht,26.4,30,56,47.8,397,138,7,7,697,99,12794,16119,4924,5805,5751,6673,1653,2767,302,1054,317,69,1306,469,1294,548,320,255,209,84,251,507,256,350,282,646,10,19626,2213,6364,8478,4985,746,19619,483,212,13865,471,104,519,262,12678,54,2,0,328,359,54,6,4,0,1672,371,390,30,134,103,7,4,3,1,0,38.4,141,330,908,112,243,445,20,19,761,781,3069,796,1236,571,1,53.0
Antwerp,24.7,30,52,51.6,409,140,5,9,721,83,15205,18375,5586,6412,7413,8265,1868,2964,310,1169,313,61,1515,616,1503,537,336,248,224,65,254,517,263,289,277,454,6,21650,2088,6150,10485,5243,859,21641,581,278,15921,567,189,503,263,15062,44,1,1,294,313,52,8,5,1,1601,354,412,27,97,71,12,5,5,0,0,28.3,173,459,1223,152,184,340,36,45,766,766,3634,804,1422,590,0,59.3
Arg Juniors,26.4,35,38,49.3,481,139,6,8,815,62,14010,18185,5872,6811,6082,7311,1687,3015,346,1190,302,88,1647,562,1627,626,407,270,256,100,300,651,351,375,315,593,8,22084,1848,6400,10518,5373,847,22076,683,352,11879,396,132,593,311,13881,85,12,4,448,445,62,6,7,0,2119,643,673,31,101,69,16,7,6,1,0,30.5,110,271,773,137,246,402,10,46,1316,904,3836,877,1369,707,1,58.67428571428571
Arouca,26.2,34,51,47.6,459,157,3,7,793,83,13911,17348,5780,6488,6322,7260,1537,2768,332,1040,217,56,1317,473,1306,530,339,255,204,71,291,604,313,361,262,637,8,20905,2260,7250,9558,4276,558,20898,508,243,10904,352,105,480,255,13805,83,6,2,459,397,55,4,9,1,1611,382,380,50,150,100,5,9,7,1,1,51.4,123,396,1063,214,250,482,40,69,762,735,3096,876,936,630,2,53.7
