Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
AZ Alkmaar,34,95.05,88.96,75.68,85.81,27.48,20.05,70.72,92.34,85.14,84.68,85.59,84.68,82.43,81.08,85.14,61.26,94.14,94.14,75.23,84.68,93.69,49.55,86.49,89.64,86.94,40.09,29.73,11.49,71.4,81.76,53.6,41.89,66.44,50.9,17.57,12.16,80.18,88.29,71.62,67.57,82.43,87.39,92.79,88.29,56.31,61.71,83.33,82.88,91.89,38.96,47.52,85.14,95.72,77.25,86.94,78.83,5.18,51.13,21.62,59.68,48.65,81.53,19.82,45.95,71.4,66.67,36.94,43.47,85.59,40.77,58.56,25.0,38.74,37.84,79.05,52.7,90.09,91.89,6.31,13.96,59.23,85.14,33.33,40.54,88.29,76.8,92.12,40.54,19.14,88.51,6.31,81.08,74.77,82.88,86.49,47.52,76.13,67.12,67.57,96.85,77.93
Ajax,34,97.3,96.85,87.39,98.2,75.45,70.72,92.34,97.75,97.75,98.2,96.85,96.85,97.75,97.75,73.87,48.42,98.2,99.1,95.5,93.69,97.3,39.64,92.12,95.5,91.44,27.25,18.02,18.02,39.19,77.25,46.62,38.51,64.86,50.9,35.36,9.91,36.04,98.2,94.59,91.89,96.4,95.5,97.3,98.2,83.78,89.64,95.95,96.4,97.3,40.32,54.73,97.75,97.3,59.91,86.94,98.65,26.58,67.12,68.69,72.52,48.65,80.86,36.94,85.81,65.77,14.86,75.68,59.23,11.71,27.93,25.45,25.0,86.94,85.14,80.18,75.23,98.65,92.57,15.32,20.27,68.92,89.41,24.1,43.24,93.69,94.59,97.3,27.7,53.6,74.32,89.64,94.14,92.12,95.5,76.58,32.43,81.98,31.31,14.86,77.48,84.23
Almere City,34,15.77,19.59,18.69,15.54,43.02,29.95,20.27,27.93,7.66,10.81,10.36,15.77,5.86,6.76,12.61,94.14,41.89,49.1,22.97,24.32,42.57,21.17,27.03,13.96,27.03,84.23,74.55,77.48,61.71,86.49,72.52,79.73,18.02,87.16,76.13,74.1,80.18,14.86,47.07,25.23,8.11,69.37,64.41,14.86,72.52,74.77,9.01,9.46,74.55,5.41,16.67,7.66,70.5,59.91,59.01,9.46,8.78,67.12,48.87,59.68,48.65,98.2,98.2,0.9,36.94,16.89,89.64,90.32,64.64,40.77,42.34,65.54,38.74,91.44,98.2,99.55,74.1,8.56,68.24,42.34,62.16,81.53,99.55,7.66,23.42,20.72,58.56,73.65,53.6,26.13,6.76,2.25,2.25,2.25,1.8,25.45,60.81,70.72,48.2,18.47,64.64
América,34,93.69,95.05,70.5,88.96,75.45,81.98,76.13,94.82,90.09,89.64,92.34,90.99,84.23,82.43,75.23,33.33,95.95,95.27,79.5,95.95,88.96,58.78,85.59,91.89,85.59,7.21,15.09,16.89,21.17,11.94,8.56,12.16,77.48,7.66,80.86,12.61,36.04,88.74,36.94,55.86,91.44,80.18,81.53,88.74,64.64,76.58,86.04,93.69,86.94,84.46,29.28,90.09,80.86,59.91,59.01,95.05,21.62,45.05,68.69,90.99,81.76,49.55,24.77,81.08,45.72,95.95,15.54,32.66,94.14,9.46,13.51,25.0,38.74,23.65,24.32,20.72,31.53,24.77,47.75,36.49,18.24,12.84,22.07,65.54,87.39,83.33,86.94,10.36,19.14,66.44,64.19,95.95,95.5,91.44,89.64,50.45,87.16,99.32,95.95,54.28,18.02
Anderlecht,30,90.99,86.04,60.36,71.62,91.44,86.94,59.01,93.47,78.83,82.43,66.22,70.72,79.73,82.88,96.85,97.3,91.67,89.41,63.06,78.83,93.24,57.21,81.08,51.8,81.08,83.78,58.56,69.59,63.29,93.92,61.04,63.96,32.88,71.62,67.57,69.82,31.53,86.94,90.99,85.59,73.42,88.29,87.84,86.94,34.68,26.8,97.75,95.27,49.1,21.85,44.59,78.38,84.46,70.95,86.94,71.62,68.69,35.59,90.32,53.6,81.76,95.95,20.27,71.62,65.32,83.56,61.04,81.31,36.26,47.07,46.17,65.54,38.74,47.3,52.7,29.05,86.49,32.88,16.67,61.71,31.76,31.76,22.97,26.13,78.38,69.82,86.49,59.46,53.6,83.78,34.68,64.19,30.18,64.64,85.59,13.29,27.03,94.82,91.44,90.09,29.05
Antwerp,30,87.39,90.99,69.59,77.25,84.01,96.4,68.24,81.98,96.4,97.75,77.48,82.88,99.55,99.55,99.55,99.55,82.88,90.99,70.27,90.99,92.79,39.64,95.95,93.24,95.95,75.68,79.28,60.81,78.38,65.09,64.64,70.27,25.23,10.59,59.91,7.21,74.77,97.3,84.23,79.28,97.75,93.24,94.59,97.3,76.13,81.08,99.55,99.55,93.69,29.73,42.57,96.4,95.05,88.51,59.01,89.19,33.78,43.92,97.75,33.11,48.65,92.34,15.77,62.61,9.01,89.19,9.91,16.67,87.39,67.34,83.56,25.0,38.74,11.71,75.23,77.03,98.2,79.73,5.86,11.94,86.04,90.09,24.1,32.21,95.95,72.52,94.59,70.95,19.14,50.0,12.16,86.94,54.95,94.14,96.4,38.29,73.2,67.12,81.53,63.29,97.97
Arg Juniors,27,4.73,10.59,77.48,21.85,22.52,22.97,70.27,8.11,55.41,60.81,39.86,43.24,53.6,56.76,93.69,96.85,5.18,35.36,62.61,68.92,63.96,54.73,65.32,48.2,64.86,90.99,73.87,82.88,87.84,23.2,87.84,72.97,48.2,30.18,71.62,23.87,77.48,61.71,16.67,47.3,65.77,61.26,54.73,61.71,88.74,90.09,56.76,36.94,19.37,34.23,1.8,55.41,31.53,12.84,11.26,62.84,57.21,1.35,27.03,44.59,31.53,51.58,65.99,20.72,16.89,77.48,14.41,13.96,83.56,56.08,72.07,25.0,38.74,14.64,51.8,39.64,40.09,14.86,33.78,9.46,3.15,35.14,72.97,7.21,64.41,59.01,50.45,84.91,19.14,7.66,28.38,34.01,30.63,40.54,61.71,47.52,76.58,31.31,57.21,71.62,3.15
Arouca,34,74.77,72.52,66.44,72.97,43.02,81.98,59.91,69.14,71.17,72.07,70.72,67.12,76.58,77.48,79.28,75.68,77.7,38.06,58.33,55.86,29.73,15.54,59.91,32.43,60.14,24.32,34.01,36.94,29.05,59.01,68.24,80.86,15.32,34.46,14.19,31.08,61.71,70.72,76.58,86.49,72.52,37.39,18.69,70.72,19.82,29.5,58.56,30.63,33.56,87.16,84.01,71.17,36.71,19.59,31.53,16.89,60.14,54.28,68.69,5.41,48.65,61.26,10.59,91.44,67.57,33.56,59.01,51.13,11.71,95.05,93.47,65.54,86.94,72.97,22.52,34.68,83.78,99.1,42.57,54.5,84.91,97.3,7.43,92.79,55.41,61.71,19.82,49.55,81.76,66.44,50.68,70.5,77.93,72.52,63.06,33.33,73.2,63.51,34.23,19.82,87.84
Ascoli,38,16.44,12.61,27.03,22.52,81.98,70.72,26.13,15.09,9.91,11.71,9.46,10.81,9.91,11.26,48.65,79.28,8.78,9.01,16.22,27.03,27.25,84.23,16.22,19.14,15.32,17.57,20.05,19.37,32.43,54.73,32.43,13.51,91.89,40.09,30.18,54.05,61.71,9.46,21.62,6.76,14.41,45.5,36.94,9.46,6.31,2.48,9.91,10.81,19.82,38.29,79.05,9.91,16.67,6.98,21.85,0.45,98.2,49.1,59.68,10.14,24.77,56.31,99.1,2.25,67.57,72.07,17.34,16.67,78.83,90.32,79.28,65.54,95.95,28.83,92.79,81.08,43.24,7.21,24.32,68.24,83.56,39.64,99.1,54.95,14.86,22.07,32.43,22.52,90.54,45.27,67.12,5.86,2.7,4.5,17.57,86.49,2.7,60.14,50.0,86.04,79.73
Ath Paranaense,38,25.9,49.77,89.64,81.53,16.44,18.69,88.29,40.09,37.84,36.49,31.08,27.48,49.1,46.85,56.76,43.24,59.68,62.39,89.64,63.06,64.86,78.38,63.06,47.07,62.16,67.12,66.22,24.77,85.81,75.23,16.67,43.24,31.53,78.6,77.25,74.77,61.71,32.43,28.83,8.11,46.4,61.71,63.96,32.43,39.64,47.07,38.29,48.87,39.64,98.2,52.25,37.84,38.06,24.1,38.06,22.75,22.07,82.21,21.62,76.35,81.76,13.06,84.68,34.23,42.79,61.04,64.86,72.3,41.67,24.1,5.18,94.14,38.74,47.3,62.16,37.39,8.11,20.72,33.11,52.7,18.24,16.44,78.38,95.95,60.36,85.14,62.61,42.34,90.54,13.51,82.43,52.25,54.5,49.55,58.11,18.02,69.37,70.72,68.47,89.19,15.77
Atl Goianiense,38,4.73,25.23,75.23,61.04,37.39,48.42,77.25,4.05,36.04,30.18,28.83,27.03,37.39,35.14,60.81,42.34,3.83,38.06,75.68,70.72,43.69,72.97,55.41,54.05,55.41,20.27,24.32,19.37,40.09,51.13,3.15,23.2,42.57,50.9,55.86,61.26,52.25,26.58,35.14,18.02,22.07,70.72,52.03,26.58,42.12,27.7,32.43,72.07,32.43,77.48,76.35,36.04,13.06,5.18,11.26,36.94,49.1,85.36,75.9,10.14,24.77,25.45,54.95,33.56,19.59,29.5,66.22,59.91,22.3,90.32,79.28,94.14,38.74,63.96,61.04,50.9,28.83,25.23,54.5,41.44,81.53,51.35,63.29,80.86,54.95,64.86,46.85,10.81,90.54,2.93,30.18,48.65,45.05,46.62,66.22,7.66,11.26,36.26,36.04,70.72,86.71
