Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Alavés,38,33,46.5,458,136,3,7,817,60,10091,14116,4443,5283,4011,5052,1375,2889,28,30.6,341,937,273,105,1260,550,1252,578,347,284,227,67,290,629,339,363,279,810,5,18179,2162,6122,7564,4706,764,18172,625,310,8574,364,138,572,299,9972,84,1,0,481,449,69,7,8,2,1807,574,625,48,46,147,103,11,8,8,0,0,44.8,315,778,895,125,326,530,29,37
Almería,38,42,50.1,478,163,2,2,823,70,12774,16540,5654,6480,5476,6405,1322,2747,25,24.4,349,870,212,86,1097,590,1082,633,372,354,222,57,280,582,302,430,313,856,19,20902,2654,7711,9323,4094,614,20900,667,299,11128,424,132,550,269,12660,93,6,4,478,493,75,2,9,0,1716,557,587,90,75,202,126,6,9,6,1,2,70.3,181,615,1153,180,292,629,29,47
Arsenal,38,86,78.1,647,209,10,10,1185,152,19094,22558,9719,10643,7809,8765,1178,2162,62,57.6,513,1546,548,68,2106,821,2088,610,348,257,246,107,271,543,272,412,292,515,18,26493,1974,6714,11407,8560,1480,26483,671,283,16297,575,327,525,375,18917,64,2,1,391,394,87,9,3,1,1752,503,499,52,29,83,54,18,3,2,1,0,24.1,157,441,1138,189,115,375,48,59
Aston Villa,38,72,65.2,511,182,4,4,912,129,16133,19363,7110,7878,7381,8273,1330,2368,55,42.4,398,1160,363,67,1451,775,1438,547,311,269,210,68,260,550,290,389,236,597,13,23059,2807,8171,9636,5459,1010,23055,757,345,14451,490,217,477,416,15824,94,2,0,412,473,47,4,2,4,1619,334,363,63,61,173,115,8,2,1,1,0,61.7,136,380,1446,176,186,419,51,70
Atalanta,38,72,58.9,539,197,5,5,971,128,16051,19961,7280,8321,6956,7989,1466,2642,57,38.6,437,1223,381,114,1754,715,1733,613,369,273,249,91,291,597,306,483,340,614,7,24136,2222,7494,10658,6186,912,24131,618,286,13092,519,175,621,377,15915,76,1,1,486,367,63,4,9,1,2023,627,491,84,42,142,99,15,9,6,2,1,39.9,161,459,980,213,264,444,30,55
Athletic Club,38,59,53.2,458,163,3,5,817,103,14509,18724,6598,7600,6186,7288,1393,2832,41,40.4,355,1205,343,113,1610,735,1596,581,362,217,264,100,305,635,330,419,278,631,4,22845,1965,6376,10617,6083,901,22839,743,338,12487,528,193,571,366,14367,80,5,3,511,428,78,4,5,4,2010,541,525,48,37,134,98,18,5,1,3,1,40.4,238,728,1060,164,262,491,33,49
Atlético Madrid,38,68,63.2,475,197,5,6,852,120,17064,20709,8654,9535,6433,7422,1442,2542,48,43.9,359,1226,380,68,1597,758,1580,654,399,308,263,83,327,671,344,460,256,793,8,24749,2368,7880,11405,5662,954,24743,567,297,14402,546,181,533,303,16931,89,5,3,438,447,123,4,2,0,1896,422,392,30,43,144,101,13,2,1,0,1,39.8,114,336,740,180,283,579,36,22
Augsburg,34,49,47.2,429,123,5,7,726,78,10545,14262,4147,4989,4851,5902,1272,2491,35,37.6,299,919,284,89,1137,462,1122,528,319,234,222,72,237,492,255,439,295,727,9,18130,2132,6226,7678,4413,795,18123,531,235,9496,313,91,533,236,10394,71,3,1,454,338,81,5,10,2,1669,587,602,55,60,183,123,3,10,7,2,1,56.0,185,490,1225,98,211,520,30,52
Barcelona,38,76,78.4,588,219,6,7,1063,136,21506,24761,10598,11481,8724,9617,1717,2604,55,58.1,457,1702,405,83,1925,964,1911,571,363,271,223,77,243,523,280,363,257,573,17,28717,2191,7360,14262,7313,1077,28710,826,384,17768,728,262,605,305,21296,87,2,1,412,469,99,6,2,0,1789,453,399,55,44,141,97,17,2,2,0,0,41.6,113,216,1120,161,211,450,15,36
Bayern Munich,34,93,87.3,633,229,5,5,1156,166,19987,22946,9254,10094,8928,9742,1476,2208,71,72.8,506,1563,458,86,1941,944,1926,520,323,227,191,102,245,510,265,378,288,473,18,26644,2111,7127,12412,7367,1214,26639,907,481,16452,704,276,468,357,19847,47,2,1,304,306,60,2,4,0,1768,410,319,94,45,124,78,11,4,3,1,0,40.9,99,242,1142,170,146,341,14,48
Betis,38,46,44.7,489,150,2,3,870,78,15310,18979,7398,8260,5944,6913,1383,2561,31,33.9,368,1037,327,53,1441,676,1424,692,440,305,300,87,358,683,325,422,345,801,9,23335,2339,7497,10512,5555,886,23332,793,386,13053,495,186,626,427,15184,87,3,1,429,497,73,1,8,3,1921,479,500,93,45,158,115,13,8,7,1,0,47.5,180,510,1023,167,278,541,38,42
Bochum,34,41,45.6,524,145,4,4,884,72,9786,14203,4234,5278,3854,5032,1393,2934,30,32.8,371,902,265,85,1151,400,1140,603,366,272,253,78,294,574,280,460,308,768,9,18361,2175,5905,8082,4546,787,18357,436,186,8480,292,91,494,280,9653,97,2,0,446,409,83,4,11,4,1808,815,816,70,74,189,117,4,11,9,2,0,62.3,450,1084,1540,91,215,523,35,104
Bologna,38,52,48.8,472,159,4,5,823,78,19125,22504,9408,10260,7744,8573,1415,2441,32,25.7,356,1267,256,55,1453,660,1441,633,385,299,267,67,303,579,276,426,258,677,17,26520,2581,8683,12696,5367,718,26515,673,293,15952,485,149,542,311,18969,85,2,2,458,456,55,3,7,1,1769,416,413,74,32,125,91,17,7,3,2,2,32.1,118,348,1002,159,224,505,13,19
Bournemouth,38,52,57.3,539,175,2,3,952,83,11899,15920,4976,5868,5270,6214,1393,2964,39,33.3,414,1074,352,88,1314,709,1296,693,410,301,281,111,325,688,363,504,357,817,16,20700,2486,6820,8469,5686,1033,20697,872,382,11015,513,240,637,386,11771,79,3,0,507,376,56,3,7,1,2013,582,671,84,67,194,127,9,7,6,1,0,63.1,199,581,982,177,260,492,31,37
Brentford,38,54,60.2,470,159,3,3,804,81,12551,16818,5616,6628,5236,6432,1382,2776,38,39.8,332,965,333,106,1283,505,1276,677,399,349,250,78,317,697,380,474,378,903,18,21227,2878,7944,8253,5210,982,21224,577,243,10970,363,156,556,271,12416,89,2,0,385,419,70,3,2,0,1892,632,607,58,65,184,119,7,2,2,0,0,56.9,254,677,1344,136,304,605,46,38
Brest,34,51,49.3,481,165,4,4,837,85,14111,17733,5352,6275,6263,7237,2059,3359,33,35.6,357,1155,269,105,1402,590,1385,679,427,295,299,85,306,715,409,386,321,644,13,21735,2170,6704,10200,5105,723,21731,690,326,15224,532,105,569,265,13983,84,5,2,414,422,34,2,3,0,1910,598,509,56,34,133,98,15,3,2,1,0,36.5,244,518,978,144,198,406,18,43
Brighton,38,50,58.0,555,198,5,6,1010,89,21810,25029,11574,12473,8261,9125,1296,2164,36,43.7,429,1484,384,81,1780,864,1767,644,366,292,252,100,307,658,351,437,288,603,21,29112,3197,9449,13090,6766,1081,29106,715,297,19020,584,269,579,342,21577,90,3,0,414,454,84,6,6,2,1751,406,345,52,62,165,105,6,6,6,0,0,51.1,102,274,1406,186,126,405,24,72
Burnley,38,40,41.1,430,137,3,3,757,74,13937,17959,6311,7267,6017,7042,1324,2755,30,26.9,326,976,216,54,1181,727,1162,607,342,282,247,78,284,584,300,477,280,837,22,22181,2907,8021,9196,5155,819,22178,699,300,12244,460,240,517,296,13779,77,7,3,429,353,76,3,7,3,1727,561,696,44,78,244,168,2,7,6,1,0,75.8,215,825,1879,216,231,562,50,74
Cagliari,38,41,43.6,442,127,4,6,785,70,10731,14709,4427,5206,4662,5786,1441,2966,30,25.2,330,863,260,125,1109,529,1097,540,315,272,203,65,264,525,261,373,265,816,12,18599,2190,6532,7916,4352,669,18593,516,237,9242,339,111,545,338,10604,77,4,2,464,418,64,3,5,3,1774,571,613,91,68,157,92,5,5,4,0,1,56.2,202,544,841,137,309,583,28,24
Celta Vigo,38,45,51.6,467,151,3,5,855,81,13890,17776,6703,7631,5538,6545,1223,2495,35,39.0,367,1129,293,71,1345,660,1332,627,382,302,243,82,308,662,354,434,297,832,9,22062,2314,7084,9675,5538,818,22057,646,295,12540,489,162,600,336,13773,66,5,2,463,485,63,4,8,3,1908,522,548,62,57,164,109,6,8,6,1,1,56.0,176,494,812,182,311,556,28,36
Chelsea,38,76,76.0,537,194,11,12,980,133,20039,23364,10006,10877,8176,9060,1365,2328,51,43.1,419,1351,352,51,1615,873,1600,663,376,325,235,103,323,630,307,448,298,785,24,27725,3035,9367,12068,6558,1039,27713,869,398,16624,543,291,604,370,19899,108,4,2,446,451,85,11,5,3,1846,440,402,48,63,186,125,8,5,3,1,1,52.5,128,361,1171,184,240,514,39,47
Clermont Foot,34,26,36.2,382,120,6,8,672,50,13390,16784,5792,6628,5654,6606,1435,2665,18,25.0,282,989,208,57,1247,537,1238,581,358,279,242,60,312,633,321,382,347,667,19,20572,2425,6911,9932,3924,578,20564,575,252,14537,470,113,498,269,13270,60,7,1,396,429,51,7,9,1,1695,393,414,51,60,212,152,5,9,7,1,1,64.9,226,613,1213,157,200,514,46,49
Crystal Palace,38,56,49.1,452,162,4,4,794,103,12915,16754,6040,6920,5338,6287,1204,2608,43,31.7,353,995,273,60,1176,506,1161,788,464,373,301,114,337,609,272,456,323,927,6,21367,2349,7237,9279,5077,797,21363,737,341,10943,383,170,606,426,12811,73,2,2,457,427,72,4,3,2,1909,553,555,85,58,154,98,10,3,3,0,0,47.5,176,605,834,115,247,586,30,29
Cádiz,38,25,36.6,395,120,3,3,698,40,10763,14990,4837,5694,4144,5163,1455,3198,17,26.3,292,899,219,106,1017,456,996,671,398,338,264,69,341,728,387,443,298,786,13,19166,2242,6375,8425,4551,570,19163,537,230,9664,422,76,571,343,10662,107,7,0,576,498,90,2,2,1,1831,632,673,59,55,175,121,10,2,2,0,0,51.7,364,910,1001,123,332,617,60,45
Darmstadt 98,34,28,33.0,404,110,3,3,723,50,11807,15336,4830,5582,5247,6139,1494,2813,21,28.7,302,873,226,65,1083,437,1073,560,323,303,197,60,285,583,298,400,317,707,19,19009,2407,7114,8147,3897,566,19006,440,192,9943,310,99,470,230,11700,83,4,0,429,351,57,2,2,2,1502,510,569,58,86,215,130,3,2,1,1,0,74.3,278,690,1333,195,310,504,27,60
Dortmund,34,68,65.0,506,184,6,6,909,121,17191,20445,7696,8552,7352,8202,1651,2584,49,47.9,389,1144,301,46,1452,770,1436,548,356,297,201,50,292,557,265,431,251,628,12,24314,2558,8081,11082,5366,901,24308,712,320,14643,565,229,532,329,17002,59,4,2,315,391,44,5,6,2,1763,389,426,57,43,145,103,10,6,5,1,0,44.6,133,349,1340,135,196,466,15,24
Eint Frankfurt,34,48,47.8,402,139,2,3,688,81,15017,18809,6582,7496,6907,7959,1204,2409,36,38.4,292,1007,276,60,1305,574,1294,602,359,282,240,80,293,548,255,424,302,704,12,22762,2453,7846,10620,4523,815,22759,640,281,13004,391,176,523,298,14898,70,5,4,355,318,51,2,11,0,1792,477,525,67,50,146,94,7,11,9,2,0,49.7,106,390,1026,152,227,485,20,34
Empoli,38,26,36.9,413,112,5,5,718,46,11571,15348,4961,5759,5094,6059,1240,2680,19,24.0,297,827,206,74,1056,524,1049,618,378,311,227,80,300,564,264,462,263,840,9,19512,2513,7254,8232,4226,643,19507,578,226,10392,356,142,543,304,11485,88,1,1,524,514,82,4,8,1,1623,509,628,80,54,185,130,9,8,6,2,0,49.0,162,542,1079,220,261,645,42,31
Everton,38,40,56.2,504,152,2,3,854,60,11349,15514,5198,6091,4386,5405,1469,3057,17,31.7,339,958,284,77,1129,495,1119,743,442,371,261,111,347,701,354,479,358,882,12,20053,2568,6792,8180,5283,809,20050,564,250,9770,389,127,560,320,11254,82,1,1,457,361,89,2,8,3,1970,676,577,29,51,165,117,13,8,8,0,0,52.4,360,901,1297,141,273,570,30,54
Fiorentina,38,60,52.9,515,171,4,8,910,106,16180,19975,6368,7193,7511,8557,2004,3302,41,39.0,395,1327,374,103,1656,621,1640,564,320,242,231,91,275,512,237,388,236,509,8,23660,2134,6769,10823,6270,912,23652,626,279,13985,541,162,543,331,15981,80,0,0,459,450,57,6,9,0,1720,626,603,74,46,148,101,8,9,8,1,0,45.6,191,458,1261,138,205,353,8,32
