Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Alavés,38,0.87,1.22,12.05,3.58,0.08,0.18,21.5,1.58,265.55,371.47,116.92,139.03,105.55,132.95,36.18,76.03,0.74,0.81,8.97,24.66,7.18,2.76,33.16,14.47,32.95,15.21,9.13,7.47,5.97,1.76,7.63,16.55,8.92,9.55,7.34,21.32,0.13,478.39,56.89,161.11,199.05,123.84,20.11,478.21,16.45,8.16,225.63,9.58,3.63,15.05,7.87,262.42,2.21,0.03,0.0,12.66,11.82,1.82,0.18,0.21,0.05,47.55,15.11,16.45,1.26,1.21,3.87,2.71,0.29,0.21,0.21,0.0,0.0,1.18,8.29,20.47,23.55,3.29,8.58,13.95,0.76,0.97,31.55,22.92,80.58,23.08,33.68,16.76,0.0,-0.29,47.89,71.49,84.1,79.39,47.59,52.77,49.6,-0.03,70.03,40.5,5.45
Almería,38,1.11,1.32,12.58,4.29,0.05,0.05,21.66,1.84,336.16,435.26,148.79,170.53,144.11,168.55,34.79,72.29,0.66,0.64,9.18,22.89,5.58,2.26,28.87,15.53,28.47,16.66,9.79,9.32,5.84,1.5,7.37,15.32,7.95,11.32,8.24,22.53,0.5,550.05,69.84,202.92,245.34,107.74,16.16,550.0,17.55,7.87,292.84,11.16,3.47,14.47,7.08,333.16,2.45,0.16,0.11,12.58,12.97,1.97,0.05,0.24,0.0,45.16,14.66,15.45,2.37,1.97,5.32,3.32,0.16,0.24,0.16,0.03,0.05,1.85,4.76,16.18,30.34,4.74,7.68,16.55,0.76,1.24,30.11,21.55,72.87,23.5,27.47,17.16,0.08,-0.16,48.69,77.23,87.25,85.5,48.13,53.66,44.84,-0.06,62.41,29.42,4.59
Arsenal,38,2.26,2.06,17.03,5.5,0.26,0.26,31.18,4.0,502.47,593.63,255.76,280.08,205.5,230.66,31.0,56.89,1.63,1.52,13.5,40.68,14.42,1.79,55.42,21.61,54.95,16.05,9.16,6.76,6.47,2.82,7.13,14.29,7.16,10.84,7.68,13.55,0.47,697.18,51.95,176.68,300.18,225.26,38.95,696.92,17.66,7.45,428.87,15.13,8.61,13.82,9.87,497.82,1.68,0.05,0.03,10.29,10.37,2.29,0.24,0.08,0.03,46.11,13.24,13.13,1.37,0.76,2.18,1.42,0.47,0.08,0.05,0.03,0.0,0.63,4.13,11.61,29.95,4.97,3.03,9.87,1.26,1.55,26.37,23.68,131.97,35.18,63.76,16.29,0.03,0.1,50.21,84.64,91.32,89.09,54.49,53.69,42.19,-0.21,65.14,35.57,12.77
Aston Villa,38,1.89,1.72,13.45,4.79,0.11,0.11,24.0,3.39,424.55,509.55,187.11,207.32,194.24,217.71,35.0,62.32,1.45,1.12,10.47,30.53,9.55,1.76,38.18,20.39,37.84,14.39,8.18,7.08,5.53,1.79,6.84,14.47,7.63,10.24,6.21,15.71,0.34,606.82,73.87,215.03,253.58,143.66,26.58,606.71,19.92,9.08,380.29,12.89,5.71,12.55,10.95,416.42,2.47,0.05,0.0,10.84,12.45,1.24,0.11,0.05,0.11,42.61,8.79,9.55,1.66,1.61,4.55,3.03,0.21,0.05,0.03,0.03,0.0,1.62,3.58,10.0,38.05,4.63,4.89,11.03,1.34,1.84,18.34,23.5,96.42,27.39,43.61,15.03,0.03,0.1,47.93,83.32,90.25,89.22,56.16,52.04,45.58,0.01,66.59,35.8,12.15
Atalanta,38,1.89,1.55,14.18,5.18,0.13,0.13,25.55,3.37,422.39,525.29,191.58,218.97,183.05,210.24,38.58,69.53,1.5,1.02,11.5,32.18,10.03,3.0,46.16,18.82,45.61,16.13,9.71,7.18,6.55,2.39,7.66,15.71,8.05,12.71,8.95,16.16,0.18,635.16,58.47,197.21,280.47,162.79,24.0,635.03,16.26,7.53,344.53,13.66,4.61,16.34,9.92,418.82,2.0,0.03,0.03,12.79,9.66,1.66,0.11,0.24,0.03,53.24,16.5,12.92,2.21,1.11,3.74,2.61,0.39,0.24,0.16,0.05,0.03,1.05,4.24,12.08,25.79,5.61,6.95,11.68,0.79,1.45,29.42,26.26,110.58,28.92,41.63,17.37,0.08,0.22,56.08,80.41,87.49,87.07,55.49,54.55,46.31,-0.06,69.79,35.1,6.76
Athletic Club,38,1.55,1.4,12.05,4.29,0.08,0.13,21.5,2.71,381.82,492.74,173.63,200.0,162.79,191.79,36.66,74.53,1.08,1.06,9.34,31.71,9.03,2.97,42.37,19.34,42.0,15.29,9.53,5.71,6.95,2.63,8.03,16.71,8.68,11.03,7.32,16.61,0.11,601.18,51.71,167.79,279.39,160.08,23.71,601.03,19.55,8.89,328.61,13.89,5.08,15.03,9.63,378.08,2.11,0.13,0.08,13.45,11.26,2.05,0.11,0.13,0.11,52.89,14.24,13.82,1.26,0.97,3.53,2.58,0.47,0.13,0.03,0.08,0.03,1.06,6.26,19.16,27.89,4.32,6.89,12.92,0.87,1.29,28.05,24.66,103.71,24.21,40.79,17.55,0.11,0.11,50.77,77.49,86.82,84.88,49.19,54.87,45.47,0.08,73.09,32.67,6.73
Atlético Madrid,38,1.79,1.66,12.5,5.18,0.13,0.16,22.42,3.16,449.05,544.97,227.74,250.92,169.29,195.32,37.95,66.89,1.26,1.16,9.45,32.26,10.0,1.79,42.03,19.95,41.58,17.21,10.5,8.11,6.92,2.18,8.61,17.66,9.05,12.11,6.74,20.87,0.21,651.29,62.32,207.37,300.13,149.0,25.11,651.13,14.92,7.82,379.0,14.37,4.76,14.03,7.97,445.55,2.34,0.13,0.08,11.53,11.76,3.24,0.11,0.05,0.0,49.89,11.11,10.32,0.79,1.13,3.79,2.66,0.34,0.05,0.03,0.0,0.03,1.05,3.0,8.84,19.47,4.74,7.45,15.24,0.95,0.58,21.42,22.0,103.55,25.58,41.66,19.11,0.03,0.08,51.87,82.4,90.76,86.67,56.73,54.8,52.41,-0.08,70.18,33.94,6.23
Augsburg,34,1.44,1.39,12.62,3.62,0.15,0.21,21.35,2.29,310.15,419.47,121.97,146.74,142.68,173.59,37.41,73.26,1.03,1.11,8.79,27.03,8.35,2.62,33.44,13.59,33.0,15.53,9.38,6.88,6.53,2.12,6.97,14.47,7.5,12.91,8.68,21.38,0.26,533.24,62.71,183.12,225.82,129.79,23.38,533.03,15.62,6.91,279.29,9.21,2.68,15.68,6.94,305.71,2.09,0.09,0.03,13.35,9.94,2.38,0.15,0.29,0.06,49.09,17.26,17.71,1.62,1.76,5.38,3.62,0.09,0.29,0.21,0.06,0.03,1.65,5.44,14.41,36.03,2.88,6.21,15.29,0.88,1.53,34.97,22.62,80.03,23.65,37.03,16.35,0.09,0.04,49.36,73.94,83.12,82.19,51.06,54.5,44.24,-0.07,67.29,37.75,5.76
Barcelona,38,2.0,2.06,15.47,5.76,0.16,0.18,27.97,3.58,565.95,651.61,278.89,302.13,229.58,253.08,45.18,68.53,1.45,1.53,12.03,44.79,10.66,2.18,50.66,25.37,50.29,15.03,9.55,7.13,5.87,2.03,6.39,13.76,7.37,9.55,6.76,15.08,0.45,755.71,57.66,193.68,375.32,192.45,28.34,755.53,21.74,10.11,467.58,19.16,6.89,15.92,8.03,560.42,2.29,0.05,0.03,10.84,12.34,2.61,0.16,0.05,0.0,47.08,11.92,10.5,1.45,1.16,3.71,2.55,0.45,0.05,0.05,0.0,0.0,1.09,2.97,5.68,29.47,4.24,5.55,11.84,0.39,0.95,22.42,23.95,126.32,31.55,48.08,15.95,0.0,-0.03,53.17,86.85,92.31,90.71,65.93,55.37,46.5,-0.06,68.73,52.29,3.29
Bayern Munich,34,2.74,2.57,18.62,6.74,0.15,0.15,34.0,4.88,587.85,674.88,272.18,296.88,262.59,286.53,43.41,64.94,2.09,2.14,14.88,45.97,13.47,2.53,57.09,27.76,56.65,15.29,9.5,6.68,5.62,3.0,7.21,15.0,7.79,11.12,8.47,13.91,0.53,783.65,62.09,209.62,365.06,216.68,35.71,783.5,26.68,14.15,483.88,20.71,8.12,13.76,10.5,583.74,1.38,0.06,0.03,8.94,9.0,1.76,0.06,0.12,0.0,52.0,12.06,9.38,2.76,1.32,3.65,2.29,0.32,0.12,0.09,0.03,0.0,1.2,2.91,7.12,33.59,5.0,4.29,10.03,0.41,1.41,21.44,24.26,141.5,38.88,59.82,16.71,0.03,0.07,56.25,87.1,91.68,91.64,66.85,55.17,53.04,-0.1,62.74,40.87,4.09
Betis,38,1.21,1.18,12.87,3.95,0.05,0.08,22.89,2.05,402.89,499.45,194.68,217.37,156.42,181.92,36.39,67.39,0.82,0.89,9.68,27.29,8.61,1.39,37.92,17.79,37.47,18.21,11.58,8.03,7.89,2.29,9.42,17.97,8.55,11.11,9.08,21.08,0.24,614.08,61.55,197.29,276.63,146.18,23.32,614.0,20.87,10.16,343.5,13.03,4.89,16.47,11.24,399.58,2.29,0.08,0.03,11.29,13.08,1.92,0.03,0.21,0.08,50.55,12.61,13.16,2.45,1.18,4.16,3.03,0.34,0.21,0.18,0.03,0.0,1.25,4.74,13.42,26.92,4.39,7.32,14.24,1.0,1.11,25.76,27.71,93.18,24.95,38.21,21.0,0.03,0.03,48.95,80.67,89.56,85.98,54.0,58.04,48.68,0.06,72.84,35.32,7.02
