Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Alavés,38,13.02,33.07,42.97,27.08,31.77,63.02,45.83,16.15,5.21,4.69,6.25,8.33,3.12,2.6,29.17,74.48,28.65,31.77,42.71,24.48,38.8,90.36,27.6,25.26,27.6,31.51,32.81,41.93,42.19,29.69,45.31,57.29,33.85,9.64,19.79,71.61,88.8,4.17,12.76,2.6,4.17,29.17,39.58,4.17,35.42,52.08,3.12,14.58,33.07,52.08,61.46,5.21,47.14,68.49,77.08,28.39,62.5,43.49,77.34,30.73,35.68,36.72,79.69,16.67,10.94,71.35,27.34,34.9,66.67,69.79,80.73,32.29,41.15,26.3,95.31,92.19,14.58,13.54,85.42,55.73,47.4,45.83,83.85,59.9,28.12,38.54,41.67,36.46,28.91,10.16,33.33,5.21,9.38,4.17,11.46,25.52,79.69,51.3,66.67,77.34,42.19
Almería,38,31.77,43.49,52.08,57.81,22.66,15.89,47.14,29.95,28.12,26.56,32.81,31.77,29.17,24.48,20.31,48.44,19.01,11.2,46.88,13.54,11.98,67.71,13.02,33.33,13.02,60.68,51.3,87.76,35.16,17.97,33.33,38.02,53.65,47.66,42.71,80.73,20.05,26.04,70.31,58.85,32.29,9.38,12.76,26.04,52.08,43.49,27.08,31.25,28.65,64.58,82.29,28.12,30.47,21.61,14.58,30.47,87.5,32.29,25.0,23.44,77.86,17.19,72.4,25.0,46.35,18.23,75.0,65.89,27.86,77.08,61.46,73.96,94.79,83.33,60.94,78.12,60.42,65.36,75.0,90.1,47.4,70.05,76.04,80.99,16.41,42.45,13.54,42.19,86.46,23.44,38.28,33.33,42.97,41.15,15.62,35.42,38.02,43.23,20.31,16.15,34.64
Arsenal,38,94.27,93.75,95.83,89.84,91.67,87.5,95.83,95.05,86.46,86.98,91.15,91.67,79.69,81.25,5.99,2.6,91.67,95.83,95.83,91.67,99.48,38.8,95.83,86.98,95.83,47.92,34.38,23.96,55.47,89.06,28.65,23.96,78.65,34.9,28.39,9.9,25.26,85.94,4.69,17.19,73.44,98.44,99.48,85.94,52.6,33.59,81.25,76.56,97.92,78.91,12.76,86.98,85.42,62.24,45.57,81.77,28.12,16.67,87.24,78.12,47.14,22.14,56.77,45.83,13.8,95.83,0.52,0.52,92.97,22.4,24.48,73.96,41.15,0.52,48.96,45.31,57.81,75.78,1.04,9.38,90.36,84.38,55.21,47.4,95.31,96.35,98.96,29.69,65.62,71.35,54.17,86.46,86.46,79.17,46.88,35.94,12.76,13.28,34.38,46.35,98.96
Aston Villa,38,79.95,82.03,68.23,71.09,42.19,29.95,70.57,84.9,64.58,59.9,65.62,64.58,72.4,69.79,22.14,9.9,83.85,72.14,70.83,57.03,80.21,36.98,51.04,81.25,51.04,20.83,14.84,30.99,20.83,32.29,23.7,27.34,62.5,23.96,4.43,21.35,45.83,53.65,81.77,78.12,38.02,60.42,83.33,53.65,78.12,69.27,59.9,52.08,78.65,95.31,3.12,63.02,29.43,62.24,77.08,70.05,79.17,82.55,47.4,82.55,14.32,6.25,8.85,84.9,29.17,38.02,55.47,51.82,45.83,17.97,20.05,73.96,41.15,71.61,29.69,30.73,92.71,56.51,19.53,20.31,94.27,91.67,8.33,51.56,58.85,76.04,82.29,16.15,65.62,71.35,33.85,77.08,77.6,80.73,56.25,15.1,43.23,66.93,43.23,48.44,97.92
Atalanta,38,79.95,69.27,76.82,82.55,59.11,45.31,79.17,83.33,63.02,67.19,68.75,70.31,61.98,61.98,46.88,36.46,86.46,59.9,85.16,67.71,85.94,94.53,82.81,68.75,82.81,51.04,48.7,35.94,60.94,73.18,46.09,45.57,52.6,78.12,62.5,26.56,82.55,68.75,19.27,52.08,60.94,81.25,70.83,68.75,34.38,36.46,44.79,59.11,59.11,23.96,10.42,63.54,65.1,68.49,45.57,26.56,16.15,54.69,47.4,23.44,47.14,84.9,87.5,47.14,42.97,82.29,20.83,27.08,84.64,77.08,61.46,85.16,87.76,15.36,51.04,48.44,25.52,91.67,60.42,29.17,50.52,78.12,72.92,11.46,81.25,81.51,76.04,43.23,86.46,91.93,93.75,54.69,47.4,60.42,53.65,49.48,53.12,43.23,64.58,42.19,64.58
Athletic Club,38,67.19,57.03,42.97,57.81,31.77,45.31,45.83,67.45,44.79,52.08,55.21,59.9,44.79,45.83,33.59,64.06,66.15,66.67,50.0,63.54,75.0,93.75,71.35,73.96,71.35,32.81,42.19,9.9,73.44,82.55,55.47,60.68,41.93,40.62,17.71,32.29,94.53,51.56,4.17,8.85,59.9,76.56,67.19,51.56,75.0,66.67,37.5,64.06,68.23,52.86,18.23,44.79,55.99,28.65,22.92,16.67,51.04,25.52,47.4,57.81,14.32,82.29,68.75,39.84,10.94,89.32,15.1,25.0,92.97,42.71,20.05,91.15,87.76,17.71,84.9,88.54,41.93,46.88,59.9,44.79,59.38,72.4,63.02,30.21,72.4,50.0,72.4,46.61,92.71,74.22,59.9,34.9,37.5,35.94,20.31,53.91,41.15,77.6,83.33,27.6,63.8
Atlético Madrid,38,77.08,77.34,50.78,82.55,59.11,53.65,53.12,79.17,72.4,75.0,86.46,85.94,49.48,48.96,42.71,27.08,75.78,79.69,52.6,68.75,84.9,38.8,70.83,78.39,70.57,68.75,69.01,58.33,72.14,61.98,72.92,70.83,31.77,67.71,10.42,66.67,79.69,74.48,37.5,66.93,72.92,67.19,77.6,74.48,20.57,42.19,59.38,70.31,62.5,74.22,59.9,73.96,35.42,28.65,22.92,55.21,60.94,2.6,47.4,82.55,77.86,56.77,29.69,79.17,4.69,79.17,24.74,30.73,78.65,17.97,20.05,32.29,87.76,15.36,18.23,18.23,2.6,65.36,71.35,76.04,69.79,17.19,21.88,76.56,71.88,61.72,76.56,72.4,65.62,65.36,68.23,70.83,81.77,54.43,59.38,52.6,92.19,35.68,67.71,35.42,55.73
Augsburg,34,60.42,54.43,52.86,28.39,63.8,72.4,43.75,53.39,17.19,19.27,10.94,11.98,26.56,30.21,37.5,55.21,63.28,70.31,35.42,38.02,62.5,85.94,28.65,19.79,28.91,36.98,38.54,25.78,60.16,59.11,26.04,27.34,67.97,82.29,56.25,72.92,66.15,18.23,39.06,25.0,18.75,40.1,65.62,18.23,26.04,25.0,20.31,10.42,9.11,39.58,85.94,16.67,57.81,49.48,45.57,18.23,21.35,14.84,66.15,15.36,30.99,52.34,90.1,8.59,24.48,24.48,78.39,78.91,14.84,85.16,80.73,88.28,87.76,72.92,72.92,63.54,87.5,4.95,44.27,77.08,61.2,83.33,91.67,66.15,26.56,45.83,56.25,30.21,89.32,59.9,47.4,14.06,6.77,16.15,30.21,48.96,30.73,38.8,46.88,62.5,48.96
Barcelona,38,87.24,93.75,86.46,92.71,67.19,63.02,89.58,89.32,95.31,95.31,95.31,95.31,95.31,94.27,81.77,33.33,83.85,96.35,88.02,96.35,90.62,63.28,92.19,96.88,92.19,27.86,42.71,33.59,36.46,50.78,12.24,17.19,70.31,9.64,11.2,16.67,27.08,94.27,16.15,47.4,96.88,93.75,90.62,94.27,90.62,84.9,90.1,94.79,90.1,32.81,57.55,95.31,40.89,62.24,45.57,70.05,76.82,8.85,70.05,82.55,77.86,31.25,41.41,77.6,16.93,76.82,20.31,23.96,90.1,17.97,24.48,32.29,41.15,19.27,17.19,4.17,54.17,43.49,29.69,33.33,16.41,43.75,30.47,45.31,93.75,89.58,92.19,26.3,28.91,44.79,78.91,94.79,95.05,95.83,96.09,62.5,55.73,43.23,56.77,99.48,16.15
Bayern Munich,34,98.96,100.0,98.44,97.92,63.8,51.04,98.44,99.48,97.4,97.4,93.75,94.27,98.96,98.96,75.0,17.19,99.22,99.74,97.92,97.4,98.44,83.85,98.96,98.44,98.96,32.81,40.89,22.92,25.26,94.79,30.47,33.33,57.29,42.71,47.4,11.98,15.62,97.4,35.94,71.35,95.83,97.4,97.92,97.4,100.0,100.0,92.71,96.35,96.35,79.95,5.21,97.4,94.01,58.33,45.57,96.88,9.38,47.14,28.39,63.54,77.86,77.08,44.53,87.5,51.56,63.8,17.71,13.02,72.14,36.98,35.68,73.96,41.15,27.86,16.15,11.72,71.88,77.86,10.16,11.98,17.97,76.56,22.4,36.98,98.44,98.44,97.92,35.16,65.62,63.28,94.27,95.31,90.1,97.4,97.92,58.85,93.75,31.25,22.4,78.65,25.26
