Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
AJ Marcucci,us USA,GK,25-353,1999,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,31.0,5.0,5.0,5.0,5.0,8.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.06,100.0,100.0,38.1,0.0,0.0
Aaron Connolly,ie IRL,MO,24,2000,24,8,905,0.2,0.23,1.59,0.8,0.0,0.1,1.19,0.1,10.94,16.11,5.77,8.06,3.68,4.67,0.9,1.59,0.0,0.1,0.03,0.4,1.59,0.2,0.1,1.69,1.29,1.69,5.17,0.9,0.5,0.1,0.6,0.2,0.5,0.8,0.3,0.5,0.1,1.19,0.0,27.94,0.5,3.08,13.52,11.83,1.79,27.85,3.38,1.09,20.29,1.29,1.29,0.6,2.19,2.98,21.98,5.17,0.3,0.0,0.0,0.9,3.98,0.1,0.1,0.0,0.0,2.69,0.99,2.78,3.78,5.17,13.33,1.29,2.69,0.99,-0.13,26.19,67.91,71.59,78.8,56.6,58.82,32.25
Aaron Herrera,gt GUA,MF,28-043,1997,18,16,1442,0.0,0.04,0.81,0.25,0.0,0.0,3.12,0.25,40.69,53.68,15.54,18.04,17.66,21.35,6.74,11.92,0.12,0.12,0.18,1.69,2.62,1.87,0.94,4.12,1.87,4.12,3.12,1.5,0.87,0.87,0.56,0.06,1.19,1.56,0.37,0.94,1.06,3.12,0.0,63.6,3.18,17.73,29.02,17.66,1.19,63.6,1.87,0.81,32.83,1.87,2.12,0.44,0.94,0.5,35.64,3.12,0.37,0.0,0.0,0.87,0.56,0.06,0.0,0.0,0.0,4.49,1.62,0.69,2.31,1.44,12.23,3.37,4.43,2.06,-1.0,70.13,75.8,86.14,82.72,56.54,67.32,43.32
Aaron Long,us USA,DF,32-280,1992,15,15,1271,0.07,0.06,0.28,0.07,0.0,0.0,1.2,0.07,69.89,73.93,23.44,24.43,41.64,42.77,4.32,5.74,0.0,0.01,0.02,0.21,6.02,0.07,0.0,4.04,0.42,4.04,0.14,1.13,0.85,0.92,0.21,0.0,0.5,0.85,0.35,1.7,0.21,5.52,0.0,84.41,8.21,34.91,46.03,3.54,0.64,84.41,0.14,0.0,52.26,0.42,0.35,0.0,0.28,0.07,63.52,0.14,0.0,0.0,0.0,0.64,0.28,0.0,0.0,0.0,0.0,3.33,2.41,0.57,2.97,0.35,4.74,1.27,0.71,1.35,0.17,81.14,94.54,95.95,97.36,75.26,68.18,0.0
Aaron Meijers,nl NED,DF,36,1987,17,9,753,0.0,0.01,0.24,0.0,0.0,0.0,1.67,0.0,35.02,48.17,16.02,18.41,15.18,19.12,2.75,7.53,0.0,0.05,0.06,0.84,2.75,0.96,0.12,3.35,1.31,3.35,2.63,1.79,0.96,1.2,0.48,0.12,1.2,2.63,1.43,1.2,1.2,2.87,0.0,57.01,3.94,19.0,25.82,12.55,0.36,57.01,0.36,0.12,25.58,1.31,0.6,0.12,0.36,0.24,30.36,2.63,0.12,0.12,0.0,0.6,1.08,0.12,0.0,0.0,0.0,2.99,2.15,1.2,3.35,0.6,9.92,1.67,1.55,2.15,-1.0,64.18,72.7,87.02,79.39,36.52,48.87,33.33
Aaron Mejía Montoya,mx MEX,MF,23,2001,30,19,1813,0.0,0.01,0.3,0.0,0.0,0.0,1.64,0.15,37.18,44.58,19.76,21.64,14.0,16.88,2.43,3.82,0.05,0.06,0.03,0.6,3.38,0.3,0.1,3.33,0.74,3.33,3.18,1.39,0.89,0.74,0.5,0.15,0.74,1.44,0.69,0.94,0.65,2.33,0.05,53.22,2.58,15.09,27.35,11.02,0.55,53.22,0.74,0.3,28.0,0.74,0.45,0.1,1.79,0.5,32.91,3.18,0.15,0.0,0.0,1.79,1.39,0.05,0.0,0.05,0.0,3.62,0.99,1.19,2.18,2.28,10.42,1.79,1.04,1.64,-1.0,45.41,83.4,91.31,82.94,63.61,57.6,40.54
Aaron Nicolás Molinas,ar ARG,MO,24-351,2000,15,13,1003,0.18,0.08,1.44,0.54,0.0,0.0,3.77,0.27,39.03,48.63,18.04,20.1,14.81,17.95,5.2,7.63,0.09,0.12,0.14,1.88,5.56,1.26,0.18,7.72,2.69,7.72,6.1,1.44,0.9,0.45,0.81,0.18,0.9,1.17,0.27,1.26,0.27,0.63,0.0,56.98,0.54,4.67,30.24,22.97,1.17,56.98,1.79,1.44,31.85,2.69,2.15,0.09,1.7,1.44,41.9,6.1,0.18,0.0,0.0,1.17,0.63,0.0,0.0,0.0,0.0,4.13,0.54,1.53,2.06,3.14,22.61,4.04,2.69,1.79,1.25,26.21,80.26,89.75,82.51,68.15,68.97,80.45
Aaron Quirós,ar ARG,DF,23-261,2001,10,8,680,0.0,0.01,0.26,0.0,0.0,0.0,0.26,0.0,41.56,53.47,10.46,12.57,25.68,28.72,4.9,10.99,0.0,0.0,0.0,0.0,1.72,0.0,0.0,4.1,0.4,4.1,0.0,1.72,1.06,1.06,0.53,0.13,1.32,1.85,0.53,0.53,1.59,6.88,0.0,66.44,6.75,34.94,29.91,2.25,0.79,66.44,0.93,0.53,35.47,0.4,0.4,0.0,0.66,0.0,38.91,0.0,0.66,0.26,0.26,1.19,1.19,0.0,0.0,0.0,0.0,3.18,2.78,1.72,4.5,0.66,4.5,0.26,0.79,2.38,-1.0,61.78,77.73,83.21,89.42,44.59,66.67,56.99
Aaron Ramsey,wls WAL,MF,33,1990,9,6,564,0.0,0.13,1.6,0.64,0.0,0.0,2.39,0.16,45.64,59.04,19.47,22.98,20.43,22.82,4.47,8.94,0.0,0.03,0.05,1.6,4.79,1.12,0.16,5.74,1.44,5.74,4.15,2.55,1.44,0.48,1.6,0.48,1.12,1.91,0.8,0.64,0.96,0.48,0.0,69.57,2.55,14.04,39.1,17.23,1.28,69.57,0.96,0.32,37.5,1.44,1.91,0.0,1.44,1.6,45.48,4.15,0.16,0.0,0.0,2.39,1.12,0.64,0.0,0.0,0.16,5.74,0.48,1.28,1.76,3.03,15.48,2.55,2.55,2.55,-1.0,27.27,77.3,84.73,89.53,50.0,57.4,33.33
Aarón Arredondo,mx MEX,MF,21,2003,2,2,179,0.0,0.0,1.51,0.0,0.0,0.0,2.51,0.5,47.77,52.79,15.59,17.09,24.13,25.14,7.54,9.05,0.5,0.15,0.1,1.51,5.03,0.5,0.0,6.03,0.5,6.03,1.01,1.51,1.01,0.5,1.01,0.0,0.5,1.01,0.5,1.01,1.01,1.51,0.0,59.33,3.02,15.08,38.72,6.54,0.0,59.33,0.5,0.5,41.73,0.5,1.01,0.0,1.51,0.0,43.74,1.01,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.03,0.0,0.5,0.5,1.51,8.55,3.02,0.5,1.51,0.0,0.0,90.49,91.22,95.98,83.31,59.92,100.0
