Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
AJ Marcucci,us USA,GK,NY Red Bulls,25-353,1999,1,1,90,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0,16.0,27.0,3.0,4.0,8.0,1.0,2.0,0.0,-0.42857142857142866,50.0,400.0,12.5
Adam Beaudry,us USA,GK,Colorado Rapids,19-092,2006,1,1,90,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,18.0,21.0,6.0,6.0,4.0,0.0,0.0,0.0,-0.3043478260869566,60.0,450.0,0.0
Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,1.0,2.33,1.33,0.33,0.0,0.0,0.0,0.0,0.9,5.33,12.67,26.33,5.33,5.67,16.33,1.33,0.0,0.0,-0.11111111111111108,57.08154506437768,237.7110694183865,8.14451928965095
Adrian Šemper,hr CRO,GK,Pisa,26,1998,36,36,3240,0.92,3.36,2.47,0.31,0.03,0.03,0.0,0.0,1.04,7.33,17.28,28.17,2.36,4.92,14.08,1.06,0.61,0.0,0.11538461538461538,73.51190476190477,235.74351978171896,7.528409090909091
Agustín Marchesín,ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,0.69,3.06,2.38,0.5,0.0,0.0,0.0,0.0,0.82,3.31,9.0,20.81,4.38,8.44,14.19,0.75,0.44,0.0,0.15853658536585366,77.77777777777777,271.9033232628399,5.2854122621564485
Agustín Rossi,ar ARG,GK,Flamengo,29-332,1995,19,19,1710,0.42,2.58,2.05,0.68,0.16,0.05,0.11,0.0,0.51,2.68,7.58,25.53,3.11,3.79,10.74,0.79,0.84,0.11,0.17647058823529416,79.45736434108525,282.8358208955224,7.355679702048417
Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,1.23,3.18,2.0,0.32,0.09,0.09,0.0,0.0,0.98,2.82,10.82,14.68,2.45,7.73,12.82,0.41,0.36,0.0,-0.25510204081632654,62.893081761006286,383.68794326241135,3.1981279251170047
Aldair Quintana,co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,1.67,5.67,3.83,0.17,0.33,0.17,0.17,0.0,1.75,4.33,10.67,21.0,5.5,7.17,13.33,0.67,1.0,0.17,0.045714285714285756,67.54850088183422,246.4203233256351,5.026256564141035
Alec Smir,us USA,GK,Minnesota Utd,26-097,1999,2,1,161,1.68,5.03,3.35,0.0,0.0,0.0,0.0,0.0,1.68,5.59,21.24,22.36,1.68,6.15,17.89,0.0,1.12,0.0,0.0,66.60039761431412,379.96422182468694,0.0
Alessandro Micai,it ITA,GK,Cosenza,31,1993,37,37,3296,1.45,4.26,2.92,0.19,0.08,0.05,0.0,0.03,1.26,7.1,18.38,32.44,3.58,5.41,15.05,1.5,2.32,0.03,-0.15079365079365076,68.54460093896714,258.8732394366197,9.966777408637872
Alessandro Russo,it ITA,GK,Sassuolo,23,2001,1,1,90,1.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,3.0,28.0,12.0,4.0,8.0,2.0,1.0,0.0,0.3333333333333333,80.0,300.0,25.0
Alessandro Sorrentino,it ITA,GK,Frosinone,22,2002,2,2,180,3.5,7.5,4.0,0.0,0.5,0.5,0.0,0.0,2.85,4.0,10.0,24.0,4.5,4.5,13.5,0.5,0.0,0.0,-0.22807017543859645,53.333333333333336,250.0,3.7037037037037037
Alessio Cragno,it ITA,GK,Sampdoria,30,1994,14,14,1260,1.0,2.71,1.71,0.43,0.07,0.07,0.0,0.0,1.06,6.64,16.43,23.29,3.79,7.57,14.5,1.5,1.29,0.0,0.05660377358490571,63.09963099630996,247.43975903614458,10.344827586206897
Alex Muralha,br BRA,GK,Mirassol,35-251,1989,6,6,540,1.5,4.17,2.67,0.0,0.17,0.17,0.0,0.0,1.3,2.17,8.83,20.5,3.17,5.67,18.83,0.5,2.33,0.0,-0.1538461538461538,64.02877697841727,406.9124423963134,2.6553372278279346
Alex Padilla,es ESP,GK,UNAM,20,2003,10,10,900,1.7,3.9,2.2,0.2,0.1,0.1,0.0,0.0,1.35,4.8,13.1,26.4,4.0,6.7,12.4,0.9,0.6,0.0,-0.25925925925925913,56.410256410256416,272.9166666666667,7.258064516129032
Alex Palmer,eng ENG,GK,West Brom,27,1996,30,30,2700,0.9,3.37,2.57,0.37,0.03,0.03,0.0,0.0,0.9,4.57,14.77,35.67,4.77,5.27,15.47,1.1,1.4,0.0,0.0,76.26112759643917,323.1947483588621,7.110536522301229
Alexis Martin Arias,ar ARG,GK,py Cerro Porteño,33-015,1992,3,3,270,2.0,7.0,5.0,0.33,0.0,0.0,0.0,0.0,1.9,11.0,21.0,16.33,2.67,12.33,19.33,0.33,0.67,0.0,-0.052631578947368474,71.42857142857143,190.9090909090909,1.7071908949818935
Alexis Villa,ec ECU,GK,ec LDU de Quito,23-300,2001,1,0,14,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,12.86,38.57,25.71,0.0,12.86,12.86,0.0,0.0,0.0,,,299.92223950233284,0.0
Alfonso Blanco Antúnez,mx MEX,GK,León,37,1987,26,26,2340,1.27,4.96,3.77,0.27,0.15,0.12,0.0,0.04,1.36,4.92,12.65,26.73,4.92,9.27,14.04,0.42,0.77,0.04,0.06617647058823535,76.00806451612904,257.1138211382114,2.9914529914529915
Alfred Gomis,sn SEN,GK,Palermo,30,1993,1,1,36,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,40.0,5.0,2.5,7.5,0.0,0.0,0.0,,100.0,100.0,0.0
Aljaž Ivačič,si SVN,GK,NE Revolution,31-202,1993,22,22,1980,1.36,4.14,2.77,0.36,0.18,0.18,0.0,0.0,1.25,3.64,12.27,18.41,2.45,8.45,12.59,0.41,0.36,0.0,-0.08800000000000008,66.90821256038647,337.08791208791206,3.256552819698173
Anatolii Trubin,ua UKR,GK,Benfica,22,2001,32,32,2880,0.88,3.16,2.25,0.41,0.09,0.06,0.03,0.0,1.05,2.28,6.12,21.75,4.28,5.09,8.97,0.69,0.56,0.03,0.16190476190476194,71.20253164556962,268.42105263157896,7.692307692307692
Andre Blake,jm JAM,GK,Philadelphia Union,34-240,1990,14,14,1260,0.93,3.29,2.36,0.36,0.14,0.14,0.0,0.0,1.07,5.36,11.71,23.36,3.21,5.5,10.64,0.5,1.64,0.0,0.13084112149532712,71.73252279635258,218.47014925373134,4.6992481203007515
Andrea Fulignati,it ITA,GK,Cremonese,29,1994,38,38,3420,1.16,3.05,1.95,0.21,0.16,0.13,0.0,0.03,1.07,4.21,10.53,38.11,3.66,3.61,12.18,0.89,1.11,0.03,-0.08411214953271014,63.9344262295082,250.1187648456057,7.307060755336617
Andreas Jungdal,dk DEN,GK,Westerlo,22,2002,8,8,720,1.25,3.38,2.12,0.25,0.25,0.12,0.12,0.0,1.15,6.0,17.62,32.88,5.0,6.75,16.25,1.0,1.25,0.12,-0.08695652173913052,62.72189349112426,293.6666666666667,6.153846153846154
Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,1.39,3.79,2.42,0.21,0.21,0.18,0.0,0.03,1.3,3.91,10.82,29.36,4.79,8.42,14.79,1.09,1.03,0.03,-0.06923076923076912,63.852242744063325,276.7263427109974,7.369844489519947
Andrew Rick,us USA,GK,Philadelphia Union,19-170,2006,9,9,810,1.0,2.22,1.22,0.44,0.0,0.0,0.0,0.0,0.99,5.44,14.89,17.11,3.11,7.0,9.22,0.33,0.67,0.0,-0.01010101010101011,54.95495495495495,273.7132352941176,3.579175704989154
Andrew Tarbell,us USA,GK,Houston Dynamo,31-285,1993,4,4,306,2.06,4.41,2.35,0.29,0.0,0.0,0.0,0.0,1.79,3.53,9.71,24.71,4.41,3.82,9.12,0.29,1.18,0.0,-0.15083798882681565,53.28798185941043,275.0708215297451,3.1798245614035086
Andrew Thomas,ru RUS,GK,Seattle Sounders,26-321,1998,4,4,360,2.75,6.25,3.5,0.0,1.0,1.0,0.0,0.0,2.38,0.75,6.25,16.75,5.0,5.25,13.0,1.5,0.25,0.0,-0.15546218487394964,56.0,833.3333333333334,11.538461538461538
Andries Noppert,nl NED,GK,Heerenveen,30,1994,16,16,1365,1.58,4.42,2.9,0.2,0.07,0.07,0.0,0.0,1.6,4.29,14.97,35.54,3.82,6.07,12.66,0.86,1.58,0.0,0.012500000000000011,65.61085972850678,348.95104895104896,6.79304897314376
Andrés Gudiño,mx MEX,GK,Cruz Azul,27,1997,1,1,90,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,3.0,32.0,4.0,5.0,5.0,0.0,0.0,0.0,-1.0,66.66666666666667,150.0,0.0
Andrés Sánchez,mx MEX,GK,Atlético,26,1997,30,30,2624,1.54,4.53,2.95,0.1,0.07,0.03,0.03,0.0,1.39,3.16,9.33,29.7,4.63,9.23,13.65,0.79,1.68,0.03,-0.10791366906474831,65.12141280353201,295.253164556962,5.787545787545787
Angus Gunn,sct SCO,GK,Norwich City,28,1996,35,35,3104,1.22,3.57,2.41,0.2,0.12,0.12,0.0,0.0,1.06,2.06,8.61,35.14,4.99,4.44,13.6,0.7,1.74,0.0,-0.150943396226415,67.50700280112045,417.9611650485437,5.147058823529412
Anthoni,br BRA,GK,Internacional,23-177,2002,18,17,1575,1.49,3.83,2.46,0.23,0.06,0.06,0.0,0.0,1.09,2.57,8.23,15.94,2.74,7.49,11.14,0.57,1.09,0.0,-0.3669724770642201,64.22976501305483,320.2334630350195,5.1166965888689395
Anthony Moris,lu LUX,GK,Union SG,34,1990,30,30,2700,0.83,3.3,2.47,0.43,0.07,0.03,0.0,0.03,1.12,6.47,14.8,29.13,3.3,3.33,13.7,0.63,0.83,0.03,0.2589285714285715,74.84848484848486,228.7480680061824,4.598540145985401
Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42,42,3780,1.0,3.05,2.14,0.33,0.12,0.1,0.02,0.0,0.93,3.69,12.38,29.1,4.5,6.5,13.12,0.55,0.64,0.02,-0.07526881720430102,70.16393442622952,335.50135501355015,4.1920731707317085
