Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
AJ Marcucci,us USA,GK,NY Red Bulls,25-353,1999,1,1,90,1,2,1,0,0,0,0,0,0.7,4,16,27,3,4,8,1,2,0,-0.30000000000000004
Adam Beaudry,us USA,GK,Colorado Rapids,19-092,2006,1,1,90,3,5,3,0,0,0,0,0,2.3,4,18,21,6,6,4,0,0,0,-0.7000000000000002
Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,3,7,4,1,0,0,0,0,2.7,16,38,79,16,17,49,4,0,0,-0.2999999999999998
Adrian Šemper,hr CRO,GK,Pisa,26,1998,36,36,3240,33,121,89,11,1,1,0,0,37.3,264,622,1014,85,177,507,38,22,0,4.299999999999997
Agustín Marchesín,ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,11,49,38,8,0,0,0,0,13.2,53,144,333,70,135,227,12,7,0,2.1999999999999993
Agustín Rossi,ar ARG,GK,Flamengo,29-332,1995,19,19,1710,8,49,39,13,3,1,2,0,9.7,51,144,485,59,72,204,15,16,2,1.7000000000000002
Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,27,70,44,7,2,2,0,0,21.5,62,238,323,54,170,282,9,8,0,-5.499999999999999
Aldair Quintana,co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6,1,0.5
Alec Smir,us USA,GK,Minnesota Utd,26-097,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2,0,0.0
Alessandro Micai,it ITA,GK,Cosenza,31,1993,37,37,3296,53,156,107,7,3,2,0,1,46.3,260,673,1188,131,198,551,55,85,1,-6.700000000000003
Alessandro Russo,it ITA,GK,Sassuolo,23,2001,1,1,90,1,5,4,0,1,1,0,0,1.5,1,3,28,12,4,8,2,1,0,0.5
Alessandro Sorrentino,it ITA,GK,Frosinone,22,2002,2,2,180,7,15,8,0,1,1,0,0,5.7,8,20,48,9,9,27,1,0,0,-1.2999999999999998
Alessio Cragno,it ITA,GK,Sampdoria,30,1994,14,14,1260,14,38,24,6,1,1,0,0,14.9,93,230,326,53,106,203,21,18,0,0.9000000000000004
Alex Muralha,br BRA,GK,Mirassol,35-251,1989,6,6,540,9,25,16,0,1,1,0,0,7.8,13,53,123,19,34,113,3,14,0,-1.2000000000000002
Alex Padilla,es ESP,GK,UNAM,20,2003,10,10,900,17,39,22,2,1,1,0,0,13.5,48,131,264,40,67,124,9,6,0,-3.5
Alex Palmer,eng ENG,GK,West Brom,27,1996,30,30,2700,27,101,77,11,1,1,0,0,27.1,137,443,1070,143,158,464,33,42,0,0.10000000000000142
Alexis Martin Arias,ar ARG,GK,py Cerro Porteño,33-015,1992,3,3,270,6,21,15,1,0,0,0,0,5.7,33,63,49,8,37,58,1,2,0,-0.2999999999999998
Alexis Villa,ec ECU,GK,ec LDU de Quito,23-300,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0,0,0.0
Alfonso Blanco Antúnez,mx MEX,GK,León,37,1987,26,26,2340,33,129,98,7,4,3,0,1,35.3,128,329,695,128,241,365,11,20,1,2.299999999999997
Alfred Gomis,sn SEN,GK,Palermo,30,1993,1,1,36,0,2,2,0,0,0,0,0,0.0,1,1,16,2,1,3,0,0,0,0.0
Aljaž Ivačič,si SVN,GK,NE Revolution,31-202,1993,22,22,1980,30,91,61,8,4,4,0,0,27.5,80,270,405,54,186,277,9,8,0,-2.5
Anatolii Trubin,ua UKR,GK,Benfica,22,2001,32,32,2880,28,101,72,13,3,2,1,0,33.5,73,196,696,137,163,287,22,18,1,5.5
Andre Blake,jm JAM,GK,Philadelphia Union,34-240,1990,14,14,1260,13,46,33,5,2,2,0,0,15.0,75,164,327,45,77,149,7,23,0,2.0
Andrea Fulignati,it ITA,GK,Cremonese,29,1994,38,38,3420,44,116,74,8,6,5,0,1,40.6,160,400,1448,139,137,463,34,42,1,-3.3999999999999986
Andreas Jungdal,dk DEN,GK,Westerlo,22,2002,8,8,720,10,27,17,2,2,1,1,0,9.2,48,141,263,40,54,130,8,10,1,-0.8000000000000007
Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,46,125,80,7,7,6,0,1,42.9,129,357,969,158,278,488,36,34,1,-3.1000000000000014
Andrew Rick,us USA,GK,Philadelphia Union,19-170,2006,9,9,810,9,20,11,4,0,0,0,0,8.9,49,134,154,28,63,83,3,6,0,-0.09999999999999964
Andrew Tarbell,us USA,GK,Houston Dynamo,31-285,1993,4,4,306,7,15,8,1,0,0,0,0,6.1,12,33,84,15,13,31,1,4,0,-0.9000000000000004
Andrew Thomas,ru RUS,GK,Seattle Sounders,26-321,1998,4,4,360,11,25,14,0,4,4,0,0,9.5,3,25,67,20,21,52,6,1,0,-1.5
Andries Noppert,nl NED,GK,Heerenveen,30,1994,16,16,1365,24,67,44,3,1,1,0,0,24.3,65,227,539,58,92,192,13,24,0,0.3000000000000007
Andrés Gudiño,mx MEX,GK,Cruz Azul,27,1997,1,1,90,1,3,2,0,0,0,0,0,0.5,2,3,32,4,5,5,0,0,0,-0.5
Andrés Sánchez,mx MEX,GK,Atlético,26,1997,30,30,2624,45,132,86,3,2,1,1,0,40.5,92,272,866,135,269,398,23,49,1,-4.5
Angus Gunn,sct SCO,GK,Norwich City,28,1996,35,35,3104,42,123,83,7,4,4,0,0,36.4,71,297,1212,172,153,469,24,60,0,-5.600000000000001
Anthoni,br BRA,GK,Internacional,23-177,2002,18,17,1575,26,67,43,4,1,1,0,0,19.1,45,144,279,48,131,195,10,19,0,-6.8999999999999995
Anthony Moris,lu LUX,GK,Union SG,34,1990,30,30,2700,25,99,74,13,2,1,0,1,33.7,194,444,874,99,100,411,19,25,1,8.700000000000003
Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42,42,3780,42,128,90,14,5,4,1,0,39.1,155,520,1222,189,273,551,23,27,1,-2.8999999999999986
Arnaud Bodart,be BEL,GK,Standard Liège,26,1998,2,2,180,1,6,5,1,0,0,0,0,2.6,18,56,47,4,16,40,8,9,0,1.6
Arturo Delgado,mx MEX,GK,FC Juárez,22,2002,2,2,180,1,11,10,1,0,0,0,0,2.0,11,32,60,8,19,16,2,0,0,1.0
Axel Werner,ar ARG,GK,Rosario Central,29-141,1996,2,2,180,0,3,3,2,0,0,0,0,1.5,6,19,28,7,15,30,1,0,0,1.5
Aynsley Pears,eng ENG,GK,Blackburn,26,1998,40,40,3600,43,153,109,13,4,3,1,0,45.5,174,594,1071,127,193,600,20,15,1,2.5
Balázs Tóth,hu HUN,GK,Blackburn,26,1997,6,6,540,5,21,16,2,0,0,0,0,7.4,18,108,147,19,47,95,6,5,0,2.4000000000000004
Ben Killip,eng ENG,GK,Portsmouth,28,1995,2,2,180,2,9,7,0,0,0,0,0,2.5,20,52,76,8,14,30,0,1,0,0.5
Ben Wilson,eng ENG,GK,Coventry City,31,1992,4,4,360,5,22,17,2,0,0,0,0,4.8,16,72,118,17,18,47,3,10,0,-0.20000000000000018
Benjamin Lundt,de GER,GK,St. Louis,29-298,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6,1,0.09999999999999964
Benny Díaz,mx MEX,GK,FC Juárez,25,1998,11,11,990,26,63,37,2,5,5,0,0,21.9,47,141,299,55,103,174,8,19,0,-4.100000000000001
Blake Gillingham,us USA,GK,Houston Dynamo,22-281,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4,0,2.0999999999999996
Boris Radunović,rs SRB,GK,Bari,28,1996,37,37,3311,37,165,128,12,6,5,0,1,42.2,136,347,768,195,238,556,34,23,1,5.200000000000003
Brad Guzan,us USA,GK,Atlanta Utd,40-313,1984,21,21,1890,39,118,79,2,5,5,0,0,36.8,95,228,538,99,151,237,6,26,0,-2.200000000000003
Brad Stuver,us USA,GK,Austin,34-094,1991,22,22,1980,24,99,76,8,2,1,1,0,26.6,126,353,666,97,163,330,23,20,1,2.6000000000000014
Bradley Collins,eng ENG,GK,Coventry City,27,1997,15,14,1313,23,53,30,3,0,0,0,0,17.0,78,220,415,45,90,177,5,22,0,-6.0
Brayan Cortés,cl CHI,GK,cl Colo-Colo,30-130,1995,5,5,450,15,32,17,0,0,0,0,0,9.3,15,58,72,13,32,56,5,2,0,-5.699999999999999
Brenno,br BRA,GK,Fortaleza,26-109,1999,1,1,90,1,3,2,0,0,0,0,0,2.0,3,9,21,5,10,8,0,0,0,1.0
Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,1,3,2,0,0,0,0,0,1.0,5,9,28,3,3,14,0,2,0,0.0
Bruno Brigido,br BRA,GK,Estrela,33,1991,18,18,1575,30,83,54,1,2,2,0,0,27.3,66,243,425,90,132,257,9,15,0,-2.6999999999999993
Bruno Ferreira,br BRA,GK,Ceará,31-125,1994,6,6,513,5,15,10,2,0,0,0,0,5.6,33,114,115,13,54,97,4,4,0,0.5999999999999996
Bruno Varela,cv CPV,GK,Vitória,29,1994,34,34,3060,37,100,63,13,7,5,0,2,32.9,115,311,875,120,235,389,21,35,2,-4.100000000000001
C.J. dos Santos,us USA,GK,San Diego FC,24-329,2000,21,21,1890,29,90,61,7,5,4,1,0,28.0,27,65,590,91,85,188,12,32,1,-1.0
Caio Secco,br BRA,GK,Moreirense,33,1990,5,5,447,8,23,15,0,2,2,0,0,7.4,12,66,113,21,40,92,5,11,0,-0.5999999999999996
Camilo Vargas,co COL,GK,Atlas,35,1989,31,31,2790,52,151,99,7,4,3,1,0,42.3,126,404,866,137,249,429,11,32,1,-9.700000000000003
Carl Rushworth,eng ENG,GK,Hull City,23,2001,2,2,180,2,4,2,1,0,0,0,0,1.6,7,21,59,9,4,31,1,2,0,-0.3999999999999999
Carlos Acevedo,mx MEX,GK,Santos,28,1996,33,33,2970,65,187,125,3,3,2,1,0,55.3,164,429,823,151,309,522,16,28,1,-9.700000000000003
Carlos Coronel,py PAR,GK,NY Red Bulls,28-202,1996,22,22,1980,29,101,74,7,1,1,0,0,31.9,65,273,576,104,116,273,17,45,0,2.8999999999999986
Carlos Felipe Rodríguez,mx MEX,GK,UANL,35,1989,3,3,270,1,10,9,2,0,0,0,0,1.6,6,23,56,12,19,41,1,1,0,0.6000000000000001
Carlos Lampe,bo BOL,GK,bo Bolívar,38-124,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3,0,0.6
Carlos Moreno,mx MEX,GK,Pachuca,26,1998,32,32,2880,48,142,93,6,5,4,1,0,38.4,180,373,646,177,276,405,27,42,1,-9.600000000000001
Caíque França,br BRA,GK,Sport Recife,30-046,1995,11,11,990,18,49,32,2,4,3,0,1,15.7,35,91,196,46,90,141,9,10,1,-2.3000000000000007
Cesar López,mx MEX,GK,Atlético,24,2000,5,4,436,7,22,15,2,0,0,0,0,5.4,17,64,152,21,46,61,1,14,0,-1.5999999999999996
Cezary Miszta,pl POL,GK,Rio Ave,22,2001,26,26,2325,42,126,89,3,3,3,0,0,40.8,105,349,696,124,225,406,19,24,0,-1.2000000000000028
Chris Brady,us USA,GK,Chicago Fire,21-138,2004,16,16,1385,31,81,50,1,6,4,1,1,30.5,26,96,407,73,76,200,10,15,2,-0.5
Cleiton Schwengber,br BRA,GK,RB Bragantino,27-334,1997,12,12,1080,13,48,36,5,0,0,0,0,13.0,38,96,276,61,84,212,9,7,0,0.0
Cláudio Ramos,pt POR,GK,Porto,32,1991,2,2,180,3,8,5,0,1,1,0,0,3.3,4,10,44,6,7,14,2,2,0,0.2999999999999998
Colin Coosemans,be BEL,GK,Anderlecht,31,1992,28,28,2520,25,128,101,14,2,0,2,0,39.0,161,396,1227,105,93,383,21,35,2,14.0
Conor Hazard,nir NIR,GK,Plymouth Argyle,26,1998,25,25,2250,39,122,85,2,1,1,0,0,45.5,168,615,683,93,237,466,21,16,0,6.5
Cássio,br BRA,GK,Cruzeiro,38-043,1987,14,14,1260,9,57,47,7,1,0,1,0,13.3,42,113,182,35,106,233,5,9,1,4.300000000000001
César,br BRA,GK,Boavista,32,1992,16,16,1440,30,79,51,2,3,3,0,0,28.6,75,219,251,60,125,213,18,10,0,-1.3999999999999986
Daniel,br BRA,GK,SJ Earthquakes,31-074,1994,19,19,1595,27,96,69,2,1,1,0,0,31.3,68,200,454,78,101,227,13,35,0,4.300000000000001
Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,2,4,2,0,0,0,0,0,2.1,1,10,19,1,9,20,1,1,0,0.10000000000000009
Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,28,87,59,5,1,0,1,0,27.1,89,296,549,100,139,315,9,15,1,-0.8999999999999986
Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32,32,2880,52,163,112,5,6,6,0,0,52.2,182,406,874,145,263,513,23,26,0,0.20000000000000284
Daniel Figueira,pt POR,GK,Estoril,26,1998,1,1,90,4,7,3,0,1,1,0,0,2.4,2,6,19,6,5,16,1,0,0,-1.6
Daniel Grimshaw,eng ENG,GK,Plymouth Argyle,26,1998,21,21,1890,49,124,75,1,3,3,0,0,47.5,94,444,911,94,155,319,6,26,0,-1.5
Daniel Schmidt,jp JPN,GK,Gent,32,1992,1,1,90,0,5,5,1,0,0,0,0,2.1,2,11,37,5,2,7,1,0,0,2.1
David Bingham,us USA,GK,Charlotte,35-273,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1,0,0.3999999999999999
David Cornell,wls WAL,GK,Preston,33,1991,10,9,811,16,36,20,1,3,3,0,0,13.3,58,161,261,43,75,125,8,10,0,-2.6999999999999993
David Ochoa,us USA,GK,LAFC,24-184,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0,0,-0.09999999999999998
David Ospina,co COL,GK,co Nacional,36-322,1988,5,5,450,6,22,16,1,3,3,0,0,6.7,25,56,179,26,13,63,3,3,0,0.7000000000000002
Davor Matijas,hr CRO,GK,Beerschot,24,1999,10,9,852,22,45,22,2,7,6,1,0,20.2,25,93,297,37,43,125,4,15,1,-1.8000000000000007
Davy Roef,be BEL,GK,Gent,30,1994,26,26,2340,30,143,114,11,1,1,0,0,45.7,104,265,692,166,215,431,29,14,0,15.700000000000003
Dayne St. Clair,ca CAN,GK,Minnesota Utd,28-071,1997,19,19,1710,17,69,54,8,2,1,0,1,18.8,103,345,525,56,114,346,12,7,1,1.8000000000000007
