Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
AJ Marcucci,us USA,GK,25-353,1999,1,1,90,50.0,49.64,48.34,49.53,50.0,50.0,98.82,40.4,21.21,41.23,62.8,62.2,7.82,7.23,61.73,82.23,48.22,45.5,45.38,38.39,97.27,41.47,50.12,41.11,49.76,41.11,49.29,36.37,40.17,36.49,49.64,50.0,37.56,28.44,66.23,43.96,45.85,6.75,77.96,26.07,0.71,27.61,13.03,46.09,48.22,26.07,41.23,42.18,44.55,49.76,48.82,49.41,63.27,52.96,53.44,49.29,73.82,52.01,50.47,59.83,18.36,50.24,50.12,57.23,53.44,84.12,14.45,62.44,13.86,64.69,40.76,98.58,39.81,36.49,50.36,14.45,13.74,68.25,86.14,24.64,36.49,42.18
Aaron Connolly,ie IRL,MO,24,2000,24,8,905,66.58,66.99,37.72,67.74,45.47,95.51,9.62,34.81,6.74,4.57,7.22,6.96,11.56,6.36,30.24,22.94,24.33,44.46,18.19,12.99,45.7,16.17,43.56,20.96,27.4,20.96,33.12,27.96,27.92,23.2,54.3,47.57,47.6,23.05,82.11,21.78,25.52,73.99,57.67,5.09,33.05,15.72,18.26,8.08,19.2,4.94,63.44,51.5,23.91,27.4,41.5,52.02,60.63,7.86,16.69,33.12,25.37,53.41,50.97,70.17,95.36,59.39,95.62,52.62,50.45,19.54,61.19,21.26,73.69,24.59,22.79,10.44,13.06,33.31,48.28,35.4,30.16,12.39,56.81,65.04,73.43,29.27
Aaron Herrera,gt GUA,MF,28-043,1997,18,16,1442,30.26,43.98,48.38,60.57,48.38,47.98,77.48,71.73,66.14,74.39,45.63,45.6,69.16,72.04,93.89,95.48,78.79,76.99,87.81,85.91,33.86,92.97,96.91,49.88,75.28,49.88,61.19,29.25,29.49,55.9,29.8,32.64,69.62,35.42,81.27,39.12,62.26,84.5,64.55,70.51,78.91,81.66,45.35,73.59,55.65,70.51,70.69,67.33,62.26,75.28,88.29,84.38,70.81,66.96,54.28,61.19,23.14,54.37,52.08,73.38,24.88,26.04,46.97,54.83,51.22,43.31,79.86,68.58,58.37,74.72,58.8,76.74,84.69,48.38,19.22,91.87,32.95,42.82,40.28,50.49,88.57,46.45
Aaron Long,us USA,DF,32-280,1992,15,15,1271,81.34,76.48,31.37,44.97,49.59,49.51,59.53,56.1,95.7,93.37,86.34,83.14,97.15,96.63,66.63,33.46,34.51,38.37,40.49,39.04,95.7,30.15,25.61,70.73,33.75,70.73,26.69,26.77,39.04,45.49,21.89,23.05,24.24,21.95,64.62,86.69,10.2,66.77,68.75,93.37,76.95,82.35,96.05,40.99,35.23,93.37,24.27,13.43,93.69,33.75,40.41,27.97,80.76,69.8,95.41,26.69,87.7,56.89,52.91,76.08,23.08,68.69,47.97,59.88,54.27,41.13,73.23,85.9,50.03,83.58,38.75,58.2,22.47,30.44,79.94,95.35,97.97,90.96,95.81,94.3,73.98,13.43
Aaron Meijers,nl NED,DF,36,1987,17,9,753,33.87,29.91,27.27,19.13,49.59,49.51,74.22,23.43,36.1,47.27,55.0,55.99,30.58,33.87,31.57,58.84,34.51,68.55,70.78,81.57,54.71,82.97,61.92,56.92,70.0,56.92,68.17,58.63,47.44,66.83,50.09,65.58,75.35,87.65,7.18,57.3,61.05,21.34,68.75,37.91,35.0,26.1,45.09,69.85,19.22,37.91,40.99,36.86,30.55,70.0,53.72,72.33,75.41,48.11,35.29,68.17,63.92,2.82,52.91,78.34,79.62,15.96,47.97,59.88,54.27,30.29,66.69,54.24,59.68,68.43,65.93,70.55,55.17,61.02,21.22,73.43,18.43,32.09,25.12,14.88,16.28,35.26
Aaron Mejía Montoya,mx MEX,MF,23,2001,30,19,1813,30.26,24.42,19.68,16.23,48.38,47.98,34.5,53.45,56.36,49.63,69.93,65.98,47.62,47.8,39.58,29.95,61.37,53.27,28.64,38.39,49.63,30.72,54.83,34.23,33.74,34.23,62.01,25.03,30.96,46.12,25.37,45.42,37.56,31.05,64.24,39.12,35.15,70.72,22.65,39.79,64.03,68.89,39.98,39.36,31.69,39.79,29.55,30.2,44.68,33.74,23.04,53.21,29.65,66.96,44.28,62.01,59.72,54.37,52.08,28.82,67.15,28.33,46.97,6.72,51.22,22.98,56.69,39.46,54.77,46.21,47.62,35.15,25.98,31.88,19.22,50.31,68.0,75.79,41.44,64.94,60.7,41.81
Aaron Nicolás Molinas,ar ARG,MO,24-351,2000,15,13,1003,62.35,22.64,31.06,44.91,45.47,44.54,73.73,57.11,90.27,88.92,84.28,81.66,90.46,90.68,95.36,89.75,58.05,53.48,64.11,79.34,94.76,68.68,55.05,95.13,64.0,95.13,47.68,54.83,55.99,53.67,69.35,44.69,76.87,41.28,83.38,74.18,38.14,42.96,57.67,81.74,36.08,38.21,88.62,67.59,10.07,81.74,28.22,66.73,72.53,64.0,73.43,19.46,78.93,48.32,85.55,47.68,42.93,53.41,50.97,55.65,14.63,83.42,43.82,52.62,50.45,57.15,41.02,45.4,45.73,72.12,72.83,71.41,13.06,66.5,94.91,34.96,84.24,85.18,71.74,85.93,90.19,97.75
Aaron Quirós,ar ARG,DF,23-261,2001,10,8,680,33.87,29.91,29.27,19.13,49.59,49.51,13.81,23.43,57.15,63.2,20.73,23.31,76.92,77.03,74.65,90.03,34.51,16.74,11.57,11.22,25.52,13.46,25.61,72.21,32.65,72.21,8.81,55.2,54.45,57.06,55.49,67.35,79.85,69.85,46.45,13.31,82.44,86.77,68.75,66.22,63.31,82.5,64.53,27.59,44.48,66.22,67.56,74.01,65.93,32.65,43.49,27.97,49.8,86.8,62.27,8.81,4.59,1.16,0.52,35.38,83.08,68.69,47.97,59.88,54.27,36.77,81.1,26.22,79.59,65.03,36.69,13.4,25.76,68.02,21.22,67.33,36.05,14.77,60.29,27.56,68.43,68.95
Aaron Ramsey,wls WAL,MF,33,1990,9,6,564,30.26,83.25,80.87,88.88,48.38,47.98,58.74,55.23,77.02,82.64,68.25,72.56,80.32,78.82,76.44,84.78,28.76,35.39,41.69,84.44,74.27,78.88,62.84,76.07,63.05,76.07,72.22,71.39,65.71,27.29,87.53,86.16,65.65,53.39,55.35,21.64,56.14,15.22,64.55,81.42,63.45,61.95,78.79,71.45,59.29,81.42,39.03,31.94,75.43,63.05,83.13,21.73,44.01,12.44,78.55,72.22,58.07,54.37,52.08,13.23,53.94,1.1,46.97,54.83,0.24,75.49,28.79,35.3,42.88,26.83,74.48,57.43,60.39,64.73,19.22,22.68,38.94,34.2,72.95,35.88,59.96,30.26
Aarón Arredondo,mx MEX,MF,21,2003,2,2,179,30.26,11.12,78.67,16.23,48.38,47.98,62.19,92.85,80.96,72.62,45.94,39.94,89.73,85.88,96.33,85.91,98.44,83.44,67.79,82.37,76.71,44.01,22.52,79.68,24.17,79.68,27.63,29.43,38.2,28.55,60.54,15.56,23.23,17.18,76.13,44.28,59.29,45.78,64.55,57.95,75.52,68.83,77.6,15.95,7.95,58.01,20.29,46.79,84.35,24.17,51.53,21.73,40.62,92.45,75.18,27.63,86.58,54.37,52.08,85.61,21.58,66.66,46.97,54.83,51.22,59.44,7.49,78.21,9.72,72.62,34.84,68.73,15.4,28.15,62.84,7.49,93.95,75.34,93.25,94.5,68.77,97.28
Abdelkahar Kadri,dz ALG,MO,24,2000,23,19,1659,41.09,47.64,50.0,35.52,45.47,44.54,81.74,77.17,85.74,85.1,68.94,67.22,86.15,86.98,95.66,93.56,91.06,79.53,82.82,71.11,89.15,57.49,38.21,87.43,60.07,87.43,26.31,70.88,63.66,68.0,69.35,73.39,71.74,53.22,61.64,84.24,72.38,44.09,5.16,84.81,78.56,80.16,81.29,75.79,14.22,84.81,78.67,88.74,88.77,60.07,84.43,28.89,54.83,42.51,69.61,26.31,17.51,5.28,1.46,86.68,47.87,43.56,43.82,52.62,0.6,76.65,16.8,56.96,28.18,52.02,46.82,82.07,14.48,68.6,30.35,14.82,72.04,64.67,64.82,71.37,67.96,83.76
Abdoulay Diaby,ml MLI,MO,33,1991,12,9,894,47.83,73.95,48.76,84.02,45.47,44.54,15.19,47.16,17.81,15.49,13.92,11.75,28.37,21.71,43.34,43.38,60.33,21.86,21.48,12.99,31.89,27.43,43.56,30.01,22.23,30.01,27.99,11.26,16.92,10.67,27.25,33.23,23.95,16.5,77.21,17.51,59.92,27.28,57.67,10.18,33.05,18.56,23.73,11.75,59.21,10.25,28.74,28.97,15.61,22.23,22.75,44.69,75.22,60.93,12.31,27.99,57.22,53.41,50.97,39.22,34.09,20.17,43.82,52.62,50.45,10.44,72.64,59.84,55.88,75.64,20.88,16.28,41.28,16.32,31.55,89.82,35.55,27.88,50.07,42.89,47.01,30.95
Abdoulaye Kamara,gn GUI,MO,19,2004,5,0,124,20.21,5.43,3.44,8.76,45.47,44.54,49.96,16.28,98.43,96.86,98.05,97.53,98.73,97.98,65.27,34.66,24.33,7.78,7.63,24.44,84.39,7.19,18.71,92.07,31.81,92.07,5.76,80.13,82.45,96.33,8.05,15.08,67.1,80.76,12.8,97.49,11.9,7.11,0.45,95.51,80.43,98.13,98.88,2.54,2.47,95.51,38.06,66.99,96.11,31.81,74.33,9.21,18.11,82.45,93.53,5.76,6.03,53.41,50.97,41.62,3.67,83.42,43.82,52.62,50.45,97.83,50.79,77.1,30.28,40.42,18.23,41.92,1.72,77.58,60.93,81.59,98.88,89.15,95.21,97.79,47.01,94.01
Abdoulaye Sissako,fr FRA,MF,26,1998,24,18,1580,78.73,56.72,39.76,64.7,48.38,47.98,21.58,47.1,40.89,37.16,24.57,29.0,56.11,52.87,61.86,44.32,64.06,53.27,28.64,29.8,33.86,20.2,22.52,45.02,44.13,45.02,29.25,73.72,57.4,71.97,61.98,85.36,76.28,76.99,24.51,64.85,73.11,78.97,64.55,35.21,82.03,68.4,40.4,34.81,60.18,35.21,49.33,43.28,60.3,44.13,75.58,69.53,55.07,21.85,29.13,29.25,35.64,54.37,52.08,71.85,30.1,66.66,46.97,54.83,51.22,80.72,86.92,20.63,83.89,40.95,24.76,21.79,39.46,67.02,87.87,69.13,49.11,16.17,54.1,83.68,35.57,37.68
Abdurrahman Burak Sayın,0,FW,0,0,1,0,4,17.79,8.08,6.77,10.28,40.98,38.72,99.69,19.42,80.39,57.77,95.11,93.36,3.45,2.94,11.34,8.15,28.2,12.22,11.84,100.0,9.27,13.78,32.64,6.27,8.02,6.27,97.62,8.96,12.59,21.3,14.29,18.36,16.23,9.09,87.72,10.96,18.05,9.52,54.39,7.83,9.65,4.07,1.69,80.89,5.14,7.83,5.83,11.03,67.36,8.02,9.4,12.66,95.68,92.98,45.61,97.62,79.95,52.51,50.81,93.42,8.21,85.4,41.17,51.5,50.81,99.81,7.71,1.25,98.12,96.62,96.99,99.56,4.64,11.09,62.22,7.71,98.81,96.43,3.45,11.34,11.09,11.03
Abdülkadir Ömür,tr TUR,MO,25,1999,20,12,1064,20.21,20.17,10.29,23.39,45.47,44.54,40.83,42.7,66.17,62.87,77.43,74.93,55.58,53.52,33.94,41.32,24.33,32.15,38.14,44.31,50.6,61.41,62.65,49.03,48.17,49.03,38.25,49.44,62.95,50.86,77.43,15.08,26.42,33.01,50.34,40.72,52.25,29.0,57.67,49.1,63.96,83.72,43.23,46.15,20.36,49.18,35.89,28.33,47.98,48.17,40.57,22.49,84.36,62.46,50.49,38.25,60.74,53.41,50.97,72.31,50.79,50.3,43.82,52.62,50.45,57.63,29.42,26.5,59.21,82.15,36.15,38.85,21.03,45.25,14.86,15.53,66.06,76.72,55.28,28.07,58.83,24.1
