Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
AJ Marcucci,us USA,GK,NY Red Bulls,25-353,1999,1,1,90,70,4,3,11,18,21,38,45,9,42,74,58,21,9,6,73,91,35,15,6,11,94
Adam Beaudry,us USA,GK,Colorado Rapids,19-092,2006,1,1,90,3,76,60,11,18,21,38,45,94,42,84,23,93,39,0,5,6,35,4,17,8,5
Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,70,7,5,65,18,21,38,45,17,69,51,54,87,34,78,88,6,35,33,13,81,81
Adrian Šemper,hr CRO,GK,Pisa,26,1998,36,36,3240,78,23,34,60,37,43,38,45,27,91,79,64,11,20,54,78,32,35,70,71,82,76
Agustín Marchesín,ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,86,16,28,87,18,21,38,45,13,28,19,22,65,81,56,54,23,35,73,83,60,52
Agustín Rossi,ar ARG,GK,Flamengo,29-332,1995,19,19,1710,93,8,19,95,65,48,94,45,5,16,12,50,25,8,16,57,47,93,66,86,52,75
Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,52,18,15,62,51,59,38,45,22,17,35,3,11,70,38,23,20,35,18,24,14,25
Aldair Quintana,co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,25,89,85,32,89,77,97,45,79,50,33,23,89,61,45,45,59,96,64,44,77,48
Alec Smir,us USA,GK,Minnesota Utd,26-097,1999,2,1,161,24,78,71,11,18,21,38,45,76,75,93,32,3,43,88,5,66,35,51,37,15,5
Alessandro Micai,it ITA,GK,Cosenza,31,1993,37,37,3296,38,53,55,36,49,48,38,92,46,90,86,82,37,30,66,90,94,74,24,49,68,88
Alessandro Russo,it ITA,GK,Sassuolo,23,2001,1,1,90,70,76,89,11,98,98,38,45,66,3,2,63,100,9,6,96,59,35,93,87,43,99
Alessandro Sorrentino,it ITA,GK,Frosinone,22,2002,2,2,180,1,97,89,11,94,94,38,45,98,42,27,42,68,14,46,29,6,35,4,10,74,30
Alessio Cragno,it ITA,GK,Sampdoria,30,1994,14,14,1260,70,9,8,80,46,55,38,45,28,87,77,38,44,68,58,90,73,35,61,24,76,90
