Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aapo Halme,fi FIN,MF,fi HJK,26,1998,1,1,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.46,36.61,9.15,12.2,18.31,24.41,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,1.53,0.0,0.0,4.58,4.58,3.05,1.53,0.0,3.05,3.05,0.0,0.0,1.53,1.53,0.0,45.76,4.58,18.31,25.93,3.05,0.0,45.76,0.0,0.0,13.73,0.0,0.0,0.0,1.53,3.05,32.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,4.58,1.53,0.0,0.0,7.63,0.0,0.0,75.01,75.0,75.01,0.0,100.0,0.0
Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,0.0,0.02,0.55,0.0,0.0,0.0,1.64,0.0,55.05,66.63,25.01,27.2,23.16,26.32,6.33,11.69,0.0,0.14,0.21,0.98,5.68,0.55,0.22,3.93,0.66,0.44,1.2,0.76,0.55,0.55,0.11,0.98,1.2,0.22,0.98,0.87,4.04,0.0,75.04,4.92,29.49,35.83,10.27,0.22,75.04,0.22,0.11,31.78,0.66,0.87,0.0,0.44,0.0,47.73,0.44,0.33,0.0,0.0,0.44,0.22,0.0,0.0,0.0,0.0,3.93,0.76,0.76,1.53,0.44,5.46,1.64,0.98,1.75,-1.0,49.67,82.62,91.95,87.99,54.15,72.5,50.0
Aaron Donnelly,nir NIR,MF,nir Larne FC,24,2000,4,3,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48,31.61,9.35,10.32,12.26,14.84,3.55,5.81,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.97,0.0,0.0,2.9,1.61,1.94,0.97,0.0,2.26,4.19,1.94,0.0,0.97,4.84,0.0,40.97,4.84,23.23,17.1,1.61,0.0,40.97,0.0,0.0,20.65,0.0,0.0,0.0,0.65,0.0,22.26,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,1.29,0.65,0.65,1.29,0.65,0.97,0.0,0.0,3.87,0.0,50.39,80.61,90.6,82.61,61.1,54.58,0.0
Aaron Greene,ie IRL,MO,ie Shamrock Rov,34,1990,6,0,109,0.0,0.17,1.65,1.65,0.0,0.0,3.3,0.0,18.99,23.94,11.56,14.04,0.83,0.83,0.0,0.0,0.0,0.08,0.08,1.65,0.0,0.83,0.0,1.65,0.83,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,37.16,0.0,4.13,12.39,20.64,7.43,37.16,0.83,0.0,20.64,0.83,0.83,0.83,5.78,3.3,29.72,8.26,0.83,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,9.08,18.99,3.3,9.08,0.0,-1.0,0.0,79.32,82.34,100.0,0.0,0.0,0.0
Aaron Malouda,fr FRA,FW,Lille,18,2005,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McEneff,ie IRL,MF,ie Shamrock Rov,29,1995,4,4,352,0.0,0.18,2.05,0.51,0.0,0.0,1.79,0.0,33.75,40.14,19.69,22.5,12.02,12.78,2.05,3.58,0.0,0.08,0.08,0.77,2.81,0.77,0.51,3.32,1.28,5.62,1.53,1.28,0.0,0.77,0.77,0.77,1.53,0.77,0.51,1.02,0.51,0.0,49.86,1.02,8.95,22.24,19.43,2.3,49.86,1.28,0.26,32.98,1.28,1.53,0.26,1.02,0.77,38.1,5.62,0.26,0.0,0.0,0.26,0.77,0.26,0.0,0.0,0.0,3.84,0.0,1.28,1.28,1.79,15.85,1.79,3.84,2.05,-1.0,0.0,84.08,87.51,94.05,57.26,66.99,20.31
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,25.8,40.77,6.97,7.0,10.07,10.43,8.57,22.87,0.0,0.0,0.0,0.0,1.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.07,0.33,0.1,43.8,31.53,42.87,1.07,0.0,0.0,43.8,0.0,0.0,26.2,0.0,0.0,0.0,0.1,0.0,23.4,0.0,0.07,0.0,0.0,0.03,0.13,0.0,0.0,0.0,0.0,0.77,0.2,0.0,0.2,0.1,0.0,0.1,0.03,0.0,0.0,100.0,63.28,99.57,96.55,37.47,0.0,0.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,26,1997,36,35,3154,0.06,0.03,0.46,0.14,0.0,0.0,2.65,0.29,42.0,51.79,27.19,30.13,12.81,15.69,1.37,3.0,0.14,0.1,0.08,0.94,2.68,1.0,0.31,4.25,3.14,4.77,2.0,1.4,0.94,0.91,0.14,0.66,0.91,0.26,1.06,1.88,3.57,0.0,64.38,4.19,19.46,27.65,18.18,1.37,64.38,3.48,1.83,31.16,3.14,1.85,0.43,1.0,0.63,37.72,4.77,0.03,0.0,0.0,0.71,0.77,0.14,0.0,0.0,0.03,4.97,0.63,0.94,1.57,1.63,16.92,2.94,3.11,2.05,1.0,40.13,81.1,90.24,81.64,45.67,70.79,52.59
Aarón Martín,es ESP,DF,Genoa,27,1997,36,35,3085,0.0,0.03,0.47,0.12,0.0,0.0,2.77,0.38,35.62,49.16,14.15,15.87,16.25,20.65,4.67,10.74,0.23,0.16,0.18,1.9,2.25,0.88,0.61,2.63,1.46,3.15,2.07,1.37,1.2,0.76,0.12,0.96,1.49,0.53,0.96,0.55,2.13,0.03,56.92,2.54,16.51,23.4,17.74,0.58,56.92,0.79,0.35,25.61,1.46,0.9,0.12,0.64,0.5,30.31,3.15,0.15,0.0,0.0,1.11,0.82,0.12,0.0,0.03,0.0,4.26,0.58,0.96,1.55,1.14,10.39,3.15,2.19,2.33,-1.0,37.42,72.46,89.16,78.69,43.48,65.45,44.3
