Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won
Aapo Halme,fi FIN,MF,26,1998,1,1,59,0,0.0,0,0,0,0,0,0,18,24,6,8,12,16,0,0,0,0.0,0.0,0,2,0,0,1,0,1,0,3,3,2,1,0,2,2,0,0,1,1,0,30,3,12,17,2,0,30,0,0,9,0,0,0,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,5
Aaron Ciammaglichella,it ITA,MF,19,2005,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,eng ENG,DF,34,1989,18,10,824,0,0.2,5,0,0,0,15,0,504,610,229,249,212,241,58,107,0,1.3,1.9,9,52,5,2,36,6,36,4,11,7,5,5,1,9,11,2,9,8,37,0,687,45,270,328,94,2,687,2,1,291,6,8,0,4,0,437,4,3,0,0,4,2,0,0,0,0,36,7,7,14,4,50,15,9,16
Aaron Donnelly,nir NIR,MF,24,2000,4,3,279,0,0.0,0,0,0,0,0,0,79,98,29,32,38,46,11,18,0,0.0,0.0,0,6,0,0,3,0,3,0,9,5,6,3,0,7,13,6,0,3,15,0,127,15,72,53,5,0,127,0,0,64,0,0,0,2,0,69,0,0,0,0,0,2,0,0,0,0,4,2,2,4,2,3,0,0,12
Aaron Greene,ie IRL,MO,34,1990,6,0,109,0,0.2,2,2,0,0,4,0,23,29,14,17,1,1,0,0,0,0.1,0.1,2,0,1,0,2,1,2,10,0,0,0,0,0,0,0,0,1,0,1,0,45,0,5,15,25,9,45,1,0,25,1,1,1,7,4,36,10,1,0,0,0,4,0,0,0,0,3,0,0,0,11,23,4,11,0
Aaron Malouda,fr FRA,FW,18,2005,1,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aaron McEneff,ie IRL,MF,29,1995,4,4,352,0,0.7,8,2,0,0,7,0,132,157,77,88,47,50,8,14,0,0.3,0.3,3,11,3,2,13,5,13,22,6,5,0,3,3,3,6,3,2,4,2,0,195,4,35,87,76,9,195,5,1,129,5,6,1,4,3,149,22,1,0,0,1,3,1,0,0,0,15,0,5,5,7,62,7,15,8
Aaron Ramsdale,eng ENG,GK,26,1998,30,30,2700,0,0.0,0,0,0,0,3,0,774,1223,209,210,302,313,257,686,0,0.0,0.1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,10,3,1314,946,1286,32,0,0,1314,0,0,786,0,0,0,3,0,702,0,2,0,0,1,4,0,0,0,0,23,6,0,6,3,0,3,1,0
Aaron Wan-Bissaka,eng ENG,DF,26,1997,36,35,3154,2,1.2,16,5,0,0,93,10,1472,1815,953,1056,449,550,48,105,5,3.5,2.8,33,94,35,11,149,110,149,167,70,49,33,32,5,23,32,9,37,66,125,0,2256,147,682,969,637,48,2256,122,64,1092,110,65,15,35,22,1322,167,1,0,0,25,27,5,0,0,1,174,22,33,55,57,593,103,109,72
Aarón Martín,es ESP,DF,27,1997,36,35,3085,0,0.9,16,4,0,0,95,13,1221,1685,485,544,557,708,160,368,8,5.5,6.1,65,77,30,21,90,50,90,108,71,47,41,26,4,33,51,18,33,19,73,1,1951,87,566,802,608,20,1951,27,12,878,50,31,4,22,17,1039,108,5,0,0,38,28,4,0,1,0,146,20,33,53,39,356,108,75,80
Abakar Sylla,ci CIV,DF,21,2002,21,10,950,1,0.4,5,1,0,0,4,1,583,658,224,244,332,358,22,45,0,0.1,0.1,1,21,1,0,21,0,21,3,27,15,14,11,2,15,17,2,18,11,63,0,791,151,510,258,26,9,791,6,3,425,0,1,0,5,4,497,3,2,1,0,17,7,0,0,0,1,39,20,15,35,9,27,5,10,30
Abbas Huseynov,az AZE,DF,29,1995,4,3,239,0,0.0,1,0,0,0,3,0,85,104,53,57,30,40,2,5,0,0.3,0.2,3,6,3,2,4,6,4,14,5,5,3,2,0,1,3,2,2,4,7,0,126,12,45,44,38,3,126,2,0,78,6,5,0,1,2,73,14,1,0,0,2,3,0,0,0,0,10,2,3,5,3,38,3,8,6
Abdallah Sima,sn SEN,MO,23,2001,36,20,1746,10,8.4,53,22,0,0,40,5,307,459,191,254,96,142,9,17,2,1.6,1.5,16,13,9,2,29,49,29,126,22,14,4,8,10,6,13,7,13,4,11,0,705,15,84,266,365,93,705,33,7,412,49,24,27,67,31,514,126,3,0,0,25,32,6,0,0,0,86,62,63,125,98,330,45,131,20
Abde Ezzalzouli,ma MAR,MO,22,2001,45,29,2653,6,11.4,91,37,0,1,90,7,729,998,498,603,182,253,15,42,2,2.6,3.0,32,55,25,2,84,161,84,280,43,29,19,18,6,19,41,22,28,10,24,0,1433,16,148,538,787,209,1432,141,68,939,161,95,89,92,62,1076,280,3,0,0,40,55,5,2,0,0,130,34,46,80,154,805,97,325,48
Abdel Abqar,ma MAR,DF,25,1999,29,29,2463,0,0.9,12,1,0,0,25,3,719,939,180,194,421,460,114,258,1,0.3,0.4,8,67,10,2,79,16,79,4,36,23,24,11,1,20,34,14,28,39,146,1,1251,160,659,545,58,25,1251,4,3,632,16,7,0,18,3,650,4,13,0,0,47,31,2,1,2,0,87,40,35,75,21,103,28,37,43
Abdellah Zoubir,fr FRA,MO,32,1991,8,8,689,1,0.8,8,3,0,0,24,1,357,435,224,250,110,135,15,18,1,0.8,1.5,9,35,20,0,57,33,57,68,11,5,4,3,4,4,10,6,4,4,3,0,518,4,60,212,250,43,518,23,14,369,33,21,16,15,14,414,68,1,0,0,4,10,1,0,0,0,38,4,8,12,29,226,25,79,9
Abderrahman Rebbach,dz ALG,MO,25,1998,8,4,385,0,0.2,6,1,0,0,10,0,74,118,41,58,24,35,8,17,0,0.3,0.4,6,2,5,3,5,16,5,34,3,2,3,0,0,0,6,6,4,0,6,0,173,4,27,62,85,18,173,14,3,103,16,6,7,9,5,107,34,1,0,0,5,6,2,0,0,0,16,1,11,12,14,89,10,33,2
Abdou Harroui,nl NED,MO,26,1998,10,5,463,1,2.2,15,4,0,0,15,3,160,202,96,106,54,69,6,15,2,0.4,0.6,4,16,3,2,21,23,21,34,9,6,6,3,0,4,4,0,5,2,5,0,283,5,41,144,105,17,283,20,6,175,23,20,4,12,10,203,34,1,0,0,10,3,0,0,0,0,22,8,7,15,22,112,18,26,10
Abdoul Koné,fr FRA,DF,19,2005,4,1,133,0,0.0,0,0,0,0,1,0,44,65,17,20,21,27,6,11,0,0.0,0.0,0,1,0,0,3,0,3,1,5,3,4,1,0,3,5,2,2,1,5,0,86,11,38,39,9,1,86,2,1,39,0,0,0,5,1,42,1,0,0,0,3,3,0,0,0,0,7,2,0,2,6,5,1,1,6
Abdoulaye Bamba,ci CIV,DF,34,1990,19,16,1510,0,0.1,1,0,0,0,10,0,518,585,126,139,341,364,44,68,0,0.3,0.3,6,19,4,3,16,1,16,3,22,12,17,4,1,14,19,5,14,19,79,0,743,90,411,308,26,3,743,2,2,408,1,2,0,3,4,468,3,2,0,0,10,7,0,0,0,0,47,11,17,28,7,23,10,10,26
Abdoulaye Diaby,ml MLI,DF,24,2000,4,4,360,0,0.2,3,1,0,0,2,0,126,179,49,59,61,75,14,40,0,0.1,0.1,2,9,1,0,11,2,11,0,8,8,5,3,0,4,6,2,8,4,25,0,240,34,117,116,7,5,240,2,1,117,2,0,0,3,2,132,0,1,0,0,5,0,1,0,1,1,18,9,7,16,5,13,2,6,12
Abdoulaye Doucouré,ml MLI,MF,31,1993,33,31,2564,3,4.1,31,9,0,0,58,3,725,903,382,446,263,316,44,60,2,2.4,1.4,28,44,15,0,82,42,82,96,48,28,21,20,7,14,43,29,31,10,20,1,1161,32,225,538,413,65,1161,45,24,604,42,26,8,38,38,750,96,5,1,1,49,5,10,0,0,0,150,30,44,74,76,316,61,88,42
Abdoulaye Keita,es ESP,MO,21,2002,3,1,95,0,0.0,2,0,0,0,1,0,15,27,8,11,6,6,1,6,0,0.0,0.1,0,3,1,1,2,1,2,4,2,2,0,1,1,2,4,2,1,0,3,0,41,3,10,19,12,1,41,3,1,22,1,0,0,3,3,25,4,0,0,0,6,0,0,0,0,0,6,3,3,6,6,11,1,3,4
Abdoulaye Niakhate Ndiaye,sn SEN,DF,22,2002,24,21,1887,1,1.0,11,2,0,0,11,0,866,1001,280,314,461,508,119,160,0,0.0,0.2,1,44,2,0,45,6,45,4,53,34,39,13,1,26,39,13,32,14,156,3,1299,203,775,493,35,21,1299,8,2,639,6,3,0,16,7,792,4,5,1,0,21,22,0,0,2,0,78,52,39,91,23,59,11,23,60
Abdoulaye Touré,gn GUI,MF,30,1994,28,26,2324,10,9.4,38,6,8,9,49,5,868,1059,346,405,392,462,106,138,1,0.4,1.1,7,90,10,5,109,17,109,28,61,34,31,21,9,33,59,26,36,34,42,5,1354,78,378,784,206,28,1345,33,17,714,17,14,0,29,30,832,28,5,0,0,30,45,1,1,0,0,160,30,19,49,59,182,54,43,67
Abdoulie Ceesay,gm GAM,FW,20,2004,7,0,60,0,0.0,0,0,0,0,1,0,8,14,7,10,0,1,0,1,0,0.0,0.0,1,0,0,0,0,0,0,8,3,3,1,1,1,2,3,1,2,0,1,0,26,0,2,13,11,2,26,0,0,12,0,0,0,4,3,18,8,1,0,0,2,3,0,0,0,0,4,0,6,6,7,16,1,2,5
Abdu Conté,pt POR,DF,26,1998,1,0,28,0,0.0,0,0,0,0,0,0,5,8,2,5,3,3,0,0,0,0.0,0.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,5,2,0,9,0,0,5,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Abdukodir Khusanov,uz UZB,DF,20,2004,20,18,1568,0,0.2,8,5,0,0,20,0,902,1007,365,390,472,501,51,89,0,0.4,0.30000000000000004,5,68,5,2,73,4,73,14,21,16,14,6,1,10,17,7,22,30,89,1,1200,137,559,566,86,6,1200,4,2,651,4,5,0,8,2,777,14,3,1,0,17,6,0,0,1,1,83,33,16,49,10,105,20,13,26
Abdul Fatawu Issahaku,gh GHA,FW,20,2004,11,6,579,0,0.4,13,5,0,0,17,3,123,197,59,81,45,59,16,33,2,1.6,1.4,6,7,7,2,17,42,17,60,21,15,13,2,6,11,19,8,7,4,12,0,326,19,73,114,157,26,326,69,29,217,42,24,15,18,12,216,60,0,0,0,11,20,2,0,0,0,38,14,13,27,30,179,20,50,26
Abdul Mumin,gh GHA,DF,26,1998,24,24,2017,2,0.6,10,3,0,0,11,3,900,1085,315,339,492,536,87,190,1,0.2,0.1,1,40,1,0,40,12,40,6,37,25,30,7,0,17,27,10,40,23,125,0,1351,253,874,447,39,13,1351,10,5,725,12,5,2,16,5,819,6,6,1,0,22,12,0,0,0,0,93,31,25,56,21,64,14,16,42
Abdón Prats,es ESP,MO,31,1992,24,3,456,2,2.2,13,4,1,1,7,1,58,87,34,46,16,24,4,6,0,0.1,0.1,3,5,1,0,7,0,7,14,2,1,1,1,0,1,2,1,2,1,5,0,146,6,15,76,55,25,145,3,1,77,0,0,0,17,12,104,14,4,0,0,6,19,2,1,0,0,13,19,32,51,29,35,8,26,2
Abdülkerim Bardakcı,tr TUR,DF,29,1994,10,10,895,1,1.0,11,2,0,0,24,2,593,714,247,272,284,320,52,100,0,0.4,0.5,7,48,6,3,55,11,55,13,21,12,8,11,2,16,22,6,17,18,35,2,840,51,323,451,73,17,840,6,3,537,11,10,0,6,4,571,13,1,0,0,11,10,2,0,0,0,52,23,16,39,10,92,26,26,28
Abel,es ESP,DF,23,2000,35,20,2074,2,0.5,12,4,0,0,39,4,776,1071,385,439,315,401,58,158,0,1.0,1.5,16,57,18,13,77,50,77,92,61,37,28,25,8,39,63,24,29,18,64,2,1322,65,370,605,357,19,1322,35,18,605,50,44,7,27,18,683,92,3,0,0,25,32,3,0,1,0,106,20,17,37,45,311,43,57,76
Abel Ruiz,es ESP,FW,24,2000,26,19,1491,4,4.6,21,7,1,2,19,1,270,309,155,169,94,99,16,24,0,1.0,1.2,10,16,6,1,26,23,26,79,8,3,3,2,3,3,6,3,9,5,9,0,440,14,36,215,191,62,438,20,7,253,23,14,11,32,24,312,79,3,0,0,7,13,5,0,0,0,27,10,23,33,56,207,20,80,6
Abner,br BRA,MF,24,2000,25,16,1445,2,0.7,9,4,0,0,29,1,778,928,474,517,241,291,42,71,1,1.3,2.5,15,59,13,3,85,35,85,69,43,28,21,13,9,31,47,16,19,9,51,0,1087,51,301,501,292,27,1087,16,8,589,35,20,6,18,10,696,69,2,0,0,24,4,0,0,0,0,68,10,17,27,28,258,30,49,59
Aboubacar Bassinga,ci CIV,MF,19,2005,1,0,4,0,0.0,0,0,0,0,0,0,2,4,1,1,0,0,1,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,3,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Abzal Beisebekov,kz KAZ,DF,31,1992,2,2,180,0,0.0,0,0,0,0,2,0,98,122,37,37,50,57,11,21,0,0.0,0.1,1,10,2,1,11,4,11,6,3,0,3,0,0,1,1,0,1,0,11,2,142,16,59,67,16,1,142,0,0,80,4,1,0,2,0,106,6,0,0,0,1,0,0,0,0,0,5,2,6,8,2,27,2,4,1
Achraf Hakimi,ma MAR,DF,25,1998,42,41,3606,8,6.1,68,27,0,0,181,16,3085,3513,1906,2046,953,1071,101,161,11,10.8,8.9,86,211,62,14,293,168,293,434,85,58,38,32,15,45,103,58,50,47,43,3,3971,81,770,1634,1599,145,3971,103,46,2246,168,103,37,67,36,2990,434,7,0,0,40,48,12,0,0,0,246,16,21,37,103,1329,197,258,103
Adam Armstrong,eng ENG,MO,27,1997,20,15,1248,2,3.3,25,7,0,1,19,4,231,288,138,158,81,95,6,13,2,1.2,0.6,9,10,8,2,21,25,21,79,12,3,2,7,3,3,14,11,6,3,8,0,377,11,44,143,192,49,376,14,6,235,25,13,6,11,18,286,79,4,0,0,12,5,9,0,0,0,23,5,9,14,29,204,23,65,6
Adam Aznou,ma MAR,DF,18,2006,16,10,895,0,0.3,4,1,0,0,16,0,258,360,147,171,88,124,16,37,0,0.3,0.4,6,18,4,2,26,16,26,28,28,21,20,8,0,21,43,22,25,10,31,0,527,40,193,248,100,12,527,41,19,231,16,8,3,28,12,242,28,1,0,0,14,17,0,0,0,0,57,11,5,16,40,98,16,21,42
Adam Buksa,pl POL,FW,28,1996,8,8,720,2,3.8,22,7,1,1,15,1,81,146,43,76,27,42,5,7,1,1.1,0.7,9,3,1,0,13,6,13,30,5,1,3,1,1,2,5,3,5,4,10,1,249,10,21,111,120,43,248,19,5,108,6,2,3,23,5,175,30,3,0,0,20,20,2,0,0,0,16,50,35,85,28,79,16,47,3
Adam Daghim,dk DEN,FW,18,2005,7,4,393,1,0.6,7,3,0,0,8,1,77,109,45,56,29,42,1,5,0,0.2,0.2,3,3,2,0,9,16,9,38,8,4,3,3,2,1,3,2,7,6,4,0,179,5,24,62,98,21,179,22,7,116,16,4,7,10,3,101,38,1,0,0,6,4,3,0,0,0,17,0,5,5,13,101,9,30,5
Adam Dźwigała,pl POL,MF,28,1995,16,2,373,0,0.4,6,0,0,0,5,0,173,212,71,78,85,93,12,30,0,0.0,0.1,0,11,1,0,14,1,14,4,20,10,13,6,1,11,16,5,6,4,28,0,280,30,106,138,36,6,280,2,1,110,1,0,0,2,2,152,4,2,1,0,5,3,0,0,0,0,13,13,4,17,4,23,5,7,21
Adam Forrester,sct SCO,DF,19,2005,5,4,343,0,0.1,1,0,0,0,10,1,138,211,61,80,62,90,14,32,0,0.1,0.2,1,11,6,2,11,7,11,14,8,4,4,4,0,7,14,7,6,10,9,0,263,11,88,120,58,3,263,7,3,105,7,7,1,4,2,120,14,3,0,0,5,5,0,0,0,0,18,7,10,17,6,46,11,12,11
Adam Gabriel,cz CZE,DF,23,2001,3,2,170,0,0.2,3,0,0,0,0,0,56,82,25,30,29,39,2,9,0,0.0,0.2,0,6,1,0,9,6,9,9,2,0,1,0,1,1,2,1,3,3,2,0,100,6,31,46,24,4,100,4,3,53,6,3,0,1,1,61,9,0,0,0,3,1,0,0,0,0,7,4,3,7,2,33,0,5,1
