Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,66,188,120,3,7,5,2,0,63.5,196,605,1026,129,190,457,25,20,2,-2.5
Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,2,6,4,1,1,1,0,0,1.5,18,48,26,0,24,33,0,0,0,-0.5
Adrián,es ESP,GK,Betis,37,1987,26,26,2340,36,101,65,5,2,2,0,0,26.0,58,178,507,91,109,257,14,16,0,-10.0
Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,0,5,5,1,0,0,0,0,1.2,19,35,34,4,11,14,1,1,0,1.2
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,19,49,32,2,3,3,0,0,16.8,40,143,309,56,57,200,16,6,0,-2.1999999999999993
Albert Posiadala,pl POL,GK,no Molde,21,2003,6,6,540,11,19,8,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-11.0
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,3,7,4,0,0,0,0,0,2.2,8,12,26,5,6,12,0,5,0,-0.7999999999999998
Aleksandr Zarutskiy,kz KAZ,GK,kz Astana FK,30,1993,1,1,90,2,6,4,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
Aleksei Ploshchadnyi,ru RUS,GK,am FC Noah,20,2004,3,3,270,7,18,10,1,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-7.0
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,11,31,20,1,0,0,0,0,10.9,29,84,168,22,57,85,4,5,0,-0.09999999999999964
Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,13,37,24,0,2,2,0,0,12.6,24,52,132,29,23,74,8,0,0,-0.40000000000000036
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,25,84,59,16,4,1,2,1,25.3,88,214,1041,117,181,378,21,47,3,0.3000000000000007
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,6,17,12,0,1,1,0,0,4.8,27,78,98,15,22,57,2,3,0,-1.2000000000000002
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,30,71,43,0,1,1,0,0,25.1,71,186,329,55,94,249,20,13,0,-4.899999999999999
