Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aapo Halme,fi FIN,MF,26,1998,1,1,59,29.87,11.34,7.39,16.18,47.85,47.26,5.36,19.47,22.75,24.86,7.11,8.13,72.48,83.97,5.28,3.95,28.62,12.63,9.97,8.99,48.79,10.36,23.1,11.61,7.47,11.61,4.96,95.27,98.51,97.5,86.9,15.25,97.89,85.93,93.08,6.14,84.4,49.92,69.47,19.47,88.43,81.47,37.1,4.46,6.14,19.47,5.86,9.66,2.97,7.47,7.74,20.09,37.49,3.52,37.61,4.96,84.99,54.93,52.5,94.68,6.72,67.47,46.09,56.33,51.13,2.78,8.56,23.96,41.32,8.37,4.93,5.36,5.0,98.12,61.3,8.56,25.37,7.11,16.58,5.28,98.98,9.66
Aaron Ciammaglichella,it ITA,MF,19,2005,1,0,1,29.87,11.34,7.39,16.18,47.85,47.26,5.36,19.47,0.47,0.35,0.78,0.7,1.92,1.33,5.28,3.95,28.62,12.63,9.97,8.99,4.65,10.36,23.1,4.18,7.47,4.18,4.96,4.73,6.37,7.7,7.74,15.25,7.62,4.96,93.08,6.14,7.9,5.82,69.47,0.31,5.12,1.76,0.7,1.37,6.14,0.31,5.86,9.66,0.55,7.47,7.74,20.09,94.92,92.26,0.59,4.96,84.99,54.93,52.5,94.68,6.72,67.47,46.09,56.33,51.13,2.78,8.56,94.06,4.57,96.17,2.31,5.36,5.0,5.24,61.3,8.56,0.47,0.78,1.92,5.28,5.24,9.66
Aaron Cresswell,eng ENG,DF,34,1989,18,10,824,34.15,40.59,62.46,21.27,49.62,49.54,72.98,23.93,78.58,82.47,82.77,82.47,60.25,61.28,91.16,94.59,34.49,91.08,96.99,84.26,92.3,65.62,71.42,66.01,44.02,66.01,45.62,26.79,30.87,18.67,54.65,58.96,57.24,37.27,79.84,32.28,35.56,52.71,73.32,78.43,43.45,58.61,78.05,62.12,14.98,78.43,30.03,35.1,41.96,44.02,61.2,28.28,64.71,87.69,73.86,45.62,19.59,56.55,53.01,84.11,20.27,68.52,47.56,61.36,54.76,56.75,24.92,72.52,21.46,76.64,43.14,69.55,34.68,43.6,20.66,37.84,44.97,59.38,46.3,49.2,87.5,61.85
Aaron Donnelly,nir NIR,MF,24,2000,4,3,279,29.87,11.34,7.39,16.18,47.85,47.26,5.36,19.47,18.37,13.45,7.43,4.77,36.43,35.03,71.74,68.69,28.62,12.63,9.97,8.99,26.35,10.36,23.1,9.15,7.47,9.15,4.96,78.93,74.32,92.92,60.91,15.25,95.27,95.82,9.15,6.14,56.14,95.93,69.47,9.85,90.07,92.57,9.38,3.05,6.14,9.85,5.86,9.66,14.07,7.47,7.74,20.09,80.1,92.26,9.62,4.96,84.99,54.93,52.5,94.68,31.2,67.47,46.09,56.33,51.13,6.1,45.15,69.35,31.16,90.15,4.69,5.36,5.0,89.44,61.3,62.98,48.16,65.44,38.12,59.27,55.43,9.66
Aaron Greene,ie IRL,MO,34,1990,6,0,109,19.34,45.08,37.44,94.68,45.87,44.57,61.2,15.16,32.47,20.59,40.33,39.08,2.26,1.58,6.17,3.39,24.66,35.01,34.79,70.31,4.47,42.82,19.51,18.38,11.99,18.38,77.38,4.3,6.67,10.07,8.77,14.2,8.82,4.19,92.93,45.02,9.9,56.96,61.09,21.1,6.0,25.79,11.09,55.26,94.8,21.1,9.05,6.28,20.25,11.99,21.61,56.5,3.51,5.2,46.72,77.38,4.69,53.34,51.47,95.7,94.68,82.86,43.16,52.55,50.23,13.4,7.98,96.27,2.32,2.83,57.92,51.7,87.56,5.71,13.91,7.98,73.42,41.52,98.08,6.17,5.71,6.28
Aaron Malouda,fr FRA,FW,18,2005,1,0,2,18.97,8.46,6.81,11.9,40.8,39.0,7.8,20.28,1.72,1.31,2.13,1.72,5.25,4.43,13.79,9.36,28.57,13.14,12.07,11.17,11.49,13.22,31.53,8.05,8.87,8.05,4.27,9.69,13.3,21.18,15.6,18.88,17.49,9.85,87.44,11.58,18.88,11.99,56.16,0.74,10.92,5.34,1.97,1.89,5.83,0.74,7.22,11.74,95.48,8.87,10.1,13.55,93.6,0.25,91.79,4.27,78.65,53.12,51.23,91.95,8.62,85.55,40.15,51.31,50.41,5.58,10.26,93.35,5.42,0.74,3.37,7.8,5.25,11.9,59.77,10.26,1.72,2.13,5.25,13.79,11.9,11.74
Aaron McEneff,ie IRL,MF,29,1995,4,4,352,29.87,86.43,89.25,80.61,47.85,47.26,40.81,19.47,41.48,33.7,62.43,64.03,34.48,23.85,38.98,35.85,28.62,58.91,56.25,50.08,44.1,59.34,90.15,38.39,56.84,38.39,85.42,31.04,58.21,7.7,46.95,95.04,41.63,35.93,59.03,15.99,59.23,15.87,69.47,29.87,17.4,20.8,22.79,76.54,78.26,29.87,51.13,29.55,61.92,56.84,71.74,68.65,62.16,49.77,58.64,85.42,35.34,54.93,52.5,88.78,38.04,7.97,46.09,56.33,51.13,28.26,8.56,31.51,30.65,61.49,77.33,35.54,75.88,49.3,18.57,8.56,66.34,41.56,89.21,50.98,88.58,22.2
Aaron Ramsdale,eng ENG,GK,26,1998,30,30,2700,50.15,50.0,48.65,49.4,50.15,50.15,53.9,41.29,55.86,82.58,85.89,85.89,23.12,23.42,71.47,86.79,48.2,44.14,46.25,38.14,90.39,85.44,50.0,37.54,49.1,37.54,49.4,37.39,41.89,37.39,50.0,50.0,38.74,74.92,15.32,45.05,95.95,24.92,36.34,83.48,61.86,80.78,90.99,46.4,47.75,83.48,38.89,40.09,79.58,49.1,49.55,49.55,8.86,52.4,78.08,49.4,29.43,52.25,50.45,17.12,57.96,50.15,50.15,57.81,53.15,23.27,51.95,61.56,48.65,9.76,36.79,51.65,82.88,38.29,50.3,75.83,18.02,29.73,15.62,18.47,38.29,40.09
Aaron Wan-Bissaka,eng ENG,DF,26,1997,36,35,3154,79.08,50.53,53.96,63.91,49.62,49.54,91.2,89.02,44.4,46.38,88.03,89.48,14.02,12.61,10.44,8.92,91.65,85.44,78.35,83.0,46.88,83.0,76.83,73.29,94.17,73.29,86.05,64.29,72.79,47.07,82.85,64.37,33.31,21.8,77.36,40.89,88.45,42.3,73.32,50.91,36.59,24.43,46.99,85.67,75.72,50.91,96.91,97.87,40.32,94.17,89.9,91.16,26.64,19.66,44.93,86.05,72.75,56.55,53.01,69.4,62.35,13.15,47.56,61.36,8.42,80.75,21.04,61.66,22.45,23.89,88.11,91.31,81.63,54.92,90.55,22.41,38.26,42.84,26.75,26.3,85.06,67.76
Aarón Martín,es ESP,DF,27,1997,36,35,3085,34.15,50.53,54.92,58.61,49.62,49.54,92.34,93.75,25.61,38.91,26.98,26.98,30.68,36.01,75.72,92.07,96.84,93.86,94.97,97.71,34.68,79.27,89.02,34.38,68.94,34.38,72.48,66.96,71.34,66.73,75.38,60.44,55.91,49.85,51.37,30.75,16.46,12.92,44.82,27.1,12.54,12.0,27.67,83.84,32.81,27.1,62.92,62.84,21.15,68.94,62.12,70.81,48.13,27.48,22.33,72.48,55.26,56.55,53.01,37.58,65.74,16.12,47.56,20.12,54.76,66.08,19.25,60.56,21.95,39.21,67.15,93.37,69.02,64.82,20.66,19.25,12.12,33.38,17.8,22.41,71.42,51.49
Abakar Sylla,ci CIV,DF,21,2002,21,10,950,85.63,59.64,54.92,52.36,49.62,49.54,17.8,60.14,78.81,74.77,67.61,66.62,85.48,84.76,22.26,21.07,34.49,37.96,28.32,24.96,26.37,30.22,25.65,19.63,7.2,19.63,37.8,82.58,74.05,74.39,88.61,73.06,81.52,55.18,81.21,80.41,49.58,83.12,73.32,78.24,96.8,97.26,31.71,24.96,49.62,78.24,52.9,56.17,69.97,7.2,17.64,28.28,62.39,36.55,73.17,37.8,45.39,4.54,53.01,13.76,54.38,68.52,47.56,61.36,3.09,47.6,66.54,33.57,67.91,53.43,14.82,20.05,33.54,78.16,92.19,55.95,78.81,57.77,69.51,33.65,80.37,58.35
Abbas Huseynov,az AZE,DF,29,1995,4,3,239,34.15,13.61,44.74,21.27,49.62,49.54,55.64,23.93,17.3,13.34,60.94,58.08,9.38,10.52,6.17,4.8,34.49,87.16,78.35,88.72,35.1,87.08,92.99,13.15,87.16,13.15,88.68,58.5,88.8,62.42,74.54,21.57,14.1,33.61,33.0,18.48,78.12,21.8,73.32,7.77,40.05,13.8,7.24,74.39,65.93,7.77,61.55,14.02,33.69,87.16,90.36,28.28,69.59,15.02,15.24,88.68,14.52,56.55,53.01,66.43,80.72,68.52,47.56,61.36,54.76,50.15,24.54,49.05,30.56,39.79,82.01,51.68,80.79,61.62,64.37,21.27,40.43,68.56,11.59,16.69,91.01,14.02
Abdallah Sima,sn SEN,MO,23,2001,36,20,1746,90.95,89.31,77.43,81.84,45.87,44.57,25.34,50.34,16.57,19.46,25.74,31.0,22.91,26.24,17.65,13.29,59.05,35.01,34.79,28.28,15.84,22.79,43.78,14.88,57.01,14.88,55.77,36.31,41.23,27.43,36.88,80.43,28.79,17.19,77.15,32.41,26.87,39.08,61.09,18.5,46.32,28.28,17.59,43.21,77.66,18.5,24.72,16.86,23.7,57.01,38.12,77.71,16.91,40.5,30.66,55.77,46.61,53.34,51.47,46.89,60.92,34.11,43.16,52.55,50.23,64.99,93.33,10.92,91.97,22.06,47.06,26.87,65.84,33.54,75.28,78.39,21.72,17.7,21.15,54.02,71.15,16.4
