Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,16,89,84,32,75,75,85,46,85,88,91,82,66,69,73,65,43,83,55,35,38,46
Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,49,48,47,98,97,99,35,46,33,99,99,21,8,99,97,12,12,33,26,47,65,4
Adrián,es ESP,GK,Betis,37,1987,26,26,2340,56,25,27,46,40,50,35,46,26,26,25,22,39,36,27,40,40,33,23,38,39,46
Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,98,65,94,98,17,20,35,46,38,99,99,81,54,96,63,77,62,33,99,99,97,69
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,40,34,35,40,80,87,35,46,54,39,52,40,75,44,86,89,34,33,42,42,18,78
Albert Posiadala,pl POL,GK,no Molde,21,2003,6,6,540,29,12,5,40,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,4,0,0
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,6,93,84,14,17,20,35,46,89,95,53,41,83,64,41,12,99,33,24,17,99,4
Aleksandr Zarutskiy,kz KAZ,GK,kz Astana FK,30,1993,1,1,90,24,85,84,14,99,99,35,46,9,9,8,8,8,8,8,12,12,33,8,48,0,0
Aleksei Ploshchadnyi,ru RUS,GK,am FC Noah,20,2004,3,3,270,13,85,68,76,89,20,98,46,9,9,8,8,8,8,8,12,12,98,8,14,0,0
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,39,50,45,36,17,20,35,46,67,56,54,35,32,89,44,43,46,33,60,39,51,34
Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,9,96,93,14,92,94,35,46,94,66,42,44,94,41,69,94,12,33,56,39,92,92
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,93,5,9,90,51,42,83,95,22,30,24,67,39,56,36,47,81,86,63,64,83,48
