Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
James Abankwah,ie IRL,MF,20,2004,6,0,88,0,0.1,1,0,0,0,1,0,36,46,13,15,18,21,3,8,0,0.0,0.0,0,2,0,0,4,3,4,1,4,2,4,0,0,2,3,1,2,1,3,0,65,8,37,22,7,2,65,0,0,29,3,1,1,1,3,34,1,1,0,0,4,3,0,0,0,0,7,2,2
Mohamed Abdelmoneim,eg EGY,DF,25,1999,4,4,360,0,0.1,3,0,0,0,5,0,280,303,119,123,143,151,16,20,0,0.1,0.1,3,13,0,0,20,4,20,1,9,5,6,2,1,7,10,3,6,9,14,1,348,27,145,175,29,3,348,4,3,249,4,6,0,0,0,232,1,1,0,0,2,1,0,0,0,0,32,9,7
David Abagna,gh GHA,MO,25,1998,8,7,560,3,2.3,17,5,0,0,12,0,236,274,106,114,99,114,25,31,0,0.1,0.2,1,26,2,0,27,16,27,11,9,6,2,3,4,4,13,9,6,6,5,0,337,8,51,204,88,14,337,15,12,193,16,5,0,15,6,225,11,2,0,0,12,7,1,0,0,0,53,3,6
Junior Adamu,at AUT,FW,23,2001,25,19,1545,2,5.5,36,11,0,0,29,3,198,312,124,180,48,70,2,6,2,2.4,1.9,17,7,8,0,14,8,14,84,9,3,3,3,3,3,11,8,14,12,20,0,534,21,53,252,234,80,534,29,10,275,8,5,4,59,24,350,84,5,1,0,38,22,17,0,0,0,52,53,108
Max Aarons,eng ENG,DF,24,2000,3,1,86,0,0.0,0,0,0,0,2,0,50,63,21,25,24,29,4,7,0,0.0,0.0,0,8,0,0,8,1,8,3,2,2,1,1,0,1,1,0,3,1,0,0,73,2,19,40,15,0,73,2,0,41,1,0,0,1,0,40,3,0,0,0,0,2,0,0,0,0,7,0,0
Max Aarons,eng ENG,MF,24,2000,4,1,120,0,0.0,0,0,0,0,1,0,47,66,24,30,21,30,1,4,0,0.0,0.0,1,2,0,0,6,0,6,10,4,4,2,2,0,4,5,1,1,0,3,0,85,1,21,28,36,0,85,4,1,46,0,3,0,3,1,49,10,2,0,0,0,2,0,0,0,0,7,2,1
Tammy Abraham,eng ENG,FW,26,1997,9,2,301,2,1.2,8,4,0,0,7,2,33,50,25,30,4,9,1,4,1,0.7,0.4,4,2,0,0,6,9,6,19,3,1,2,0,1,0,1,1,2,2,3,0,86,5,12,28,48,22,86,9,4,46,9,5,3,3,3,53,19,0,0,0,5,11,0,0,0,0,12,9,11
Keyliane Abdallah,fr FRA,FW,18,2006,1,0,3,0,0.0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,4,0,3,1,0,0,4,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Abajas,es ESP,DF,21,2003,1,1,65,0,0.1,1,0,0,0,0,0,17,29,11,14,4,7,2,7,0,0.0,0.0,0,0,0,0,2,3,2,3,3,2,2,1,0,3,3,0,1,1,0,0,36,1,8,19,9,1,36,1,1,13,3,2,1,0,2,16,3,1,0,0,2,0,1,0,0,0,2,0,1
Joshua Acheampong,eng ENG,DF,18,2006,4,2,170,0,0.2,2,0,0,0,2,0,104,124,29,32,63,68,11,20,0,0.0,0.0,0,6,0,0,8,0,8,0,2,1,2,0,0,2,2,0,1,1,2,0,137,7,48,81,8,3,137,2,1,106,0,2,0,2,0,111,0,1,0,0,0,1,0,0,0,0,7,1,6
