Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Emil Audero,id IDN,GK,Como,27,1997,8,8,720,18,34,16,0,4,4,0,0,12.4,17,55,232,30,21,95,5,8
Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,2,1,91,2,5,3,0,0,0,0,0,2.4,7,28,37,5,13,15,0,0
Adrián,es ESP,GK,Betis,37,1987,19,19,1710,27,76,49,3,1,1,0,0,26.0,58,178,507,91,109,257,14,16
Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,11,21,10,0,2,2,0,0,8.8,20,47,86,19,27,55,8,3
Alisson,br BRA,GK,eng Liverpool,31,1992,6,6,570,3,27,24,3,0,0,0,0,6.6,34,87,222,25,21,63,4,7
Sławomir Abramowicz,pl POL,GK,pl Jagiellonia,20,2004,12,12,1080,12,46,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Julen Agirrezabala,es ESP,GK,es Athletic Club,23,2000,13,13,1170,17,45,28,5,3,3,0,0,17.5,54,145,257,37,53,113,6,14
Alisson,br BRA,GK,Liverpool,31,1992,28,28,2508,29,100,73,9,1,1,0,0,30.5,68,203,877,128,80,255,11,49
Marco Bizot,nl NED,GK,Brest,33,1991,32,32,2880,54,128,74,10,10,8,1,1,46.2,218,522,902,134,216,459,33,53
David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,15,29,13,0,1,0,1,0,9.5,23,67,127,9,23,59,1,4
Brandon Austin,eng ENG,GK,eng Tottenham,25,1999,2,2,180,2,5,3,1,0,0,0,0,2.9,5,8,44,10,7,38,3,2
Noah Atubolu,de GER,GK,Freiburg,22,2002,26,26,2307,37,120,81,10,2,0,2,0,37.0,159,414,1012,110,126,377,34,28
Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,1206,9,34,24,5,2,1,1,0,10.5,57,178,341,51,66,143,20,17
Adrián,es ESP,GK,es Betis,37,1987,7,7,630,9,25,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,41,115,77,5,0,0,0,0,35.4,135,384,788,119,196,394,15,30
Jean Butez,fr FRA,GK,Como,29,1995,19,18,1666,20,68,48,5,2,2,0,0,20.1,90,235,709,92,43,190,22,51
Marcin Bułka,pl POL,GK,Nice,24,1999,34,34,3060,41,161,120,8,3,2,1,0,43.0,112,272,948,173,162,470,39,33
Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28,28,2520,53,138,84,4,5,2,3,0,52.1,178,478,923,121,136,407,18,31
Oliver Baumann,de GER,GK,de Hoffenheim,34,1990,7,7,630,11,29,18,2,0,0,0,0,10.3,19,79,211,22,26,79,4,5
Lawrence Ati-Zigi,gh GHA,GK,ch St. Gallen,27,1996,6,6,540,18,50,33,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,39,133,93,8,8,6,2,0,40.0,177,534,989,129,184,453,35,38
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,31,1993,11,11,1020,21,59,38,1,1,1,0,0,19.1,66,149,400,49,61,147,13,11
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,2790,39,134,95,8,4,4,0,0,41.0,132,365,831,122,192,367,22,54
Elia Caprile,it ITA,GK,Napoli,22,2001,4,3,325,1,8,7,3,0,0,0,0,2.2,11,25,82,9,15,31,3,3
Elia Caprile,it ITA,GK,Cagliari,22,2001,18,18,1620,22,66,44,5,1,1,0,0,23.5,132,332,546,93,159,266,18,23
Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,1,8,7,1,0,0,0,0,2.8,9,29,39,2,18,40,3,0
Patrik Carlgren,se SWE,GK,Nantes,32,1992,5,4,417,7,28,21,1,0,0,0,0,8.5,22,63,99,27,37,80,1,1
Altay Bayındır,tr TUR,GK,eng Manchester Utd,26,1998,2,2,180,1,10,9,1,0,0,0,0,2.0,0,10,52,7,7,14,0,2
Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,5,4,380,3,23,20,2,0,0,0,0,4.7,23,62,148,22,31,96,14,1
Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,6,20,14,2,0,0,0,0,5.6,26,106,132,21,46,79,2,1
Vid Belec,si SVN,GK,cy APOEL,34,1990,8,8,720,9,38,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,1,90,2,4,2,0,0,0,0,0,2.2,3,11,26,5,6,15,5,2
Ognjen Čančarević,am ARM,GK,am FC Noah,34,1989,3,3,270,9,31,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,34,3060,34,129,97,13,2,2,0,0,36.1,121,374,878,177,201,319,21,45
Lucas Chevalier,fr FRA,GK,Lille,22,2001,34,34,3060,36,126,91,11,4,4,0,0,42.2,112,288,968,144,112,373,21,24
Hendrik Bonmann,de GER,GK,bg Ludogorets,30,1994,4,4,360,4,24,20,2,0,0,0,0,6.6,27,79,167,20,33,77,7,3
Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,19,82,65,9,2,2,0,0,24.2,129,341,614,51,145,337,9,26
Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,4,360,10,17,8,1,0,0,0,0,10.1,13,62,128,12,24,56,4,7
Marco Bizot,nl NED,GK,fr Brest,33,1991,9,9,810,14,43,30,2,3,3,0,0,13.7,80,174,232,33,38,111,11,16
Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,2335,42,128,85,3,8,4,3,1,44.3,124,409,820,142,179,413,13,20
Grégoire Coudert,fr FRA,GK,Brest,25,1999,2,2,180,5,13,9,0,0,0,0,0,2.8,6,20,60,7,8,30,1,3
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,4,12,8,1,0,0,0,0,3.9,7,21,52,6,13,25,0,3
Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,33,94,62,2,4,3,0,1,26.3,61,161,532,111,107,323,18,16
Janis Blaswich,de GER,GK,at RB Salzburg,33,1991,5,4,382,14,25,11,0,0,0,0,0,10.0,14,44,105,13,27,48,1,6
Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,9,810,19,55,36,0,3,2,1,0,18.5,47,133,304,55,91,177,15,5
Fabijan Buntić,hr CRO,GK,az Qarabağ,27,1997,2,2,180,5,10,5,0,0,0,0,0,4.4,1,6,31,7,6,17,1,2
Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,3,6,3,0,0,0,0,0,2.5,3,16,41,5,8,21,2,2
