Player,Nationality,Minutes,Goals Against,Saves,Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Aaron Ramsdale,eng ENG,2700,30.42,67.36,42.43,30.12,75.37,79.08,61.13,46.74,45.55,48.07,45.7,30.42,34.72,72.4,42.43
Adrian Rodriguez,es ESP,122,66.17,33.83,18.1,88.87,97.92,98.22,7.12,1.04,98.22,88.43,5.79,5.93,1.04,83.98,5.93
Adrián,es ESP,2340,17.36,79.23,59.2,74.18,55.79,56.97,80.12,86.05,87.54,80.27,83.09,77.45,89.32,77.74,88.13
Aitor Fernández,es ESP,90,98.07,80.71,98.52,94.36,99.41,97.92,59.94,36.94,88.72,37.54,59.64,47.63,52.37,76.56,13.35
Alban Lafont,fr FRA,1080,56.97,24.48,32.34,37.39,22.11,31.45,25.52,52.37,21.07,62.91,74.18,22.26,66.62,61.13,22.26
Albert Posiadala,pl POL,540,47.63,4.75,19.44,37.39,24.04,15.43,28.78,24.78,13.35,10.24,24.18,74.33,27.6,16.32,38.58
Alberto Paleari,it ITA,90,12.02,67.36,6.68,13.2,87.24,32.2,26.71,59.79,40.36,20.47,5.79,98.37,60.98,34.72,79.23
Aleksandr Zarutskiy,kz KAZ,90,40.95,67.36,85.91,13.2,6.97,6.53,6.23,59.79,25.52,70.33,59.64,5.93,71.96,31.31,5.93
Aleksei Ploshchadnyi,ru RUS,270,26.11,50.89,56.08,63.65,16.77,19.73,14.09,52.37,34.87,34.72,34.72,64.99,75.52,14.54,30.42
Alen Sherri,al ALB,621,56.08,31.75,52.67,33.53,38.28,32.79,20.47,17.8,71.81,22.4,28.78,32.49,26.71,22.55,19.58
Alex McCarthy,eng ENG,450,20.33,78.04,42.43,13.2,47.33,22.85,29.23,71.07,19.58,45.4,83.09,5.93,64.99,13.06,5.93
Alex Meret,it ITA,3005,92.73,7.72,55.34,76.41,12.46,7.72,50.45,24.78,31.6,17.21,32.64,67.06,12.76,18.99,59.94
Alex Padilla,es ESP,321,50.89,51.34,19.88,55.34,84.12,84.87,36.2,43.03,43.62,56.97,27.6,37.98,64.39,82.2,32.64
Alex Palmer,eng ENG,1170,27.15,50.45,18.1,13.2,59.5,45.4,24.63,43.77,60.98,74.48,82.49,47.63,54.6,59.94,21.07
Alexander Meyer,de GER,270,40.95,74.48,63.5,94.36,81.16,93.03,97.92,76.26,65.28,81.01,96.59,80.56,33.83,100.0,79.53
Alexander Nübel,de GER,3690,7.12,71.22,4.75,67.36,88.72,85.46,95.85,82.79,42.14,79.53,74.18,82.64,59.94,86.05,95.85
Alexander Schlager,at AUT,335,6.23,78.64,8.46,13.2,31.16,37.69,25.22,30.71,38.58,49.41,65.28,89.32,51.93,16.62,69.44
Alexander Schwolow,de GER,540,32.49,19.73,12.91,13.2,45.4,32.79,37.09,47.33,52.82,39.47,5.79,30.42,37.83,35.91,66.17
Aleš Mandous,cz CZE,180,40.95,74.48,85.91,13.2,24.04,16.32,64.99,68.25,9.05,9.5,24.18,47.63,25.52,51.63,35.46
Alisson,br BRA,3048,58.75,94.21,93.92,92.28,87.83,84.27,94.07,89.91,46.29,75.96,64.99,89.02,81.31,88.43,86.94
Alphonse Areola,fr FRA,2260,53.26,41.1,29.67,42.88,58.75,52.37,51.04,53.56,67.95,53.71,30.12,58.61,41.69,36.8,56.38
Altay Bayındır,tr TUR,540,12.02,92.43,90.65,89.61,20.77,79.97,85.31,76.26,80.86,81.01,59.64,88.13,68.55,91.39,86.05
Amir Saipi,xk KVX,720,63.35,48.07,62.31,69.14,76.26,51.63,76.85,29.38,34.42,31.31,31.9,11.87,5.64,32.64,20.62
Anatolii Trubin,ua UKR,1080,56.97,52.97,15.43,63.65,4.45,12.02,13.65,69.44,31.6,40.95,34.72,30.42,78.64,18.4,28.49
Andrea Mazza,it ITA,8,98.07,1.78,52.67,98.81,97.03,86.65,83.68,98.22,99.7,16.91,5.79,5.93,42.73,28.49,5.93
Andriy Lunin,ua UKR,810,12.02,89.61,81.01,81.9,34.72,13.06,68.55,94.36,69.14,65.88,94.96,91.99,98.52,67.66,95.25
André Ferreira,pt POR,540,7.72,44.96,6.68,13.2,51.78,41.69,15.58,47.33,79.82,50.0,34.72,22.26,63.5,33.83,17.51
André Onana,cm CMR,4230,19.29,79.53,37.98,70.92,85.76,91.39,90.8,81.6,71.22,86.94,72.7,74.78,73.29,96.74,97.33
Anthony Lopes,pt POR,1563,63.35,23.15,47.48,37.39,55.04,48.96,26.11,18.69,32.64,69.58,52.23,19.29,33.83,55.79,34.72
Anthony Moris,lu LUX,900,85.16,27.0,69.73,42.88,84.72,67.06,50.15,10.53,7.86,17.8,43.62,22.26,14.39,29.97,70.92
Antonio Sivera,es ESP,2810,78.04,15.43,47.48,53.12,93.77,88.13,17.8,7.72,62.31,42.43,52.82,41.54,35.76,76.85,55.34
Antonín Kinský,cz CZE,1080,12.02,84.57,18.1,66.47,86.05,79.08,93.47,93.92,73.29,90.5,91.69,90.36,88.13,77.45,94.36
Arijanet Muric,xk KVX,1620,47.63,60.68,42.43,27.15,38.58,35.46,44.21,64.24,29.08,35.76,94.07,57.12,54.01,70.33,47.33
Arnau Rafús,es ESP,90,40.95,1.78,2.37,13.2,81.16,50.89,69.14,59.79,25.52,37.54,59.64,47.63,38.87,26.56,15.13
Arnau Tenas,es ESP,90,89.02,37.39,90.65,13.2,16.77,2.97,45.55,36.94,2.52,2.52,59.64,47.63,17.95,4.75,29.38
Arthur Desmas,fr FRA,1620,35.61,37.39,56.82,37.39,18.55,14.24,13.35,36.94,49.41,50.89,34.72,18.1,53.71,11.28,56.68
Augusto Batalla,ar ARG,2880,79.97,32.49,56.82,51.48,61.57,61.42,48.96,39.47,36.35,39.02,65.88,58.61,44.36,60.53,59.35
Bart Verbruggen,nl NED,3240,54.3,16.02,30.56,41.1,22.55,24.93,60.24,21.96,3.26,18.4,40.06,63.5,9.79,53.71,54.45
Bartłomiej Drągowski,pl POL,630,49.7,63.2,62.31,56.97,4.15,11.28,35.91,46.14,15.13,12.46,48.37,72.11,29.23,13.65,35.46
Ben Alexander Voll,de GER,91,44.66,34.42,85.91,93.47,80.42,95.55,66.47,56.68,92.58,45.99,5.79,5.93,62.31,27.3,5.93
Benjamin Lecomte,fr FRA,2610,27.89,58.16,24.78,26.41,70.62,53.41,38.28,34.57,45.99,38.58,36.2,40.21,49.41,35.31,53.86
Benjamin Siegrist,ch SUI,152,82.2,90.21,52.67,13.2,25.37,68.69,53.12,65.28,89.61,50.89,29.08,27.0,60.98,48.96,11.87
Bernd Leno,de GER,3420,68.4,27.89,35.76,32.64,28.78,19.29,54.9,48.37,18.4,32.05,31.01,39.32,26.26,34.12,37.98
Brandon Austin,eng ENG,270,12.02,56.08,94.96,78.78,60.83,50.89,77.74,96.14,80.86,98.22,99.41,90.36,96.74,86.94,83.38
Brice Samba,fr FRA,2879,20.77,90.5,84.42,90.21,90.5,83.09,89.61,84.87,89.32,87.54,93.18,85.61,75.96,85.46,91.69
Bruno Varela,cv CPV,720,63.35,19.73,39.91,13.2,12.17,10.53,24.93,6.23,14.84,5.34,19.14,17.66,4.15,24.93,18.25
Caoimhín Kelleher,ie IRL,1260,45.1,88.13,95.25,95.85,62.91,77.0,95.55,85.76,45.1,82.49,66.62,87.24,64.09,87.24,97.03
Christian Walton,eng ENG,630,17.36,30.86,23.44,33.53,68.99,59.64,42.73,59.79,61.42,55.64,86.8,15.43,57.86,43.32,20.18
Christos Mandas,gr GRE,1620,51.78,82.49,91.69,86.05,96.14,94.36,92.88,85.46,51.04,85.91,98.22,94.96,82.49,94.66,98.52
Colin Coosemans,be BEL,810,67.06,24.48,24.78,30.56,56.97,64.39,76.11,43.32,10.83,51.93,42.28,60.24,13.06,31.31,67.66
Connor Roberts,wls WAL,540,51.78,83.38,96.14,37.39,58.46,54.15,56.38,5.19,59.5,60.83,45.7,12.76,3.86,38.58,12.76
Craig Gordon,sct SCO,540,63.35,14.24,42.43,37.39,27.0,44.81,9.79,50.45,65.28,12.91,17.36,22.26,78.34,48.66,51.78
Damjan Šiškovski,mk MKD,90,89.02,4.01,52.67,13.2,51.78,36.94,15.58,73.74,57.72,15.43,59.64,47.63,81.01,68.25,14.54
Dani Cárdenas,es ESP,540,89.02,14.24,45.85,63.65,41.39,67.66,12.46,24.78,66.91,30.86,17.36,12.76,70.62,63.35,18.99
Daniel Bentley,eng ENG,180,40.95,67.36,45.85,78.78,24.04,23.44,26.71,13.95,49.41,24.33,5.79,70.03,8.31,48.07,70.62
Daniel Peretz,il ISR,360,19.29,59.64,31.16,13.2,63.5,53.12,85.31,3.86,62.31,10.24,5.79,87.54,2.37,69.73,69.73
Daniel Schmidt,jp JPN,90,40.95,4.01,30.56,13.2,34.72,16.32,2.37,59.79,6.08,3.71,59.64,47.63,93.92,20.47,25.37
Daniele Padelli,it ITA,90,98.07,37.39,97.33,94.36,16.77,8.75,4.15,5.19,2.52,15.43,59.64,5.93,17.95,14.24,5.93
Daniele Sommariva,it ITA,28,8.9,91.39,20.77,13.2,19.88,97.33,41.84,1.04,98.81,99.7,5.79,5.93,1.04,51.04,5.93
Daniil Khudiakov,ru RUS,180,63.35,56.08,34.42,78.78,43.77,76.11,47.18,50.45,32.2,57.86,91.69,22.26,53.26,79.82,17.21
Danijel Zagorac,hr CRO,270,73.59,24.48,67.21,63.65,68.99,65.13,17.06,5.19,88.72,72.55,34.72,47.63,7.27,56.68,18.69
Danny Ward,wls WAL,135,3.12,24.48,1.78,13.2,77.15,47.33,48.07,73.74,19.88,4.15,5.79,64.99,67.95,63.95,71.36
David Raya,es ESP,4590,56.97,72.85,87.24,91.1,92.58,94.07,89.91,89.02,73.59,81.6,95.99,91.69,86.65,95.85,96.44
David Soria,es ESP,3420,86.35,12.46,59.2,48.81,86.35,81.6,5.34,4.15,70.33,25.52,33.23,53.41,30.86,78.34,55.93
David de Gea,es ESP,3600,18.1,90.8,69.14,59.94,96.59,91.99,78.04,81.16,94.07,93.18,28.49,90.36,94.66,91.99,91.1
David von Ballmoos,ch SUI,360,4.45,48.07,3.26,13.2,65.13,61.87,52.23,8.16,36.35,44.81,14.84,47.63,5.93,47.77,76.56
Davy Roef,be BEL,630,75.67,67.36,39.91,72.85,13.5,9.2,22.85,59.79,35.61,21.07,5.79,15.43,65.58,6.97,71.36
Dean Henderson,eng ENG,3420,72.55,23.44,49.41,56.97,36.94,56.23,22.55,15.43,59.94,44.51,42.88,54.01,36.8,44.51,60.83
Deniz Dilmen,0,180,5.64,37.39,23.44,13.2,6.97,4.3,37.83,9.35,32.2,6.68,5.79,95.99,4.75,10.39,76.85
Devis Vásquez,co COL,2880,69.29,18.4,34.42,41.1,53.71,66.47,44.51,19.58,20.47,49.41,68.1,19.58,31.31,63.95,53.12
Diant Ramaj,de GER,360,63.35,56.08,84.42,13.2,30.56,63.35,75.07,64.69,9.05,11.57,72.11,47.63,32.64,45.4,76.26
Diego Conde,es ESP,1962,60.09,29.97,21.81,29.23,14.39,10.98,20.77,62.91,22.85,45.7,45.7,32.94,56.23,21.07,45.4
Dimitry Bertaud,cd COD,360,16.91,19.73,12.02,13.2,51.78,30.56,10.98,54.45,54.6,35.31,91.69,33.83,78.93,39.76,42.14
Dinko Horkaš,hr CRO,1085,56.97,31.75,56.08,28.19,64.39,45.7,70.62,49.11,12.02,21.96,40.06,64.99,23.89,37.24,68.69
Diogo Costa,pt POR,900,63.35,13.35,26.71,58.61,51.78,35.91,67.36,32.64,27.89,43.03,51.48,63.2,14.99,26.11,65.88
Dmytro Riznyk,ua UKR,720,40.95,74.48,68.1,51.48,65.13,59.05,70.33,45.1,54.6,68.25,91.69,22.26,23.29,30.27,13.06
Dominik Greif,sk SVK,2790,85.16,25.52,49.41,47.03,71.22,52.82,35.31,40.36,44.81,62.02,21.36,31.6,55.49,52.52,47.92
Dominik Kotarski,hr CRO,900,70.03,45.99,76.85,58.61,32.34,38.58,62.02,22.26,16.02,33.23,16.02,36.5,14.99,48.37,64.99
Dominik Livaković,hr CRO,540,63.35,67.36,70.03,13.2,66.02,70.33,67.66,65.28,16.62,21.36,24.18,47.63,48.81,57.12,72.11
Dominik Takáč,sk SVK,720,7.42,74.48,15.43,13.2,39.61,34.72,7.42,56.38,85.01,78.64,76.26,5.93,84.27,23.15,5.93
Donovan Léon,gf GUF,2880,63.35,60.24,74.04,55.34,76.56,79.53,43.62,66.47,43.03,59.64,50.0,60.24,79.23,72.7,50.45
Dávid Gróf,hu HUN,180,63.35,37.39,23.44,78.78,51.78,57.42,17.51,5.19,9.05,62.31,59.64,22.26,12.02,73.0,63.2
Dénes Dibusz,hu HUN,572,57.86,50.15,65.13,59.94,39.61,17.8,28.49,31.45,18.69,23.59,11.57,56.23,34.42,22.85,83.09
Ed McGinty,ie IRL,180,95.7,9.94,34.42,78.78,16.77,13.06,19.14,86.65,25.52,7.57,59.64,95.99,92.28,20.18,62.61
Ederson,br BRA,3040,5.04,85.16,26.71,81.01,54.01,29.53,87.83,87.24,51.63,52.23,59.64,96.74,75.52,82.49,97.92
Elia Caprile,it ITA,1945,63.35,71.96,84.87,95.55,95.55,92.58,80.42,83.98,93.18,87.24,88.13,82.64,90.36,88.72,91.39
Elías Rafn Ólafsson,is ISL,520,80.71,65.28,59.2,67.36,41.39,60.53,33.98,69.14,74.48,14.24,49.11,82.2,82.2,50.74,75.67
Emil Audero,id IDN,720,29.08,9.94,7.86,13.2,8.31,8.31,42.28,29.38,4.75,19.88,31.9,47.63,19.29,9.2,28.19
Emiliano Martínez,ar ARG,4274,28.19,95.25,81.01,85.76,90.8,85.91,95.25,80.42,72.26,88.13,97.33,73.89,65.88,96.14,94.66
Enrico Del Prato,it ITA,13,0.3,1.78,0.3,13.2,1.19,99.7,98.22,79.53,99.41,99.11,99.7,5.93,25.22,57.57,5.93
Ersin Destanoğlu,tr TUR,270,51.78,67.36,39.91,63.65,9.5,29.97,31.45,77.74,76.56,29.67,74.18,16.47,85.31,15.13,27.3
Fabian Bredlow,de GER,90,3.12,9.94,7.86,13.2,34.72,43.32,49.26,59.79,2.52,4.6,5.79,80.56,64.69,2.08,75.37
Fabiano,br BRA,630,75.67,49.55,81.01,56.97,22.85,20.18,0.89,22.7,73.0,55.64,48.37,12.17,74.18,42.43,18.25
Fabijan Buntić,hr CRO,180,21.51,19.73,23.44,13.2,2.67,2.37,1.19,24.78,6.08,6.68,24.18,47.63,62.02,19.88,44.51
Fabrice Ondoa,cm CMR,720,53.86,51.78,28.34,31.45,36.5,40.65,19.88,29.38,28.19,59.35,40.06,22.26,65.28,45.99,29.67
Federico Ravaglia,it ITA,1146,31.31,78.93,13.8,72.85,91.99,95.85,97.63,94.66,41.84,48.66,52.52,35.01,77.74,81.6,34.42
Fernando Muslera,uy URU,540,26.11,19.73,47.48,13.2,37.83,22.26,37.83,42.28,15.58,12.91,45.7,47.63,40.21,23.44,77.74
Filip Jørgensen,dk DEN,1620,29.08,92.43,88.72,83.23,8.9,17.21,91.39,93.18,40.36,66.47,80.71,64.99,69.14,39.32,87.54
Filip Manojlović,rs SRB,810,89.02,47.03,90.65,73.89,42.43,19.73,8.01,71.96,60.53,45.1,50.89,35.61,87.83,44.21,65.58
Filip Stankovic,rs SRB,1367,60.09,64.99,69.14,13.2,19.29,24.04,40.95,21.66,21.66,61.42,42.88,38.58,21.66,17.21,23.0
Finn Dahmen,de GER,1710,89.02,52.97,75.82,75.52,79.53,70.92,54.3,11.57,66.47,69.58,21.07,66.47,8.9,65.58,39.02
Florian Müller,de GER,753,46.14,8.01,12.91,48.81,73.89,77.74,52.82,21.22,56.08,23.59,37.54,54.75,21.36,75.07,31.9
Fran,es ESP,90,40.95,1.78,4.3,13.2,3.71,1.63,1.63,13.95,13.35,2.52,59.64,47.63,37.09,2.37,16.62
Fran Vieites,es ESP,1080,34.42,19.73,14.69,69.14,78.78,94.66,78.34,78.78,93.77,95.25,93.47,73.15,94.36,97.33,81.01
Francis Uzoho,ng NGA,90,89.02,37.39,90.65,13.2,98.81,96.44,6.23,2.52,97.18,70.33,59.64,5.93,6.23,58.75,5.93
Franco Israel,uy URU,720,63.35,56.08,66.17,51.48,10.09,10.53,24.04,29.38,63.35,9.5,19.14,17.66,31.9,21.66,22.55
Frank Feller,de GER,301,40.95,85.46,93.92,96.74,98.22,99.11,99.11,97.33,94.96,97.63,38.72,94.66,84.72,99.7,84.57
Fraser Forster,eng ENG,900,4.15,98.81,81.9,75.96,20.33,25.82,80.71,95.1,97.18,94.96,88.87,86.05,92.58,32.34,85.16
Frederik Rønnow,dk DEN,2520,74.48,21.07,60.98,56.97,54.45,44.51,27.89,55.79,36.35,66.47,77.3,61.87,63.5,68.55,54.45
Fyodor Lapoukhov,by BLR,540,32.49,24.48,28.34,37.39,77.15,54.15,60.83,63.5,49.41,16.47,45.7,83.38,46.29,70.03,49.85
Gabriel Kobylak,pl POL,360,78.04,74.48,71.22,78.78,6.97,5.04,3.56,19.58,40.36,19.29,24.18,14.84,47.03,11.87,36.35
Gauthier Gallon,fr FRA,45,98.07,1.78,52.67,97.48,1.19,6.53,45.55,36.94,70.33,1.78,5.79,80.56,13.8,7.72,79.82
Gautier Larsonneur,fr FRA,2970,26.11,64.39,37.98,31.45,33.38,48.22,43.92,48.37,44.51,51.34,38.13,47.63,45.99,29.67,49.55
Gerónimo Rulli,ar ARG,3060,70.92,21.51,55.34,34.12,13.5,5.64,54.01,33.09,6.82,8.31,44.36,75.82,10.98,14.84,70.03
Gianluigi Donnarumma,it ITA,3441,37.39,73.29,42.43,82.34,38.87,37.39,77.45,84.57,82.49,75.37,75.82,76.26,87.24,81.9,85.76
Giorgi Mamardashvili,ge GEO,3060,69.29,22.85,44.96,48.81,37.39,38.87,24.33,33.68,47.33,36.2,53.12,57.57,53.26,56.23,62.91
Giuseppe Ciocci,it ITA,9,98.07,1.78,52.67,98.52,1.19,0.74,0.3,1.04,0.74,0.74,5.79,99.7,1.04,0.74,67.36
Gregor Kobel,ch SUI,4050,14.24,86.65,39.91,81.45,75.67,76.56,92.58,88.13,63.8,84.57,69.44,91.1,71.36,89.91,92.88
Grégoire Coudert,fr FRA,270,0.59,92.43,0.89,13.2,94.66,96.74,86.8,98.81,91.39,85.91,96.59,93.77,99.41,97.63,89.91
Guglielmo Vicario,it ITA,2970,36.2,88.72,71.81,84.42,37.83,36.5,87.24,90.21,72.26,92.58,97.03,78.64,76.41,78.78,86.35
Guillaume Restes,fr FRA,2543,76.71,11.57,21.81,55.34,14.84,21.96,18.69,12.17,21.36,27.3,12.17,59.35,23.89,36.5,63.8
Günay Güvenç,0,360,40.95,70.77,85.91,13.2,24.04,7.42,53.41,29.38,16.32,7.57,24.18,70.03,13.8,5.64,38.28
Hendrik Bonmann,de GER,360,89.02,80.71,95.7,78.78,78.78,77.0,74.18,59.79,71.51,74.78,87.54,33.83,30.42,52.23,24.33
Heorhiy Bushchan,ua UKR,450,16.02,89.32,63.5,13.2,51.78,51.93,57.86,69.73,11.42,37.54,30.12,36.5,59.35,63.35,33.83
Hervé Koffi,bf BFA,450,55.19,59.05,93.32,13.2,14.39,14.54,15.58,49.11,11.42,13.5,43.62,18.4,68.84,21.36,13.65
Hákon Rafn Valdimarsson,is ISL,145,79.08,8.31,5.34,85.16,92.88,88.43,58.46,47.77,83.68,10.98,71.81,5.93,38.28,75.96,5.93
Ingvar Jónsson,is ISL,720,70.92,51.78,82.34,51.48,55.04,46.59,64.09,27.0,22.26,52.82,50.0,83.98,15.73,29.38,50.15
Ionuț Radu,ro ROU,1350,81.45,43.62,60.98,54.15,43.03,72.7,50.74,40.65,21.96,40.21,49.11,13.65,47.77,71.22,19.29
Isak Pettersson,se SWE,720,48.96,70.77,49.41,69.14,48.66,87.54,30.42,36.94,75.07,83.09,68.1,27.89,67.21,73.29,44.21
Ivan Guteša,rs SRB,270,89.02,67.36,94.36,63.65,77.15,65.13,8.9,36.94,85.01,26.71,17.36,16.47,76.41,52.82,24.33
Ivan Nevistić,hr CRO,450,12.02,62.17,48.37,42.88,56.08,55.19,29.23,10.53,55.64,47.48,13.06,5.93,22.4,28.93,5.93
Ivan Provedel,it ITA,2880,35.01,89.02,64.39,78.78,96.59,97.03,94.66,83.23,76.26,94.36,84.87,67.8,83.68,97.92,82.79
Ivica Ivušić,hr CRO,810,84.42,6.82,49.41,63.65,18.55,18.4,23.59,41.25,13.35,10.68,27.6,57.12,48.37,13.35,56.97
Iván Villar,es ESP,360,29.08,19.73,30.56,13.2,2.97,4.3,8.31,29.38,76.85,60.24,14.84,61.87,32.94,8.01,74.18
Iñaki Peña,es ESP,1846,33.38,30.86,26.71,88.28,10.98,21.66,91.1,86.35,78.34,71.81,29.38,99.41,60.98,81.31,99.11
Jack Butland,eng ENG,810,73.59,21.51,42.43,45.85,79.23,65.88,28.19,20.62,74.18,64.99,34.72,18.84,43.77,57.86,35.91
Jacob Karlstrom,no NOR,360,78.04,27.6,77.89,51.48,13.95,28.78,82.79,59.79,36.35,78.93,80.71,86.8,6.53,17.8,61.57
Jacob Rinne,se SWE,735,72.11,17.21,26.71,48.81,25.37,33.53,33.23,22.7,54.01,39.76,53.56,56.23,28.49,34.42,59.05
Jacopo Seghetti,it ITA,90,12.02,37.39,4.3,13.2,16.77,16.32,1.63,59.79,25.52,1.78,5.79,47.63,95.55,26.56,77.45
Jakub Stolarczyk,pl POL,900,55.19,28.49,44.96,42.88,64.09,76.11,55.79,26.71,37.39,64.39,59.64,36.5,23.29,58.46,73.59
Jan Oblak,si SVN,4140,29.97,87.54,46.59,85.16,64.69,52.37,64.39,95.55,93.47,88.72,94.36,62.61,100.0,91.1,90.5
Janis Blaswich,de GER,381,8.01,22.4,5.04,13.2,21.66,22.55,22.26,16.02,46.74,17.51,14.24,67.36,19.58,25.52,39.47
Jason Steele,eng ENG,180,95.7,5.93,23.44,78.78,24.04,13.06,82.2,24.78,1.63,15.43,59.64,70.03,3.56,37.24,33.53
Jasper Cillessen,nl NED,2335,53.86,48.96,59.2,31.45,46.88,55.79,49.85,67.36,56.97,56.08,24.18,35.01,59.05,37.98,61.13
Jay Gorter,nl NED,67,18.55,5.04,3.56,13.2,35.91,13.95,65.58,39.47,5.04,5.04,5.79,5.93,11.57,43.77,5.93
Jean Butez,fr FRA,1666,85.76,21.96,49.41,54.15,48.37,35.01,69.44,56.97,3.56,12.17,70.77,88.43,28.19,36.2,67.95
Jeroen Zoet,nl NED,90,89.02,67.36,100.0,13.2,51.78,85.16,23.59,59.79,85.01,89.91,91.69,5.93,80.71,57.12,5.93
Jesse Joronen,fi FIN,703,45.7,54.3,21.81,53.12,11.57,25.37,56.97,71.96,29.67,57.86,41.84,28.78,54.3,18.69,14.84
Jesús Owono,gq EQG,487,75.67,4.45,23.44,13.2,89.17,75.67,16.62,7.12,51.93,21.66,67.36,17.21,35.01,84.27,16.62
