Player,Team,League,Nationality,Position,Age,Matches,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
Aapo Halme,HJK,Europa Conference League,fi FIN,MF,26-134,1,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,27.46,36.61,1.53,0.0,0.0,0.0,0.0,35.08,1.53,1.53,9.15,12.2,18.31,24.41,0.0,0.0,13.73,0.0,0.0,0.0,0.0,0.0,0.0,4.58,4.58,3.05,1.53,0.0,3.05,3.05,0.0,1.53,0.0,0.0,1.53,0.0,0.0,1.53,3.05,4.58,32.03,0.0,45.76,4.58,18.31,25.93,3.05,0.0,45.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,12.38,4.22,0.26,0.26
Aaron Ciammaglichella,Torino,Serie A,it ITA,MF,19-212,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Aaron Cresswell,West Ham,Premier League,eng ENG,DF,34-253,18,824.0,0.0,0.0,0.55,0.0,0.02,0.02,0.0,0.0,1.64,0.0,0.98,5.68,0.55,0.22,3.93,0.21,0.14,55.05,66.63,3.93,0.11,0.55,1.09,0.11,55.81,10.7,3.6,25.01,27.2,23.16,26.32,6.33,11.69,31.78,0.66,0.87,0.0,0.22,0.11,0.11,1.2,0.76,0.55,0.55,0.11,0.98,1.2,0.22,0.87,0.98,0.44,4.04,0.0,3.93,0.44,0.0,0.44,47.73,0.44,75.04,4.92,29.49,35.83,10.27,0.22,75.04,0.33,0.0,0.44,0.22,0.0,0.0,0.0,0.0,0.76,0.76,1.53,15.24,3.79,0.39,0.48
Aaron Donnelly,Larne FC,Europa Conference League,nir NIR,MF,24-230,4,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.32,0.0,0.0,25.48,31.61,0.97,0.0,0.0,0.0,0.0,25.48,6.13,3.23,9.35,10.32,12.26,14.84,3.55,5.81,20.65,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.61,1.94,0.97,0.0,2.26,4.19,1.94,0.97,0.0,0.0,4.84,0.0,1.29,0.65,0.0,0.65,22.26,0.0,40.97,4.84,23.23,17.1,1.61,0.0,40.97,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.65,0.65,1.29,16.01,3.34,0.43,0.43
Aaron Greene,Shamrock Rov,Europa Conference League,ie IRL,FW,34-275,6,109.0,0.0,0.0,1.65,1.65,0.25,0.25,0.0,0.0,3.3,0.0,1.65,0.0,0.83,0.0,0.83,0.0,0.0,18.99,23.94,1.65,0.0,0.0,0.0,0.83,22.29,0.83,0.0,11.56,14.04,0.83,0.83,0.0,0.0,20.64,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,2.48,5.78,3.3,9.08,29.72,8.26,37.16,0.0,4.13,12.39,20.64,7.43,37.16,0.83,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,2.48,0.26,0.31
Aaron Malouda,Lille,Ligue 1,fr FRA,FW,19-056,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0
Aaron McEneff,Shamrock Rov,Europa Conference League,ie IRL,MF,29-107,4,352.0,0.0,0.0,2.05,0.51,0.18,0.18,0.0,0.0,1.79,0.0,0.77,2.81,0.77,0.51,0.77,0.05,0.08,33.75,40.14,3.32,0.0,0.0,1.02,0.0,40.14,0.0,0.0,19.69,22.5,12.02,12.78,2.05,3.58,32.98,1.28,1.53,0.26,1.28,0.26,1.02,1.53,1.28,0.0,0.77,0.77,0.77,1.53,0.77,1.02,0.51,0.0,0.51,0.0,3.84,1.02,0.77,1.79,38.1,5.62,49.86,1.02,8.95,22.24,19.43,2.3,49.86,0.26,0.0,0.26,0.77,0.26,0.0,0.0,0.0,0.0,1.28,1.28,13.26,4.53,0.21,0.35
Aaron Wan-Bissaka,West Ham,Premier League,eng ENG,DF,26-272,36,3154.0,0.06,0.14,0.46,0.14,0.03,0.03,0.0,0.0,2.65,0.29,0.94,2.68,1.0,0.31,2.17,0.07,0.1,42.0,51.79,4.25,0.14,0.03,1.77,0.11,44.74,6.93,0.31,27.19,30.13,12.81,15.69,1.37,3.0,31.16,3.14,1.85,0.43,3.48,1.83,1.23,2.0,1.4,0.94,0.91,0.14,0.66,0.91,0.26,1.88,1.06,0.31,3.57,0.0,4.97,1.0,0.63,1.63,37.72,4.77,64.38,4.19,19.46,27.65,18.18,1.37,64.38,0.03,0.0,0.71,0.77,0.14,0.0,0.0,0.03,0.63,0.94,1.57,11.4,6.14,0.36,0.55
Aarón Martín,Genoa,Serie A,es ESP,DF,27-117,36,3085.0,0.0,0.23,0.47,0.12,0.02,0.02,0.0,0.0,2.77,0.38,1.9,2.25,0.88,0.61,7.47,0.17,0.16,35.62,49.16,2.63,0.0,0.09,0.88,0.15,35.77,13.24,2.71,14.15,15.87,16.25,20.65,4.67,10.74,25.61,1.46,0.9,0.12,0.79,0.35,0.35,2.07,1.37,1.2,0.76,0.12,0.96,1.49,0.53,0.55,0.96,0.32,2.13,0.03,4.26,0.64,0.5,1.14,30.31,3.15,56.92,2.54,16.51,23.4,17.74,0.58,56.92,0.15,0.0,1.11,0.82,0.12,0.03,0.0,0.0,0.58,0.96,1.55,13.69,5.5,0.38,0.47
Abakar Sylla,Strasbourg,Ligue 1,ci CIV,DF,21-237,21,950.0,0.09,0.0,0.47,0.09,0.05,0.05,0.0,0.0,0.38,0.09,0.09,1.99,0.09,0.0,0.09,0.0,0.01,55.23,62.34,1.99,0.0,0.09,0.66,0.0,55.8,6.54,2.37,21.22,23.12,31.45,33.92,2.08,4.26,40.26,0.0,0.09,0.0,0.57,0.28,0.28,2.56,1.42,1.33,1.04,0.19,1.42,1.61,0.19,1.04,1.71,0.95,5.97,0.0,3.69,0.47,0.38,0.85,47.08,0.28,74.94,14.31,48.32,24.44,2.46,0.85,74.94,0.19,0.09,1.61,0.66,0.0,0.0,0.0,0.09,1.89,1.42,3.32,15.17,3.51,0.36,0.41
Abbas Huseynov,Qarabağ,Europa League,az AZE,DF,29-105,4,239.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13,2.26,1.13,0.75,2.26,0.08,0.11,32.01,39.16,1.51,0.38,0.0,0.38,0.38,35.02,3.77,0.38,19.96,21.46,11.3,15.06,0.75,1.88,29.37,2.26,1.88,0.0,0.75,0.0,0.75,1.88,1.88,1.13,0.75,0.0,0.38,1.13,0.75,1.51,0.75,0.38,2.64,0.0,3.77,0.38,0.75,1.13,27.49,5.27,47.45,4.52,16.95,16.57,14.31,1.13,47.45,0.38,0.0,0.75,1.13,0.0,0.0,0.0,0.0,0.75,1.13,1.88,11.94,4.56,0.34,0.51
Abdallah Sima,Brest,Champions League,sn SEN,FW,23-094,9,508.0,0.53,0.0,2.83,0.71,0.44,0.44,0.0,0.0,2.13,0.35,0.53,0.0,0.53,0.18,1.24,0.09,0.11,13.46,22.5,0.89,0.18,0.0,1.24,0.0,21.79,0.71,0.0,8.68,12.58,4.25,6.56,0.18,1.24,20.02,2.3,1.42,1.24,1.77,0.18,1.24,1.24,0.53,0.35,0.53,0.35,0.35,0.35,0.0,0.53,0.71,0.18,0.35,0.0,4.43,2.48,1.59,4.07,24.09,6.02,34.55,0.89,3.19,12.76,19.31,4.78,34.55,0.18,0.0,1.59,1.24,0.35,0.0,0.0,0.0,3.72,3.37,7.09,8.39,6.17,0.16,0.35
Abdallah Sima,Brest,Ligue 1,sn SEN,MF,23-069,27,1238.0,0.51,0.15,2.69,1.31,0.41,0.41,0.0,0.0,2.04,0.22,0.95,0.95,0.44,0.07,1.16,0.06,0.07,16.79,24.14,1.74,0.0,0.07,1.09,0.0,23.77,0.36,0.15,10.32,13.3,5.23,7.63,0.58,0.73,21.74,2.62,1.16,1.45,1.67,0.44,0.95,1.09,0.8,0.15,0.36,0.58,0.29,0.8,0.51,0.07,0.65,0.07,0.65,0.0,4.43,3.85,1.6,5.45,27.48,6.69,37.08,0.73,4.8,14.1,18.61,4.8,37.08,0.15,0.0,1.16,1.82,0.29,0.0,0.0,0.0,2.98,3.2,6.18,9.46,6.68,0.21,0.36
