Player,Nationality,Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
Aapo Halme,fi FIN,MF,26-134,59.0,27.31,29.61,7.06,15.46,11.43,11.51,46.9,46.15,5.18,20.07,9.37,58.88,10.87,24.36,10.18,13.6,13.88,32.17,32.35,17.24,26.33,20.79,7.42,21.19,36.71,32.95,72.03,14.89,17.16,63.28,68.78,5.84,3.92,4.23,6.63,7.57,19.48,6.35,10.62,10.24,90.81,97.34,95.62,85.47,17.6,95.01,79.91,92.09,77.9,6.11,17.98,43.36,66.85,2.7,50.53,9.35,23.98,38.51,5.41,26.55,70.69,61.0,47.34,11.21,5.36,26.55,84.03,54.77,94.63,6.64,73.79,56.34,45.01,51.96,7.34,56.61,26.6,38.86,19.4,28.08,6.0
Aaron Ciammaglichella,it ITA,MF,19-212,1.0,27.31,29.61,7.06,15.46,11.43,11.51,46.9,46.15,5.18,20.07,9.37,5.12,10.87,24.36,10.18,13.6,13.88,0.55,0.37,3.9,26.33,20.79,7.42,21.19,0.42,5.26,14.18,0.89,0.76,1.9,1.42,5.84,3.92,0.39,6.63,7.57,19.48,6.35,10.62,10.24,5.05,7.01,9.28,9.25,17.6,8.39,5.04,92.09,8.76,6.11,17.98,5.9,66.85,2.7,94.9,91.53,96.23,0.35,5.41,0.23,5.03,1.76,0.76,1.36,5.36,0.23,84.03,54.77,94.63,6.64,73.79,56.34,45.01,51.96,7.34,5.16,3.6,0.55,0.54,1.58,1.14
Aaron Cresswell,eng ENG,DF,34-253,824.0,27.31,29.61,30.63,15.46,28.24,28.45,46.9,46.15,38.41,20.07,56.71,82.33,46.13,67.58,80.98,84.77,71.63,75.48,75.01,56.33,62.91,83.47,58.7,51.54,70.29,90.59,94.35,73.52,71.89,73.37,72.58,87.2,89.48,51.42,27.56,41.56,19.48,16.19,23.32,23.34,28.82,33.82,37.11,43.25,41.57,58.37,32.55,81.0,51.65,38.15,68.33,76.03,66.85,40.72,83.11,91.53,89.04,67.87,19.6,70.83,72.43,78.22,70.41,30.37,12.13,70.83,29.21,54.77,85.68,15.22,73.79,56.34,45.01,51.96,37.44,25.37,26.6,63.51,11.11,68.51,42.06
Aaron Donnelly,nir NIR,MF,24-230,279.0,27.31,29.61,7.06,15.46,11.43,11.51,46.9,46.15,5.18,20.07,9.37,38.17,10.87,24.36,31.24,13.6,13.88,28.59,23.79,10.73,26.33,20.79,7.42,21.19,18.05,74.57,92.65,15.55,10.89,41.87,40.16,65.96,59.8,17.23,6.63,7.57,19.48,6.35,10.62,10.24,75.38,71.73,87.68,68.32,17.6,90.39,90.03,13.15,56.03,6.11,17.98,81.93,66.85,6.68,76.76,91.53,85.25,12.29,5.41,18.53,72.11,69.91,21.21,5.81,5.36,18.53,84.03,54.77,94.63,30.85,73.79,56.34,45.01,51.96,33.58,21.05,20.52,67.96,6.41,75.07,27.29
Aaron Greene,ie IRL,FW,34-275,109.0,27.31,29.61,63.58,92.82,77.45,79.17,46.9,46.15,70.5,20.07,76.55,5.12,59.34,24.36,45.59,13.6,13.88,17.13,12.43,18.72,26.33,20.79,7.42,97.01,12.93,19.71,14.18,24.56,25.34,3.79,2.84,5.84,3.92,17.21,32.89,40.39,77.94,33.02,10.62,56.11,5.05,7.01,9.28,9.25,17.6,8.39,5.04,92.09,8.76,31.25,17.98,26.1,66.85,15.52,4.99,7.78,5.78,31.94,80.4,13.37,5.03,14.22,7.66,66.75,90.43,13.37,6.58,54.77,94.63,91.18,73.79,56.34,45.01,51.96,7.34,5.16,3.6,2.64,3.06,28.08,9.08
Aaron Malouda,fr FRA,FW,19-056,2.0,27.31,29.61,7.06,15.46,11.43,11.51,46.9,46.15,5.18,20.07,9.37,5.12,10.87,24.36,10.18,13.6,13.88,0.55,0.37,3.9,26.33,20.79,7.42,21.19,0.42,5.26,14.18,0.89,0.76,1.9,1.42,5.84,3.92,72.44,6.63,7.57,19.48,6.35,10.62,10.24,5.05,7.01,9.28,9.25,17.6,8.39,5.04,92.09,8.76,6.11,17.98,5.9,66.85,2.7,94.9,0.11,0.24,64.82,5.41,0.23,5.03,1.76,0.76,1.36,5.36,0.23,84.03,54.77,94.63,6.64,73.79,56.34,45.01,51.96,7.34,5.16,3.6,0.55,4.69,1.58,1.14
Aaron McEneff,ie IRL,MF,29-107,352.0,27.31,29.61,71.81,65.21,69.81,71.34,46.9,46.15,42.12,20.07,48.83,55.09,56.84,83.0,44.19,47.54,56.53,45.08,38.57,47.23,26.33,20.79,55.96,21.19,46.81,5.26,14.18,60.76,61.06,40.99,32.78,42.6,37.75,54.49,45.99,62.74,55.45,44.51,32.09,62.3,39.59,59.37,9.28,57.64,89.75,46.93,43.78,51.0,58.95,18.2,17.98,18.04,66.85,38.83,64.84,53.37,64.1,53.35,66.01,33.64,24.89,33.6,36.42,62.92,56.74,33.64,37.79,54.77,88.39,36.36,25.26,56.34,45.01,51.96,7.34,47.61,20.29,48.18,26.59,16.18,12.78
Aaron Wan-Bissaka,eng ENG,DF,26-272,3154.0,58.92,75.66,26.81,38.97,32.91,33.24,46.9,46.15,61.16,68.09,55.18,52.96,65.35,73.31,66.61,55.57,62.1,60.61,60.27,60.77,66.89,41.79,80.05,51.54,55.9,78.26,37.43,76.26,75.72,43.77,43.22,30.43,32.05,50.05,78.44,70.24,64.57,78.14,83.99,67.66,54.23,63.82,56.71,65.46,45.24,40.97,22.76,79.48,84.65,43.32,59.91,71.78,66.85,58.53,65.74,58.85,66.98,52.59,58.48,59.91,68.27,63.45,53.21,59.04,41.05,59.91,67.88,54.77,77.74,36.36,34.74,56.34,45.01,3.62,32.78,33.08,27.56,27.37,61.64,61.03,62.85
Aarón Martín,es ESP,DF,27-117,3085.0,27.31,85.4,27.15,36.82,28.24,28.45,46.9,46.15,63.12,75.17,81.3,44.62,61.01,86.63,93.62,79.59,75.75,48.81,56.0,34.43,26.33,46.5,48.91,58.84,38.18,93.87,89.23,36.71,33.55,57.07,60.07,77.9,86.81,33.16,49.71,42.39,45.81,31.6,37.08,36.0,56.42,62.76,68.7,57.09,42.77,57.51,42.3,64.97,36.03,37.14,60.73,54.81,32.87,47.15,77.13,65.1,75.99,33.88,44.51,46.89,50.64,56.57,39.72,57.29,20.53,46.89,55.89,54.77,59.19,38.29,36.81,11.83,45.01,51.96,30.85,33.95,27.03,52.31,51.33,66.46,38.89
Abakar Sylla,ci CIV,DF,21-237,950.0,62.57,29.61,27.15,34.31,42.01,42.61,46.9,46.15,12.62,44.77,19.43,39.04,22.79,24.36,22.17,13.6,29.39,75.6,72.01,23.48,26.33,46.5,37.6,21.19,70.24,76.57,85.85,65.11,63.08,83.54,81.62,43.11,44.31,67.06,6.63,15.58,19.48,26.04,33.24,32.22,69.0,64.55,73.46,71.51,51.4,75.48,46.32,82.22,59.86,71.92,87.56,88.37,66.85,34.89,82.53,69.97,81.78,67.18,16.62,70.64,95.81,93.69,42.93,8.88,27.78,70.64,49.13,4.41,38.33,31.18,73.79,56.34,45.01,1.62,69.73,52.9,61.21,63.12,8.08,61.03,22.11
