Team,League,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Pass Length,Goal Kick Length,Distance of Defensive Actions,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
AC Omonia,Europa Conference League,8,7200.0,0.46,0.12,0.32,0.16,0.03,0.02,0.49,1.21,1.55,0.31,0.92,1.61,0.09,0.01,0.11,0.04,0.92,0.34,0.13,0.12,0.01,0.01,1.61,0.16,0.66,3.31,0.92,0.25,1.78,0.06,0.07,38.54,47.26,4.18,0.25,0.34,0.91,0.2,43.15,3.91,1.1,17.25,19.4,17.71,20.36,2.91,5.22,31.66,1.54,0.92,0.3,2.04,0.92,1.06,1.6,0.95,0.9,0.49,0.21,0.76,1.45,0.69,0.98,1.16,0.45,2.88,0.02,4.29,1.66,0.86,2.52,39.2,4.15,59.1,4.24,18.05,28.1,13.52,1.74,59.09,0.16,0.0,1.05,1.18,0.2,0.01,0.01,0.0,1.35,1.45,2.8,6.48,45.64,12.8,14.01,5.67,0.32,0.47
APOEL,Europa Conference League,8,7161.0,0.48,0.11,0.35,0.13,0.02,0.01,0.31,1.12,1.91,0.41,0.54,1.16,0.08,0.0,0.13,0.04,1.19,0.34,0.1,0.1,0.0,0.0,2.1,0.2,0.85,2.66,0.5,0.16,1.94,0.07,0.08,34.9,43.28,3.23,0.05,0.24,0.9,0.28,38.95,4.06,1.24,15.01,16.99,15.67,18.3,3.26,5.45,30.33,1.4,1.48,0.21,1.48,0.63,0.75,1.67,1.02,0.79,0.67,0.21,0.7,1.52,0.82,0.99,0.79,0.16,2.36,0.01,4.07,1.29,0.87,2.16,35.12,3.18,53.62,2.79,13.1,28.01,13.08,1.47,53.62,0.33,0.05,1.32,1.37,0.28,0.01,0.0,0.0,1.33,1.72,3.05,7.65,43.7,,14.06,5.65,0.31,0.48
AZ Alkmaar,Europa League,12,10793.0,0.43,0.16,0.26,0.14,-0.02,0.02,0.41,1.53,2.45,0.36,0.59,1.39,0.14,0.06,0.17,0.07,1.27,0.45,0.19,0.17,0.02,0.02,2.13,0.28,0.9,2.93,0.82,0.11,1.42,0.1,0.12,34.36,43.14,3.7,0.16,0.13,1.09,0.19,39.49,3.46,0.89,16.28,18.46,15.07,17.71,2.17,4.34,29.18,1.7,1.27,0.69,1.78,0.81,0.83,1.81,1.0,0.8,0.8,0.21,1.0,2.04,1.04,0.95,1.38,0.38,2.53,0.03,4.39,1.55,0.81,2.36,34.52,3.69,54.94,3.31,15.16,25.36,15.13,2.3,54.92,0.24,0.03,1.47,1.0,0.22,0.03,0.02,0.0,0.87,1.37,2.23,5.41,53.79,17.3,13.13,5.11,0.32,0.52
Ajax,Europa League,12,10988.0,0.48,0.13,0.35,0.16,0.02,0.03,0.53,1.59,3.73,0.38,0.37,1.57,0.12,0.07,0.17,0.09,1.2,0.52,0.17,0.15,0.02,0.02,2.07,0.27,0.88,2.67,0.69,0.13,1.47,0.11,0.1,39.05,47.12,3.33,0.24,0.2,0.78,0.12,43.24,3.76,1.17,19.72,22.21,15.35,17.6,2.67,4.55,33.17,1.6,1.25,0.47,1.75,0.75,0.9,1.88,1.14,0.88,0.69,0.31,0.92,1.65,0.74,1.14,1.12,0.36,2.63,0.06,4.43,1.51,0.83,2.33,38.91,3.29,58.9,4.51,18.28,28.27,12.97,2.02,58.88,0.25,0.02,1.33,1.29,0.14,0.01,0.02,0.0,1.4,1.31,2.71,3.03,42.79,20.4,13.23,5.05,0.31,0.47
Alavés,La Liga,38,34140.0,0.35,0.13,0.23,0.12,-0.01,0.02,0.95,2.31,2.34,0.22,0.76,1.46,0.09,0.08,0.1,0.05,1.04,0.32,0.11,0.09,0.02,0.03,1.79,0.16,0.75,2.41,0.6,0.26,2.1,0.06,0.06,26.09,35.76,3.06,0.12,0.26,0.96,0.19,31.68,3.89,0.94,11.86,14.36,11.22,14.11,2.4,5.02,22.51,1.18,0.91,0.24,1.26,0.49,0.65,1.93,1.2,0.9,0.81,0.22,0.91,1.9,0.99,0.81,1.0,0.25,2.35,0.02,3.89,1.58,0.81,2.39,26.36,3.03,46.91,2.44,12.0,22.69,12.68,1.82,46.88,0.26,0.02,1.63,1.23,0.2,0.02,0.02,0.0,1.67,1.83,3.5,4.24,61.53,18.37,12.71,4.92,0.35,0.49
Anderlecht,Europa League,10,8990.0,0.42,0.17,0.26,0.13,-0.04,0.01,0.52,1.64,4.34,0.4,0.38,1.48,0.07,0.12,0.16,0.11,1.23,0.41,0.12,0.11,0.01,0.01,2.21,0.25,0.9,3.36,0.77,0.19,2.13,0.08,0.07,40.78,49.68,4.09,0.09,0.24,1.01,0.14,45.36,4.17,1.31,19.64,22.28,17.13,19.82,2.88,4.91,33.67,1.92,1.03,0.53,1.67,0.73,0.8,1.82,1.14,0.77,0.78,0.27,0.72,1.2,0.48,0.88,1.01,0.27,2.24,0.03,4.38,1.43,1.08,2.51,40.71,4.08,60.49,3.48,15.58,28.6,16.92,2.24,60.48,0.16,0.02,1.06,1.33,0.16,0.02,0.01,0.02,1.26,1.38,2.64,3.08,38.03,20.25,13.47,4.94,0.3,0.5
Angers,Ligue 1,34,30454.0,0.56,0.16,0.4,0.19,0.04,0.02,0.43,1.32,2.28,0.54,0.8,1.63,0.14,0.07,0.09,0.05,0.92,0.27,0.11,0.09,0.01,0.02,1.6,0.16,0.64,2.26,0.59,0.19,1.7,0.06,0.07,30.63,38.45,2.82,0.16,0.2,0.76,0.2,34.88,3.37,0.95,14.4,16.34,13.17,15.59,2.29,4.36,26.09,1.48,1.08,0.29,1.81,0.73,0.98,1.84,1.16,1.0,0.6,0.24,0.87,1.79,0.92,0.99,1.08,0.34,2.59,0.05,4.07,1.46,0.88,2.33,31.36,2.79,49.57,3.35,16.12,22.83,11.27,1.51,49.55,0.13,0.01,1.12,1.14,0.2,0.01,0.02,0.0,0.97,1.26,2.23,8.41,42.88,15.32,13.41,5.47,0.34,0.51
Arsenal,Champions League,14,12600.0,0.3,0.07,0.21,0.1,0.03,0.04,0.53,1.39,2.99,0.41,0.44,1.03,0.11,0.16,0.21,0.13,1.28,0.54,0.19,0.17,0.01,0.04,2.26,0.37,0.97,3.28,0.86,0.21,1.65,0.15,0.13,37.89,44.84,3.81,0.24,0.14,0.76,0.15,41.61,3.08,0.69,19.46,21.56,15.96,18.07,1.78,3.24,28.78,1.82,1.26,0.74,1.91,0.87,0.9,1.49,0.82,0.57,0.62,0.29,0.61,1.15,0.54,0.72,0.99,0.25,1.53,0.09,3.54,1.14,0.95,2.09,38.0,3.74,54.36,2.58,11.46,25.79,17.61,2.91,54.32,0.18,0.0,1.11,0.96,0.16,0.03,0.02,0.0,1.13,1.08,2.21,4.63,42.92,20.23,13.39,5.3,0.28,0.52
Arsenal,Premier League,38,33973.0,0.32,0.09,0.23,0.09,0.0,0.03,0.39,1.27,3.35,0.47,0.39,1.06,0.14,0.17,0.18,0.15,1.44,0.47,0.16,0.16,0.01,0.01,2.55,0.31,1.13,3.58,1.15,0.2,2.03,0.11,0.12,42.46,49.88,4.8,0.21,0.19,0.74,0.2,46.19,3.48,0.9,22.0,24.04,17.46,19.74,2.16,3.85,35.27,2.26,1.43,0.76,1.92,0.85,0.84,1.58,0.92,0.58,0.66,0.34,0.69,1.36,0.67,0.59,0.87,0.28,1.75,0.06,3.7,1.28,1.01,2.29,42.53,4.77,59.81,2.55,12.39,27.21,20.68,3.4,59.8,0.18,0.02,1.06,1.05,0.21,0.01,0.01,0.0,1.21,1.23,2.45,4.13,49.05,20.23,13.49,5.33,0.27,0.53
Astana FK,Europa Conference League,6,5374.0,0.79,0.13,0.65,0.22,0.09,0.02,0.44,1.86,2.73,0.59,1.22,1.98,0.07,0.1,0.07,0.05,0.85,0.28,0.07,0.07,0.0,0.0,1.47,0.1,0.75,1.76,0.5,0.18,1.14,0.04,0.06,30.85,38.22,2.26,0.03,0.25,0.74,0.27,35.12,2.83,0.79,13.68,15.34,13.31,15.31,3.06,5.21,26.8,1.19,1.04,0.18,1.56,0.6,0.89,1.69,0.94,0.92,0.62,0.15,0.54,1.49,0.95,0.8,1.19,0.49,2.73,0.05,4.04,1.54,0.77,2.31,31.37,2.23,49.72,4.62,18.64,22.93,8.64,0.94,49.72,0.18,0.03,1.0,0.9,0.3,0.02,0.0,0.0,0.87,1.42,2.29,7.14,50.85,20.18,14.1,4.82,0.29,0.51
