Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
AJ Marcucci,us USA,GK,NY Red Bulls,25-353,1999,1,1,90,60,49,45,33
Aaron Connolly,ie IRL,MO,Sunderland,24,2000,24,8,905,41,22,34,38
Aaron Herrera,gt GUA,MF,D.C. United,28-043,1997,18,16,1442,49,69,69,56
Aaron Long,us USA,DF,LAFC,32-280,1992,15,15,1271,62,54,30,46
Aaron Meijers,nl NED,DF,RKC Waalwijk,36,1987,17,9,753,43,61,59,54
Aaron Mejía Montoya,mx MEX,MF,Tijuana,23,2001,30,19,1813,28,41,41,40
Aaron Nicolás Molinas,ar ARG,MO,Defensa y Just,24-351,2000,15,13,1003,63,77,63,54
Aaron Quirós,ar ARG,DF,ar Vélez Sarsfield,23-261,2001,10,8,680,24,27,40,67
Aaron Ramsey,wls WAL,MF,Cardiff City,33,1990,9,6,564,42,61,60,51
Aarón Arredondo,mx MEX,MF,América,21,2003,2,2,179,45,77,38,35
Abdelkahar Kadri,dz ALG,MO,Kortrijk,24,2000,23,19,1659,44,80,58,56
Abdoulay Diaby,ml MLI,MO,Boavista,33,1991,12,9,894,36,29,25,37
Abdoulaye Kamara,gn GUI,MO,Portsmouth,19,2004,5,0,124,33,42,37,61
Abdoulaye Sissako,fr FRA,MF,Kortrijk,26,1998,24,18,1580,58,37,43,67
Abdurrahman Burak Sayın,0,FW,Fortuna Sittard,0,0,1,0,4,48,35,44,11
Abdülkadir Ömür,tr TUR,MO,Hull City,25,1999,20,12,1064,24,44,35,46
Abel Paredes,py PAR,DF,py Olimpia,28-053,1997,2,0,23,33,45,57,4
Abiel Osorio,ar ARG,FW,Defensa y Just,23-036,2002,15,11,919,40,46,61,50
Abner,br BRA,DF,Juventude,21-091,2004,6,5,495,24,39,32,42
Abraham Bass,mx MEX,MF,Atlas,22,2001,1,0,10,28,14,40,11
Abu Kamara,eng ENG,FW,Norwich City,21,2003,38,25,2273,64,61,77,75
Adalberto Carrasquilla,pa PAN,MF,UNAM,25,1998,15,11,1010,70,83,82,24
Adalberto Peñaranda,ve VEN,FW,co CA Bucaramanga,28-049,1997,4,1,129,39,38,84,67
Adam Armstrong,eng ENG,FW,West Brom,27,1997,16,12,1008,40,35,46,46
Adam Beaudry,us USA,GK,Colorado Rapids,19-092,2006,1,1,90,40,46,45,33
Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,40,47,45,34
Adam Forshaw,eng ENG,MF,Plymouth Argyle,32,1991,32,12,1246,53,36,32,61
Adam Idah,ie IRL,FW,Norwich City,23,2001,1,0,30,54,49,61,11
Adam Kayed,ps PLE,MF,NAC Breda,22,2002,16,5,466,78,40,86,58
Adam Nhaili,be BEL,MO,Sint-Truiden,18,2005,8,1,204,23,53,46,31
Adam Randell,eng ENG,MF,Plymouth Argyle,23,2000,39,39,3378,52,60,37,56
Adam Saldaña,us USA,MF,LAFC,23-162,2002,2,2,180,31,22,28,69
Adamo Nagalo,bf BFA,DF,PSV Eindhoven,21,2002,6,1,168,50,79,41,65
Adem Zorgane,dz ALG,MF,Charleroi,24,2000,30,30,2693,68,92,72,65
Ademir Santos,br BRA,FW,Bahia,30-153,1995,15,8,719,43,73,88,67
Aderlan Santos,br BRA,DF,AVS Futebol,35,1989,28,26,2178,28,23,22,62
Aderlan Silva,br BRA,DF,Santos,34-335,1990,2,1,87,60,77,56,20
Adi Nalic,ba BIH,MO,Almere City,26,1997,22,7,695,39,35,53,66
Adil Aouchiche,fr FRA,MO,Portsmouth,22,2002,20,12,979,52,65,61,56
Adilson Malanda,fr FRA,DF,Charlotte,23-263,2001,23,23,2070,43,42,29,40
Adonis Frías,ar ARG,MF,León,26,1998,14,10,854,58,47,39,42
Adonis Preciado,ec ECU,MO,Querétaro,27,1997,15,14,1232,72,33,71,59
Adrian Bajrami,al ALB,DF,Benfica,22,2002,1,0,12,29,12,61,4
Adrian Blake,eng ENG,MO,Utrecht,19,2005,17,2,468,91,76,70,58
Adrian Rus,ro ROU,DF,Pisa,28,1996,25,14,1239,81,64,53,61
Adrian Wibowo,us USA,FW,LAFC,19-183,2006,2,0,18,24,30,8,11
Adrian Šemper,hr CRO,GK,Pisa,26,1998,36,36,3240,53,66,67,47
Adriano,br BRA,MF,Santa Clara,24,1999,32,31,2630,31,46,37,28
Adriano Bertaccini,be BEL,MO,Sint-Truiden,23,2000,27,26,2221,71,24,53,32
Adriano Martins,br BRA,DF,Juventude,28-109,1997,5,5,360,35,19,11,52
Adriel Fernández,bo BOL,FW,bo San Antonio Bulo Bulo,29-119,1996,1,0,3,24,28,34,11
Adrián Alcaraz,py PAR,MO,py Libertad,25-294,1999,6,1,218,69,29,57,47
Adrián Balboa,uy URU,FW,Racing Club,31-181,1994,19,5,635,66,31,29,72
Adrián Butzke,es ESP,FW,Nacional,25,1999,10,5,484,37,60,35,64
Adrián Fernández,ar ARG,MF,ar Racing Club,24-060,2001,9,3,308,52,85,87,43
Adrián Guillermo Sánchez,ar ARG,MF,Atlé Tucumán,26-066,1999,18,18,1570,58,62,50,78
Adrián Martínez,ar ARG,FW,ar Racing Club,33-012,1992,18,18,1526,78,61,46,39
Adrián Marín,es ESP,DF,Braga,27,1997,10,8,711,58,88,63,48
Adrián Mora,mx MEX,DF,Atlas,26,1997,15,8,762,29,29,23,88
Adrián Sporle,ar ARG,DF,Independiente,30-006,1995,10,9,722,84,71,82,45
Adryelson,br BRA,DF,Anderlecht,26,1998,7,6,542,69,52,40,42
