Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
AJ Marcucci,us USA,GK,NY Red Bulls,25-353,1999,1,1,90,33,35
Adam Beaudry,us USA,GK,Colorado Rapids,19-092,2006,1,1,90,13,42
Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,43,72
Adrian Šemper,hr CRO,GK,Pisa,26,1998,36,36,3240,64,68
Agustín Marchesín,ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,64,41
Agustín Rossi,ar ARG,GK,Flamengo,29-332,1995,19,19,1710,68,32
Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,28,12
Aldair Quintana,co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,57,58
Alec Smir,us USA,GK,Minnesota Utd,26-097,1999,2,1,161,39,40
Alessandro Micai,it ITA,GK,Cosenza,31,1993,37,37,3296,47,73
Alessandro Russo,it ITA,GK,Sassuolo,23,2001,1,1,90,78,42
Alessandro Sorrentino,it ITA,GK,Frosinone,22,2002,2,2,180,19,54
Alessio Cragno,it ITA,GK,Sampdoria,30,1994,14,14,1260,60,66
Alex Muralha,br BRA,GK,Mirassol,35-251,1989,6,6,540,29,16
Alex Padilla,es ESP,GK,UNAM,20,2003,10,10,900,28,56
Alex Palmer,eng ENG,GK,West Brom,27,1996,30,30,2700,61,61
Alexis Martin Arias,ar ARG,GK,py Cerro Porteño,33-015,1992,3,3,270,40,62
Alexis Villa,ec ECU,GK,ec LDU de Quito,23-300,2001,1,0,14,43,59
Alfonso Blanco Antúnez,mx MEX,GK,León,37,1987,26,26,2340,59,65
Alfred Gomis,sn SEN,GK,Palermo,30,1993,1,1,36,48,61
Aljaž Ivačič,si SVN,GK,NE Revolution,31-202,1993,22,22,1980,37,23
Anatolii Trubin,ua UKR,GK,Benfica,22,2001,32,32,2880,65,35
Andre Blake,jm JAM,GK,Philadelphia Union,34-240,1990,14,14,1260,61,59
Andrea Fulignati,it ITA,GK,Cremonese,29,1994,38,38,3420,44,60
Andreas Jungdal,dk DEN,GK,Westerlo,22,2002,8,8,720,45,75
Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,46,56
Andrew Rick,us USA,GK,Philadelphia Union,19-170,2006,9,9,810,42,47
Andrew Tarbell,us USA,GK,Houston Dynamo,31-285,1993,4,4,306,25,47
Andrew Thomas,ru RUS,GK,Seattle Sounders,26-321,1998,4,4,360,30,19
Andries Noppert,nl NED,GK,Heerenveen,30,1994,16,16,1365,52,51
Andrés Gudiño,mx MEX,GK,Cruz Azul,27,1997,1,1,90,18,50
Andrés Sánchez,mx MEX,GK,Atlético,26,1997,30,30,2624,40,48
Angus Gunn,sct SCO,GK,Norwich City,28,1996,35,35,3104,38,40
Anthoni,br BRA,GK,Internacional,23-177,2002,18,17,1575,28,17
Anthony Moris,lu LUX,GK,Union SG,34,1990,30,30,2700,70,71
Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42,42,3780,45,47
