Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
fi FIN,MF,fi HJK,26,1998,1,1,59,20,19,7,67
it ITA,MF,Torino,19,2005,1,0,1,20,11,7,6
eng ENG,DF,West Ham,34,1989,18,10,824,40,68,45,43
nir NIR,MF,nir Larne FC,24,2000,4,3,279,20,18,8,63
ie IRL,MO,ie Shamrock Rov,34,1990,6,0,109,49,37,35,15
fr FRA,FW,Lille,18,2005,1,0,2,17,14,17,12
ie IRL,MF,ie Shamrock Rov,29,1995,4,4,352,50,46,60,44
eng ENG,GK,Southampton,26,1998,30,30,2700,57,50,48,50
eng ENG,DF,West Ham,26,1997,36,35,3154,76,75,82,58
es ESP,DF,Genoa,27,1997,36,35,3085,56,73,61,43
ci CIV,DF,Strasbourg,21,2002,21,10,950,54,31,34,71
az AZE,DF,az Qarabağ,29,1995,4,3,239,47,55,58,58
sn SEN,MO,Brest,23,2001,36,20,1746,67,31,42,48
ma MAR,MO,Betis,22,2001,45,29,2653,69,47,85,58
ma MAR,DF,Alavés,25,1999,29,29,2463,44,47,36,50
fr FRA,MO,az Qarabağ,32,1991,8,8,689,56,76,87,38
dz ALG,MO,Alavés,25,1998,8,4,385,33,32,56,27
nl NED,MO,Hellas Verona,26,1998,10,5,463,55,62,64,70
fr FRA,DF,Reims,19,2005,4,1,133,31,17,36,63
ci CIV,DF,Angers,34,1990,19,16,1510,28,37,30,40
ml MLI,DF,ch St. Gallen,24,2000,4,4,360,42,40,30,78
ml MLI,MF,Everton,31,1993,33,31,2564,63,46,58,34
es ESP,MO,Getafe,21,2002,3,1,95,18,30,18,75
sn SEN,DF,Brest,22,2002,24,21,1887,52,31,27,69
gn GUI,MF,Le Havre,30,1994,28,26,2324,68,44,36,66
gm GAM,FW,St. Pauli,20,2004,7,0,60,23,27,40,70
pt POR,DF,ch Young Boys,26,1998,1,0,28,22,26,38,13
uz UZB,DF,Lens,20,2004,20,18,1568,39,52,42,61
gh GHA,FW,Leicester City,20,2004,11,6,579,42,73,87,88
gh GHA,DF,Rayo Vallecano,26,1998,24,24,2017,54,33,40,60
es ESP,MO,Mallorca,31,1992,24,3,456,57,19,10,37
tr TUR,DF,tr Galatasaray,29,1994,10,10,895,79,64,61,71
es ESP,DF,Osasuna,23,2000,35,20,2074,73,54,75,55
es ESP,FW,Girona,24,2000,26,19,1491,39,46,42,43
br BRA,MF,fr Lyon,24,2000,25,16,1445,61,67,70,65
ci CIV,MF,Las Palmas,19,2005,1,0,4,20,11,16,6
kz KAZ,DF,kz Astana FK,31,1992,2,2,180,43,63,53,17
ma MAR,DF,Paris S-G,25,1998,42,41,3606,92,94,90,47
eng ENG,MO,Southampton,27,1997,20,15,1248,38,34,32,23
ma MAR,DF,Bayern Munich,18,2006,16,10,895,50,44,65,67
pl POL,FW,dk Midtjylland,28,1996,8,8,720,50,52,28,56
dk DEN,FW,at RB Salzburg,18,2005,7,4,393,52,42,72,65
pl POL,MF,St. Pauli,28,1995,16,2,373,32,28,26,82
sct SCO,DF,sct Hearts,19,2005,5,4,343,55,48,71,57
cz CZE,DF,dk Midtjylland,23,2001,3,2,170,42,49,77,35
si SVN,MF,gr Panathinaikos,25,1999,8,3,286,35,56,44,53
cz CZE,MO,Hoffenheim,22,2002,35,29,2392,70,51,46,47
ie IRL,FW,sct Celtic,23,2001,10,3,341,59,25,37,47
eng ENG,MF,Southampton,36,1988,14,5,361,48,81,61,45
fi FIN,MF,lv FK Rīgas FS,22,2002,8,8,636,61,39,60,70
me MNE,DF,Lazio,31,1992,47,37,3336,78,55,64,38
ma MAR,DF,Torino,30,1994,28,20,1919,60,57,51,52
sk SVK,DF,Cagliari,21,2002,21,13,1077,72,62,50,69
