Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,50,72
Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,37,58
Adrián,es ESP,GK,Betis,37,1987,26,26,2340,36,30
Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,89,86
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,47,42
Albert Posiadala,pl POL,GK,no Molde,21,2003,6,6,540,13,7
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,27,83
Aleksandr Zarutskiy,kz KAZ,GK,kz Astana FK,30,1993,1,1,90,20,7
Aleksei Ploshchadnyi,ru RUS,GK,am FC Noah,20,2004,3,3,270,24,7
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,48,46
Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,50,72
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,63,50
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,37,71
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,40,65
Alexander Meyer,de GER,GK,Dortmund,33,1991,3,3,270,63,45
Alexander Nübel,de GER,GK,Stuttgart,27,1996,41,41,3690,39,66
Alexander Schlager,at AUT,GK,at RB Salzburg,28,1996,4,4,335,39,40
Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,22,64
Aleš Mandous,cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,65,68
Alisson,br BRA,GK,eng Liverpool,31,1992,34,34,3078,68,54
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,43,71
Altay Bayındır,tr TUR,GK,eng Manchester Utd,26,1998,6,6,540,62,29
Amir Saipi,xk KVX,GK,ch Lugano,24,2000,8,8,750,32,7
Anatolii Trubin,ua UKR,GK,pt Benfica,22,2001,12,12,1080,43,34
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,39,98
Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,9,9,810,61,50
André Ferreira,pt POR,GK,Valladolid,28,1996,6,6,540,26,59
André Onana,cm CMR,GK,Manchester Utd,28,1996,47,47,4260,52,47
Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,1563,52,54
Anthony Moris,lu LUX,GK,be Union SG,34,1990,10,10,930,64,72
Antonio Sivera,es ESP,GK,Alavés,27,1996,32,32,2810,57,66
Antonín Kinský,cz CZE,GK,Tottenham,21,2003,12,12,1080,50,67
Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,1620,56,61
Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,1,90,23,90
Arnau Tenas,es ESP,GK,Paris S-G,23,2001,1,1,90,75,58
Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,1620,51,44
Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,67,64
Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,36,3240,43,46
Bartłomiej Drągowski,pl POL,GK,gr Panathinaikos,26,1997,7,7,630,27,7
Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,2,1,91,51,72
Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,2700,39,68
Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,66,50
Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,46,62
Brandon Austin,eng ENG,GK,eng Tottenham,25,1999,3,3,270,72,52
Brice Samba,fr FRA,GK,Rennes,30,1994,32,32,2879,76,64
Bruno Varela,cv CPV,GK,pt Vitória,29,1994,8,8,720,17,7
Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,14,14,1260,70,47
Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,7,630,41,74
Christos Mandas,gr GRE,GK,Lazio,22,2001,18,18,1650,79,68
Colin Coosemans,be BEL,GK,be Anderlecht,31,1992,9,9,810,44,67
Connor Roberts,wls WAL,GK,wls The New Saints,31,1992,6,6,540,28,7
Craig Gordon,sct SCO,GK,sct Hearts,41,1982,6,6,540,18,7
Damjan Šiškovski,mk MKD,GK,ba Borac Banja Luka,29,1995,1,1,90,20,7
Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,49,39
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,52,40
Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,4,4,360,30,31
Daniel Schmidt,jp JPN,GK,be Gent,32,1992,1,1,90,9,7
Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,83,40
Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,31,28
Daniil Khudiakov,ru RUS,GK,at Sturm Graz,20,2004,2,2,180,60,54
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,37,1987,3,3,270,62,55
Danny Ward,wls WAL,GK,Leicester City,31,1993,2,1,135,13,86
David Raya,es ESP,GK,Arsenal,28,1995,51,51,4590,75,60
David Soria,es ESP,GK,Getafe,31,1993,38,38,3420,60,59
David de Gea,es ESP,GK,Fiorentina,33,1990,39,39,3540,47,61
David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,24,61
Davy Roef,be BEL,GK,be Gent,30,1994,7,7,630,36,7
Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,3420,59,37
Deniz Dilmen,0,GK,tr Başakşehir,19,2005,2,2,180,11,7
Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,2880,49,52
Diant Ramaj,de GER,GK,dk FC Copenhagen,22,2001,4,4,390,24,7
Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,42,51
Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,34,65
Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,57,80
Diogo Costa,pt POR,GK,pt Porto,24,1999,10,10,900,45,71
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,25,1999,8,8,720,73,75
Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,53,71
Dominik Kotarski,hr CRO,GK,gr PAOK,24,2000,10,10,900,65,48
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,29,1995,6,6,540,63,77
Dominik Takáč,sk SVK,GK,sk Slovan Bratislava,25,1999,8,8,720,40,53
Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,2880,72,73
Dávid Gróf,hu HUN,GK,hu Ferencváros,35,1989,2,2,180,49,45
Dénes Dibusz,hu HUN,GK,hu Ferencváros,33,1990,7,7,572,61,59
Ed McGinty,ie IRL,GK,ie Shamrock Rov,24,1999,2,2,210,38,7
Ederson,br BRA,GK,Manchester City,30,1993,34,34,3040,56,55
Elia Caprile,it ITA,GK,Napoli,22,2001,22,21,1945,68,78
Elías Rafn Ólafsson,is ISL,GK,dk Midtjylland,24,2000,6,6,520,72,54
Emil Audero,id IDN,GK,Como,27,1997,8,8,720,24,36
Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,49,49,4274,72,66
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,59,40
Fabian Bredlow,de GER,GK,de Stuttgart,29,1995,1,1,90,18,55
Fabiano,br BRA,GK,cy AC Omonia,36,1988,7,7,630,34,7
Fabijan Buntić,hr CRO,GK,az Qarabağ,27,1997,2,2,180,30,19
Fabrice Ondoa,cm CMR,GK,lv FK Rīgas FS,28,1995,8,8,720,43,42
Federico Ravaglia,it ITA,GK,Bologna,24,1999,13,12,1146,46,61
Fernando Muslera,uy URU,GK,tr Galatasaray,38,1986,6,6,540,44,61
Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,18,18,1620,44,15
Filip Manojlović,rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,41,7
Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,64,38
Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,74,70
Florian Müller,de GER,GK,Freiburg,26,1997,9,8,753,31,64
Fran,es ESP,GK,Real Madrid,19,2005,1,1,90,27,36
Fran Vieites,es ESP,GK,Betis,25,1999,12,12,1110,36,16
Francis Uzoho,ng NGA,GK,cy AC Omonia,25,1998,1,1,90,29,7
Franco Israel,uy URU,GK,pt Sporting CP,24,2000,8,8,720,63,34
Frank Feller,de GER,GK,Heidenheim,20,2004,4,3,331,38,25
Fraser Forster,eng ENG,GK,Tottenham,36,1988,11,11,990,65,38
Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,68,65
Fyodor Lapoukhov,by BLR,GK,by Dinamo Minsk,21,2003,6,6,540,18,7
Gabriel Kobylak,pl POL,GK,pl Legia Warsaw,22,2002,4,4,360,38,7
Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,43,27
Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34,34,3060,49,47
Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,3060,59,55
Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,39,39,3471,53,33
Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34,34,3060,56,46
Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,0,9,44,9
Gregor Kobel,ch SUI,GK,Dortmund,26,1997,45,45,4050,52,54
Grégoire Coudert,fr FRA,GK,Brest,25,1999,3,3,270,32,61
Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,33,33,2970,68,43
Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,2543,40,29
Günay Güvenç,0,GK,tr Galatasaray,33,1991,4,4,360,65,60
Hendrik Bonmann,de GER,GK,bg Ludogorets,30,1994,4,4,360,88,82
Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,30,1994,5,5,450,57,70
Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,68,42
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,22,2001,2,1,145,44,83
Ingvar Jónsson,is ISL,GK,is KV,34,1989,8,8,720,29,7
Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,1350,64,52
Isak Pettersson,se SWE,GK,se Elfsborg,27,1997,8,8,720,63,48
Ivan Guteša,rs SRB,GK,rs Red Star,22,2002,3,3,270,74,66
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,26,1998,5,5,450,43,52
Ivan Provedel,it ITA,GK,Lazio,30,1994,32,32,2880,43,67
Ivica Ivušić,hr CRO,GK,cy Pafos FC,29,1995,9,9,810,29,7
Iván Villar,es ESP,GK,Celta Vigo,27,1997,4,4,360,34,21
Iñaki Peña,es ESP,GK,Barcelona,25,1999,21,20,1846,46,42
Jack Butland,eng ENG,GK,sct Rangers,31,1993,10,10,930,44,63
Jacob Karlstrom,no NOR,GK,no Molde,27,1997,4,4,420,27,7
Jacob Rinne,se SWE,GK,se Djurgården,31,1993,9,8,765,25,7
Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,20,44
Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,10,900,50,60
Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,46,46,4170,61,49
Janis Blaswich,de GER,GK,at RB Salzburg,33,1991,5,4,382,22,36
Jason Steele,eng ENG,GK,Brighton,33,1990,2,2,180,56,62
Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,2335,57,64
Jay Gorter,nl NED,GK,nl Ajax,24,2000,1,0,67,11,69
Jean Butez,fr FRA,GK,Como,29,1995,19,18,1666,66,76
Jeroen Zoet,nl NED,GK,nl AZ Alkmaar,33,1991,1,1,90,79,53
Jesse Joronen,fi FIN,GK,Venezia,31,1993,8,7,703,43,48
Jesús Owono,gq EQG,GK,Alavés,23,2001,6,5,487,38,66
Joakim Persson,se SWE,GK,se Malmö,17,2007,1,1,90,31,51
Joan García,es ESP,GK,Espanyol,23,2001,38,38,3420,75,68
Joe Lumley,eng ENG,GK,Southampton,29,1995,3,3,270,60,67
Joel Drommel,nl NED,GK,nl PSV Eindhoven,27,1996,1,1,90,47,85
Johan Dahlin,se SWE,GK,se Malmö,37,1986,3,3,225,37,22
Jonas Lössl,dk DEN,GK,dk Midtjylland,35,1989,5,4,380,46,79
Jonas Omlin,ch SUI,GK,Gladbach,30,1994,12,11,978,42,78
Jonas Urbig,de GER,GK,Bayern Munich,20,2003,12,11,1023,42,48
Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,3420,72,81
Josep Martinez,es ESP,GK,Inter,26,1998,6,6,540,70,70
Josip Condric,hr CRO,GK,kz Astana FK,30,1993,3,3,270,43,7
José Sá,pt POR,GK,Wolves,31,1993,29,29,2609,49,39
Juan Musso,ar ARG,GK,Atalanta,30,1994,3,3,270,71,30
Juan Soriano,es ESP,GK,Leganés,26,1997,6,6,540,70,51
Julen Agirrezabala,es ESP,GK,es Athletic Club,23,2000,27,27,2376,68,45
Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,89,55
Jörg Siebenhandl,at AUT,GK,at LASK,34,1990,4,4,276,25,7
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,21,2002,4,4,390,45,7
Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,29,29,2585,52,74
Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,43,69
Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,62,52
Kasper Schmeichel,dk DEN,GK,sct Celtic,37,1986,10,10,900,58,55
Kauã Santos,br BRA,GK,Eint Frankfurt,21,2003,14,13,1215,80,59
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,2790,64,54
Kevin Müller,de GER,GK,Heidenheim,33,1991,38,38,3389,41,55
Kevin Trapp,de GER,GK,Eint Frankfurt,34,1990,33,33,2925,64,48
Kjell Scherpen,nl NED,GK,at Sturm Graz,24,2000,6,6,540,69,47
Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,47,25
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,21,2002,10,10,897,86,60
Krapyvtsov Vladyslav,ua UKR,GK,Girona,19,2005,2,2,180,33,80
Lars Unnerstall,de GER,GK,nl Twente,34,1990,9,9,760,53,52
Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,2,180,67,66
Lawrence Ati-Zigi,gh GHA,GK,ch St. Gallen,27,1996,6,6,540,18,7
Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,38,51
Leo Román,es ESP,GK,Mallorca,24,2000,7,7,630,80,61
Liam Kelly,sct SCO,GK,sct Rangers,28,1996,2,2,180,80,54
Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,40,47
Lorenzo Torriani,it ITA,GK,it Milan,19,2005,1,0,40,60,18
Lovro Štubljar,si SVN,GK,si NK Celje,19,2004,2,2,180,16,7
Luca Philipp,de GER,GK,Hoffenheim,23,2000,7,7,630,28,53
Lucas Chevalier,fr FRA,GK,Lille,22,2001,44,44,3960,64,54
Lucas Perri,br BRA,GK,Lyon,26,1997,44,44,3990,69,48
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,16,1458,65,55
Lukas Jungwirth,at AUT,GK,at LASK,20,2004,3,2,262,13,7
Lukáš Horníček,cz CZE,GK,pt Braga,22,2002,4,3,291,74,45
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,33,33,2970,52,55
Lukáš Zima,cz CZE,GK,ro FCSB,30,1994,1,1,90,14,40
Léon-Maurice Pöhls,de GER,GK,ie Shamrock Rov,27,1997,6,6,540,18,7
Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,8,6,609,41,55
Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,27,2385,52,59
Mads Kikkenborg,dk DEN,GK,be Anderlecht,24,1999,1,1,90,12,61
Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,2250,46,63
Malkolm Nilsson,se SWE,GK,se Djurgården,30,1993,2,2,165,36,7
Manuel Neuer,de GER,GK,Bayern Munich,38,1986,32,32,2802,53,73
Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,9,9,764,46,62
Marcin Bułka,pl POL,GK,Nice,24,1999,40,40,3600,65,59
Marco Bizot,nl NED,GK,Brest,33,1991,41,41,3690,50,76
Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,43,43,3870,63,50
Marco Silvestri,it ITA,GK,Empoli,33,1991,5,5,450,28,70
Marco Sportiello,it ITA,GK,Milan,32,1992,2,1,126,68,66
Marius Müller,de GER,GK,Wolfsburg,31,1993,6,5,475,80,86
Mark Flekken,nl NED,GK,Brentford,31,1993,37,37,3275,60,76
Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,5,450,74,76
Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,32,2880,69,51
Marko Ilić,rs SRB,GK,rs Red Star,26,1998,2,2,180,31,46
Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,10,900,70,38
Martin Jedlička,cz CZE,GK,cz Viktoria Plzeň,26,1998,12,12,1080,76,56
Marvin Keller,ch SUI,GK,ch Young Boys,22,2002,4,4,360,35,51
Matej Kovar,cz CZE,GK,Leverkusen,24,2000,11,11,990,50,55
Mateusz Kochalski,pl POL,GK,az Qarabağ,24,2000,6,6,540,60,43
Matevž Vidovšek,si SVN,GK,si Olimpija,24,1999,8,8,720,42,7
Matheus,br BRA,GK,pt Braga,32,1992,6,6,517,41,48
Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,1260,78,51
Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16,16,1440,56,69
Matjaž Rozman,si SVN,GK,si NK Celje,37,1987,4,4,360,15,7
Matouš Trmal,cz CZE,GK,cz Mladá Boleslav,25,1998,6,6,540,28,7
Mattia Perin,it ITA,GK,Juventus,31,1992,8,7,661,83,52
Matvei Safonov,ru RUS,GK,Paris S-G,25,1999,12,11,1059,56,51
Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,38,3420,61,54
Maxime Delanghe,be BEL,GK,be Cercle Brugge,23,2001,7,6,599,28,7
Maxime Dupé,fr FRA,GK,fr Nice,31,1993,2,2,180,58,57
Melvin Zinga,fr FRA,GK,Angers,22,2002,1,1,90,58,26
Mert Günok,tr TUR,GK,tr Beşiktaş,35,1989,5,5,450,63,49
Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34,34,3060,52,68
Michele Di Gregorio,it ITA,GK,Juventus,27,1997,41,41,3688,58,53
Mike Maignan,fr FRA,GK,Milan,29,1995,47,47,4154,57,61
Mile Svilar,rs SRB,GK,Roma,24,1999,50,50,4500,72,54
Moritz Nicolas,de GER,GK,Gladbach,26,1997,19,19,1639,72,83
Muhammed Şengezer,tr TUR,GK,tr Başakşehir,27,1997,4,4,360,30,7
Mukhammedzhan Seysen,kz KAZ,GK,kz Astana FK,25,1999,2,2,180,24,7
Nathan Trott,eng ENG,GK,dk FC Copenhagen,25,1998,5,5,450,20,7
Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15,15,1350,35,69
Neofytos Michael,cy CYP,GK,cy Pafos FC,30,1993,1,1,90,15,7
Neto,br BRA,GK,Bournemouth,35,1989,3,3,270,82,58
Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,28,2520,68,40
Nicola Leali,it ITA,GK,Genoa,31,1993,29,29,2610,67,61
Nikita Haikin,ru RUS,GK,no Bodø/Glimt,29,1995,16,16,1500,71,70
Niklas Hedl,at AUT,GK,at Rapid Wien,23,2001,10,10,960,35,7
Nikola Vasilj,ba BIH,GK,St. Pauli,28,1995,33,33,2969,70,61
Noah Atubolu,de GER,GK,Freiburg,22,2002,26,26,2307,68,81
