Player,Game Week,Position,Team,League,Minutes,Rating
Pierluigi Gollini,J1,GK,Genoa,Italian Serie A,90,6.79
Yann Sommer,J1,GK,Inter,Italian Serie A,90,6.04
Michele Di Gregorio,J1,GK,Juventus,Italian Serie A,90,7.05
Pepe Reina,J1,GK,Como,Italian Serie A,90,5.48
Federico Ravaglia,J11,GK,Bologna,Italian Serie A,90,6.91
Wladimiro Falcone,J11,GK,Lecce,Italian Serie A,90,6.72
Robert Sánchez,J1,GK,Chelsea,English Premier League,90,5.67
Ederson,J1,GK,Manchester City,English Premier League,90,7.57
Mads Hermansen,J1,GK,Leicester City,English Premier League,90,6.83
Guglielmo Vicario,J1,GK,Tottenham,English Premier League,90,6.67
Jason Steele,J2,GK,Brighton,English Premier League,90,6.46
André Onana,J2,GK,Manchester Utd,English Premier League,90,6.51
Ederson,J2,GK,Manchester City,English Premier League,90,5.83
Arijanet Muric,J2,GK,Ipswich Town,English Premier League,90,5.42
Alex McCarthy,J2,GK,Southampton,English Premier League,90,6.81
Matz Sels,J2,GK,Nott'ham Forest,English Premier League,90,7.19
Guglielmo Vicario,J2,GK,Tottenham,English Premier League,90,6.99
Jordan Pickford,J2,GK,Everton,English Premier League,90,5.46
Bernd Leno,J2,GK,Fulham,English Premier League,90,7.14
Mads Hermansen,J2,GK,Leicester City,English Premier League,90,6.13
Dean Henderson,J2,GK,Crystal Palace,English Premier League,90,5.42
Alphonse Areola,J2,GK,West Ham,English Premier League,90,7.51
Emiliano Martínez,J2,GK,Aston Villa,English Premier League,90,5.78
David Raya,J2,GK,Arsenal,English Premier League,90,7.47
José Sá,J2,GK,Wolves,English Premier League,90,5.21
Robert Sánchez,J2,GK,Chelsea,English Premier League,90,5.87
Maduka Okoye,J11,GK,Udinese,Italian Serie A,90,6.73
Michele Di Gregorio,J11,GK,Juventus,Italian Serie A,90,7.43
Neto,J2,GK,Bournemouth,English Premier League,90,7.31
Nick Pope,J2,GK,Newcastle Utd,English Premier League,90,6.81
Alisson,J2,GK,Liverpool,English Premier League,90,7.43
Mark Flekken,J2,GK,Brentford,English Premier League,90,6.7
