Player,Game Week,Position,Team,League,Minutes,Rating
Vítor Vitinha,J1,FW,Genoa,Serie A,90.0,6.69
Junior Messias,J1,FW,Genoa,Serie A,90.0,7.3
Morten Frendrup,J1,MF,Genoa,Serie A,90.0,5.92
Milan Badelj,J1,MF,Genoa,Serie A,85.0,5.87
Ruslan Malinovskyi,J1,MF,Genoa,Serie A,70.0,6.11
Morten Thorsby,J1,MF,Genoa,Serie A,20.0,4.97
Aarón Martín,J1,DF,Genoa,Serie A,90.0,6.21
Alessandro Zanoli,J1,DF,Genoa,Serie A,70.0,4.05
Stefano Sabelli,J1,DF,Genoa,Serie A,20.0,5.36
Koni De Winter,J1,DF,Genoa,Serie A,90.0,6.42
Mattia Bani,J1,DF,Genoa,Serie A,90.0,5.43
Alessandro Vogliacco,J1,DF,Genoa,Serie A,59.0,6.17
Johan Vásquez,J1,DF,Genoa,Serie A,31.0,4.5
Marcus Thuram,J1,FW,Inter,Serie A,90.0,8.01
Lautaro Martínez,J1,FW,Inter,Serie A,85.0,6.34
Henrikh Mkhitaryan,J1,MF,Inter,Serie A,65.0,5.9
Davide Frattesi,J1,MF,Inter,Serie A,25.0,6.31
Hakan Çalhanoğlu,J1,MF,Inter,Serie A,74.0,7.33
Nicolò Barella,J1,MF,Inter,Serie A,90.0,7.11
Federico Dimarco,J1,DF,Inter,Serie A,74.0,4.66
Matteo Darmian,J1,DF,Inter,Serie A,65.0,5.01
Denzel Dumfries,J1,DF,Inter,Serie A,25.0,5.58
Alessandro Bastoni,J1,DF,Inter,Serie A,90.0,6.97
Francesco Acerbi,J1,DF,Inter,Serie A,90.0,6.97
Yann Aurel Bisseck,J1,DF,Inter,Serie A,90.0,6.48
Dušan Vlahović,J1,FW,Juventus,Serie A,90.0,6.38
Samuel Mbangula,J1,MO,Juventus,Serie A,90.0,7.33
Timothy Weah,J1,MO,Juventus,Serie A,45.0,6.9
Nicolò Savona,J1,DF,Juventus,Serie A,45.0,5.39
Kenan Yıldız,J1,MO,Juventus,Serie A,90.0,7.38
Khéphren Thuram,J1,MF,Juventus,Serie A,66.0,6.49
Nicolò Fagioli,J1,MF,Juventus,Serie A,24.0,6.9
Manuel Locatelli,J1,MF,Juventus,Serie A,78.0,6.33
Juan David Cabal,J1,DF,Juventus,Serie A,90.0,5.86
