Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
AVS Futebol,34,25,32.3,341,87,4,5,594,44,10320,13626,4264,4955,4580,5497,1220,2416,17,22.4,22.6,242,735,146,65,877,388,863,565,365,295,210,60,309,560,251,390,303,929,23,17581,2194,6615,7674,3492,472,17576,543,229,8462,388,277,80,550,254,10226,863,106,5,4,480,419,47,5,4,1,1382,564,469,60,175,115,8,4,3,1,0,60.5,188,447,781,135,301,528,16,24
AZ Alkmaar,34,57,55.0,495,184,2,2,885,98,14381,17749,6105,6957,6568,7442,1362,2479,43,44.8,46.4,393,1272,355,68,1481,665,1468,618,359,226,287,105,300,576,276,366,302,775,17,21765,2041,6172,10017,5774,961,21763,601,270,12471,665,509,218,518,262,14233,1468,56,4,1,354,348,44,1,3,2,1537,431,500,37,97,61,12,3,1,1,1,30.4,157,475,896,99,163,382,30,18
Ajax,34,66,66.3,472,161,6,9,848,119,17383,20552,8076,8827,7590,8482,1297,2287,46,45.9,57.8,348,1346,415,63,1687,683,1678,469,254,196,189,84,238,420,182,344,276,714,25,24237,2455,7179,11271,5973,1054,24228,579,254,14664,683,485,180,512,283,17214,1678,53,1,0,347,394,53,7,0,1,1408,546,409,32,114,83,16,0,0,0,0,34.9,187,447,1335,166,163,387,42,38
Aldosivi,17,18,15.8,238,77,2,2,415,30,4983,6922,2012,2413,2182,2739,640,1348,14,11.6,10.5,187,509,92,40,568,196,562,377,230,161,170,46,165,288,123,199,148,534,5,9217,893,2923,4299,2106,260,9215,291,118,4460,196,157,39,321,135,4945,562,39,2,1,213,174,31,0,3,0,796,320,285,28,72,44,3,3,3,0,0,20.5,81,199,319,75,115,265,14,9
Almere City,34,21,34.8,416,110,0,0,729,34,9862,13528,4118,4898,4183,5141,1317,2744,18,26.3,31.7,313,953,268,98,1120,499,1106,525,333,258,193,74,248,484,236,332,334,935,11,17731,2197,5986,7348,4588,698,17731,613,268,9009,499,372,115,569,339,9745,1106,53,3,0,360,287,31,0,0,4,1466,601,697,64,178,118,7,0,0,0,0,55.0,258,843,1002,128,253,546,45,67
América,34,60,58.9,495,183,2,2,875,102,15174,17976,6593,7258,6438,7197,1636,2554,48,45.6,41.4,395,1195,299,54,1424,714,1404,553,369,263,235,55,261,472,211,311,297,624,7,21678,1983,6553,10100,5221,796,21676,599,282,13053,714,485,179,575,323,14990,1404,49,3,0,333,409,66,2,2,0,1429,399,391,31,114,83,13,2,2,0,0,27.2,128,326,878,98,254,346,14,29
Anderlecht,30,46,45.7,396,136,4,4,705,85,13448,16377,5500,6245,6150,7015,1347,2298,35,34.9,35.0,306,1079,310,78,1328,517,1312,492,309,226,190,76,234,468,234,289,217,671,14,19706,1977,5859,8848,5168,747,19702,565,243,13923,517,469,138,473,283,13259,1312,51,2,1,295,374,54,3,2,0,1257,364,361,27,138,109,14,2,0,2,0,43.2,170,426,1298,115,99,420,22,38
Antwerp,30,43,38.2,409,145,2,4,684,66,12254,15132,4507,5196,5992,6873,1461,2437,29,27.7,25.8,291,884,230,42,1196,439,1192,514,352,247,195,72,231,452,221,340,249,692,28,18570,2268,6228,8674,3875,600,18566,538,271,13172,439,405,114,499,342,12172,1192,66,2,1,357,321,55,3,6,2,1239,339,374,32,161,127,7,6,2,4,0,44.5,137,369,983,167,142,394,44,21
Arg Juniors,17,23,21.9,238,73,0,2,428,40,7719,9508,3138,3542,3484,3999,937,1513,16,13.5,16.1,175,658,173,56,799,306,793,313,194,131,135,47,148,295,147,191,151,431,6,11586,936,3418,5522,2748,410,11584,316,147,6250,306,241,55,290,180,7664,793,33,1,0,198,212,30,1,0,1,801,297,276,9,48,40,10,0,0,0,0,10.6,100,217,449,34,92,182,5,2
Arouca,34,34,42.2,390,119,6,9,699,60,12604,15955,5252,5970,5806,6734,1305,2467,18,25.7,22.9,262,860,219,71,1184,418,1175,552,350,275,207,70,282,550,268,376,297,852,23,19785,2316,7206,8723,4000,532,19776,456,201,10623,418,335,97,557,278,12520,1175,89,5,2,497,434,64,9,9,2,1413,416,436,49,140,93,8,9,9,0,0,46.1,132,316,851,149,252,515,31,50
