Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
AVS Futebol,27.4,34,0.74,0.93,10.03,2.56,0.12,0.15,17.47,1.29,303.53,400.76,125.41,145.74,134.71,161.68,35.88,71.06,7.12,21.62,4.29,1.91,25.79,11.41,25.38,16.62,10.74,8.68,6.18,1.76,9.09,16.47,7.38,11.47,8.91,27.32,0.68,517.09,64.53,194.56,225.71,102.71,13.88,516.94,15.97,6.74,248.88,8.15,2.35,16.18,7.47,300.76,3.12,0.15,0.12,14.12,12.32,1.38,0.15,0.12,0.03,40.65,16.59,13.79,1.76,5.15,3.38,0.24,0.12,0.09,0.03,0.0,1.78,5.53,13.15,22.65,3.97,9.18,15.53,0.47,0.71,30.38,23.65,62.59,18.76,22.44,19.82,0.03,44.0,-0.2,54.61,75.74,86.05,83.32,50.49,59.93,42.2,0.01,65.63,42.05,3.03
AZ Alkmaar,23.2,34,1.68,1.61,14.56,5.41,0.06,0.06,26.03,2.88,422.97,522.03,179.56,204.62,193.18,218.88,40.06,72.91,11.56,37.41,10.44,2.0,43.56,19.56,43.18,18.18,10.56,6.65,8.44,3.09,8.82,16.94,8.12,10.76,8.88,22.79,0.5,640.15,60.03,181.53,294.62,169.82,28.26,640.09,17.68,7.94,366.79,14.97,6.41,15.24,7.71,418.62,1.65,0.12,0.03,10.41,10.24,1.29,0.03,0.09,0.06,45.21,12.68,14.71,1.09,2.85,1.79,0.35,0.09,0.03,0.03,0.03,0.89,4.62,13.97,25.15,2.91,6.0,11.24,0.88,0.53,27.38,22.94,106.29,28.91,47.12,19.38,0.06,52.7,0.04,46.31,81.02,87.75,88.26,54.94,55.18,44.91,-0.22,62.81,33.07,7.83
Ajax,25.9,34,1.94,1.9,13.88,4.74,0.18,0.26,24.94,3.5,511.26,604.47,237.53,259.62,223.24,249.47,38.15,67.26,10.24,39.59,12.21,1.85,49.62,20.09,49.35,13.79,7.47,5.76,5.56,2.47,7.0,12.35,5.35,10.12,8.12,21.0,0.74,712.85,72.21,211.15,331.5,175.68,31.0,712.59,17.03,7.47,431.29,14.26,5.29,15.06,8.32,506.29,1.56,0.03,0.0,10.21,11.59,1.56,0.21,0.0,0.03,41.41,16.06,12.03,0.94,3.35,2.44,0.47,0.0,0.0,0.0,0.0,1.03,5.5,13.15,37.97,4.88,6.09,11.38,1.24,1.12,28.09,23.38,119.06,28.44,50.35,14.47,0.0,57.6,0.02,57.17,84.58,91.49,89.49,56.72,55.36,43.86,0.09,72.84,41.83,10.9
Alianza Lima,27.9,6,0.83,0.82,13.0,4.17,0.0,0.0,21.17,1.0,219.33,313.0,95.33,113.0,89.83,116.5,27.83,63.83,9.5,18.83,6.33,2.5,27.33,11.0,27.17,16.33,10.33,9.17,6.0,1.17,9.33,19.33,10.0,10.0,10.17,24.0,0.17,422.33,51.5,150.67,182.67,93.33,16.83,422.33,16.5,9.33,188.17,7.0,2.0,14.33,8.67,217.17,2.67,0.0,0.0,12.83,12.67,1.83,0.0,0.0,0.0,42.33,15.83,14.33,1.17,3.33,2.17,0.17,0.0,0.0,0.0,0.0,0.88,4.83,13.5,18.67,3.33,6.83,14.83,0.33,0.5,30.17,23.0,65.5,22.17,27.67,19.67,0.0,37.3,0.01,52.47,70.07,84.36,77.11,43.6,55.13,56.55,-0.33,65.17,35.78,2.23
Almere City,25.4,34,0.62,1.0,12.24,3.24,0.0,0.0,21.44,1.0,290.06,397.88,121.12,144.06,123.03,151.21,38.74,80.71,9.21,28.03,7.88,2.88,32.94,14.68,32.53,15.44,9.79,7.59,5.68,2.18,7.29,14.24,6.94,9.76,9.82,27.5,0.32,521.5,64.62,176.06,216.12,134.94,20.53,521.5,18.03,7.88,264.97,10.94,3.38,16.74,9.97,286.62,1.56,0.09,0.0,10.59,8.44,0.91,0.0,0.0,0.12,43.12,17.68,20.5,1.88,5.24,3.47,0.21,0.0,0.0,0.0,0.0,1.62,7.59,24.79,28.76,3.76,8.15,16.06,1.32,1.97,38.18,26.71,80.15,22.44,34.68,17.09,0.0,42.9,-0.38,46.31,72.9,84.08,81.36,48.0,57.55,43.7,-0.16,66.22,30.62,8.22
América,26.8,34,1.76,1.68,14.56,5.38,0.06,0.06,25.74,3.0,446.29,528.71,193.91,213.47,189.35,211.68,48.12,75.12,11.62,35.15,8.79,1.59,41.88,21.0,41.29,16.26,10.85,7.74,6.91,1.62,7.68,13.88,6.21,9.15,8.74,18.35,0.21,637.59,58.32,192.74,297.06,153.56,23.41,637.53,17.62,8.29,383.91,14.26,5.26,16.91,9.5,440.88,1.44,0.09,0.0,9.79,12.03,1.94,0.06,0.06,0.0,42.03,11.74,11.5,0.91,3.35,2.44,0.38,0.06,0.06,0.0,0.0,0.8,3.76,9.59,25.09,2.88,8.21,10.18,0.41,0.85,23.24,26.41,104.18,28.74,39.06,18.53,0.0,56.6,0.05,50.52,84.41,90.84,89.45,64.06,61.48,47.05,-0.14,72.84,39.21,4.03
Anderlecht,25.7,30,1.53,1.48,13.2,4.53,0.13,0.13,23.5,2.83,448.27,545.9,183.33,208.17,205.0,233.83,44.9,76.6,10.2,35.97,10.33,2.6,44.27,17.23,43.73,16.4,10.3,7.53,6.33,2.53,7.8,15.6,7.8,9.63,7.23,22.37,0.47,656.87,65.9,195.3,294.93,172.27,24.9,656.73,18.83,8.1,464.1,15.63,4.6,15.77,9.43,441.97,1.7,0.07,0.03,9.83,12.47,1.8,0.1,0.07,0.0,41.9,12.13,12.03,0.9,4.6,3.63,0.47,0.07,0.0,0.07,0.0,1.44,5.67,14.2,38.93,3.83,7.63,14.0,0.73,1.27,24.17,25.2,105.23,26.33,42.43,18.1,0.07,56.8,0.03,50.19,82.12,88.07,87.67,58.62,56.56,43.02,0.37,78.91,39.93,5.21
Antwerp,26.4,30,1.43,1.25,13.63,4.83,0.07,0.13,22.8,2.2,408.47,504.4,150.23,173.2,199.73,229.1,48.7,81.23,9.7,29.47,7.67,1.4,39.87,14.63,39.73,17.13,11.73,8.23,6.5,2.4,7.7,15.07,7.37,11.33,8.3,23.07,0.93,619.0,75.6,207.6,289.13,129.17,20.0,618.87,17.93,9.03,439.07,13.5,3.8,16.63,11.4,405.73,2.2,0.07,0.03,11.9,10.7,1.83,0.1,0.2,0.07,41.3,11.3,12.47,1.07,5.37,4.23,0.23,0.2,0.07,0.13,0.0,1.48,4.57,12.3,29.87,5.57,7.63,13.13,1.47,0.7,23.77,28.03,94.23,25.0,32.87,19.43,0.13,53.3,0.14,47.54,80.98,86.74,87.18,59.95,60.34,50.36,0.28,78.77,37.15,11.2
Arg Juniors,25.0,27,0.74,0.94,14.19,3.44,0.04,0.07,24.11,1.3,363.15,477.63,141.59,166.81,161.44,192.15,51.0,92.11,10.0,32.52,8.04,2.26,39.93,15.41,39.52,18.81,11.11,9.11,8.04,1.67,9.3,17.37,8.07,10.52,9.52,17.85,0.19,593.22,51.63,185.19,274.22,139.67,19.78,593.15,20.56,9.89,316.63,10.59,2.52,16.67,12.07,359.26,2.52,0.22,0.11,11.37,11.56,2.52,0.04,0.15,0.04,46.48,15.67,16.89,1.04,3.33,2.33,0.37,0.15,0.15,0.0,0.0,0.98,4.67,11.96,22.41,3.15,7.33,11.15,0.22,0.67,32.56,28.74,94.85,25.41,32.59,20.41,0.0,56.3,-0.21,48.13,76.03,84.88,84.02,55.37,56.41,48.1,-0.06,69.97,39.05,1.97
Arouca,25.3,34,1.0,1.2,11.47,3.5,0.18,0.26,20.56,1.76,370.71,469.26,154.47,175.59,170.76,198.06,38.38,72.56,7.71,25.29,6.44,2.09,34.82,12.29,34.56,16.24,10.29,8.09,6.09,2.06,8.29,16.18,7.88,11.06,8.74,25.06,0.68,581.91,68.12,211.94,256.56,117.65,15.65,581.65,13.41,5.91,312.44,9.85,2.85,16.38,8.18,368.24,2.62,0.15,0.06,14.62,12.76,1.88,0.26,0.26,0.06,41.56,12.24,12.82,1.44,4.12,2.74,0.24,0.26,0.26,0.0,0.0,1.36,3.88,9.29,23.79,4.38,8.65,15.15,0.91,1.47,25.06,24.56,81.68,22.32,27.03,18.59,0.0,52.3,-0.17,48.84,79.0,87.97,86.22,52.89,57.31,44.07,-0.06,66.5,41.77,6.01
