Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
AVS Futebol,27.4,34,6.97,11.06,8.17,3.37,66.11,62.74,10.58,9.62,25.72,20.19,24.04,21.63,28.85,26.44,25.96,26.92,8.65,8.41,2.88,35.34,5.53,11.06,5.05,44.95,56.49,75.0,29.09,22.84,84.62,67.31,55.05,75.24,60.58,76.92,7.45,19.71,71.63,63.46,19.71,10.58,5.77,19.71,44.95,28.85,17.31,10.1,14.9,38.22,89.18,25.48,3.37,30.29,7.45,13.46,70.67,73.32,82.69,54.81,51.44,33.41,70.19,62.5,11.54,87.5,77.16,42.55,45.67,45.43,67.31,40.62,91.59,74.76,50.96,37.98,47.84,84.62,73.56,12.26,30.53,54.33,58.17,6.73,9.13,3.12,73.08,55.77,15.14,12.02,96.15,31.73,38.94,34.13,32.21,88.94,13.94,51.44,23.56,88.46,8.17
AZ Alkmaar,23.2,34,88.22,89.42,87.26,92.79,28.85,19.23,89.9,87.26,80.29,81.25,77.88,79.81,83.17,83.17,58.17,38.46,90.14,92.31,96.15,41.35,84.13,92.79,84.13,80.29,51.68,12.98,93.27,98.56,77.16,75.0,29.09,49.76,59.62,44.95,18.99,85.1,48.56,44.23,84.62,93.75,95.67,85.1,69.23,63.46,82.21,94.71,97.12,59.13,82.69,80.77,87.02,41.35,56.25,83.89,24.52,80.29,17.07,71.88,25.0,81.25,29.33,53.85,73.32,4.09,2.4,78.85,28.61,13.46,67.31,89.42,9.62,49.76,60.34,55.77,11.54,5.29,8.89,61.06,18.99,38.94,71.88,87.02,87.02,97.12,62.98,85.82,72.36,65.14,11.78,75.48,59.13,84.13,62.5,21.15,46.15,3.85,8.65,37.26,82.21
Ajax,25.9,34,94.71,97.12,75.96,80.29,88.46,94.47,79.09,96.15,98.56,98.56,98.08,98.08,98.08,98.08,45.91,12.98,73.32,94.71,98.56,30.05,97.12,95.19,97.12,4.81,1.68,3.85,13.46,83.89,12.26,5.05,97.6,27.4,31.49,33.41,5.53,99.04,92.31,85.58,97.12,96.15,98.56,99.04,61.78,51.2,96.15,88.7,90.87,62.5,63.22,98.56,89.66,89.18,85.82,87.98,55.29,56.49,94.23,97.84,51.44,41.83,66.35,80.53,87.26,14.18,20.43,95.19,2.64,4.57,24.28,40.62,18.27,74.04,50.96,99.52,85.58,6.01,10.1,90.38,72.84,42.31,62.98,97.12,84.62,98.56,4.81,18.99,91.59,59.13,99.52,96.15,97.6,94.71,71.63,22.12,32.69,76.68,76.2,86.54,98.56
Alianza Lima,27.9,6,12.98,5.05,62.26,62.98,4.09,3.12,44.23,3.37,1.92,0.96,3.85,3.37,1.92,1.92,0.96,7.21,58.17,0.96,31.49,74.76,10.1,9.62,10.1,34.62,44.23,87.98,23.32,1.68,91.59,95.19,3.12,25.48,93.27,54.33,90.38,0.96,12.98,3.85,0.96,3.37,26.68,0.96,52.64,92.31,2.4,4.57,8.65,83.41,49.76,1.92,18.03,97.84,85.82,29.57,77.88,32.21,5.77,97.84,83.17,56.01,62.74,58.65,64.42,12.26,8.17,15.38,2.64,4.57,24.28,40.62,8.65,56.97,55.53,13.22,21.63,15.87,60.82,3.37,17.07,53.37,69.95,11.06,35.34,23.08,69.71,18.99,1.44,56.01,81.73,7.69,22.84,3.85,4.81,20.67,99.52,1.44,19.71,52.4,2.88
Almere City,25.4,34,2.4,18.03,48.56,19.23,4.09,3.12,49.28,3.37,16.35,18.75,20.19,20.19,15.38,14.9,49.28,82.69,53.12,41.11,62.74,89.66,33.65,47.6,33.17,19.95,30.29,37.98,15.62,62.5,20.19,23.8,70.19,19.23,87.26,79.81,59.13,23.08,72.12,34.62,10.58,57.69,62.74,23.08,73.56,62.74,25.48,45.67,49.28,26.68,13.7,16.35,89.66,59.38,85.82,80.53,3.85,97.36,5.77,97.84,4.09,63.46,78.37,7.21,6.01,89.18,81.73,29.81,2.64,4.57,24.28,40.62,82.21,97.12,99.04,73.56,38.22,56.25,81.73,91.59,96.15,91.83,19.71,36.54,39.42,62.98,22.84,18.99,10.34,0.96,11.78,17.31,21.15,20.19,19.23,60.1,30.05,7.69,26.44,20.67,86.06
América,26.8,34,90.38,92.31,87.26,91.83,28.85,19.23,85.1,90.38,88.46,84.13,88.46,86.06,81.73,79.33,89.9,49.04,91.83,84.13,82.45,15.14,80.29,97.12,79.81,34.13,61.54,39.9,59.13,12.02,33.41,19.23,87.26,4.33,52.64,14.9,84.62,83.65,42.31,60.58,87.02,82.69,81.73,83.65,67.79,71.63,89.42,88.7,89.42,23.08,21.39,88.46,94.71,59.38,85.82,92.79,67.07,23.8,31.97,85.1,83.17,53.85,16.83,87.26,88.7,14.18,20.43,83.89,15.38,26.44,24.28,40.62,3.61,21.63,13.22,55.29,10.34,59.86,4.81,8.17,48.32,11.54,21.63,83.17,86.54,82.45,48.56,18.99,87.74,68.51,58.17,95.19,94.71,94.23,97.6,97.12,71.15,11.3,76.2,74.04,19.71
Anderlecht,25.7,30,80.53,79.33,65.87,73.08,71.15,53.37,65.87,86.06,89.42,90.87,80.29,81.25,91.83,92.79,80.77,60.58,72.6,87.5,95.19,80.29,86.78,79.81,85.1,37.5,43.27,35.58,36.3,87.74,39.42,48.08,39.42,12.98,11.3,42.31,23.56,91.35,76.44,64.9,86.06,94.71,91.35,91.35,81.73,68.75,99.04,96.63,77.4,45.67,24.04,89.42,84.86,69.71,56.25,91.35,73.08,35.34,54.81,80.53,83.17,50.0,21.15,80.53,89.42,67.79,89.9,95.19,19.95,4.57,93.75,40.62,65.87,78.37,63.94,100.0,41.35,36.54,48.08,43.27,79.33,19.47,35.58,84.13,71.63,91.35,39.66,91.11,89.18,62.02,52.88,83.41,63.46,78.85,83.65,37.98,21.63,99.28,97.12,79.33,42.31
Antwerp,26.4,30,74.04,57.93,72.6,81.73,36.06,53.37,62.5,62.26,74.52,74.52,56.73,58.17,87.98,90.87,92.79,84.62,63.7,53.85,57.93,7.69,72.6,46.63,75.0,54.33,84.62,53.37,42.31,79.33,34.62,37.74,56.25,71.88,36.54,46.63,1.44,75.96,95.67,81.73,79.33,48.08,57.93,75.96,72.6,87.26,97.12,84.13,61.54,30.29,3.37,74.52,52.88,69.71,56.25,52.64,36.54,32.21,54.81,17.79,16.59,40.87,12.98,75.0,75.24,93.27,97.84,38.22,82.69,33.89,99.04,40.62,70.43,47.6,38.46,80.77,97.12,36.54,33.17,96.15,28.61,15.38,8.17,71.63,62.5,54.81,63.46,98.56,76.68,84.13,20.67,75.0,49.04,71.15,88.46,91.83,94.71,98.08,96.15,60.58,100.0
Arg Juniors,25.0,27,6.97,12.5,80.29,27.16,18.03,23.56,72.12,11.06,58.17,65.38,44.71,48.56,58.17,61.54,96.63,99.52,68.99,72.6,66.35,57.45,73.8,56.97,73.56,90.87,72.12,86.06,88.94,16.35,90.87,81.25,30.77,39.66,78.61,11.78,87.26,66.83,13.94,50.96,69.71,66.83,55.29,66.83,93.27,96.15,59.13,39.9,20.43,29.57,1.44,58.17,27.4,10.1,10.34,67.31,54.81,2.88,22.84,39.66,36.78,88.94,61.54,25.48,77.64,12.26,11.06,81.73,60.82,75.24,24.28,40.62,13.94,51.92,34.62,36.54,16.11,25.72,7.69,1.92,25.48,66.83,4.81,72.12,65.87,52.88,83.65,18.99,86.54,10.82,29.81,35.82,27.4,40.87,64.9,36.54,83.89,27.4,54.81,72.12,2.4
Arouca,25.3,34,27.4,50.24,34.38,30.29,88.46,94.47,38.94,34.86,60.58,61.54,62.5,61.78,65.87,65.87,47.12,37.02,19.47,25.48,32.45,49.04,42.79,19.23,43.27,33.65,42.55,48.56,24.52,51.44,57.21,62.02,37.02,61.3,52.64,62.5,7.45,60.1,81.73,87.02,54.33,27.4,15.38,60.1,10.34,12.98,56.73,27.4,29.81,33.89,68.99,61.06,21.88,30.29,30.29,9.86,79.33,27.64,98.8,4.33,25.0,43.51,23.56,69.71,35.1,44.95,39.18,42.55,96.15,98.56,24.28,40.62,56.25,26.68,11.54,48.08,67.55,74.76,67.31,65.62,88.22,26.44,42.55,41.83,36.3,20.67,50.0,18.99,69.71,16.11,35.58,58.65,62.5,61.54,47.6,52.88,36.06,27.4,28.85,85.58,53.85
