Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Alavés,38,38,43.4,393,123,9,11,690,61,10534,14746,4546,5494,4441,5542,1312,2838,20,25.5,25.8,284,963,229,99,1160,449,1148,737,459,346,307,84,348,726,378,382,309,918,10,19070,1876,5802,8634,4809,691,19059,478,185,9128,449,346,90,598,307,10419,1148,107,5,2,623,476,77,8,11,2,1499,639,694,73,48,132,86,9,11,11,0,0,45.9,361,877,887,82,289,552,36,31
Angers,34,31,36.4,311,91,5,6,546,55,11082,14057,4970,5624,4828,5656,1022,2043,17,23.7,22.5,216,777,200,63,953,502,943,624,392,340,202,82,294,607,313,365,336,903,20,17919,2146,6594,7732,3813,512,17913,613,249,9398,502,365,98,493,297,10991,943,49,2,0,380,398,69,6,5,0,1414,334,428,45,53,190,137,7,5,4,0,1,65.9,146,446,773,184,272,551,49,22
Arsenal,38,67,62.3,544,178,2,2,969,119,17066,20241,8591,9363,7129,7999,1031,2022,55,46.6,45.8,428,1397,437,75,1826,852,1801,598,348,220,249,129,260,515,255,328,225,680,33,24056,1844,6064,10362,7808,1282,24054,726,320,14234,852,540,286,483,382,16894,1801,70,6,3,401,405,80,2,3,0,1436,471,465,28,34,120,86,13,3,3,0,0,35.1,149,478,1263,178,147,402,53,66
Aston Villa,38,56,57.6,478,159,3,6,849,102,14701,17797,6778,7510,6555,7386,1088,2065,45,42.0,36.8,358,1137,319,56,1344,720,1331,637,372,293,249,95,310,546,236,329,240,788,43,21699,2646,7301,9257,5362,951,21693,726,327,12334,720,448,212,508,386,14423,1331,76,4,2,406,499,55,6,3,0,1418,378,423,65,51,156,104,9,3,2,1,0,52.1,181,474,1283,133,198,538,59,35
Atalanta,38,76,66.8,538,181,5,7,966,131,17454,20998,7796,8669,7832,8892,1506,2528,54,47.2,46.2,425,1382,395,113,1824,897,1808,571,347,238,260,73,272,506,234,360,296,679,16,25020,2035,6907,11325,7007,1076,25013,645,257,15076,897,696,254,574,362,17329,1808,67,1,1,435,393,54,5,2,2,1732,585,490,90,37,147,112,15,2,2,0,0,41.0,133,413,980,193,233,363,21,56
Athletic Club,38,53,54.4,462,148,3,6,832,92,13665,17375,5552,6396,6520,7522,1395,2733,40,37.1,33.1,351,1283,274,90,1579,682,1561,577,345,240,252,85,296,579,283,353,344,911,25,21761,1884,6255,10334,5382,760,21755,791,328,11368,682,444,188,597,401,13522,1561,64,3,1,483,386,68,5,5,1,1735,496,514,70,29,113,83,15,5,3,2,0,31.6,190,540,972,157,205,449,41,48
Atlético Madrid,38,68,65.3,463,174,6,7,826,123,17826,21418,8814,9752,6993,7984,1486,2519,51,48.0,45.1,348,1233,365,96,1559,760,1553,619,375,305,238,76,319,627,308,358,260,818,25,25387,2335,8013,11493,6074,860,25380,639,276,15829,760,579,167,541,275,17707,1553,75,3,0,412,427,72,4,5,2,1563,445,420,61,30,116,88,17,5,5,0,0,25.7,110,286,716,194,290,511,30,28
Augsburg,34,35,35.2,397,114,1,2,704,63,11577,14936,4900,5714,5187,6033,1267,2377,26,25.3,33.4,296,905,248,77,1162,450,1149,464,300,198,202,64,233,430,197,417,341,971,16,19036,2215,6126,8404,4701,681,19034,555,228,10166,450,356,97,587,297,11478,1149,78,5,2,351,373,59,2,5,2,1441,529,491,50,51,156,107,11,5,5,0,0,50.1,212,561,1011,123,250,554,21,44
Auxerre,34,47,41.9,375,144,4,5,688,87,11002,14162,4812,5517,4576,5349,1301,2498,35,32.2,24.2,296,804,212,68,1084,484,1078,657,403,330,232,95,316,606,290,394,350,944,17,18188,2265,6744,7753,3877,614,18183,622,258,10101,484,350,137,452,346,10927,1078,68,4,1,404,362,48,4,8,3,1492,412,422,54,51,173,123,10,8,6,2,0,59.3,221,680,981,178,207,556,31,42
Barcelona,38,99,93.2,670,240,7,8,1205,172,22321,25721,10452,11341,9674,10643,1577,2424,72,67.9,64.6,500,2020,479,77,2212,860,2201,538,332,186,245,107,271,520,249,329,227,601,14,29805,1857,6516,14966,8535,1208,29797,909,455,18077,860,667,238,579,316,22187,2201,63,3,1,368,465,65,8,4,0,1673,380,339,91,39,108,69,13,4,4,0,0,35.1,62,172,1168,181,165,356,15,158
