Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Alavés,38,1.0,1.14,10.34,3.24,0.24,0.29,18.16,1.61,277.21,388.05,119.63,144.58,116.87,145.84,34.53,74.68,0.53,0.67,0.68,7.47,25.34,6.03,2.61,30.53,11.82,30.21,19.39,12.08,9.11,8.08,2.21,9.16,19.11,9.95,10.05,8.13,24.16,0.26,501.84,49.37,152.68,227.21,126.55,18.18,501.55,12.58,4.87,240.21,11.82,9.11,2.37,15.74,8.08,274.18,30.21,2.82,0.13,0.05,16.39,12.53,2.03,0.21,0.29,0.05,39.45,16.82,18.26,1.92,1.26,3.47,2.26,0.24,0.29,0.29,0.0,0.0,1.21,9.5,23.08,23.34,2.16,7.61,14.53,0.95,0.82,35.08,23.82,102.76,19.76,29.18,21.24,0.0,-0.12,47.95,71.44,82.74,80.14,46.24,55.17,38.71,-0.04,65.13,41.16,6.54
Angers,34,0.91,1.07,9.15,2.68,0.15,0.18,16.06,1.62,325.94,413.44,146.18,165.41,142.0,166.35,30.06,60.09,0.5,0.7,0.66,6.35,22.85,5.88,1.85,28.03,14.76,27.74,18.35,11.53,10.0,5.94,2.41,8.65,17.85,9.21,10.74,9.88,26.56,0.59,527.03,63.12,193.94,227.41,112.15,15.06,526.85,18.03,7.32,276.41,14.76,10.74,2.88,14.5,8.74,323.26,27.74,1.44,0.06,0.0,11.18,11.71,2.03,0.18,0.15,0.0,41.59,9.82,12.59,1.32,1.56,5.59,4.03,0.21,0.15,0.12,0.0,0.03,1.94,4.29,13.12,22.74,5.41,8.0,16.21,1.44,0.65,22.41,23.24,98.26,17.68,25.68,20.18,0.03,-0.15,43.82,78.84,88.37,85.36,50.02,55.75,40.6,0.2,72.09,32.7,8.88
Arsenal,38,1.76,1.64,14.32,4.68,0.05,0.05,25.5,3.13,449.11,532.66,226.08,246.39,187.61,210.5,27.13,53.21,1.45,1.23,1.21,11.26,36.76,11.5,1.97,48.05,22.42,47.39,15.74,9.16,5.79,6.55,3.39,6.84,13.55,6.71,8.63,5.92,17.89,0.87,633.05,48.53,159.58,272.68,205.47,33.74,633.0,19.11,8.42,374.58,22.42,14.21,7.53,12.71,10.05,444.58,47.39,1.84,0.16,0.08,10.55,10.66,2.11,0.05,0.08,0.0,37.79,12.39,12.24,0.74,0.89,3.16,2.26,0.34,0.08,0.08,0.0,0.0,0.92,3.92,12.58,33.24,4.68,3.87,10.58,1.39,1.74,24.63,22.76,165.26,28.63,54.74,16.0,0.0,0.07,50.3,84.31,91.76,89.13,50.99,54.63,44.06,0.03,71.52,31.16,13.14
Aston Villa,38,1.47,1.52,12.58,4.18,0.08,0.16,22.34,2.68,386.87,468.34,178.37,197.63,172.5,194.37,28.63,54.34,1.18,1.11,0.97,9.42,29.92,8.39,1.47,35.37,18.95,35.03,16.76,9.79,7.71,6.55,2.5,8.16,14.37,6.21,8.66,6.32,20.74,1.13,571.03,69.63,192.13,243.61,141.11,25.03,570.87,19.11,8.61,324.58,18.95,11.79,5.58,13.37,10.16,379.55,35.03,2.0,0.11,0.05,10.68,13.13,1.45,0.16,0.08,0.0,37.32,9.95,11.13,1.71,1.34,4.11,2.74,0.24,0.08,0.05,0.03,0.0,1.37,4.76,12.47,33.76,3.5,5.21,14.16,1.55,0.92,21.08,23.53,124.37,25.03,40.47,17.95,0.03,-0.03,47.2,82.6,90.25,88.75,52.69,57.66,45.05,0.02,66.67,38.17,10.95
Atalanta,38,2.0,1.76,14.16,4.76,0.13,0.18,25.42,3.45,459.32,552.58,205.16,228.13,206.11,234.0,39.63,66.53,1.42,1.24,1.22,11.18,36.37,10.39,2.97,48.0,23.61,47.58,15.03,9.13,6.26,6.84,1.92,7.16,13.32,6.16,9.47,7.79,17.87,0.42,658.42,53.55,181.76,298.03,184.39,28.32,658.24,16.97,6.76,396.74,23.61,18.32,6.68,15.11,9.53,456.03,47.58,1.76,0.03,0.03,11.45,10.34,1.42,0.13,0.05,0.05,45.58,15.39,12.89,2.37,0.97,3.87,2.95,0.39,0.05,0.05,0.0,0.0,1.08,3.5,10.87,25.79,5.08,6.13,9.55,0.55,1.47,28.29,24.63,166.76,28.87,48.37,16.29,0.0,0.14,54.4,83.12,89.93,88.08,59.57,57.46,39.84,0.1,76.23,32.2,5.76
Athletic Club,38,1.39,1.43,12.16,3.89,0.08,0.16,21.89,2.42,359.61,457.24,146.11,168.32,171.58,197.95,36.71,71.92,1.05,0.98,0.87,9.24,33.76,7.21,2.37,41.55,17.95,41.08,15.18,9.08,6.32,6.63,2.24,7.79,15.24,7.45,9.29,9.05,23.97,0.66,572.66,49.58,164.61,271.95,141.63,20.0,572.5,20.82,8.63,299.16,17.95,11.68,4.95,15.71,10.55,355.84,41.08,1.68,0.08,0.03,12.71,10.16,1.79,0.13,0.13,0.03,45.66,13.05,13.53,1.84,0.76,2.97,2.18,0.39,0.13,0.08,0.05,0.0,0.83,5.0,14.21,25.58,4.13,5.39,11.82,1.08,1.26,26.58,26.26,141.66,24.32,34.53,16.87,0.05,-0.03,49.1,78.65,86.8,86.68,51.04,55.46,41.45,0.08,73.4,35.19,9.14
Atlético Madrid,38,1.79,1.72,12.18,4.58,0.16,0.18,21.74,3.24,469.11,563.63,231.95,256.63,184.03,210.11,39.11,66.29,1.34,1.26,1.19,9.16,32.45,9.61,2.53,41.03,20.0,40.87,16.29,9.87,8.03,6.26,2.0,8.39,16.5,8.11,9.42,6.84,21.53,0.66,668.08,61.45,210.87,302.45,159.84,22.63,667.89,16.82,7.26,416.55,20.0,15.24,4.39,14.24,7.24,465.97,40.87,1.97,0.08,0.0,10.84,11.24,1.89,0.11,0.13,0.05,41.13,11.71,11.05,1.61,0.79,3.05,2.32,0.45,0.13,0.13,0.0,0.0,0.68,2.89,7.53,18.84,5.11,7.63,13.45,0.79,0.74,22.76,21.47,142.76,24.97,39.16,18.26,0.0,0.04,51.45,83.23,90.38,87.59,59.0,55.69,43.16,-0.16,76.07,38.38,5.87
Augsburg,34,1.03,1.04,11.68,3.35,0.03,0.06,20.71,1.85,340.5,439.29,144.12,168.06,152.56,177.44,37.26,69.91,0.76,0.74,0.98,8.71,26.62,7.29,2.26,34.18,13.24,33.79,13.65,8.82,5.82,5.94,1.88,6.85,12.65,5.79,12.26,10.03,28.56,0.47,559.88,65.15,180.18,247.18,138.26,20.03,559.82,16.32,6.71,299.0,13.24,10.47,2.85,17.26,8.74,337.59,33.79,2.29,0.15,0.06,10.32,10.97,1.74,0.06,0.15,0.06,42.38,15.56,14.44,1.47,1.5,4.59,3.15,0.32,0.15,0.15,0.0,0.0,1.47,6.24,16.5,29.74,3.62,7.35,16.29,0.62,1.29,30.0,26.0,115.0,22.56,32.44,15.68,0.0,-0.01,51.87,77.51,85.76,85.98,53.3,59.58,41.12,-0.02,68.63,37.82,3.81
Auxerre,34,1.38,1.23,11.03,4.24,0.12,0.15,20.24,2.56,323.59,416.53,141.53,162.26,134.59,157.32,38.26,73.47,1.03,0.95,0.71,8.71,23.65,6.24,2.0,31.88,14.24,31.71,19.32,11.85,9.71,6.82,2.79,9.29,17.82,8.53,11.59,10.29,27.76,0.5,534.94,66.62,198.35,228.03,114.03,18.06,534.79,18.29,7.59,297.09,14.24,10.29,4.03,13.29,10.18,321.38,31.71,2.0,0.12,0.03,11.88,10.65,1.41,0.12,0.24,0.09,43.88,12.12,12.41,1.59,1.5,5.09,3.62,0.29,0.24,0.18,0.06,0.0,1.74,6.5,20.0,28.85,5.24,6.09,16.35,0.91,1.24,24.53,23.47,109.53,22.79,30.32,21.15,0.06,0.12,49.41,77.69,87.22,85.55,52.08,56.92,41.5,0.14,71.12,32.5,5.57
Barcelona,38,2.61,2.45,17.63,6.32,0.18,0.21,31.71,4.53,587.39,676.87,275.05,298.45,254.58,280.08,41.5,63.79,1.89,1.79,1.7,13.16,53.16,12.61,2.03,58.21,22.63,57.92,14.16,8.74,4.89,6.45,2.82,7.13,13.68,6.55,8.66,5.97,15.82,0.37,784.34,48.87,171.47,393.84,224.61,31.79,784.13,23.92,11.97,475.71,22.63,17.55,6.26,15.24,8.32,583.87,57.92,1.66,0.08,0.03,9.68,12.24,1.71,0.21,0.11,0.0,44.03,10.0,8.92,2.39,1.03,2.84,1.82,0.34,0.11,0.11,0.0,0.0,0.92,1.63,4.53,30.74,4.76,4.34,9.37,0.39,4.16,18.92,23.55,196.68,36.24,52.68,15.87,0.0,0.07,52.85,86.78,92.16,90.9,65.06,57.0,50.04,-0.12,64.08,35.98,4.16
