Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Alavés,38,24.75,25.98,22.55,20.1,90.69,90.44,21.57,21.57,4.41,7.84,4.9,6.86,5.88,7.35,38.73,81.86,19.36,15.69,18.87,17.4,24.75,23.53,83.33,19.85,9.07,20.1,83.82,88.24,74.51,90.2,45.34,76.47,88.24,8.82,25.49,32.35,55.15,94.61,6.86,7.35,3.43,19.61,35.78,27.45,6.86,3.92,1.96,4.41,9.07,15.44,5.88,24.26,69.85,4.9,20.1,8.33,29.9,36.52,0.98,80.39,22.79,88.73,12.75,37.99,20.59,89.71,9.31,35.78,68.87,13.24,12.01,46.57,87.75,94.36,27.7,44.85,36.76,99.51,99.02,27.45,18.63,90.2,72.06,73.53,45.83,91.67,37.25,17.65,22.06,23.04,84.8,25.0,32.11,26.47,2.94,3.43,2.45,8.33,31.86,5.15,53.19,36.76,89.71,69.12
Angers,34,18.63,21.08,8.33,7.35,70.59,68.87,8.33,23.28,21.08,16.18,29.41,27.45,18.63,19.12,15.69,19.61,16.18,18.63,17.89,5.39,14.71,20.34,38.24,12.75,31.13,12.75,75.0,80.15,88.48,28.19,56.37,59.56,78.19,17.16,40.2,78.68,71.57,54.9,16.67,37.25,40.2,20.1,17.16,10.78,16.67,67.89,42.89,20.1,31.13,35.05,15.69,47.06,53.19,21.08,12.75,94.61,66.18,76.72,62.5,64.46,22.79,83.58,48.53,77.45,43.63,13.24,55.39,9.31,35.05,85.29,90.44,40.44,51.96,56.86,27.7,92.89,89.95,59.56,62.75,25.49,95.1,92.89,89.22,96.08,35.05,23.77,47.55,13.73,9.31,11.27,74.26,58.09,24.26,6.37,36.76,47.06,26.47,23.77,45.59,13.24,94.12,77.45,49.51,87.25
Arsenal,38,78.92,71.81,78.92,69.61,26.96,14.71,77.45,81.13,78.43,75.0,86.76,86.27,67.16,64.22,5.88,4.41,91.91,77.21,75.74,80.88,81.86,93.38,45.59,90.2,90.44,89.22,25.98,19.85,7.6,49.75,93.63,13.73,16.67,77.94,4.9,1.96,13.73,22.3,69.12,5.88,5.39,58.33,94.61,95.1,69.12,76.23,72.79,71.08,90.44,72.3,92.65,83.33,18.14,77.45,89.22,70.34,23.28,23.28,76.72,42.16,19.12,25.74,79.66,77.45,8.58,42.65,61.76,3.43,94.12,7.35,12.01,81.86,20.83,34.31,27.7,44.85,21.81,50.0,58.82,78.43,79.66,31.37,31.86,94.12,92.89,41.67,56.37,91.67,78.43,94.61,14.46,25.0,75.49,54.17,86.27,91.18,76.47,28.92,24.51,48.53,68.63,73.53,40.69,99.02
Aston Villa,38,54.66,62.5,53.43,48.77,36.03,57.84,54.9,63.24,49.51,39.71,55.39,52.94,52.94,48.04,10.78,5.88,76.96,65.44,52.94,56.37,53.43,59.31,19.85,44.61,72.06,45.34,44.85,37.25,39.22,49.75,61.76,49.75,24.02,86.27,5.88,5.39,28.43,5.88,34.31,73.04,38.24,32.35,54.9,71.08,34.31,76.23,75.98,45.59,72.06,50.0,75.25,74.51,15.69,47.06,45.34,57.35,42.4,36.52,72.06,87.75,70.34,75.74,79.66,77.45,5.88,14.22,74.02,28.68,60.54,34.56,35.29,46.57,20.83,23.53,62.99,44.85,52.94,68.14,57.84,80.39,34.8,54.41,68.38,98.04,53.43,15.69,41.67,50.0,56.37,66.18,41.67,58.09,48.04,23.04,67.65,73.28,72.55,40.69,75.0,59.31,65.93,44.12,79.41,95.59
Atalanta,38,88.24,79.66,76.96,71.08,66.18,68.87,76.96,89.22,80.39,80.88,78.92,76.96,87.25,88.73,73.53,45.59,89.71,79.17,77.21,79.41,79.9,86.76,93.63,89.71,94.61,89.71,17.89,19.12,10.78,61.52,25.25,20.83,13.73,87.75,17.16,22.79,12.5,82.35,79.9,10.78,21.08,77.45,88.73,85.54,79.9,49.51,29.41,79.41,94.61,93.87,87.25,35.29,29.9,80.88,89.71,75.98,75.0,46.32,56.37,32.11,72.79,68.63,87.99,37.99,75.25,79.41,50.49,45.1,92.16,22.06,44.61,88.24,12.5,23.53,27.7,44.85,27.45,42.4,47.79,35.54,89.22,75.98,25.98,32.84,84.56,71.57,28.92,92.16,81.37,88.24,19.12,25.0,86.52,86.76,72.06,67.65,65.2,83.82,73.04,8.09,82.84,93.63,45.1,52.94
Athletic Club,38,49.02,53.19,45.59,38.97,36.03,57.84,51.47,50.49,34.8,34.8,28.92,28.92,51.96,54.9,53.19,72.3,62.25,50.25,39.46,49.51,71.57,42.65,70.59,71.08,63.24,70.59,18.63,17.16,11.76,53.92,47.06,37.5,36.52,61.27,14.95,56.86,52.94,45.59,35.78,7.84,6.37,56.86,56.37,39.46,35.78,87.75,77.45,30.39,63.24,49.02,63.24,25.25,8.33,34.8,70.59,80.88,58.09,46.32,28.19,29.17,39.95,68.63,50.74,48.28,75.98,53.92,40.69,33.58,98.04,4.41,7.84,88.24,49.75,34.31,73.77,44.85,19.12,72.55,73.04,34.56,61.03,59.07,41.42,81.86,75.0,58.09,11.76,68.63,50.98,47.55,25.98,69.61,48.04,42.16,33.33,26.96,46.81,29.41,36.27,19.61,80.15,84.31,59.8,89.22
Atlético Madrid,38,79.66,77.7,46.32,65.69,74.02,68.87,50.25,82.35,84.8,86.27,88.24,88.73,62.75,63.24,71.08,44.61,86.27,82.11,73.77,48.53,64.71,76.96,81.13,69.12,79.17,70.1,36.03,40.69,50.74,39.71,29.66,53.92,57.11,39.71,16.67,6.86,33.33,45.59,84.31,31.86,74.02,81.86,71.08,56.37,84.31,47.06,40.2,84.8,79.17,82.6,51.23,54.41,90.69,84.8,70.1,61.03,58.09,76.72,69.61,53.92,29.66,52.21,50.74,37.99,37.25,33.33,75.49,22.06,97.06,5.88,13.73,95.34,49.75,64.22,27.7,44.85,18.14,33.33,25.98,19.12,90.2,90.69,55.88,57.35,41.18,26.96,80.88,71.57,55.64,62.25,44.61,25.0,68.63,66.67,73.04,77.7,58.33,82.35,41.91,36.76,32.6,93.14,80.39,56.37
Augsburg,34,28.43,19.85,38.24,23.04,23.77,17.4,40.2,32.35,26.96,27.94,27.45,28.43,30.88,29.41,58.82,61.52,40.69,24.26,54.41,39.71,38.24,44.12,66.42,42.65,18.14,42.65,4.17,12.5,8.82,28.19,22.79,14.22,6.86,94.61,75.74,80.88,84.31,77.94,29.9,49.51,19.12,35.78,49.51,40.2,29.9,35.29,28.19,29.41,18.14,33.33,14.71,7.84,53.19,27.94,42.65,35.29,25.98,31.37,81.37,48.28,43.63,29.41,48.53,31.62,50.98,82.84,28.43,14.95,41.67,53.68,57.35,75.98,51.96,66.91,27.7,44.85,66.18,91.91,84.07,60.29,38.48,88.24,90.44,37.99,75.74,77.94,13.97,37.75,37.25,39.22,11.76,25.0,52.21,73.04,23.53,18.14,34.8,47.06,92.16,17.16,56.62,54.41,77.45,25.49
Auxerre,34,48.04,37.01,29.9,50.25,59.07,54.41,36.27,57.84,20.59,19.61,26.47,25.0,14.22,12.25,63.24,77.45,60.78,45.59,23.04,39.71,19.61,25.49,48.77,27.7,27.45,30.88,83.33,84.8,84.8,60.05,77.45,80.88,77.45,30.15,61.27,84.8,79.9,71.81,21.08,58.82,53.43,21.08,19.61,25.25,21.08,69.61,49.51,27.45,27.45,30.39,41.18,75.49,15.2,20.1,30.88,57.35,36.03,46.32,43.14,41.42,74.75,61.27,22.3,16.67,62.01,37.5,57.84,20.83,41.67,75.25,80.88,66.42,78.19,79.41,78.19,44.85,81.13,95.1,96.57,53.92,93.14,74.51,91.18,68.87,72.79,39.71,43.87,30.88,39.71,27.45,83.82,74.26,84.8,46.08,25.0,31.37,29.17,34.8,64.22,20.59,87.01,69.36,47.06,48.04
Barcelona,38,98.04,98.53,96.57,95.1,82.11,77.94,96.57,98.04,97.06,97.55,95.1,95.59,98.04,98.53,81.86,31.37,97.55,98.77,97.06,94.12,98.53,96.57,52.21,98.04,92.16,98.04,7.6,11.27,2.94,47.3,79.41,19.61,17.65,80.88,5.88,2.45,5.39,88.73,98.04,6.86,10.29,98.04,97.55,93.14,98.04,97.55,99.51,95.83,92.16,91.67,85.29,32.84,63.24,97.06,98.04,81.37,58.09,46.32,90.69,75.49,45.34,88.73,63.48,77.45,63.24,15.69,93.63,45.59,89.22,2.94,3.68,81.86,37.01,49.51,27.7,44.85,21.81,19.61,18.63,65.2,83.58,39.22,23.53,24.02,100.0,9.31,41.18,98.04,97.55,92.65,13.24,25.0,75.49,83.09,95.59,94.61,93.63,96.57,65.44,91.18,37.99,33.33,64.22,28.92
