Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Ajax,25.9,57.6,34,66,64.7,472,161,6,9,848,119,17383,20552,8076,8827,7590,8482,1297,2287,348,1346,415,63,1687,683,1678,469,254,196,189,84,238,420,182,344,276,714,25,24237,2455,7179,11271,5973,1054,24228,579,254,14664,485,180,512,283,17214,53,1,0,347,394,53,7,0,1,1408,546,409,32,114,83,16,0,0,0,0,35.0,187,447,1291,166,207,387,42,38
Almere City,25.4,42.9,34,21,34.1,416,110,0,0,729,34,9862,13528,4118,4898,4183,5141,1317,2744,313,953,268,98,1120,499,1106,525,333,258,193,74,248,484,236,332,334,935,11,17731,2197,5986,7348,4588,698,17731,613,268,9009,372,115,569,339,9745,53,3,0,360,287,31,0,0,4,1466,601,697,64,178,118,7,0,0,0,0,55.0,258,843,978,128,277,546,45,67
AZ Alkmaar,23.2,52.7,34,57,54.6,495,184,2,2,885,98,14381,17749,6105,6957,6568,7442,1362,2479,393,1272,355,68,1481,665,1468,618,359,226,287,105,300,576,276,366,302,775,17,21765,2041,6172,10017,5774,961,21763,601,270,12471,509,218,518,262,14233,56,4,1,354,348,44,1,3,2,1537,431,500,37,97,61,12,3,1,1,1,30.4,157,475,855,99,204,382,30,18
Feyenoord,24.5,57.3,34,71,61.4,551,198,6,6,981,121,15171,18307,5939,6682,7599,8517,1400,2412,426,1402,318,63,1603,785,1581,512,328,194,232,86,237,414,177,321,264,643,30,22144,2042,6572,10024,5766,1005,22138,710,293,12840,537,264,501,318,14957,46,2,1,284,405,39,3,3,0,1442,435,423,38,119,80,10,3,2,1,0,39.4,146,362,1281,148,207,318,20,89
Fortuna Sittard,26.4,44.4,34,36,41.3,353,101,4,6,627,65,10186,13653,4238,4915,4454,5393,1224,2638,250,784,204,89,945,488,930,557,344,288,194,75,298,569,271,363,327,968,12,17746,2122,6317,7670,3933,633,17740,549,256,8991,349,105,570,281,10070,69,3,2,397,355,41,6,4,0,1379,520,585,54,166,111,10,4,3,1,0,53.4,197,640,727,141,278,542,59,24
Go Ahead Eag,25.2,51.4,34,57,54.4,480,149,2,2,859,105,13562,16936,5772,6538,6126,7024,1384,2619,363,1088,346,64,1271,508,1260,452,274,224,170,58,206,401,195,349,187,1020,16,20701,2880,7701,8375,4794,840,20699,435,196,11670,381,139,444,272,13402,45,2,1,304,335,48,2,4,1,1371,452,469,55,169,115,9,4,4,0,0,46.5,123,433,1172,154,304,623,27,32
Groningen,24.4,46.9,34,39,37.6,361,137,5,6,634,66,11685,15369,4762,5645,5369,6347,1250,2586,270,1010,222,51,1160,395,1151,603,385,281,247,75,316,531,215,357,294,912,19,19550,2169,6228,9161,4330,581,19544,563,245,9997,357,88,574,316,11567,58,6,2,334,340,33,4,6,2,1467,594,649,53,147,95,7,6,5,1,0,52.6,254,756,1097,107,258,466,41,48
Heerenveen,24.2,53.2,34,41,43.3,446,138,5,6,784,72,14138,17581,6400,7220,6150,7116,1263,2377,330,1126,295,74,1404,566,1391,617,380,294,253,70,316,614,298,371,310,838,21,21790,2395,7390,9503,5119,765,21784,654,272,12073,403,145,579,309,14000,45,2,0,400,334,47,6,4,2,1582,462,544,57,171,116,6,4,4,0,0,61.4,147,482,1229,136,254,406,24,54
Heracles Almelo,24.4,45.4,34,42,41.8,378,122,5,5,657,70,10636,13958,4081,4762,4886,5717,1439,2735,278,949,197,66,1040,531,1029,608,373,313,233,62,269,535,266,439,303,1054,7,18279,2435,6720,7573,4186,639,18274,615,271,9382,343,150,516,292,10504,58,2,1,429,347,47,4,6,4,1439,561,499,63,185,126,6,6,6,0,0,58.1,264,710,1005,83,295,508,12,23
NAC Breda,25.2,45.0,34,34,38.8,389,124,3,3,667,55,11082,14526,4466,5222,4964,5873,1376,2628,286,859,197,70,1044,504,1035,604,365,309,233,62,298,559,261,411,300,1049,12,18696,2423,6815,7917,4152,637,18693,476,202,9605,414,107,493,277,10957,63,5,1,354,326,29,1,7,1,1422,624,568,58,172,115,5,7,7,0,0,57.4,202,451,916,150,307,541,25,29
NEC Nijmegen,25.2,48.6,34,51,44.7,434,144,3,3,746,89,12361,15869,4850,5605,5948,6871,1366,2692,304,1013,214,88,1101,514,1090,589,352,301,213,75,314,587,273,359,284,920,18,19903,2539,7171,8707,4234,685,19899,494,212,10797,378,117,525,273,12217,51,3,1,368,352,33,2,2,4,1271,513,570,46,166,124,10,2,2,0,0,52.2,173,598,1077,154,279,516,54,48
PSV Eindhoven,26.2,67.5,34,99,83.0,672,263,2,4,1250,185,19487,22971,8501,9371,8644,9677,1878,2856,551,1847,568,139,2237,952,2216,540,350,208,226,106,276,505,229,325,243,602,12,26739,1937,6464,12312,8189,1409,26735,635,306,15550,615,315,491,286,19273,34,1,0,283,264,43,2,2,0,1692,506,380,39,102,63,9,2,2,0,0,36.4,141,298,1145,127,179,309,20,49
