Team,Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Atalanta,27.1,55.3,38,76,65.0,538,181,5,7,966,131,17454,20998,7796,8669,7832,8892,1506,2528,425,1382,395,113,1824,897,1808,571,347,238,260,73,272,506,234,360,296,679,16,25020,2035,6907,11325,7007,1076,25013,645,257,15076,696,254,574,362,17329,67,1,1,435,393,54,5,2,2,1732,585,490,37,147,112,15,2,2,0,0,41.1,133,413,980,193,233,363,21,56
Bologna,26.4,58.1,38,56,49.3,505,166,6,7,913,103,15681,19336,6113,6881,7530,8561,1765,3072,384,1351,293,109,1468,639,1457,591,346,215,270,106,283,538,255,390,258,679,20,23304,2070,6703,10984,5817,831,23297,555,221,13684,422,167,598,361,15512,61,4,1,537,604,63,6,3,2,1516,579,616,47,106,60,12,3,2,1,0,40.3,171,467,1386,158,187,312,29,32
Cagliari,26.6,44.9,38,38,42.7,421,115,3,3,748,71,12092,15802,5258,6076,5403,6411,1218,2515,301,907,234,89,1150,506,1140,538,303,264,224,50,238,449,211,343,276,887,18,19802,2531,7637,8203,4166,645,19799,552,228,10679,339,115,585,294,11974,68,3,3,500,397,65,2,6,0,1522,606,600,56,153,97,7,6,6,0,0,54.8,232,597,999,165,336,540,28,36
Como,26.3,54.6,38,44,45.4,519,176,0,2,920,79,15917,19183,7607,8351,6561,7392,1286,2359,405,1150,279,60,1377,658,1371,663,412,301,260,102,303,591,288,348,279,788,19,23246,2359,7668,10461,5315,791,23244,622,264,14108,463,202,577,360,15729,87,7,3,503,518,65,1,7,0,1547,472,487,52,143,91,7,7,7,0,0,44.6,150,405,1164,163,205,433,29,65
Empoli,25.4,41.7,38,31,32.5,367,107,2,3,638,51,10093,13916,4015,4844,4558,5549,1180,2624,269,799,214,71,1013,428,1004,689,396,314,293,82,309,543,234,396,323,1072,21,18255,2279,6509,8088,3861,562,18252,505,212,8486,284,102,594,349,9986,68,5,2,570,459,57,3,3,1,1480,577,710,59,158,99,6,3,1,1,1,50.1,199,654,944,125,328,556,37,20
Fiorentina,26.3,51.0,37,55,48.9,429,160,6,8,799,100,14193,17510,5771,6478,6566,7504,1565,2733,336,984,244,74,1240,620,1226,531,311,267,195,69,248,488,240,353,269,911,17,21431,2419,7306,9857,4479,671,21423,600,270,12538,479,164,535,306,14051,81,3,2,429,541,85,6,3,1,1436,508,487,41,146,104,11,3,1,2,0,40.7,226,515,923,143,293,498,14,31
Genoa,26.2,45.6,38,35,37.2,383,117,0,2,657,61,12025,15727,4811,5621,5664,6683,1243,2515,285,737,201,78,980,470,967,672,385,281,287,104,283,566,283,422,308,938,15,20080,2523,7477,8829,3958,644,20078,505,187,10006,343,112,593,289,11902,71,1,0,497,448,55,1,8,3,1481,666,696,49,158,110,11,8,6,2,0,49.8,190,506,960,142,314,527,24,17
Hellas Verona,25.1,38.7,38,31,33.8,372,95,2,2,640,48,9854,13457,4411,5150,4092,4944,1079,2569,276,824,189,61,1011,449,998,672,434,326,271,75,311,592,281,393,329,987,23,17659,2055,5973,8025,3869,532,17657,508,228,8757,338,100,533,254,9765,98,9,5,579,352,55,1,4,1,1427,671,699,66,172,106,8,4,2,1,1,53.8,217,761,793,93,313,544,32,26
Inter,29.4,59.4,37,76,66.9,554,177,8,9,1028,133,19412,22592,8329,9108,8987,9926,1751,2661,434,1353,410,119,1730,694,1717,505,278,215,198,92,239,452,213,356,223,676,11,26215,2510,7834,12203,6361,1048,26206,407,158,16253,566,155,423,242,19251,56,1,1,407,394,88,6,4,1,1440,604,419,32,124,92,16,4,3,1,0,35.8,114,277,1364,151,202,437,17,17
Juventus,24.6,57.2,38,56,51.0,509,175,6,6,908,94,18259,21231,8378,9109,8078,8869,1473,2432,393,1390,305,67,1561,810,1548,606,353,273,245,88,263,471,208,404,215,723,27,25202,2320,7729,11766,5913,856,25196,658,309,15347,558,216,568,293,18089,67,3,1,480,378,52,3,5,0,1516,458,461,35,119,84,17,5,5,0,0,31.8,139,377,939,156,237,519,32,33
Lazio,27.1,55.1,38,60,57.2,528,185,6,7,954,103,16400,19521,6959,7646,7447,8298,1670,2729,403,1374,323,102,1588,774,1580,520,319,234,224,62,251,501,250,313,295,718,23,23200,2262,6760,11033,5654,928,23193,628,296,13530,587,189,469,310,16281,93,7,3,425,484,46,4,4,2,1439,473,491,49,119,72,9,4,4,0,0,39.4,188,498,1196,132,252,496,49,54
