Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Aaron Ramsdale,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,27,644,26.0,12.0,16.0,9.6,-2.4,0,21.0,78.0,209.0,42.0,6498.8,42.0,2123.9,108.0,7.0,9.0,156.5
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,30,1620,114.0,27.0,86.0,32.9,5.9,5,103.0,265.0,554.0,56.0,18950.0,110.0,4204.0,278.0,8.0,32.0,561.9
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,1440,77.0,22.0,55.0,21.9,-0.1,4,125.0,297.0,449.0,53.0,17630.3,93.0,4883.6,248.0,19.0,5.0,79.6
Alban Lafont,Panathinaikos,UEFA Europa League,GK,Goalkeeper,FRA,26,360,11.0,3.0,8.0,3.7,0.7,2,14.0,49.0,109.0,15.0,3846.4,16.0,918.9,51.0,2.0,2.0,27.6
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,33,810,31.0,10.0,21.0,11.5,1.5,5,57.0,169.0,260.0,37.0,9921.5,59.0,3145.4,132.0,6.0,14.0,257.9
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,360,12.0,4.0,8.0,3.7,-0.3,2,5.0,14.0,85.0,12.0,2191.4,24.0,569.3,20.0,1.0,6.0,124.9
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,29,1890,84.0,27.0,58.0,24.9,-2.1,8,114.0,266.0,759.0,93.0,24444.6,70.0,2857.5,238.0,17.0,36.0,665.5
Alexander Schlager,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,29,450,33.0,11.0,20.0,12.1,1.1,0,42.0,94.0,184.0,22.0,6674.7,30.0,1642.6,87.0,1.0,1.0,12.5
Alexandros Paschalakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,36,90,1.0,0.0,1.0,0.1,0.1,1,2.0,3.0,14.0,1.0,379.4,8.0,246.4,1.0,0.0,4.0,84.8
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,33,1585,56.0,21.0,35.0,20.3,-0.7,6,46.0,144.0,592.0,82.0,17273.9,40.0,1125.9,221.0,16.0,20.0,344.7
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,1440,89.0,30.0,60.0,27.2,-2.8,0,91.0,309.0,365.0,76.0,14656.9,145.0,8006.5,283.0,13.0,1.0,31.0
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,540,23.0,11.0,12.0,9.2,-1.8,0,29.0,94.0,173.0,17.0,6473.6,18.0,876.0,62.0,4.0,7.0,131.7
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,540,26.0,8.0,19.0,9.0,1.0,2,16.0,70.0,147.0,20.0,4960.9,25.0,928.4,82.0,7.0,2.0,40.3
Andreas Linde,Häcken,UEFA Europa Conference League,GK,Goalkeeper,SWE,32,90,10.0,1.0,9.0,3.0,2.0,0,3.0,7.0,30.0,9.0,810.0,3.0,72.9,13.0,0.0,2.0,33.6
Andriy Lunin,Real Madrid,UEFA Champions League,GK,Goalkeeper,UKR,26,90,8.0,3.0,5.0,2.6,-0.4,0,0.0,9.0,44.0,8.0,1086.8,6.0,243.0,17.0,0.0,1.0,19.0
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,35,1438,86.0,26.0,61.0,25.9,-0.1,3,72.0,187.0,541.0,75.0,17466.3,64.0,2290.5,278.0,13.0,18.0,362.0
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,540,33.0,11.0,22.0,8.2,-2.8,1,18.0,45.0,215.0,39.0,6144.9,15.0,565.3,93.0,2.0,5.0,82.9
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,1620,67.0,21.0,46.0,22.1,1.1,3,129.0,332.0,363.0,56.0,15644.7,145.0,8528.1,243.0,11.0,12.0,217.4
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,180,12.0,3.0,9.0,3.7,0.7,1,5.0,22.0,39.0,8.0,1443.0,12.0,611.2,32.0,1.0,1.0,21.7
