Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aaron Ramsdale,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,644,27,31,26,48,17,14,20,34,48,93,34,62,69,71,70,64,59,1,26,18,66,72
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1710,88,46,92,78,90,55,78,63,57,22,63,69,56,72,24,83,82,1,82,81,21,58
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,1530,68,46,74,53,39,48,94,87,39,29,67,70,81,73,82,14,14,1,62,87,74,32
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,360,12,89,19,16,76,87,35,47,37,42,47,26,49,40,33,17,15,1,71,25,35,85
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,990,27,58,29,53,73,81,89,83,53,47,77,67,78,53,60,79,75,1,39,69,62,88
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,15,76,19,16,37,87,3,1,8,20,2,65,17,1,14,70,77,1,46,61,48,38
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1980,39,58,49,37,41,72,71,50,81,69,79,14,15,25,60,75,74,1,58,87,73,48
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,450,91,11,84,92,79,14,94,86,83,63,91,65,79,88,12,10,9,1,25,92,11,64
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1,98,4,1,69,97,9,1,1,1,1,87,54,0,5,99,98,1,98,99,5,3
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1675,18,68,22,29,52,74,17,16,70,72,50,4,4,38,70,54,49,1,40,45,77,73
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,1530,83,23,80,75,31,14,71,88,14,76,34,93,94,90,60,8,10,1,48,23,44,48
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,34,25,19,62,22,14,62,68,46,17,66,10,20,16,48,58,60,1,13,36,66,43
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,540,52,55,66,60,75,66,17,42,24,30,25,30,22,53,85,13,15,1,73,7,82,90
Andreas Linde,SWE,Häcken,UEFA Europa Conference League,GK,Goalkeeper,32,90,99,76,100,97,100,14,23,9,51,99,23,10,5,43,5,85,81,1,96,88,5,94
Andriy Lunin,UKR,Real Madrid,UEFA Champions League,GK,Goalkeeper,26,90,96,4,94,93,15,14,1,21,96,99,67,65,52,85,5,47,52,1,28,0,5,36
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1438,80,34,81,70,48,39,55,42,73,74,69,28,19,88,59,56,61,1,64,76,45,52
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,540,82,25,79,50,11,36,23,12,80,94,56,6,9,75,19,36,34,1,48,81,13,12
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,1710,30,60,33,41,55,34,91,86,6,28,31,87,93,42,43,26,29,1,43,73,46,69
Antonis Tsiftsis,GRE,PAOK,UEFA Europa League,GK,Goalkeeper,26,180,86,42,90,79,89,87,14,36,4,50,12,65,73,78,33,17,28,1,77,7,25,76
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,27,1710,75,56,82,57,70,45,76,72,50,87,61,72,78,76,100,32,29,1,83,60,98,51
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,39,17,19,34,4,14,35,78,19,3,29,91,96,82,55,64,54,1,9,5,43,8
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,180,15,42,8,85,95,14,64,36,76,67,64,16,11,2,33,85,89,1,9,93,81,99
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,2250,24,66,31,31,55,62,78,67,68,43,88,22,29,40,44,61,64,1,50,71,50,62
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,630,15,89,27,9,58,79,59,64,17,24,29,90,86,80,25,9,8,1,85,36,19,23
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,1890,43,55,51,51,60,48,18,29,94,61,81,7,12,39,42,63,57,1,58,13,46,80
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,540,34,55,35,24,25,36,14,10,30,67,7,75,51,94,5,47,54,1,41,57,5,19
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa League,GK,Goalkeeper,28,180,72,17,59,83,52,14,73,76,67,90,91,26,47,22,33,4,4,1,23,46,43,83
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,1890,31,61,30,65,87,66,41,34,74,18,54,21,21,45,25,61,56,1,32,59,26,93
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,1890,35,47,36,41,30,48,30,43,76,60,58,58,53,57,48,28,26,1,41,19,46,54
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,72,7,28,69,2,66,44,11,10,8,7,10,8,8,48,77,83,1,6,97,74,7
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,1530,51,48,52,53,48,58,37,41,79,56,73,63,31,68,45,68,79,1,42,38,40,53
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,27,1890,39,55,41,37,34,48,82,73,70,76,77,41,63,74,65,56,50,1,41,66,56,32
Christian Zawieschitzky,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,18,90,4,98,19,2,77,97,23,36,64,5,49,10,1,95,5,4,4,1,98,20,5,3
Dani van den Heuvel,NED,Club Brugge,UEFA Champions League,GK,Goalkeeper,22,90,99,4,99,98,94,14,80,27,60,82,50,45,37,95,76,4,4,1,61,98,51,86
Daniel Batz,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,34,540,72,76,87,85,98,66,75,80,48,15,65,40,58,61,62,47,57,1,94,44,58,99
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,33,1440,65,31,64,70,37,39,69,70,98,14,95,43,43,54,33,65,63,1,34,54,31,47
Daniele Padelli,ITA,Udinese,Italian Serie A,GK,Goalkeeper,40,180,4,76,8,7,22,14,5,36,62,50,40,26,37,58,5,70,71,1,77,2,5,92
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,28,176,87,14,86,78,27,14,99,100,92,0,98,82,90,94,5,52,42,1,45,73,5,32
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,2430,7,91,10,6,48,92,61,62,68,77,72,19,32,12,69,80,85,1,81,50,91,15
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,1710,57,56,69,30,30,45,97,98,22,2,84,77,90,26,16,72,80,1,72,67,15,21
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,35,2160,55,51,59,44,39,45,49,48,38,42,38,51,44,49,22,36,41,1,51,55,23,34
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,2250,29,70,39,34,71,72,56,77,31,48,54,79,83,56,27,34,40,1,63,16,28,75
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,1440,83,10,69,88,46,14,95,96,97,67,100,78,82,74,93,70,60,1,22,71,85,81
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,540,72,9,35,79,11,36,51,79,36,44,60,40,60,64,85,17,17,1,9,10,80,21
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,540,6,86,8,5,19,66,35,17,74,88,32,30,14,5,19,77,71,1,57,84,35,11
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,180,10,76,8,19,52,87,5,7,39,5,19,10,2,11,94,91,91,1,23,7,98,83
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,1530,23,82,33,24,73,91,29,18,77,38,44,7,11,27,56,81,79,1,60,67,66,49
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,540,72,7,35,81,5,14,73,60,28,20,35,65,69,24,5,77,70,1,9,75,5,25
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,450,88,28,91,74,35,14,39,46,34,43,31,77,49,52,23,74,74,1,75,39,24,37
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,33,1304,62,37,63,60,36,45,69,74,31,50,62,59,77,27,23,56,56,1,49,44,29,56
Dávid Gróf,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,36,90,4,76,4,53,91,14,64,21,28,5,22,1,3,8,5,4,4,1,9,98,5,100
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,450,26,76,39,8,24,42,92,75,26,31,36,77,84,92,41,23,20,1,70,92,26,6
Ed McGinty,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,26,540,82,13,70,88,52,14,47,57,1,15,10,91,89,56,19,13,13,1,24,30,16,82
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,540,13,86,19,12,52,87,80,68,75,40,86,71,64,49,85,77,86,1,64,73,84,41
Edoardo Corvi,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,720,26,76,41,25,67,52,44,40,62,94,45,69,49,98,76,70,66,1,70,57,44,55
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,1800,77,42,79,72,75,33,58,52,35,64,45,62,46,50,94,47,52,1,65,61,94,71
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,540,65,86,84,21,79,87,69,61,79,99,82,61,55,64,85,66,64,1,93,65,80,17
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,1440,82,57,87,44,52,60,68,91,94,91,96,65,73,84,93,25,20,1,83,11,82,18
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1755,27,81,41,21,62,55,57,49,90,46,80,13,19,38,91,31,36,1,68,64,91,37
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,450,39,50,51,40,32,42,48,33,64,70,42,15,28,7,58,85,85,1,61,78,87,60
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,180,39,76,59,17,41,14,9,12,3,82,6,10,4,11,5,4,4,1,77,16,5,16
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,450,48,76,67,20,57,76,30,30,18,91,17,94,76,77,88,23,19,1,84,35,75,20
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,990,62,58,72,66,86,38,61,69,96,80,94,60,59,28,16,85,87,1,71,34,16,86
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,263,9,52,5,34,29,14,39,17,71,23,33,12,13,28,5,88,85,1,4,90,5,53
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1440,56,17,32,72,19,39,76,83,88,25,90,75,82,41,51,90,89,1,14,40,53,41
Florian Wiegele,AUT,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,24,180,72,98,94,34,99,97,93,81,67,12,81,37,57,58,33,47,44,1,98,91,30,83
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,360,58,93,81,49,98,87,31,47,15,85,17,26,40,90,55,11,11,1,94,15,37,88
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,810,60,17,37,55,8,66,86,85,54,40,82,57,64,50,57,21,30,1,16,56,58,14
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,1440,56,38,51,64,46,52,83,89,40,58,64,79,88,67,90,30,35,1,31,33,85,58
Gabriel Kobylak,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,90,4,76,4,4,7,14,1,2,3,20,1,0,0,2,98,47,34,1,9,0,100,3
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1800,66,69,82,44,78,59,37,24,71,79,45,20,17,17,96,94,93,1,88,66,98,46
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,2070,12,86,14,14,64,79,13,8,29,28,11,6,10,19,27,32,39,1,53,53,41,57
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,755,51,28,30,44,10,72,33,31,59,76,44,33,28,10,13,73,84,1,14,48,17,13
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,360,4,89,6,9,52,52,64,57,37,85,38,76,82,54,33,30,44,1,28,61,31,78
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,1980,30,58,35,37,41,77,28,28,52,43,46,21,15,35,18,60,62,1,48,37,19,57
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,662,54,34,54,69,43,57,84,87,45,54,74,77,87,80,82,62,53,1,42,49,68,84
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,2430,42,60,50,43,60,77,56,62,80,63,82,36,35,48,57,82,82,1,55,41,60,61
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1530,18,57,15,36,37,71,59,47,23,23,26,35,39,62,76,41,45,1,22,70,70,68
Günay Güvenç,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,34,23,37,2,1,98,15,14,1,0,78,47,15,98,71,29,5,98,100,1,0,0,5,0
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,270,93,7,88,96,86,14,80,87,95,72,94,81,85,84,98,28,22,1,26,42,95,92
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,540,52,76,66,57,92,66,73,60,75,12,75,20,21,69,33,9,10,1,73,75,27,84
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,540,95,25,97,87,81,14,54,36,36,44,38,61,45,14,33,47,52,1,81,83,48,45
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1350,77,70,84,62,93,66,32,38,43,84,39,68,46,75,97,28,22,1,86,27,96,71
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,2070,49,68,62,32,62,46,13,25,8,86,9,85,72,62,45,21,22,1,69,12,42,34
Ivan Filipović,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,31,180,93,3,84,91,1,14,5,12,84,97,33,53,36,17,76,70,60,1,17,5,89,29
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,15,42,11,11,6,14,54,53,96,27,83,26,24,30,55,85,84,1,19,52,65,9
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1800,48,87,73,29,88,87,48,42,59,53,56,47,42,47,52,38,47,1,92,63,52,58
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,180,58,42,59,43,27,87,2,4,19,82,2,16,27,32,5,47,56,1,46,3,5,28
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,1080,72,47,77,72,83,66,46,61,99,55,97,30,19,43,24,89,88,1,67,23,26,83
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,540,63,25,44,77,46,14,88,63,51,78,70,16,31,22,76,77,81,1,18,91,86,66
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,90,42,94,90,98,87,98,93,28,2,61,87,91,14,33,85,76,1,86,92,48,96
James Trafford,ENG,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,360,50,42,48,77,84,52,14,24,55,27,30,22,26,5,33,100,98,1,38,13,62,95
