Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ARG,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,20,518,0.17,0.17,0.52,0.35,0.07,0.07,0.0,0.0,0.52,0.17,0.17,6.78,0.17,0.0,0.35,0.02,0.05,54.21,61.51,5.39,0.0,0.52,1.39,0.17,59.59,1.74,1.04,20.33,22.41,30.93,33.71,2.78,3.82,968.28,312.05,36.83,1.56,182.08,121.8,1.04,0.0,0.35,0.17,0.17,2.26,2.26,1.39,0.35,0.52,1.22,2.78,1.56,1.39,1.22,0.35,3.47,0.17,5.04,0.52,0.35,0.87,51.25,0.69,73.67,3.3,21.72,45.0,6.95,1.22,73.67,0.0,0.0,0.0,1.39,0.52,0.0,0.0,0.0,0.0,2.43,1.74,4.17,7.64,0.69,1.39,3.47,0.1,1,0.17,58.27,0.0,90.72,91.75,72.77,69.05,48.57
Aaron Bouwman,NED,Ajax,UEFA Champions League,CB,Defender,18,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,13.0,13.0,34.0,36.0,4.0,5.0,1007.0,291.0,45.0,0.0,233.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,70.0,12.0,43.0,26.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,50.0,0.0,100.0,94.44,80.0,100.0,0.0
Aaron Greene,IRL,Shamrock Rovers,UEFA Europa Conference League,AM,Forward,35,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.88,31.76,0.0,0.0,0.0,10.59,0.0,31.76,0.0,0.0,10.59,10.59,0.0,5.29,0.0,0.0,74.12,0.0,26.47,0.0,137.65,10.59,5.29,0.0,10.59,0.0,10.59,5.29,5.29,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,5.29,10.59,15.88,31.76,10.59,63.53,0.0,0.0,10.59,52.94,5.29,63.53,0.0,0.0,0.0,5.29,0.0,10.59,0.0,0.0,0.0,0.0,5.29,5.29,10.59,0.0,5.29,5.29,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
Aaron Hickey,SCO,Brentford,English Premier League,LB,Defender,23,505,0.0,0.0,0.71,0.18,0.05,0.05,0.0,0.0,1.07,0.0,0.0,2.14,0.53,0.0,0.71,0.0,0.0,35.64,44.2,2.5,0.0,0.0,1.07,0.0,36.89,7.31,0.89,17.47,18.89,15.15,18.53,2.14,4.46,571.01,168.06,22.1,0.53,105.15,40.46,0.36,0.0,1.07,0.0,1.07,1.6,0.89,1.07,0.36,0.18,0.89,1.78,0.89,1.25,1.25,0.36,3.03,0.0,4.63,1.43,0.71,2.14,30.3,1.96,56.32,2.67,19.07,27.98,9.62,1.43,56.32,0.18,0.0,0.0,0.89,0.71,0.0,0.0,0.0,0.0,1.6,1.25,2.85,4.99,1.07,1.96,1.78,-0.05,1,0.0,56.14,0.0,92.48,81.76,47.98,52.66,0.0
Aaron McEneff,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,30,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,19.48,22.84,2.01,0.0,0.0,0.67,0.0,19.48,3.36,0.0,7.39,7.39,9.4,10.07,2.69,4.7,366.72,73.21,7.39,0.0,37.61,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.34,1.34,0.0,0.67,0.0,2.69,0.67,0.0,0.67,14.78,1.34,28.88,1.34,10.75,12.09,6.04,0.0,28.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.67,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0,93.35,57.23,0.0,0.0
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,28,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.89,2.31,1.07,0.62,1.78,0.05,0.05,34.63,45.13,3.29,0.09,0.09,1.16,0.09,35.25,9.79,0.27,21.54,24.39,10.15,13.89,1.78,3.38,485.61,186.68,24.48,2.14,143.95,72.91,1.34,0.09,1.96,0.89,0.89,1.25,0.8,0.53,0.62,0.09,0.53,0.98,0.45,1.87,1.16,0.18,5.16,0.09,2.67,1.16,0.71,1.87,29.91,4.45,57.69,4.18,18.34,22.7,17.09,0.8,57.69,0.18,0.0,0.0,0.98,0.62,0.09,0.0,0.0,0.0,0.98,0.8,1.78,9.88,1.78,2.58,1.34,0.0,1,0.0,55.06,0.0,88.31,73.07,52.66,59.64,45.41
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,21,988,0.18,0.0,0.73,0.27,0.05,0.05,0.0,0.0,2.0,0.09,1.18,1.64,1.0,0.73,1.64,0.1,0.07,36.44,45.36,1.64,0.09,0.0,1.37,0.18,36.8,8.38,0.36,14.94,16.58,16.49,19.31,4.46,7.47,679.55,228.46,26.51,1.28,96.92,53.11,1.0,0.18,0.36,0.27,0.09,0.91,0.64,0.36,0.46,0.09,0.55,1.0,0.46,1.46,1.09,0.55,3.37,0.0,4.19,0.64,0.0,0.64,29.24,2.1,54.38,3.83,23.78,20.5,10.38,0.82,54.38,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.64,1.18,1.82,5.01,2.1,2.73,1.18,0.14,1,0.18,35.16,0.0,90.11,85.4,59.71,62.3,75.0
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,28,1215,0.07,0.22,0.37,0.22,0.01,0.01,0.0,0.0,4.67,0.3,3.33,2.89,1.19,0.81,8.0,0.25,0.38,36.96,52.74,3.78,0.15,0.15,0.96,0.37,35.7,16.67,3.78,14.96,17.11,16.67,21.19,4.96,12.37,695.7,310.15,28.07,0.89,138.37,54.15,0.74,0.0,1.33,0.59,0.74,1.85,1.26,0.74,1.04,0.07,0.67,0.81,0.15,0.59,1.04,0.52,2.07,0.0,3.41,0.81,0.67,1.48,32.22,3.56,60.67,2.22,16.15,26.52,18.44,0.37,60.67,0.15,0.0,0.0,0.89,0.96,0.0,0.0,0.0,0.0,0.3,1.11,1.41,8.22,4.96,2.37,1.93,0.06,1,0.07,21.28,0.0,87.43,78.67,40.1,72.56,44.36
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,1125.0,0.0,45.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,157,0.57,0.0,2.29,1.72,0.17,0.17,0.0,0.0,2.87,0.0,1.15,1.15,1.15,0.57,1.15,0.06,0.06,18.92,26.94,1.72,0.57,0.0,1.72,0.0,26.94,0.0,0.0,12.04,15.48,5.73,7.45,0.57,1.15,257.96,33.25,17.2,1.72,125.54,41.27,2.29,0.57,1.15,0.0,1.15,2.29,1.72,1.15,0.0,1.15,0.57,1.72,1.15,0.0,1.15,0.0,3.44,0.0,2.87,5.73,0.57,6.31,30.38,8.6,47.58,0.57,7.45,19.49,22.36,4.01,47.58,1.15,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,2.29,1.72,4.01,12.04,2.87,6.31,2.29,0.4,1,0.57,57.11,0.0,77.78,76.91,49.57,57.11,0.0
