Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Aaron Ramsdale,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,644,1,45,37
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1620,1,67,65
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,1440,1,47,72
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,360,1,73,33
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,810,1,76,62
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,1,42,26
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1890,1,44,77
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,450,1,59,86
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1,39,36
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1585,1,55,44
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,1440,1,37,50
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,1,33,43
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,540,1,78,17
Andreas Linde,SWE,Häcken,UEFA Europa Conference League,GK,Goalkeeper,32,90,1,88,62
Andriy Lunin,UKR,Real Madrid,UEFA Champions League,GK,Goalkeeper,26,90,1,28,33
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1438,1,52,68
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,540,1,19,64
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,1620,1,61,61
Antonis Tsiftsis,GRE,PAOK,UEFA Europa League,GK,Goalkeeper,26,180,1,75,16
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,27,1530,1,62,62
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,1,11,17
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,180,1,80,76
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,2160,1,59,67
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,630,1,42,38
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,1800,1,63,37
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,540,1,24,40
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa League,GK,Goalkeeper,28,180,1,59,66
