Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Ramsdale,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,27,35.66,644,8,4.46
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,30,132.95,1710,19,7.0
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,105.83,1530,17,6.23
Alban Lafont,Panathinaikos,UEFA Europa League,GK,Goalkeeper,FRA,26,23.36,360,4,5.84
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,33,70.33,990,11,6.39
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,19.58,360,4,4.89
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,29,129.64,1980,22,5.89
Alexander Schlager,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,29,32.03,450,5,6.41
Alexandros Paschalakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,36,5.33,90,1,5.33
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,33,101.45,1675,19,5.34
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,94.43,1530,17,5.55
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,29.79,540,6,4.96
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,34.81,540,6,5.8
Andreas Linde,Häcken,UEFA Europa Conference League,GK,Goalkeeper,SWE,32,8.38,90,1,8.38
Andriy Lunin,Real Madrid,UEFA Champions League,GK,Goalkeeper,UKR,26,4.19,90,1,4.19
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,35,95.6,1438,16,5.98
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,28.98,540,6,4.83
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,112.6,1710,19,5.93
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,12.74,180,2,6.37
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,27,120.53,1710,19,6.34
Arnau Tenas,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,15.49,360,4,3.87
Arnaud Bodart,Lille,French Ligue 1,GK,Goalkeeper,BEL,27,13.54,180,2,6.77
Augusto Batalla,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ARG,29,145.51,2250,25,5.82
Baboucarr Gaye,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,GAM,27,38.6,630,7,5.51
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,117.15,1890,21,5.58
Bartosz Mrozek,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,POL,25,28.32,540,6,4.72
Bartłomiej Drągowski,Panathinaikos,UEFA Europa League,GK,Goalkeeper,POL,28,11.54,180,2,5.77
Berke Özer,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,TUR,25,126.97,1890,21,6.05
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,111.2,1890,21,5.3
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,13.21,270,3,4.4
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,96.6,1530,17,5.68
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,27,121.8,1890,21,5.8
Christian Zawieschitzky,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,18,5.81,90,1,5.81
Dani van den Heuvel,Club Brugge,UEFA Champions League,GK,Goalkeeper,NED,22,7.92,90,1,7.92
