Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Anselmino,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,ARG,20,33.9,518,8,4.24
Aaron Bouwman,Ajax,UEFA Champions League,CB,Defender,NED,18,4.7,90,1,4.7
Aaron Greene,Shamrock Rovers,UEFA Europa Conference League,AM,Forward,IRL,35,4.0,17,2,2.0
Aaron Hickey,Brentford,English Premier League,LB,Defender,SCO,23,47.3,505,12,3.94
Aaron McEneff,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,IRL,30,5.9,134,3,1.97
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,ENG,27,37.8,651,8,4.72
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,COD,28,20.5,360,4,5.12
Aaron Zehnter,Wolfsburg,German Bundesliga,LB,Defender,GER,21,52.4,988,11,4.76
Aarón Martín,Genoa,Italian Serie A,WB,Midfielder,ESP,28,66.1,1215,15,4.41
Abakar Sylla,Strasbourg,French Ligue 1,CB,Defender,CIV,23,1.6,2,1,1.6
Abdallah Sima,Lens,French Ligue 1,AM,Forward,SEN,24,23.3,157,7,3.33
Abde Ezzalzouli,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,MAR,23,106.1,1135,17,6.24
Abde Rebbach,Alavés,Spanish La Liga,LM,Midfielder,ALG,27,61.9,706,13,4.76
Abdel Abqar,Getafe,Spanish La Liga,CB,Defender,MAR,26,38.5,690,10,3.85
Abdelhamid Ait Boudlal,Rennes,French Ligue 1,CB,Defender,MAR,19,40.5,648,9,4.5
Abdelhamid Sabiri,Fiorentina,Italian Serie A,CM,Midfielder,MAR,28,5.4,27,1,5.4
Abdellah Zoubir,Qarabağ,UEFA Champions League,AM,Forward,FRA,34,35.1,523,6,5.85
Abderrahman Rebbach,Alavés,Spanish La Liga,CM,Midfielder,ALG,27,11.5,47,2,5.75
Abdou Harroui,Hellas Verona,Italian Serie A,CM,Midfielder,NED,27,22.3,176,9,2.48
Abdoul Coulibaly,Werder Bremen,German Bundesliga,CB,Defender,GER,18,67.5,1130,14,4.82
Abdoul Ouattara,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CM,Midfielder,FRA,20,57.5,922,14,4.11
Abdoulaye Bamba,Angers,French Ligue 1,CB,Defender,CIV,35,6.0,100,2,3.0
Abdoulaye Faye,Lorient,French Ligue 1,CB,Defender,SEN,21,33.6,573,7,4.8
Abdoulaye Niakhate Ndiaye,Parma,Italian Serie A,CB,Defender,SEN,23,34.0,496,7,4.86
Abdoulaye Sylla,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,GUI,25,27.3,540,6,4.55
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,31,43.1,741,11,3.92
Abdoulie Ceesay,St. Pauli,German Bundesliga,AM,Forward,GAM,21,17.8,192,10,1.78
Abdukodir Khusanov,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,UZB,21,40.8,446,8,5.1
Abdulai Juma Bah,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,SLE,19,64.0,1170,15,4.27
Abdón Prats,Mallorca,Spanish La Liga,AM,Forward,ESP,33,14.3,75,7,2.04
Abdülkerim Bardakcı,Galatasaray,UEFA Champions League,CB,Defender,TUR,31,22.0,450,5,4.4
Abel,Osasuna,Spanish La Liga,WB,Midfielder,ESP,24,4.9,89,1,4.9
Abel Bretones,Osasuna,Spanish La Liga,LB,Midfielder,ESP,25,62.4,1245,14,4.46
Abel Ruiz,Girona,Spanish La Liga,AM,Forward,ESP,25,8.1,37,3,2.7
Abner,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,BRA,25,65.6,1098,15,4.37
Aboubaka Soumahoro,Hamburger SV,German Bundesliga,CB,Defender,FRA,20,11.4,136,4,2.85
Aboubakary Koita,AEK Athens,UEFA Europa Conference League,AM,Forward,MTN,27,29.8,382,6,4.97
Abu Kamara,Getafe,Spanish La Liga,RM,Midfielder,ENG,22,22.8,196,9,2.53
Achraf Hakimi,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,MAR,27,64.2,970,13,4.94
Adam Boayar,Elche,Spanish La Liga,AM,Forward,MAR,20,6.2,20,3,2.07
Adam Buksa,Udinese,Italian Serie A,AM,Forward,POL,29,33.5,492,14,2.39
Adam Daghim,Wolfsburg,German Bundesliga,RW,Forward,DEN,20,37.7,549,9,4.19
Adam Dźwigała,St. Pauli,German Bundesliga,CB,Defender,POL,30,46.5,588,9,5.17
Adam Gabriel,Midtjylland,UEFA Europa League,RB,Defender,CZE,24,3.7,21,1,3.7
Adam Gnezda Čerin,Panathinaikos,UEFA Europa League,DM,Midfielder,SVN,26,26.4,322,5,5.28
Adam Hložek,Hoffenheim,German Bundesliga,AM,Forward,CZE,23,5.5,24,3,1.83
Adam Karabec,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,CZE,22,97.8,1043,21,4.66
Adam Kölle,Heidenheim,German Bundesliga,CB,Defender,GER,19,12.0,76,5,2.4
Adam Lundqvist,Häcken,UEFA Europa Conference League,LB,Defender,SWE,31,28.9,533,6,4.82
Adam Marušić,Lazio,Italian Serie A,RB,Defender,MNE,33,77.9,1399,17,4.58
Adam Masina,Torino,Italian Serie A,CB,Defender,MAR,31,19.9,235,5,3.98
Adam Matthews,Shamrock Rovers,UEFA Europa Conference League,WB,Midfielder,WAL,33,14.6,192,3,4.87
Adam Obert,Cagliari,Italian Serie A,WB,Defender,SVK,23,77.1,1180,16,4.82
Adam Sevinsky,Sparta Prague,UEFA Europa Conference League,CB,Defender,CZE,21,24.0,450,5,4.8
Adam Smith,Bournemouth,English Premier League,RB,Defender,ENG,34,25.6,523,10,2.56
Adam Wharton,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,ENG,21,120.7,1714,23,5.25
Adama Boiro,Athletic Club,"Spanish La Liga, UEFA Champions League",LB,Defender,ESP,23,41.4,700,10,4.14
Adama Camara,Paris FC,French Ligue 1,CM,Midfielder,FRA,29,58.2,1065,14,4.16
Adama Camara,Paris FC,French Ligue 1,CM,Midfielder,MLI,33,0.2,88,1,0.2
Adama Traoré,Fulham,English Premier League,RW,Forward,ESP,29,40.1,272,14,2.86
Adamu Alhassan,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,NGA,25,24.6,340,6,4.1
Adem Zorgane,Union SG,UEFA Champions League,CM,Midfielder,ALG,25,30.2,533,6,5.03
Ademola Lookman,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,NGA,28,100.4,1145,16,6.28
Adil Aouchiche,Aberdeen,UEFA Europa Conference League,CM,Midfielder,FRA,23,27.2,374,5,5.44
Adil Hamdani,Lyon,French Ligue 1,RW,Forward,FRA,16,2.6,6,1,2.6
Adilet Sadybekov,Qaırat Almaty,UEFA Champions League,DM,Midfielder,KAZ,23,8.0,44,3,2.67
Adnan Januzaj,Sevilla,Spanish La Liga,RW,Forward,BEL,30,37.8,234,9,4.2
Adrian Beck,Heidenheim,German Bundesliga,AM,Forward,GER,28,42.9,522,12,3.58
Adrian Benedyczak,Parma,Italian Serie A,AM,Forward,POL,25,31.7,432,11,2.88
Adrian Bernabe,Parma,Italian Serie A,CM,Midfielder,ESP,24,93.3,1364,17,5.49
Adrian Blake,Utrecht,UEFA Europa League,LW,Forward,ENG,20,21.6,166,5,4.32
Adrian Leon Barišić,Basel,UEFA Europa League,CB,Defender,BIH,24,15.4,271,4,3.85
Adrian Rus,CS U Craiova,UEFA Europa Conference League,CB,Defender,ROU,29,22.4,450,5,4.48
Adrian Skogmar,Malmö,UEFA Europa League,CM,Forward,SWE,20,19.7,439,6,3.28
Adrian Svanbäck,Häcken,UEFA Europa Conference League,RW,Forward,FIN,21,30.6,399,6,5.1
Adrian Zeljković,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,SVN,23,14.6,95,6,2.43
Adrian Șut,FCSB,UEFA Europa League,DM,Midfielder,ROU,26,14.8,270,4,3.7
Adriano,Raków,UEFA Europa Conference League,LM,Midfielder,BRA,23,30.3,419,6,5.05
Adrien Rabiot,"Marseille, Milan","French Ligue 1, Italian Serie A",CM,Midfielder,FRA,30,49.6,990,11,4.51
Adrien Tameze,Torino,Italian Serie A,CB,Defender,CMR,31,56.7,877,17,3.34
Adrien Thomasson,Lens,French Ligue 1,CM,Midfielder,FRA,32,78.0,1432,16,4.88
