Player,Game Week,Position,Team,League,Minutes,Rate
Pierluigi Gollini,J1,GK,Genoa,Serie A,90,6.68
Yann Sommer,J1,GK,Inter,Serie A,90,5.33
Michele Di Gregorio,J1,GK,Juventus,Serie A,90,7.24
Pepe Reina,J1,GK,Como,Serie A,90,4.45
Federico Ravaglia,J11,GK,Bologna,Serie A,90,6.95
Wladimiro Falcone,J11,GK,Lecce,Serie A,90,6.54
Robert Sánchez,J1,GK,Chelsea,Premier League,90,4.73
Ederson,J1,GK,Manchester City,Premier League,90,8.33
Mads Hermansen,J1,GK,Leicester City,Premier League,90,6.76
Guglielmo Vicario,J1,GK,Tottenham,Premier League,90,6.43
Jason Steele,J2,GK,Brighton,Premier League,90,5.99
André Onana,J2,GK,Manchester Utd,Premier League,90,6.1
Ederson,J2,GK,Manchester City,Premier League,90,5.0
Arijanet Muric,J2,GK,Ipswich Town,Premier League,90,4.35
Alex McCarthy,J2,GK,Southampton,Premier League,90,6.73
Matz Sels,J2,GK,Nott'ham Forest,Premier League,90,7.53
Guglielmo Vicario,J2,GK,Tottenham,Premier League,90,7.11
Jordan Pickford,J2,GK,Everton,Premier League,90,4.41
Bernd Leno,J2,GK,Fulham,Premier League,90,7.42
Mads Hermansen,J2,GK,Leicester City,Premier League,90,5.47
Dean Henderson,J2,GK,Crystal Palace,Premier League,90,4.35
Alphonse Areola,J2,GK,West Ham,Premier League,90,8.2
Emiliano Martínez,J2,GK,Aston Villa,Premier League,90,4.92
David Raya,J2,GK,Arsenal,Premier League,90,8.12
José Sá,J2,GK,Wolves,Premier League,90,4.02
Robert Sánchez,J2,GK,Chelsea,Premier League,90,5.06
Maduka Okoye,J11,GK,Udinese,Serie A,90,6.56
Michele Di Gregorio,J11,GK,Juventus,Serie A,90,8.04
Neto,J2,GK,Bournemouth,Premier League,90,7.78
Nick Pope,J2,GK,Newcastle Utd,Premier League,90,6.72
Alisson,J2,GK,Liverpool,Premier League,90,8.03
Mark Flekken,J2,GK,Brentford,Premier League,90,6.5
David Raya,J3,GK,Arsenal,Premier League,90,6.26
Bart Verbruggen,J3,GK,Brighton,Premier League,90,7.21
Arijanet Muric,J3,GK,Ipswich Town,Premier League,90,6.34
Bernd Leno,J3,GK,Fulham,Premier League,90,5.63
Matz Sels,J3,GK,Nott'ham Forest,Premier League,90,5.42
Sam Johnstone,J3,GK,Wolves,Premier League,90,7.25
Mark Flekken,J3,GK,Brentford,Premier League,90,5.89
Aaron Ramsdale,J3,GK,Southampton,Premier League,90,5.46
Mads Hermansen,J3,GK,Leicester City,Premier League,90,5.7
Emiliano Martínez,J3,GK,Aston Villa,Premier League,90,6.14
Jordan Pickford,J3,GK,Everton,Premier League,90,5.03
Kepa Arrizabalaga,J3,GK,Bournemouth,Premier League,90,4.91
Alphonse Areola,J3,GK,West Ham,Premier League,45,5.05
Łukasz Fabiański,J3,GK,West Ham,Premier League,45,5.7
Ederson,J3,GK,Manchester City,Premier League,90,5.34
Nick Pope,J3,GK,Newcastle Utd,Premier League,90,7.14
Guglielmo Vicario,J3,GK,Tottenham,Premier League,90,5.4
Stefano Turati,J11,GK,Monza,Serie A,90,7.07
Mike Maignan,J11,GK,Milan,Serie A,90,7.78
Robert Sánchez,J3,GK,Chelsea,Premier League,90,6.48
Dean Henderson,J3,GK,Crystal Palace,Premier League,90,7.62
André Onana,J3,GK,Manchester Utd,Premier League,90,4.42
Alisson,J3,GK,Liverpool,Premier League,90,8.15
Aaron Ramsdale,J4,GK,Southampton,Premier League,90,6.15
André Onana,J4,GK,Manchester Utd,Premier League,90,7.8
Ederson,J4,GK,Manchester City,Premier League,90,7.25
Mark Flekken,J4,GK,Brentford,Premier League,90,6.3
Alisson,J4,GK,Liverpool,Premier League,90,5.35
Matz Sels,J4,GK,Nott'ham Forest,Premier League,90,8.65
Dean Henderson,J4,GK,Crystal Palace,Premier League,90,5.55
Mads Hermansen,J4,GK,Leicester City,Premier League,90,5.55
Bernd Leno,J4,GK,Fulham,Premier League,90,5.73
Alphonse Areola,J4,GK,West Ham,Premier League,90,5.6
Bart Verbruggen,J4,GK,Brighton,Premier League,90,7.3
Arijanet Muric,J4,GK,Ipswich Town,Premier League,90,9.05
Emiliano Martínez,J4,GK,Aston Villa,Premier League,90,5.07
Jordan Pickford,J4,GK,Everton,Premier League,90,4.93
Mark Travers,J4,GK,Bournemouth,Premier League,90,6.39
Robert Sánchez,J4,GK,Chelsea,Premier League,90,8.87
Alex Meret,J11,GK,Napoli,Serie A,90,3.85
Marco Carnesecchi,J11,GK,Atalanta,Serie A,90,8.21
Guglielmo Vicario,J4,GK,Tottenham,Premier League,90,6.21
David Raya,J4,GK,Arsenal,Premier League,90,8.56
Sam Johnstone,J4,GK,Wolves,Premier League,90,5.73
Nick Pope,J4,GK,Newcastle Utd,Premier League,90,6.59
Alphonse Areola,J5,GK,West Ham,Premier League,90,4.63
Robert Sánchez,J5,GK,Chelsea,Premier League,90,8.92
Guglielmo Vicario,J5,GK,Tottenham,Premier League,90,7.07
Mark Flekken,J5,GK,Brentford,Premier League,90,5.0
Emiliano Martínez,J5,GK,Aston Villa,Premier League,90,5.95
Sam Johnstone,J5,GK,Wolves,Premier League,90,4.18
Bernd Leno,J5,GK,Fulham,Premier League,90,6.42
Nick Pope,J5,GK,Newcastle Utd,Premier League,90,4.88
Aaron Ramsdale,J5,GK,Southampton,Premier League,90,7.44
Arijanet Muric,J5,GK,Ipswich Town,Premier League,90,6.24
Mads Hermansen,J5,GK,Leicester City,Premier League,90,7.02
Jordan Pickford,J5,GK,Everton,Premier League,90,6.63
Caoimhín Kelleher,J5,GK,Liverpool,Premier League,90,8.54
Kepa Arrizabalaga,J5,GK,Bournemouth,Premier League,90,6.11
Dean Henderson,J5,GK,Crystal Palace,Premier League,90,9.15
André Onana,J5,GK,Manchester Utd,Premier League,90,7.66
Vanja Milinković-Savić,J11,GK,Torino,Serie A,90,5.75
David de Gea,J11,GK,Fiorentina,Serie A,90,7.75
Bart Verbruggen,J5,GK,Brighton,Premier League,90,5.26
Matz Sels,J5,GK,Nott'ham Forest,Premier League,90,4.69
Ederson,J5,GK,Manchester City,Premier League,90,4.82
David Raya,J5,GK,Arsenal,Premier League,90,6.45
Nick Pope,J6,GK,Newcastle Utd,Premier League,90,6.64
Ederson,J6,GK,Manchester City,Premier League,90,6.22
Mark Flekken,J6,GK,Brentford,Premier League,90,6.78
Alphonse Areola,J6,GK,West Ham,Premier League,90,6.67
Jordan Pickford,J6,GK,Everton,Premier League,90,6.54
Dean Henderson,J6,GK,Crystal Palace,Premier League,90,4.22
David Raya,J6,GK,Arsenal,Premier League,90,4.3
Mads Hermansen,J6,GK,Leicester City,Premier League,90,6.59
Robert Sánchez,J6,GK,Chelsea,Premier League,90,5.06
Bart Verbruggen,J6,GK,Brighton,Premier League,90,4.31
Matz Sels,J6,GK,Nott'ham Forest,Premier League,90,5.35
Bernd Leno,J6,GK,Fulham,Premier League,90,7.28
Sam Johnstone,J6,GK,Wolves,Premier League,90,5.59
Alisson,J6,GK,Liverpool,Premier League,90,6.22
Arijanet Muric,J6,GK,Ipswich Town,Premier League,90,4.66
Emiliano Martínez,J6,GK,Aston Villa,Premier League,90,6.26
Lorenzo Montipò,J11,GK,Hellas Verona,Serie A,90,4.97
Mile Svilar,J11,GK,Roma,Serie A,90,4.35
André Onana,J6,GK,Manchester Utd,Premier League,90,5.88
Guglielmo Vicario,J6,GK,Tottenham,Premier League,90,7.74
Kepa Arrizabalaga,J6,GK,Bournemouth,Premier League,90,6.84
Aaron Ramsdale,J6,GK,Southampton,Premier League,90,4.76
Dean Henderson,J7,GK,Crystal Palace,Premier League,90,5.41
Alisson,J7,GK,Liverpool,Premier League,78,6.57
Mark Flekken,J7,GK,Brentford,Premier League,90,4.71
Sam Johnstone,J7,GK,Wolves,Premier League,90,4.86
Mads Hermansen,J7,GK,Leicester City,Premier League,90,8.77
Kepa Arrizabalaga,J7,GK,Bournemouth,Premier League,90,6.04
Ederson,J7,GK,Manchester City,Premier League,90,5.73
Bernd Leno,J7,GK,Fulham,Premier League,90,4.27
Alphonse Areola,J7,GK,West Ham,Premier League,90,5.95
Arijanet Muric,J7,GK,Ipswich Town,Premier League,90,4.99
